Date,Open,High,Low,Close,Volume
2004-01-05,121.46,126.13,121.46,126.13,"259,076"
2004-01-06,128.47,130.8,126.13,130.8,"813,390"
2004-01-07,130.8,135.47,128.47,128.47,"519,976"
2004-01-08,130.8,130.8,126.13,128.47,"133,540"
2004-01-09,130.8,135.47,130.8,135.47,"414,927"
2004-01-12,133.14,133.14,130.8,133.14,"1,419,504"
2004-01-13,133.14,137.81,130.8,135.47,"1,708,398"
2004-01-14,133.14,142.48,133.14,140.14,"662,266"
2004-01-15,140.14,142.48,137.81,142.48,"1,099,547"
2004-01-16,142.48,144.82,140.14,142.48,"792,074"
2004-01-19,142.48,142.48,137.81,140.14,"75,769"
2004-01-20,140.14,156.49,140.14,156.49,"1,068,526"
2004-01-21,154.16,158.83,149.49,151.82,"308,635"
2004-01-22,149.49,149.49,147.15,147.15,"172,897"
2004-01-23,147.15,147.15,144.82,144.82,"158,050"
2004-01-26,144.82,144.82,144.82,144.82,"66,480"
2004-01-27,147.15,151.82,147.15,151.82,"321,698"
2004-01-28,149.49,149.49,144.82,147.15,"111,103"
2004-01-29,144.82,144.82,140.14,142.48,"213,456"
2004-01-30,140.14,142.48,140.14,142.48,"68,636"
2004-02-02,140.14,140.14,128.47,128.47,"380,796"
2004-02-03,133.14,133.14,130.8,130.8,"330,076"
2004-02-04,133.14,140.14,133.14,137.81,"313,321"
2004-02-05,137.81,137.81,133.14,135.47,"192,140"
2004-02-06,133.14,135.47,133.14,133.14,"162,695"
2004-02-09,135.47,137.81,135.47,137.81,"38,569"
2004-02-10,137.81,140.14,137.81,137.81,"67,060"
2004-02-11,137.81,137.81,137.81,137.81,"49,186"
2004-02-12,137.81,137.81,135.47,135.47,"104,551"
2004-02-13,135.47,135.47,135.47,135.47,"74,940"
2004-02-16,137.81,137.81,135.47,135.47,"87,257"
2004-02-17,135.47,137.81,135.47,137.81,"56,278"
2004-02-18,137.81,142.48,135.47,142.48,"241,243"
2004-02-19,142.48,142.48,140.14,140.14,"98,662"
2004-02-20,142.48,142.48,137.81,140.14,"87,299"
2004-02-23,140.14,140.14,137.81,137.81,"20,446"
2004-02-24,137.81,137.81,135.47,135.47,664
2004-02-26,140.14,140.14,137.81,140.14,"20,031"
2004-02-27,137.81,137.81,137.81,137.81,"120,269"
2004-03-01,137.81,142.48,137.81,142.48,"59,388"
2004-03-02,142.48,142.48,140.14,142.48,"141,834"
2004-03-03,140.14,140.14,135.47,137.81,"104,344"
2004-03-04,140.14,140.14,137.81,137.81,"107,288"
2004-03-05,140.14,140.14,140.14,140.14,"168,833"
2004-03-08,140.14,142.48,140.14,140.14,"52,255"
2004-03-09,140.14,140.14,137.81,140.14,"125,660"
2004-03-10,140.14,142.48,140.14,142.48,"309,920"
2004-03-11,140.14,140.14,135.47,135.47,"102,519"
2004-03-12,135.47,137.81,133.14,135.47,"973,804"
2004-03-15,135.47,135.47,135.47,135.47,"348,821"
2004-03-16,135.47,137.81,133.14,137.81,"90,409"
2004-03-17,137.81,140.14,137.81,140.14,"44,956"
2004-03-18,140.14,144.82,140.14,142.48,"217,562"
2004-03-19,142.48,142.48,142.48,142.48,"961,404"
2004-03-22,142.48,144.82,142.48,142.48,"137,770"
2004-03-23,142.48,142.48,142.48,142.48,"146,479"
2004-03-24,142.48,142.48,140.14,140.14,"144,281"
2004-03-25,142.48,142.48,142.48,142.48,"339,697"
2004-03-26,142.48,142.48,142.48,142.48,"67,102"
2004-03-29,142.48,142.48,142.48,142.48,"40,808"
2004-03-30,142.48,142.48,142.48,142.48,"572,645"
2004-03-31,142.48,144.82,140.14,142.48,"2,130,997"
2004-04-01,140.14,142.48,140.14,142.48,"13,437"
2004-04-02,142.48,142.48,140.14,142.48,"797,548"
2004-04-05,142.48,154.16,142.48,151.82,"315,768"
2004-04-06,149.49,151.82,149.49,149.49,"94,639"
2004-04-12,149.49,151.82,144.82,147.15,"136,318"
2004-04-13,145.75,151.36,140.14,140.14,"157,110"
2004-04-14,145.75,151.36,145.75,148.55,"59,927"
2004-04-15,148.55,148.55,145.75,148.55,"29,791"
2004-04-16,148.55,154.16,148.55,151.36,"212,682"
2004-04-19,151.36,151.36,151.36,151.36,"71,712"
2004-04-20,151.36,154.16,151.36,154.16,"172,558"
2004-04-21,154.16,156.96,154.16,156.96,"73,060"
2004-04-22,154.16,159.76,154.16,159.76,"473,334"
2004-04-23,159.76,159.76,156.96,159.76,"241,920"
2004-04-26,156.96,156.96,156.96,156.96,"21,496"
2004-04-27,156.96,162.57,156.96,162.57,"86,815"
2004-04-28,165.37,170.98,165.37,168.17,"288,783"
2004-04-29,168.17,168.17,165.37,165.37,"87,748"
2004-04-30,162.57,162.57,159.76,159.76,"46,068"
2004-05-03,159.76,159.76,159.76,159.76,"230,100"
2004-05-04,162.57,165.37,162.57,162.57,"260,893"
2004-05-05,162.57,162.57,162.57,162.57,"221,460"
2004-05-06,162.57,162.57,162.57,162.57,"116,087"
2004-05-07,159.76,159.76,159.76,159.76,"84,776"
2004-05-11,148.55,151.36,148.55,151.36,"129,185"
2004-05-12,151.36,156.96,151.36,154.16,"25,609"
2004-05-13,154.16,156.96,151.36,156.96,"100,673"
2004-05-14,148.55,151.36,148.55,148.55,"41,714"
2004-05-17,148.55,148.55,148.55,148.55,"59,512"
2004-05-18,148.55,151.36,145.75,148.55,"102,159"
2004-05-19,148.55,148.55,142.95,145.75,"34,698"
2004-05-20,142.95,145.75,142.95,142.95,"176,118"
2004-05-21,142.95,145.75,142.95,145.75,"59,374"
2004-05-24,145.75,145.75,142.95,145.75,"161,361"
2004-05-25,145.75,148.55,145.75,148.55,"106,652"
2004-05-26,151.36,151.36,148.55,148.55,"40,884"
2004-05-27,148.55,151.36,142.95,145.75,"241,851"
2004-05-28,145.75,151.36,145.75,148.55,"276,515"
2004-05-31,151.36,151.36,148.55,148.55,"6,324"
2004-06-01,151.36,151.36,151.36,151.36,"59,996"
2004-06-02,151.36,151.36,148.55,151.36,"42,958"
