Date,Open,High,Low,Close,Volume
2004-01-06,0.477,0.511,0.477,0.482,"40,289,216"
2004-01-07,0.482,0.482,0.482,0.482,"153,118"
2004-01-12,0.458,0.482,0.458,0.482,"38,280"
2004-01-13,0.458,0.477,0.458,0.477,"267,957"
2004-01-23,0.448,0.448,0.448,0.448,"95,699"
2004-01-27,0.434,0.434,0.434,0.434,"19,140"
2004-01-28,0.444,0.444,0.444,0.444,"38,280"
2004-01-29,0.444,0.458,0.444,0.458,"344,516"
2004-01-30,0.458,0.458,0.458,0.458,"38,280"
2004-02-02,0.473,0.473,0.473,0.473,"229,677"
2004-02-10,0.458,0.482,0.458,0.482,"76,559"
2004-02-18,0.458,0.477,0.448,0.477,"267,957"
2004-02-19,0.458,0.458,0.458,0.458,"76,559"
2004-02-20,0.458,0.458,0.458,0.458,"191,398"
2004-02-23,0.458,0.477,0.458,0.477,"210,537"
2004-02-26,0.458,0.458,0.458,0.458,"191,398"
2004-02-27,0.458,0.458,0.458,0.458,"191,398"
2004-03-01,0.453,0.453,0.444,0.453,"1,071,827"
2004-03-02,0.448,0.448,0.444,0.444,"956,989"
2004-03-03,0.448,0.448,0.448,0.448,"382,795"
2004-03-04,0.453,0.453,0.434,0.439,"2,660,428"
2004-03-10,0.453,0.458,0.453,0.458,"57,419"
2004-03-11,0.453,0.453,0.453,0.453,"172,258"
2004-03-15,0.453,0.453,0.453,0.453,"76,559"
2004-03-16,0.453,0.453,0.453,0.453,"95,699"
2004-03-19,0.453,0.453,0.453,0.453,"382,795"
2004-03-22,0.448,0.448,0.448,0.448,"382,795"
2004-03-23,0.448,0.448,0.444,0.444,"382,795"
2004-03-26,0.468,0.482,0.448,0.448,"79,353,488"
2004-03-29,0.473,0.473,0.473,0.473,"38,280"
2004-03-31,0.473,0.501,0.473,0.501,"3,138,922"
2004-04-01,0.458,0.482,0.458,0.482,"32,538"
2004-04-02,0.492,0.492,0.492,0.492,"210,537"
2004-04-05,0.482,0.482,0.482,0.482,"79,851,122"
2004-04-06,0.458,0.482,0.458,0.482,"57,419"
2004-04-16,0.434,0.477,0.434,0.477,"401,935"
2004-04-19,0.458,0.473,0.458,0.473,"57,419"
2004-04-20,0.458,0.473,0.458,0.473,"248,817"
2004-04-21,0.458,0.473,0.458,0.473,"76,559"
2004-04-26,0.458,0.477,0.458,0.477,"153,118"
2004-04-27,0.463,0.477,0.463,0.477,"57,419"
2004-04-29,0.458,0.468,0.458,0.468,"57,419"
2004-05-04,0.463,0.463,0.463,0.463,"114,839"
2004-05-07,0.477,0.482,0.477,0.482,"95,699"
2004-05-11,0.458,0.482,0.453,0.482,"421,075"
2004-05-12,0.463,0.463,0.463,0.463,"38,280"
2004-05-13,0.468,0.482,0.463,0.482,"114,839"
2004-05-14,0.468,0.482,0.468,0.482,"76,559"
2004-05-21,0.458,0.482,0.458,0.482,"306,236"
2004-05-26,0.468,0.468,0.468,0.468,"1,913,977"
2004-05-27,0.458,0.458,0.458,0.458,"172,258"
2004-06-01,0.463,0.463,0.463,0.463,"95,699"
2004-06-02,0.463,0.463,0.463,0.463,"95,699"
2004-06-10,0.473,0.473,0.463,0.463,"229,677"
2004-06-11,0.473,0.473,0.463,0.463,"899,569"
2004-06-14,0.458,0.458,0.458,0.458,"306,236"
2004-06-15,0.453,0.453,0.453,0.453,"382,795"
2004-06-17,0.453,0.453,0.434,0.434,"76,559"
2004-06-21,0.444,0.444,0.444,0.444,"133,978"
2004-06-23,0.444,0.444,0.444,0.444,"956,989"
2004-06-24,0.458,0.458,0.458,0.458,"19,140"
2004-06-25,0.453,0.453,0.453,0.453,"401,935"
2004-06-29,0.453,0.458,0.453,0.458,"650,752"
2004-06-30,0.453,0.453,0.453,0.453,"574,193"
2004-07-01,0.444,0.444,0.444,0.444,"172,258"
2004-07-05,0.439,0.439,0.439,0.439,"153,118"
2004-07-06,0.453,0.458,0.453,0.458,"1,148,386"
2004-07-07,0.477,0.482,0.473,0.477,"162,037,295"
2004-07-08,0.482,0.55,0.482,0.521,"4,325,588"
2004-07-09,0.53,0.569,0.53,0.54,"3,646,126"
2004-07-12,0.55,0.55,0.55,0.55,"583,763"
2004-07-13,0.54,0.54,0.511,0.511,"2,338,880"
2004-07-14,0.511,0.511,0.482,0.492,"1,416,343"
2004-07-15,0.482,0.492,0.482,0.482,"1,657,504"
2004-07-16,0.482,0.482,0.482,0.482,"1,071,827"
2004-07-19,0.492,0.492,0.492,0.492,"306,236"
2004-07-20,0.492,0.501,0.492,0.501,"388,537"
2004-07-21,0.511,0.511,0.501,0.511,"1,008,666"
2004-07-22,0.501,0.511,0.492,0.511,"1,175,182"
2004-07-23,0.511,0.511,0.501,0.501,"1,014,408"
