Date,Open,High,Low,Close,Volume
2004-01-06,3.2,3.2,3.2,3.2,"194,000"
2004-01-07,3.15,3.25,3.15,3.25,"365,000"
2004-01-08,3.3,3.5,3.3,3.5,"359,000"
2004-01-09,3.5,3.75,3.5,3.7,"5,168,000"
2004-01-12,3.8,3.8,3.6,3.6,"951,000"
2004-01-13,3.6,3.6,3.6,3.6,"49,000"
2004-01-14,3.5,3.55,3.5,3.55,"211,000"
2004-01-15,3.5,3.65,3.5,3.6,"937,000"
2004-01-16,3.7,3.7,3.65,3.65,"1,238,000"
2004-01-19,3.65,3.7,3.65,3.7,"206,000"
2004-01-20,3.55,3.6,3.55,3.6,"100,000"
2004-01-21,3.6,3.6,3.55,3.6,"1,670,000"
2004-01-22,3.6,3.6,3.6,3.6,"1,372,000"
2004-01-23,3.6,3.6,3.5,3.55,"65,000"
2004-01-26,3.5,3.5,3.45,3.45,"512,000"
2004-01-27,3.45,3.45,3.4,3.4,"359,000"
2004-01-28,3.4,3.4,3.4,3.4,"110,000"
2004-01-29,3.3,3.35,3.3,3.35,"42,000"
2004-01-30,3.25,3.25,3.2,3.2,"875,000"
2004-02-02,3.2,3.2,3.2,3.2,"48,000"
2004-02-03,3.1,3.2,3.1,3.1,"90,000"
2004-02-04,3.15,3.2,3.15,3.2,"38,000"
2004-02-05,3.15,3.2,3.15,3.2,"24,000"
2004-02-06,3.2,3.3,3.2,3.3,"478,000"
2004-02-09,3.2,3.2,3.2,3.2,"14,000"
2004-02-10,3.2,3.3,3.2,3.3,"273,000"
2004-02-11,3.3,3.3,3.3,3.3,"44,000"
2004-02-12,3.2,3.3,3.2,3.3,"108,000"
2004-02-13,3.3,3.3,3.3,3.3,"7,000"
2004-02-16,3.2,3.2,3.2,3.2,"4,000"
2004-02-17,3.2,3.2,3.2,3.2,"208,000"
2004-02-18,3.2,3.2,3.2,3.2,"48,000"
2004-02-23,3.2,3.2,3.2,3.2,"60,000"
2004-02-24,3.1,3.1,3.1,3.1,"10,000"
2004-02-26,3.1,3.1,3.1,3.1,"100,000"
2004-02-27,3.1,3.1,3.1,3.1,"3,000"
2004-03-01,3.1,3.1,3.1,3.1,"140,000"
2004-03-02,3.1,3.1,3.05,3.05,"64,000"
2004-03-03,3.05,3.05,3.0,3.0,"19,000"
2004-03-04,3.05,3.05,3.05,3.05,"40,000"
2004-03-05,3.05,3.05,3.0,3.0,"25,000"
2004-03-08,3.0,3.0,3.0,3.0,"12,000"
2004-03-09,3.0,3.0,3.0,3.0,"12,000"
2004-03-11,3.0,3.0,2.9,2.95,"2,776,000"
2004-03-17,2.9,2.95,2.9,2.9,"53,000"
2004-03-18,2.95,2.95,2.9,2.9,"19,000"
2004-03-25,2.9,2.9,2.9,2.9,"50,000"
2004-03-26,2.8,2.8,2.8,2.8,"78,000"
2004-03-30,3.0,3.0,3.0,3.0,"290,000"
2004-03-31,2.9,2.95,2.85,2.85,"455,000"
2004-04-01,2.85,2.85,2.85,2.85,"550,000"
2004-04-02,2.85,2.85,2.85,2.85,"14,000"
2004-04-05,2.85,2.85,2.85,2.85,"32,000"
2004-04-06,2.85,2.85,2.85,2.85,"134,000"
2004-04-12,2.85,2.85,2.85,2.85,"80,000"
2004-04-13,2.85,2.85,2.8,2.8,"82,000"
2004-04-14,2.8,2.8,2.8,2.8,"20,000"
2004-04-15,2.8,2.8,2.8,2.8,"48,000"
2004-04-16,2.8,2.8,2.8,2.8,"136,000"
2004-04-19,2.8,2.8,2.7,2.7,"150,000"
2004-04-20,2.8,2.85,2.8,2.8,"1,841,000"
2004-04-21,2.8,2.8,2.75,2.75,"478,000"
2004-04-22,2.85,2.85,2.85,2.85,"360,000"
2004-04-23,2.85,3.05,2.85,3.05,"715,000"
2004-04-26,2.9,2.9,2.9,2.9,"378,000"
2004-04-27,2.95,3.0,2.95,2.95,"553,000"
2004-04-28,3.0,3.05,3.0,3.05,"1,029,000"
2004-04-29,3.05,3.1,3.05,3.1,"477,000"
2004-04-30,3.05,3.05,3.05,3.05,"256,000"
2004-05-03,3.05,3.05,3.05,3.05,"111,000"
2004-05-04,3.0,3.0,3.0,3.0,"184,000"
2004-05-05,3.0,3.05,3.0,3.0,"1,200,000"
2004-05-06,3.0,3.0,2.95,2.95,"537,000"
2004-05-07,2.95,3.05,2.95,3.05,"125,000"
2004-05-11,3.0,3.0,3.0,3.0,"63,000"
2004-05-12,3.0,3.0,3.0,3.0,"1,207,000"
2004-05-17,2.95,2.95,2.9,2.9,"258,000"
2004-05-18,2.9,2.9,2.9,2.9,"35,000"
2004-05-19,2.9,2.9,2.85,2.9,"16,000"
2004-05-20,2.9,2.9,2.9,2.9,"159,000"
2004-05-21,2.85,2.85,2.85,2.85,"1,000"
2004-05-24,2.85,2.85,2.85,2.85,"20,000"
2004-05-25,2.85,2.85,2.85,2.85,"60,000"
2004-05-26,2.8,2.85,2.8,2.8,"107,000"
2004-05-27,2.8,2.8,2.8,2.8,"74,000"
2004-05-28,2.8,2.9,2.8,2.9,"234,000"
2004-05-31,3.0,3.0,3.0,3.0,"111,000"
2004-06-01,2.95,3.05,2.95,3.05,"137,000"
2004-06-02,3.1,3.15,3.1,3.15,"233,000"
2004-06-03,3.1,3.1,3.1,3.1,"49,000"
2004-06-04,3.1,3.1,3.1,3.1,"238,000"
2004-06-08,3.05,3.05,3.05,3.05,"266,000"
2004-06-09,3.05,3.05,3.05,3.05,"141,000"
2004-06-10,3.0,3.0,3.0,3.0,"51,000"
2004-06-11,3.0,3.0,3.0,3.0,"3,000"
2004-06-14,3.0,3.0,3.0,3.0,"695,000"
2004-06-15,3.0,3.05,3.0,3.05,"43,000"
2004-06-16,3.05,3.05,3.05,3.05,"208,000"
2004-06-17,3.05,3.1,3.05,3.1,"115,000"
2004-06-18,3.15,3.45,3.15,3.45,"495,000"
2004-06-21,3.45,3.45,3.3,3.35,"1,273,000"
2004-06-22,3.4,3.4,3.4,3.4,"497,000"
2004-06-23,3.4,3.5,3.35,3.45,"775,000"
2004-06-24,3.35,3.4,3.35,3.35,"333,000"
2004-06-25,3.45,3.45,3.35,3.45,"256,000"
2004-06-29,3.45,3.45,3.4,3.4,"258,000"
2004-06-30,3.4,3.4,3.4,3.4,"10,000"
2004-07-01,3.35,3.5,3.35,3.5,"341,000"
2004-07-02,3.45,3.45,3.4,3.45,"103,000"
2004-07-05,3.4,3.5,3.4,3.5,"160,000"
2004-07-06,3.5,3.55,3.5,3.55,"1,886,000"
2004-07-07,3.5,3.5,3.45,3.45,"801,000"
2004-07-08,3.45,3.5,3.45,3.5,"209,000"
2004-07-09,3.5,3.5,3.45,3.5,"197,000"
2004-07-12,3.45,3.45,3.45,3.45,"43,000"
2004-07-13,3.4,3.4,3.35,3.4,"93,000"
2004-07-14,3.35,3.4,3.35,3.4,"22,000"
2004-07-15,3.35,3.4,3.35,3.4,"6,000"
2004-07-16,3.3,3.3,3.3,3.3,"695,000"
2004-07-19,3.3,3.3,3.3,3.3,"19,000"
2004-07-20,3.35,3.4,3.35,3.4,"139,000"
2004-07-23,3.4,3.4,3.4,3.4,"18,000"
2004-07-26,3.35,3.35,3.3,3.3,"50,000"
2004-07-27,3.25,3.3,3.25,3.3,"56,000"
2004-07-28,3.3,3.3,3.3,3.3,"63,000"
2004-07-30,3.2,3.2,3.1,3.15,"246,000"
2004-08-02,3.05,3.05,3.05,3.05,"21,000"
2004-08-03,3.15,3.15,3.15,3.15,"5,000"
2004-08-04,3.15,3.15,3.05,3.1,"332,000"
2004-08-05,3.05,3.05,3.05,3.05,"7,000"
2004-08-06,3.05,3.1,3.05,3.1,"48,000"
2004-08-09,3.0,3.0,3.0,3.0,"12,000"
2004-08-10,3.05,3.1,3.05,3.1,"26,000"
2004-08-11,3.1,3.15,3.1,3.15,"194,000"
2004-08-12,3.2,3.2,3.2,3.2,"1,000"
2004-08-13,3.25,3.25,3.25,3.25,"109,000"
2004-08-17,3.15,3.15,3.15,3.15,"15,000"
2004-08-19,3.1,3.1,3.1,3.1,"258,000"
2004-08-20,3.1,3.1,3.1,3.1,"33,000"
2004-08-24,3.05,3.05,3.05,3.05,"15,000"
2004-08-25,3.05,3.1,3.05,3.1,"11,000"
2004-08-26,3.15,3.2,3.15,3.2,"88,000"
2004-08-27,3.2,3.2,3.2,3.2,"91,000"
2004-08-30,3.25,3.25,3.25,3.25,"534,000"
2004-08-31,3.2,3.2,3.15,3.15,"353,000"
2004-09-02,3.15,3.2,3.15,3.2,"100,000"
2004-09-03,3.2,3.25,3.2,3.25,"76,000"
2004-09-06,3.25,3.3,3.25,3.3,"166,000"
2004-09-07,3.35,3.35,3.3,3.35,"169,000"
2004-09-08,3.4,3.55,3.4,3.5,"801,000"
2004-09-09,3.5,3.5,3.45,3.5,"220,000"
2004-09-10,3.5,3.5,3.4,3.4,"300,000"
2004-09-13,3.35,3.4,3.35,3.4,"60,000"
2004-09-14,3.3,3.4,3.3,3.4,"285,000"
2004-09-15,3.35,3.35,3.35,3.35,"207,000"
2004-09-16,3.35,3.35,3.25,3.3,"215,000"
2004-09-17,3.3,3.3,3.25,3.25,"965,000"
2004-09-20,3.3,3.3,3.25,3.3,"193,000"
2004-09-21,3.3,3.4,3.2,3.4,"46,933,000"
2004-09-22,3.4,3.45,3.35,3.35,"142,000"
2004-09-23,3.35,3.35,3.35,3.35,"91,000"
2004-09-24,3.35,3.4,3.35,3.4,"401,000"
2004-09-27,3.4,3.4,3.35,3.35,"681,000"
2004-09-28,3.3,3.35,3.3,3.3,"123,000"
2004-09-29,3.25,3.25,3.2,3.2,"2,180,000"
2004-09-30,3.25,3.3,3.25,3.3,"836,000"
2004-10-01,3.3,3.35,3.3,3.35,"3,175,000"
2004-10-04,3.4,3.45,3.4,3.4,"610,000"
2004-10-05,3.4,3.45,3.4,3.45,"3,476,000"
2004-10-06,3.35,3.4,3.35,3.35,"3,009,000"
2004-10-07,3.4,3.45,3.4,3.4,"1,664,000"
2004-10-08,3.4,3.4,3.4,3.4,"4,818,000"
2004-10-11,3.45,3.55,3.45,3.55,"2,314,000"
2004-10-12,3.55,3.6,3.55,3.6,"6,094,000"
2004-10-13,3.6,3.6,3.6,3.6,"3,500,000"
2004-10-14,3.6,3.6,3.6,3.6,"3,337,000"
2004-10-15,3.55,3.55,3.5,3.55,"1,270,000"
2004-10-18,3.5,3.55,3.5,3.5,"3,210,000"
2004-10-19,3.5,3.5,3.5,3.5,"4,418,000"
2004-10-20,3.5,3.5,3.5,3.5,"2,277,000"
