Date,Open,High,Low,Close,Volume
2004-01-05,12.75,13.29,12.75,13.29,"511,455"
2004-01-06,13.29,13.47,13.29,13.29,"539,436"
2004-01-07,13.29,13.47,12.93,12.93,"622,404"
2004-01-08,12.93,12.93,12.75,12.75,"37,865"
2004-01-09,12.93,12.93,12.75,12.75,"33,132"
2004-01-12,12.75,12.93,12.75,12.93,"167,051"
2004-01-13,12.75,12.93,12.75,12.93,"90,486"
2004-01-14,13.11,13.29,13.11,13.11,"594,145"
2004-01-15,13.11,13.11,13.11,13.11,"65,707"
2004-01-16,12.93,12.93,12.93,12.93,"4,872"
2004-01-19,12.93,13.11,12.93,13.11,"42,876"
2004-01-20,13.11,13.11,12.93,12.93,"189,324"
2004-01-21,12.93,13.29,12.93,13.11,"79,210"
2004-01-22,13.11,13.11,12.93,12.93,"84,918"
2004-01-23,13.11,13.11,12.93,12.93,"139,209"
2004-01-26,13.11,13.11,12.93,12.93,"43,572"
2004-01-27,12.75,12.75,12.75,12.75,"10,580"
2004-01-28,12.93,12.93,12.75,12.75,"212,851"
2004-01-29,12.57,12.75,12.57,12.57,"43,155"
2004-01-30,12.57,12.75,12.57,12.75,"70,301"
2004-02-02,12.57,12.57,12.39,12.39,"45,939"
2004-02-03,12.39,12.39,12.39,12.39,"3,759"
2004-02-04,12.39,12.39,12.39,12.39,"2,088"
2004-02-05,12.39,12.39,12.39,12.39,"2,784"
2004-02-06,12.39,12.39,12.21,12.21,"166,773"
2004-02-09,12.21,12.57,12.21,12.57,"139,905"
2004-02-10,12.21,12.21,12.21,12.21,974
2004-02-12,12.21,12.21,12.21,12.21,"76,704"
2004-02-13,12.21,12.21,12.21,12.21,"10,441"
2004-02-16,12.21,12.21,12.21,12.21,"19,489"
2004-02-17,12.21,12.21,12.03,12.03,"47,331"
2004-02-18,12.21,12.21,12.21,12.21,"13,921"
2004-02-19,12.21,12.21,12.21,12.21,"32,018"
2004-02-20,12.21,12.21,12.03,12.21,"18,376"
2004-02-24,12.21,12.21,12.21,12.21,"15,313"
2004-02-26,12.21,12.21,12.03,12.03,"20,881"
2004-02-27,12.21,12.21,12.21,12.21,"48,723"
2004-03-02,12.03,12.03,12.03,12.03,"2,645"
2004-03-03,12.21,12.21,12.21,12.21,"19,768"
2004-03-04,12.03,12.03,12.03,12.03,"45,939"
2004-03-05,12.03,12.03,12.03,12.03,"43,572"
2004-03-08,12.03,12.03,12.03,12.03,"98,839"
2004-03-10,11.85,12.03,11.85,11.85,"64,732"
2004-03-11,11.85,12.03,11.85,12.03,"45,939"
2004-03-12,11.85,12.03,11.85,12.03,"16,705"
2004-03-15,12.03,12.21,12.03,12.03,"339,810"
2004-03-16,12.03,13.11,11.85,13.11,"53,596"
2004-03-17,12.93,12.93,12.39,12.93,"33,410"
2004-03-18,12.57,12.93,12.57,12.93,"22,134"
2004-03-19,12.75,12.93,12.75,12.93,"105,521"
2004-03-22,12.57,12.93,12.57,12.75,"72,389"
2004-03-23,12.75,12.93,12.39,12.93,"157,306"
2004-03-24,12.39,12.75,12.21,12.57,"488,624"
2004-03-25,12.39,12.39,12.03,12.03,"102,319"
2004-03-26,12.03,12.03,11.85,11.85,"531,779"
2004-03-29,12.21,12.39,12.21,12.39,"125,288"
2004-03-30,12.03,12.21,12.03,12.21,"96,054"
2004-03-31,12.21,12.57,12.21,12.57,"382,825"
2004-04-01,12.39,12.39,12.21,12.39,"32,714"
2004-04-02,12.21,12.21,12.03,12.21,"109,279"
2004-04-06,12.03,12.03,12.03,12.03,"143,385"
2004-04-12,12.03,12.03,12.03,12.03,"47,749"
2004-04-13,12.03,12.39,12.03,12.21,"216,192"
2004-04-14,12.03,12.03,11.85,11.85,"29,791"
2004-04-15,11.85,12.21,11.85,12.21,"40,371"
2004-04-16,12.03,12.21,12.03,12.21,"18,097"
2004-04-19,12.03,12.03,12.03,12.03,"6,960"
2004-04-20,12.03,12.03,12.03,12.03,"135,033"
2004-04-21,12.03,12.21,12.03,12.03,"87,702"
2004-04-22,12.03,12.03,12.03,12.03,"66,820"
2004-04-23,12.03,12.39,12.03,12.21,"92,992"
2004-04-26,12.21,12.39,12.21,12.39,"90,208"
2004-04-27,12.21,12.21,12.21,12.21,"103,015"
2004-04-28,12.21,12.21,12.03,12.21,"271,597"
2004-04-29,12.03,12.21,12.03,12.21,"9,745"
2004-04-30,12.21,12.57,12.21,12.57,"98,839"
2004-05-05,12.21,12.39,12.21,12.39,"16,287"
2004-05-06,12.39,12.39,12.39,12.39,"6,960"
2004-05-11,12.21,12.21,12.21,12.21,"22,134"
2004-05-12,12.03,12.21,12.03,12.21,"8,353"
2004-05-13,12.21,12.21,12.03,12.03,"48,723"
2004-05-14,12.03,12.03,12.03,12.03,"65,428"
2004-05-17,12.03,12.03,11.85,11.85,"121,112"
2004-05-18,12.03,12.03,12.03,12.03,"29,234"
2004-05-19,12.03,12.03,12.03,12.03,"2,784"
2004-05-20,11.85,12.21,11.85,12.21,"160,787"
2004-05-21,12.21,12.21,12.21,12.21,"68,212"
2004-05-24,12.39,12.39,12.39,12.39,"82,133"
2004-05-26,12.03,12.21,12.03,12.21,"23,666"
2004-05-28,12.21,12.39,12.21,12.39,"58,468"
2004-05-31,12.21,12.21,12.21,12.21,"35,498"
2004-06-02,12.21,12.21,12.21,12.21,"26,867"
2004-06-07,12.21,12.21,12.21,12.21,"125,288"
2004-06-08,12.21,12.21,12.21,12.21,"56,380"
2004-06-09,12.21,12.21,12.21,12.21,"21,299"
2004-06-10,12.21,12.21,12.21,12.21,"2,784"
2004-06-11,12.21,12.21,12.21,12.21,"23,526"
2004-06-14,12.21,12.75,12.21,12.75,"1,560,535"
2004-06-15,12.75,12.75,12.57,12.57,"738,365"
2004-06-16,12.39,12.57,12.39,12.57,"707,183"
2004-06-17,12.39,12.39,12.39,12.39,"16,705"
2004-06-18,12.39,12.57,12.21,12.57,"443,520"
2004-06-21,12.57,12.57,12.39,12.39,"1,016,227"
2004-06-22,12.57,12.57,12.39,12.39,"225,519"
2004-06-23,12.57,12.75,12.57,12.75,"857,946"
2004-06-24,12.57,12.75,12.57,12.75,"456,606"
2004-06-25,12.57,12.93,12.57,12.93,"3,450,300"
2004-06-28,12.75,12.93,12.75,12.93,"202,828"
2004-06-29,12.93,13.29,12.93,13.29,"369,044"
2004-06-30,13.29,13.29,13.29,13.29,"133,223"
2004-07-01,13.29,13.29,13.11,13.11,"69,605"
2004-07-02,12.93,12.93,12.93,12.93,"62,783"
2004-07-05,12.93,13.11,12.93,13.11,"16,705"
2004-07-06,12.93,12.93,12.75,12.75,"59,860"
2004-07-07,12.75,12.75,12.75,12.75,"21,856"
2004-07-08,12.75,12.75,12.75,12.75,"20,881"
2004-07-12,12.57,12.57,12.57,12.57,835
