Date,Open,High,Low,Close,Volume
2004-01-05,23.17,23.42,23.17,23.42,"2,443,461"
2004-01-06,23.66,24.16,23.66,24.16,"2,608,170"
2004-01-07,24.16,24.16,24.16,24.16,"2,218,912"
2004-01-08,23.91,24.16,23.66,24.16,"711,780"
2004-01-09,24.16,24.9,24.16,24.65,"2,435,347"
2004-01-12,24.4,24.4,24.4,24.4,"586,017"
2004-01-13,24.4,24.65,24.4,24.4,"897,585"
2004-01-14,24.65,25.39,24.65,25.39,"2,140,411"
2004-01-15,25.14,25.14,24.65,24.9,"574,455"
2004-01-16,24.65,24.65,24.4,24.65,"5,074,755"
2004-01-19,24.65,24.65,24.65,24.65,"1,075,480"
2004-01-20,24.65,24.65,24.16,24.4,"1,023,349"
2004-01-21,24.4,24.9,24.4,24.9,"1,553,583"
2004-01-22,24.9,25.14,24.9,24.9,"485,812"
2004-01-23,24.9,24.9,24.9,24.9,"545,854"
2004-01-26,24.9,24.9,24.65,24.9,"871,621"
2004-01-27,24.9,26.13,24.65,25.88,"4,071,893"
2004-01-28,25.14,25.88,25.14,25.64,"919,898"
2004-01-29,24.65,24.65,24.4,24.4,"449,097"
2004-01-30,24.4,25.39,24.4,24.65,"1,606,931"
2004-02-02,24.9,24.9,23.91,23.91,"2,794,584"
2004-02-03,23.66,23.91,22.68,23.91,"992,922"
2004-02-04,23.91,23.91,23.17,23.17,"1,416,461"
2004-02-05,23.17,23.17,22.43,22.43,"1,687,258"
2004-02-06,22.43,23.42,22.43,23.17,"761,071"
2004-02-09,23.17,23.17,22.43,22.43,"4,039,236"
2004-02-10,22.43,22.92,22.43,22.68,"2,250,962"
2004-02-11,22.68,22.68,22.18,22.43,"638,148"
2004-02-12,22.18,22.18,21.94,22.18,"1,185,624"
2004-02-13,21.94,22.18,21.94,22.18,"1,752,776"
2004-02-16,21.94,22.18,21.69,21.69,"1,583,199"
2004-02-17,21.45,21.94,21.2,21.94,"2,692,350"
2004-02-18,21.94,21.94,21.45,21.45,"1,280,149"
2004-02-19,21.69,22.18,21.69,22.18,"339,561"
2004-02-20,22.43,22.43,22.18,22.43,"2,089,295"
2004-02-23,22.68,22.68,21.94,22.18,"287,633"
2004-02-24,22.18,22.43,21.94,22.18,"452,748"
2004-02-26,22.43,22.43,22.18,22.43,"822,939"
2004-02-27,22.68,22.68,22.43,22.43,"643,219"
2004-03-01,22.68,22.68,22.43,22.43,"237,328"
2004-03-02,22.68,22.92,22.68,22.68,"819,085"
2004-03-03,22.68,22.68,22.43,22.43,"343,618"
2004-03-04,22.68,22.68,22.68,22.68,"324,348"
2004-03-05,22.68,22.68,22.43,22.43,"533,074"
2004-03-08,22.68,22.68,22.18,22.43,"365,525"
2004-03-09,22.43,22.43,21.94,22.18,"483,175"
2004-03-10,22.18,22.18,21.94,22.18,"410,759"
2004-03-11,21.94,22.18,21.94,22.18,"274,042"
2004-03-12,21.94,21.94,21.69,21.69,"672,428"
2004-03-15,21.94,22.68,21.94,22.18,"652,550"
2004-03-16,21.94,21.94,21.94,21.94,"505,690"
2004-03-17,21.69,22.18,21.69,22.18,"153,959"
2004-03-18,22.43,22.43,22.18,22.18,"61,259"
2004-03-19,22.18,22.18,22.18,22.18,"632,874"
2004-03-22,21.94,22.18,21.94,21.94,"202,844"
2004-03-23,21.94,21.94,21.69,21.69,"709,346"
2004-03-24,21.69,21.69,21.2,21.2,"623,949"
2004-03-25,21.2,22.18,21.2,21.2,"905,902"
2004-03-26,21.45,21.45,21.45,21.45,"368,365"
2004-03-29,21.45,21.45,21.2,21.2,"1,445,265"
2004-03-30,21.45,21.45,21.2,21.2,"1,056,412"
2004-03-31,21.2,22.18,21.2,21.69,"559,850"
2004-04-01,21.69,21.94,21.69,21.94,"473,641"
2004-04-02,21.94,22.18,21.94,22.18,"1,520,520"
2004-04-05,22.18,23.66,22.18,23.17,"1,647,297"
2004-04-06,23.17,23.42,23.17,23.17,"1,345,262"
2004-04-12,23.17,23.17,22.43,22.68,"115,824"
2004-04-13,22.68,22.68,21.69,21.94,"591,291"
2004-04-14,21.94,21.94,21.69,21.94,"1,482,385"
2004-04-15,21.94,21.94,21.94,21.94,"325,159"
2004-04-16,21.94,22.43,21.94,22.18,"1,051,341"
2004-04-19,21.94,22.18,21.94,22.18,"568,572"
2004-04-20,21.94,22.18,21.94,22.18,"3,534,559"
2004-04-21,22.18,23.17,22.18,23.17,"2,075,096"
2004-04-22,22.92,22.92,22.68,22.68,"411,571"
2004-04-23,22.92,23.17,22.43,23.17,"1,650,746"
2004-04-26,23.17,23.17,22.92,22.92,"178,097"
2004-04-27,22.68,24.16,22.68,23.91,"2,374,696"
2004-04-28,23.91,24.9,23.91,24.9,"5,578,417"
2004-04-29,24.65,24.65,24.16,24.4,"2,315,466"
2004-04-30,24.65,24.65,23.91,23.91,"1,507,132"
2004-05-03,24.26,25.14,24.26,25.14,"325,565"
2004-05-04,24.85,24.85,24.26,24.26,"1,215,882"
2004-05-05,24.26,24.55,24.26,24.55,"504,406"
2004-05-06,24.85,24.85,24.55,24.85,"1,187,145"
2004-05-07,24.85,24.85,24.55,24.55,"1,015,911"
2004-05-11,24.55,24.55,23.66,23.66,"1,125,109"
2004-05-12,23.96,24.55,23.96,24.55,"624,929"
2004-05-13,24.55,24.55,23.96,24.26,"1,441,208"
2004-05-14,24.55,24.55,24.26,24.26,"74,714"
2004-05-17,23.96,24.26,23.66,23.96,"824,561"
2004-05-18,23.66,23.96,23.37,23.96,"522,324"
2004-05-19,23.66,23.96,23.37,23.66,"1,935,471"
2004-05-20,23.66,24.26,23.66,23.96,"618,337"
2004-05-21,23.96,24.55,23.96,24.55,"571,513"
2004-05-24,24.85,24.85,24.55,24.55,"1,214,698"
2004-05-25,24.55,24.85,24.55,24.85,"229,383"
2004-05-26,24.85,25.14,24.85,24.85,"1,338,771"
2004-05-27,24.85,25.14,24.55,24.85,"340,947"
2004-05-28,25.14,25.14,24.85,24.85,"1,466,056"
2004-05-31,24.85,24.85,24.55,24.55,"268,092"
2004-06-01,24.55,24.55,24.26,24.26,"592,474"
2004-06-02,24.26,24.55,24.26,24.55,"467,725"
2004-06-03,24.85,24.85,24.55,24.55,"457,414"
2004-06-04,24.55,24.85,24.26,24.26,"347,202"
2004-06-07,23.96,24.26,23.96,23.96,"1,177,003"
2004-06-08,24.26,24.85,24.26,24.85,"1,247,661"
2004-06-09,24.85,24.85,24.55,24.55,"545,989"
2004-06-10,24.55,24.85,24.55,24.55,"601,264"
2004-06-11,24.26,24.26,23.66,23.66,"1,534,854"
2004-06-14,24.26,24.55,23.96,24.55,"246,287"
2004-06-15,24.55,24.85,24.55,24.85,"1,336,912"
2004-06-16,24.55,24.55,23.96,24.26,"668,033"
2004-06-17,24.26,24.55,24.26,24.26,"311,873"
2004-06-18,24.26,24.26,24.26,24.26,"1,505,949"
2004-06-21,24.26,24.55,24.26,24.26,"212,986"
2004-06-22,24.55,24.55,24.26,24.55,"979,399"
2004-06-23,24.55,25.73,24.55,25.44,"2,220,298"
2004-06-24,25.44,25.44,25.14,25.44,"1,292,624"
2004-06-25,25.44,25.44,25.14,25.14,"946,268"
2004-06-28,25.14,25.44,25.14,25.44,"1,987,704"
