Date,Open,High,Low,Close,Volume
2014-05-06,10.33,10.69,10.0,10.13,"91,241,400"
2014-05-07,10.2,10.24,9.73,9.75,"27,859,951"
2014-05-08,9.76,9.97,9.75,9.95,"13,858,500"
2014-05-09,9.99,10.2,9.99,10.2,"17,457,899"
2014-05-12,10.27,10.73,10.27,10.65,"29,560,349"
2014-05-13,10.73,10.8,10.52,10.56,"8,425,500"
2014-05-14,10.64,10.71,10.56,10.67,"15,610,500"
2014-05-15,10.67,10.71,10.55,10.64,"6,662,550"
2014-05-16,10.53,10.53,10.28,10.33,"4,855,200"
2014-05-19,10.36,10.67,10.36,10.67,"5,253,900"
2014-05-20,10.69,10.73,10.51,10.64,"3,001,800"
2014-05-21,10.6,10.61,10.41,10.53,"3,150,900"
2014-05-22,10.56,11.0,10.56,10.91,"13,548,900"
2014-05-23,10.97,10.97,10.73,10.8,"3,919,650"
2014-05-26,10.83,11.35,10.83,11.27,"14,377,500"
2014-05-27,11.33,11.33,11.13,11.16,"2,764,050"
2014-05-28,11.24,11.31,11.17,11.21,"2,439,450"
2014-05-29,11.21,11.28,11.04,11.09,"5,509,800"
2014-05-30,11.09,11.16,11.0,11.15,"1,863,300"
2014-06-02,11.15,11.24,11.15,11.2,"1,894,050"
2014-06-03,11.2,11.27,11.2,11.21,"684,750"
2014-06-04,11.31,11.47,11.2,11.24,"4,942,500"
2014-06-05,11.25,11.27,11.09,11.16,"3,405,300"
2014-06-06,11.17,11.24,11.17,11.2,"3,553,800"
2014-06-09,11.2,11.21,10.91,10.91,"4,373,700"
2014-06-10,11.01,11.07,10.89,10.95,"1,757,250"
2014-06-11,10.95,11.16,10.87,11.12,"2,039,850"
2014-06-13,11.09,11.12,11.0,11.11,"1,173,450"
2014-06-16,11.11,11.11,11.03,11.07,"875,550"
2014-06-17,11.07,11.07,10.91,10.93,"1,582,950"
2014-06-18,10.92,10.93,10.8,10.81,"3,076,500"
2014-06-19,10.88,10.99,10.87,10.88,"1,334,250"
2014-06-20,10.88,11.11,10.87,11.07,"855,750"
2014-06-23,11.0,11.07,10.87,10.87,"221,550"
2014-06-24,10.88,11.0,10.8,10.85,"363,450"
