Date,Open,High,Low,Close,Volume
2020-10-26,16.78,16.8,14.92,15.22,"229,736,797"
2020-10-27,15.22,15.32,13.2,13.92,"126,173,695"
2020-10-28,14.04,15.02,13.94,14.5,"79,790,492"
2020-10-29,14.5,15.2,14.38,15.16,"26,882,900"
2020-10-30,15.2,15.4,14.42,14.78,"47,400,699"
2020-11-03,14.78,14.86,14.22,14.54,"29,622,100"
2020-11-04,14.54,14.82,14.54,14.72,"10,150,000"
2020-11-05,14.74,15.02,14.72,14.98,"16,903,100"
2020-11-06,15.0,15.1,14.82,15.0,"16,998,000"
2020-11-09,15.06,15.22,14.8,14.82,"10,830,100"
2020-11-10,14.84,14.98,14.82,14.86,"4,946,300"
2020-11-11,14.86,15.12,14.86,15.1,"13,590,200"
2020-11-13,15.1,15.2,15.1,15.1,"12,019,900"
2020-11-16,15.12,15.32,15.1,15.24,"12,299,000"
2020-11-17,15.3,15.82,15.28,15.66,"18,128,199"
2020-11-18,15.66,15.76,15.62,15.7,"20,245,600"
2020-11-19,15.7,15.86,15.7,15.84,"3,935,600"
2020-11-20,15.86,16.9,15.86,16.62,"20,955,301"
2020-11-23,16.9,16.98,16.62,16.62,"8,447,200"
2020-11-24,16.62,16.62,15.8,15.98,"8,453,000"
2020-11-25,16.04,16.3,15.88,16.1,"3,058,800"
2020-11-26,16.02,16.3,15.78,15.78,"3,904,100"
2020-11-27,15.9,15.9,15.34,15.9,"3,768,600"
2020-12-01,15.9,16.18,15.62,16.0,"6,784,600"
2020-12-02,16.0,16.0,15.48,15.48,"3,852,700"
2020-12-03,15.6,15.84,15.6,15.68,"6,353,500"
2020-12-04,15.7,16.0,15.68,16.0,"3,146,000"
2020-12-07,16.0,16.0,15.82,15.9,"2,941,000"
2020-12-09,15.82,15.86,15.68,15.7,"5,610,900"
2020-12-10,15.7,15.7,15.46,15.5,"3,711,800"
2020-12-11,15.56,15.9,15.52,15.7,"1,879,800"
2020-12-14,15.7,15.88,15.66,15.7,"1,827,500"
2020-12-15,15.7,15.76,15.6,15.6,"5,167,100"
2020-12-16,15.6,15.6,15.52,15.52,"4,005,800"
2020-12-17,15.54,15.9,15.52,15.74,"3,048,500"
2020-12-18,15.74,15.84,15.62,15.78,"3,008,700"
2020-12-21,15.8,15.84,15.54,15.7,"8,866,800"
2020-12-22,15.68,15.68,15.04,15.3,"14,258,400"
2020-12-23,15.24,15.36,15.06,15.34,"8,594,400"
2020-12-28,15.28,15.28,15.08,15.2,"1,602,400"
2020-12-29,15.2,15.24,14.9,14.9,"4,100,700"
2021-01-04,14.9,15.08,14.54,15.08,"3,512,900"
2021-01-05,15.08,15.08,14.78,14.96,"3,928,800"
2021-01-06,15.0,15.04,14.74,14.84,"3,413,200"
2021-01-07,14.96,15.4,14.88,15.38,"2,694,100"
2021-01-08,15.48,15.7,15.4,15.7,"5,260,300"
2021-01-11,15.72,15.98,15.7,15.96,"3,252,200"
2021-01-12,15.96,15.96,15.58,15.74,"3,198,800"
2021-01-13,15.7,15.74,15.5,15.7,"4,432,100"
2021-01-14,15.7,15.7,15.54,15.66,"3,767,900"
2021-01-15,15.7,15.8,15.7,15.7,"7,536,700"
2021-01-18,15.7,15.72,15.6,15.66,"2,873,300"
2021-01-19,15.64,15.64,15.42,15.46,"2,259,300"
2021-01-20,15.4,15.7,15.26,15.7,"1,676,200"
2021-01-21,15.7,15.7,15.48,15.58,"5,373,400"
2021-01-22,15.4,15.58,15.4,15.56,"679,000"
2021-01-25,15.6,16.02,15.58,15.9,"6,775,600"
2021-01-26,15.9,15.9,15.48,15.5,"3,165,400"
2021-01-27,15.5,15.72,15.2,15.5,"1,553,400"
2021-01-28,15.4,15.72,15.38,15.52,"1,072,400"
