Date,Open,High,Low,Close,Volume
2004-01-05,856.03,895.38,856.03,895.38,"83,704"
2004-01-06,919.98,988.86,919.98,988.86,"170,153"
2004-01-07,988.86,988.86,959.34,974.10,"53,428"
2004-01-08,974.10,974.10,915.06,959.34,"60,756"
2004-01-09,964.26,974.10,944.58,964.26,"153,729"
2004-01-12,954.42,959.34,919.98,929.82,"69,821"
2004-01-13,929.82,929.82,880.63,895.38,"135,527"
2004-01-14,895.38,900.30,880.63,885.55,"119,743"
2004-01-15,875.71,885.55,870.79,885.55,"71,427"
2004-01-16,890.47,910.14,885.55,910.14,"125,323"
2004-01-19,910.14,915.06,900.30,905.22,"10,661"
2004-01-20,905.22,929.82,905.22,929.82,"12,694"
2004-01-21,934.74,944.58,929.82,934.74,"126,939"
2004-01-22,934.74,954.42,934.74,944.58,"22,339"
2004-01-23,944.58,954.42,944.58,949.50,"34,169"
2004-01-26,964.26,964.26,949.50,949.50,"72,352"
2004-01-27,949.50,954.42,944.58,949.50,"144,724"
2004-01-28,944.58,944.58,924.90,929.82,"114,499"
2004-01-29,929.82,929.82,900.30,905.22,"74,659"
2004-01-30,929.82,929.82,905.22,910.14,"124,652"
2004-02-02,910.14,910.14,856.03,865.87,"70,960"
2004-02-03,860.95,860.95,826.51,831.43,"31,872"
2004-02-04,831.43,851.11,826.51,836.35,"99,295"
2004-02-05,836.35,836.35,831.43,836.35,"12,755"
2004-02-06,836.35,856.03,831.43,851.11,"204,454"
2004-02-09,860.95,875.71,860.95,870.79,"52,076"
2004-02-10,870.79,895.38,870.79,890.47,"48,082"
2004-02-11,890.47,890.47,875.71,875.71,"9,005"
2004-02-12,880.63,880.63,870.79,875.71,"45,155"
2004-02-13,875.71,875.71,865.87,870.79,"4,441"
2004-02-16,870.79,870.79,856.03,860.95,"101,124"
2004-02-17,856.03,856.03,851.11,856.03,"130,282"
2004-02-18,851.11,860.95,851.11,856.03,"1,010,072"
2004-02-19,851.11,865.87,846.19,865.87,"20,784"
2004-02-20,865.87,875.71,865.87,870.79,"53,174"
2004-02-23,865.87,875.71,860.95,875.71,"7,744"
2004-02-24,870.79,870.79,851.11,856.03,20
2004-02-26,875.71,875.71,865.87,870.79,"13,710"
2004-02-27,870.79,875.71,865.87,870.79,"74,212"
2004-03-01,870.79,875.71,870.79,875.71,"21,770"
2004-03-02,870.79,875.71,856.03,856.03,"96,988"
2004-03-03,851.11,856.03,851.11,851.11,"27,146"
2004-03-04,860.95,860.95,846.19,846.19,"43,844"
2004-03-05,851.11,851.11,846.19,851.11,"39,474"
2004-03-08,851.11,860.95,846.19,856.03,"69,964"
2004-03-09,851.11,856.03,846.19,856.03,"28,589"
2004-03-10,851.11,856.03,846.19,846.19,"55,573"
2004-03-11,841.27,841.27,836.35,836.35,"130,577"
2004-03-12,836.35,836.35,821.59,826.51,"72,616"
2004-03-15,831.43,836.35,831.43,836.35,"36,273"
2004-03-16,826.51,826.51,821.59,826.51,"46,690"
2004-03-17,831.43,836.35,831.43,831.43,"51,904"
2004-03-18,831.43,841.27,831.43,841.27,"6,200"
2004-03-19,841.27,841.27,836.35,836.35,"23,101"
2004-03-22,836.35,836.35,831.43,831.43,"25,002"
2004-03-23,826.51,826.51,806.83,806.83,"47,259"
2004-03-24,796.99,796.99,752.71,762.55,"93,634"
2004-03-25,762.55,782.23,757.63,782.23,"144,104"
2004-03-26,787.15,787.15,772.39,787.15,"57,626"
2004-03-29,777.31,782.23,777.31,782.23,"55,288"
2004-03-30,777.31,777.31,772.39,777.31,"21,881"
2004-03-31,787.15,806.83,787.15,806.83,"40,724"
2004-04-01,801.91,816.67,801.91,816.67,"53,560"
2004-04-02,816.67,836.35,816.67,826.51,"43,509"
2004-04-05,826.51,851.11,826.51,851.11,"57,117"
2004-04-06,860.95,890.47,860.95,885.55,"118,239"
2004-04-12,885.55,885.55,865.87,885.55,"117,771"
2004-04-13,885.55,885.55,860.95,865.87,"14,168"
2004-04-14,860.95,860.95,841.27,841.27,"59,414"
2004-04-15,846.19,846.19,841.27,841.27,"5,082"
2004-04-16,846.19,846.19,836.35,841.27,"23,589"
2004-04-19,846.19,860.95,846.19,856.03,"74,751"
2004-04-20,860.95,875.71,856.03,865.87,"48,082"
2004-04-21,865.87,880.63,865.87,880.63,"14,381"
2004-04-22,880.63,885.55,870.79,880.63,"42,360"
2004-04-23,895.38,939.66,895.38,939.66,"113,879"
2004-04-26,919.98,924.90,890.47,900.30,"62,229"
2004-04-27,905.22,905.22,890.47,890.47,"63,114"
2004-04-28,895.38,900.30,875.71,885.55,"64,953"
2004-04-29,875.71,875.71,826.51,841.27,"103,462"
2004-04-30,836.35,865.87,831.43,836.35,"88,888"
2004-05-03,836.35,856.03,836.35,851.11,"45,907"
2004-05-04,860.95,860.95,846.19,851.11,"45,602"
2004-05-05,851.11,851.11,816.67,826.51,"58,398"
2004-05-06,821.59,821.59,796.99,801.91,"301,106"
2004-05-07,806.83,816.67,796.99,816.67,"96,642"
2004-05-11,816.67,816.67,792.07,801.91,"33,681"
2004-05-12,801.91,836.35,801.91,831.43,"28,111"
2004-05-13,826.51,826.51,811.75,816.67,"22,674"
2004-05-14,826.51,831.43,816.67,821.59,"13,517"
2004-05-17,806.83,806.83,796.99,796.99,"165,010"
2004-05-18,792.07,792.07,782.23,787.15,"69,201"
2004-05-19,787.15,787.15,767.47,772.39,"52,026"
2004-05-20,777.31,787.15,772.39,787.15,"13,476"
2004-05-21,787.15,796.99,777.31,796.99,"22,105"
2004-05-24,796.99,796.99,782.23,792.07,"56,823"
2004-05-25,796.99,796.99,782.23,787.15,"15,783"
2004-05-26,792.07,806.83,792.07,806.83,"15,804"
2004-05-27,806.83,806.83,796.99,796.99,"14,361"
2004-05-28,806.83,811.75,806.83,811.75,"39,626"
2004-05-31,806.83,816.67,806.83,811.75,"10,224"
2004-06-01,806.83,816.67,806.83,816.67,"16,383"
2004-06-02,821.59,821.59,821.59,821.59,"14,208"
2004-06-03,826.51,826.51,821.59,826.51,"15,336"
2004-06-04,826.51,826.51,811.75,816.67,"8,608"
2004-06-07,816.67,821.59,811.75,816.67,"12,135"
2004-06-08,821.59,831.43,821.59,826.51,"35,002"
2004-06-09,831.43,831.43,826.51,826.51,"20,926"
2004-06-10,821.59,826.51,821.59,821.59,"23,436"
2004-06-11,816.67,826.51,816.67,821.59,"24,859"
2004-06-14,821.59,841.27,821.59,836.35,"79,436"
2004-06-15,826.51,836.35,826.51,836.35,"11,200"
2004-06-16,836.35,836.35,826.51,831.43,"33,020"
2004-06-17,821.59,831.43,821.59,826.51,"21,902"
2004-06-18,821.59,821.59,801.91,806.83,"21,180"
2004-06-21,811.75,811.75,811.75,811.75,"30,856"
2004-06-22,816.67,831.43,816.67,831.43,"34,951"
2004-06-23,831.43,846.19,831.43,841.27,"41,263"
2004-06-24,846.19,851.11,841.27,846.19,"114,824"
2004-06-25,841.27,846.19,841.27,846.19,"103,706"
2004-06-28,841.27,846.19,831.43,836.35,"26,089"
2004-06-29,841.27,841.27,821.59,831.43,"66,081"
2004-06-30,831.43,831.43,806.83,806.83,"95,463"
2004-07-01,821.59,821.59,816.67,821.59,"66,650"
2004-07-02,826.51,831.43,816.67,826.51,"110,363"
2004-07-05,821.59,826.51,821.59,821.59,"106,561"
2004-07-06,821.59,826.51,821.59,821.59,"83,013"
2004-07-07,821.59,831.43,816.67,821.59,"95,179"
2004-07-08,821.59,821.59,806.83,821.59,"197,024"
2004-07-09,821.59,821.59,816.67,821.59,"73,775"
2004-07-12,816.67,816.67,811.75,816.67,"45,572"
2004-07-13,811.75,816.67,811.75,816.67,"46,517"
2004-07-14,811.75,811.75,801.91,801.91,"68,693"
2004-07-15,801.91,801.91,787.15,787.15,"74,588"
2004-07-16,787.15,792.07,787.15,792.07,"75,350"
2004-07-19,787.15,792.07,782.23,782.23,"26,912"
2004-07-20,782.23,782.23,772.39,772.39,"16,942"
2004-07-21,767.47,777.31,767.47,777.31,"55,207"
2004-07-22,782.23,796.99,782.23,796.99,"28,975"
2004-07-23,811.75,811.75,801.91,811.75,"64,415"
2004-07-26,806.83,811.75,801.91,806.83,"12,135"
2004-07-27,811.75,816.67,806.83,811.75,"35,155"
2004-07-28,811.75,831.43,811.75,831.43,"65,116"
2004-07-29,836.35,841.27,831.43,836.35,"109,692"
2004-07-30,831.43,841.27,826.51,841.27,"245,635"
2004-08-02,846.19,851.11,836.35,846.19,"273,147"
2004-08-03,856.03,860.95,851.11,856.03,"51,721"
2004-08-04,860.95,885.55,860.95,880.63,"247,891"
2004-08-05,880.63,885.55,875.71,885.55,"66,061"
2004-08-06,880.63,880.63,860.95,870.79,"257,252"
2004-08-09,865.87,870.79,856.03,870.79,"66,549"
2004-08-10,870.79,890.47,870.79,890.47,"362,197"
2004-08-11,895.38,915.06,895.38,905.22,"158,506"
2004-08-12,905.22,905.22,885.55,895.38,"51,294"
2004-08-13,890.47,890.47,885.55,890.47,"34,585"
2004-08-16,895.38,900.30,895.38,900.30,"81,346"
2004-08-17,890.47,890.47,856.03,860.95,"92,059"
2004-08-18,856.03,856.03,851.11,851.11,"22,003"
2004-08-19,856.03,856.03,851.11,856.03,"19,381"
2004-08-20,856.03,856.03,851.11,856.03,"16,119"
2004-08-23,851.11,856.03,841.27,851.11,"51,131"
2004-08-24,846.19,851.11,816.67,821.59,"142,112"
2004-08-25,821.59,826.51,821.59,821.59,"82,495"
2004-08-26,826.51,846.19,826.51,836.35,"549,485"
2004-08-27,846.19,856.03,846.19,856.03,"89,172"
