Date,Open,High,Low,Close,Volume
2012-04-20,447.31,447.31,430.49,440.15,"7,532,083"
2012-04-23,439.26,442.83,438.36,440.33,"1,234,878"
2012-04-24,439.26,440.15,435.32,439.43,"763,267"
2012-04-25,439.97,462.07,439.97,458.94,"1,564,831"
2012-04-26,460.73,465.2,452.67,454.46,"462,400"
2012-04-27,456.25,456.25,448.2,449.54,"718,958"
2012-04-30,450.44,456.25,448.2,455.36,"224,197"
2012-05-02,456.25,460.73,456.25,456.25,"366,773"
2012-05-03,455.36,456.25,442.48,447.75,"1,472,769"
2012-05-04,448.2,458.04,448.2,457.6,"520,068"
2012-05-07,456.25,456.25,447.31,447.31,"456,957"
2012-05-08,447.31,452.67,447.31,449.99,"203,797"
2012-05-09,449.99,450.89,447.75,449.1,"234,414"
2012-05-10,447.31,448.2,437.47,441.04,"427,246"
2012-05-11,441.04,447.31,438.36,439.26,"235,845"
2012-05-14,438.36,438.36,419.04,420.47,"234,839"
2012-05-15,420.47,420.47,407.41,416.53,"860,292"
2012-05-16,420.47,429.41,417.78,420.47,"259,855"
2012-05-17,424.94,441.04,420.47,431.2,"249,012"
2012-05-18,424.94,424.94,414.21,416.0,"202,501"
2012-05-21,413.49,427.63,412.24,422.26,"317,075"
2012-05-22,429.41,438.36,422.44,422.44,"156,179"
2012-05-23,428.52,429.41,425.84,429.41,"130,794"
2012-05-24,418.68,429.41,418.68,428.52,"59,031"
2012-05-25,428.52,429.24,427.63,428.52,"263,309"
2012-05-28,429.41,432.1,427.63,432.1,"76,715"
2012-05-29,432.28,448.2,430.31,445.52,"849,774"
2012-05-30,445.52,447.31,442.83,447.31,"385,574"
2012-05-31,442.83,449.99,431.2,447.31,"186,494"
2012-06-01,445.52,446.95,444.62,446.41,"165,613"
2012-06-04,444.62,444.62,425.84,426.02,"118,632"
2012-06-05,426.19,430.31,426.19,426.73,"122,053"
2012-06-06,427.63,430.31,426.73,427.63,"62,217"
2012-06-07,427.8,436.57,427.8,428.52,"238,807"
2012-06-08,425.12,432.1,425.12,430.31,"11,536"
2012-06-11,428.52,432.1,428.52,432.1,"52,794"
2012-06-13,432.1,438.36,432.1,433.17,"46,791"
2012-06-14,432.99,435.68,432.99,432.99,"139,982"
2012-06-15,431.2,431.74,431.2,431.2,"40,956"
2012-06-18,431.38,446.95,431.38,443.91,"276,734"
