Date,Open,High,Low,Close,Volume
2004-01-05,3.3,3.3,3.3,3.3,"1,566,000"
2004-01-06,3.3,3.35,3.3,3.35,"895,000"
2004-01-07,3.3,3.35,3.3,3.35,"1,907,000"
2004-01-08,3.3,3.4,3.3,3.4,"3,389,000"
2004-01-09,3.35,3.35,3.35,3.35,"758,000"
2004-01-12,3.35,3.4,3.35,3.4,"1,910,000"
2004-01-13,3.4,3.4,3.4,3.4,"154,000"
2004-01-14,3.4,3.4,3.4,3.4,"276,000"
2004-01-15,3.4,3.45,3.4,3.4,"509,000"
2004-01-16,3.4,3.4,3.4,3.4,"716,000"
2004-01-19,3.45,3.45,3.4,3.4,"2,057,000"
2004-01-20,3.4,3.4,3.4,3.4,"244,000"
2004-01-21,3.4,3.5,3.4,3.5,"2,502,000"
2004-01-22,3.5,3.6,3.5,3.55,"2,735,000"
2004-01-23,3.5,3.55,3.5,3.55,"375,000"
2004-01-26,3.5,3.5,3.45,3.45,"787,000"
2004-01-27,3.45,3.45,3.4,3.45,"6,037,000"
2004-01-28,3.45,3.45,3.4,3.4,"5,208,000"
2004-01-29,3.3,3.3,3.2,3.3,"855,000"
2004-01-30,3.25,3.3,3.25,3.3,"128,000"
2004-02-02,3.25,3.25,3.2,3.2,"383,000"
2004-02-03,3.2,3.2,3.2,3.2,"405,000"
2004-02-04,3.15,3.2,3.15,3.2,"251,000"
2004-02-05,3.2,3.2,3.2,3.2,"1,903,000"
2004-02-09,3.2,3.2,3.2,3.2,"83,000"
2004-02-10,3.2,3.2,3.2,3.2,"11,000"
2004-02-11,3.2,3.2,3.2,3.2,"2,000"
2004-02-12,3.2,3.2,3.2,3.2,"37,000"
2004-02-16,3.2,3.2,3.2,3.2,"426,000"
2004-02-17,3.2,3.2,3.2,3.2,"30,000"
2004-02-18,3.2,3.2,3.2,3.2,"565,000"
2004-02-19,3.2,3.25,3.2,3.25,"3,110,000"
2004-02-20,3.2,3.2,3.2,3.2,"5,277,000"
2004-02-26,3.2,3.2,3.15,3.15,"401,000"
2004-02-27,3.2,3.2,3.15,3.2,"547,000"
2004-03-01,3.15,3.15,3.15,3.15,"160,000"
2004-03-02,3.15,3.15,3.15,3.15,"32,000"
2004-03-03,3.15,3.15,3.15,3.15,"133,000"
2004-03-05,3.15,3.15,3.15,3.15,"31,000"
2004-03-08,3.15,3.15,3.15,3.15,"11,000"
2004-03-09,3.1,3.1,3.05,3.05,"57,000"
2004-03-11,3.0,3.05,3.0,3.05,"22,000"
2004-03-12,3.0,3.0,3.0,3.0,"14,000"
2004-03-15,3.05,3.05,3.0,3.0,"358,000"
2004-03-16,3.0,3.0,3.0,3.0,"4,450,000"
2004-03-17,3.0,3.0,3.0,3.0,"344,000"
2004-03-18,3.0,3.0,3.0,3.0,"109,000"
2004-03-19,3.0,3.0,3.0,3.0,"35,000"
2004-03-22,3.0,3.0,3.0,3.0,"129,000"
2004-03-23,3.0,3.0,3.0,3.0,"550,000"
2004-03-24,3.0,3.0,2.95,2.95,"112,000"
2004-03-25,3.0,3.0,3.0,3.0,"234,000"
2004-03-26,3.0,3.0,3.0,3.0,"225,000"
2004-03-29,3.0,3.0,3.0,3.0,"400,000"
2004-03-30,3.0,3.0,3.0,3.0,"2,000"
2004-03-31,3.0,3.0,3.0,3.0,"600,000"
2004-04-01,2.9,2.95,2.9,2.95,"289,000"
2004-04-02,2.95,2.95,2.75,2.75,"460,000"
2004-04-05,2.95,2.95,2.95,2.95,"1,527,000"
2004-04-06,2.95,3.05,2.95,3.0,"138,000"
2004-04-12,3.0,3.0,3.0,3.0,"10,000"
2004-04-16,2.95,2.95,2.95,2.95,"198,000"
2004-04-19,2.9,2.95,2.9,2.95,"1,937,000"
2004-04-20,2.9,2.95,2.9,2.95,"13,000"
2004-04-21,2.95,3.0,2.9,3.0,"144,000"
2004-04-22,3.0,3.0,3.0,3.0,"331,000"
2004-04-23,3.0,3.0,3.0,3.0,"65,000"
2004-04-26,3.0,3.0,3.0,3.0,"110,000"
2004-04-27,3.0,3.0,3.0,3.0,"20,000"
2004-04-28,3.0,3.0,2.95,3.0,"426,000"
2004-04-29,2.95,2.95,2.95,2.95,"60,000"
2004-04-30,2.95,2.95,2.95,2.95,"41,000"
2004-05-03,2.85,3.0,2.85,3.0,"114,000"
2004-05-04,3.0,3.1,3.0,3.1,"72,000"
2004-05-05,3.05,3.05,3.05,3.05,"2,200,000"
2004-05-06,3.0,3.05,3.0,3.05,"2,027,000"
2004-05-11,3.0,3.0,3.0,3.0,"1,001,000"
2004-05-12,3.05,3.05,3.05,3.05,"64,000"
2004-05-13,3.05,3.05,3.0,3.0,"5,021,000"
2004-05-14,3.0,3.0,3.0,3.0,"10,000"
2004-05-17,3.05,3.05,3.0,3.0,"143,000"
2004-05-18,3.0,3.0,3.0,3.0,"51,000"
2004-05-19,3.0,3.0,3.0,3.0,"239,000"
2004-05-20,3.05,3.05,3.05,3.05,"20,000"
2004-05-21,3.05,3.05,3.0,3.0,"237,000"
2004-05-24,3.0,3.05,3.0,3.05,"114,000"
2004-05-25,3.05,3.1,3.05,3.1,"160,000"
2004-05-26,3.0,3.0,3.0,3.0,"195,000"
2004-05-27,3.0,3.0,3.0,3.0,"25,000"
2004-05-28,3.05,3.05,3.05,3.05,"21,000"
2004-05-31,3.05,3.05,3.0,3.0,"3,000"
2004-06-01,3.0,3.0,3.0,3.0,"65,000"
2004-06-02,3.05,3.1,3.05,3.1,"20,000"
2004-06-03,3.1,3.1,3.05,3.1,"65,000"
2004-06-04,3.1,3.1,3.1,3.1,"30,000"
2004-06-07,3.1,3.1,3.1,3.1,"55,000"
2004-06-08,3.2,3.2,3.15,3.15,"220,000"
2004-06-09,3.15,3.15,3.15,3.15,"16,000"
2004-06-10,3.15,3.2,3.15,3.15,"89,000"
2004-06-11,3.15,3.2,3.15,3.2,"122,000"
2004-06-14,3.2,3.2,3.15,3.15,"713,000"
2004-06-15,3.15,3.2,3.15,3.2,"66,000"
2004-06-16,3.15,3.15,3.15,3.15,"70,000"
2004-06-17,3.2,3.2,3.2,3.2,"100,000"
2004-06-18,3.2,3.2,3.2,3.2,"451,000"
2004-06-23,3.2,3.25,3.2,3.25,"1,028,000"
2004-06-24,3.25,3.25,3.2,3.25,"1,530,000"
2004-06-25,3.25,3.25,3.25,3.25,"8,000"
2004-06-28,3.25,3.25,3.25,3.25,"71,000"
2004-06-30,3.25,3.25,3.25,3.25,"73,000"
2004-07-01,3.3,3.4,3.3,3.4,"64,000"
2004-07-02,3.4,3.5,3.4,3.45,"341,000"
2004-07-05,3.45,3.45,3.45,3.45,"105,000"
2004-07-06,3.45,3.45,3.45,3.45,"669,000"
2004-07-07,3.45,3.45,3.45,3.45,"129,000"
2004-07-08,3.45,3.45,3.45,3.45,"2,170,000"
2004-07-09,3.4,3.4,3.4,3.4,"560,000"
2004-07-12,3.35,3.4,3.35,3.4,"800,000"
2004-07-13,3.35,3.35,3.35,3.35,"74,000"
2004-07-14,3.3,3.45,3.3,3.4,"496,000"
2004-07-15,3.3,3.3,3.3,3.3,"7,000"
2004-07-16,3.3,3.35,3.3,3.35,"519,000"
2004-07-22,3.4,3.4,3.3,3.3,"246,000"
2004-07-23,3.3,3.3,3.3,3.3,"4,000"
2004-07-26,3.3,3.3,3.3,3.3,"8,000"
2004-07-27,3.25,3.25,3.25,3.25,"68,000"
2004-07-28,3.3,3.35,3.3,3.35,"1,762,000"
2004-07-29,3.35,3.4,3.35,3.4,"454,000"
2004-07-30,3.35,3.4,3.3,3.3,"60,000"
2004-08-02,3.3,3.3,3.25,3.25,"309,000"
2004-08-03,3.25,3.25,3.2,3.2,"36,000"
2004-08-04,3.2,3.2,3.2,3.2,"150,000"
2004-08-05,3.2,3.25,3.2,3.25,"117,000"
2004-08-06,3.2,3.2,3.2,3.2,"300,000"
2004-08-09,3.2,3.3,3.2,3.3,"279,000"
2004-08-10,3.2,3.5,3.2,3.5,"1,410,000"
2004-08-11,3.6,3.8,3.55,3.65,"3,589,000"
2004-08-12,3.65,3.65,3.6,3.65,"2,327,000"
2004-08-13,3.6,3.6,3.55,3.55,"100,000"
2004-08-16,3.6,3.6,3.55,3.55,"33,000"
2004-08-17,3.7,3.8,3.7,3.7,"1,789,000"
2004-08-18,3.75,4.1,3.75,4.05,"7,816,000"
2004-08-19,4.05,4.2,4.0,4.0,"6,946,000"
2004-08-20,4.0,4.1,4.0,4.1,"6,308,000"
2004-08-23,4.1,4.2,4.1,4.2,"7,278,000"
2004-08-24,4.15,4.15,4.05,4.05,"1,833,000"
2004-08-25,4.05,4.05,4.0,4.05,"1,286,000"
2004-08-26,4.1,4.15,4.1,4.15,"2,237,000"
2004-08-27,4.15,4.35,4.15,4.25,"2,972,000"
2004-08-30,4.3,4.35,4.3,4.3,"2,195,000"
2004-08-31,4.3,4.35,4.3,4.35,"2,003,000"
2004-09-01,4.35,4.35,4.25,4.3,"888,000"
2004-09-02,4.25,4.3,4.25,4.3,"639,000"
2004-09-03,4.3,4.5,4.25,4.45,"4,897,000"
2004-09-06,4.45,4.45,4.4,4.45,"574,000"
2004-09-07,4.45,4.55,4.45,4.55,"2,816,000"
2004-09-08,4.5,4.7,4.5,4.65,"4,648,000"
2004-09-09,4.6,4.7,4.6,4.7,"1,515,000"
2004-09-10,4.7,4.7,4.6,4.6,"99,000"
2004-09-13,4.6,4.6,4.55,4.55,"963,000"
2004-09-14,4.5,4.55,4.5,4.55,"984,000"
2004-09-15,4.55,4.55,4.45,4.45,"3,782,000"
2004-09-16,4.45,4.5,4.45,4.45,"404,000"
2004-09-17,4.5,4.7,4.5,4.7,"2,012,000"
2004-09-20,4.75,4.95,4.75,4.9,"2,082,000"
2004-09-21,4.8,4.8,4.8,4.8,"284,000"
2004-09-22,4.8,4.8,4.8,4.8,"89,000"
2004-09-23,4.8,4.85,4.8,4.85,"4,935,000"
2004-09-24,4.8,4.85,4.8,4.8,"175,000"
2004-09-27,4.9,5.1,4.9,5.1,"1,661,000"
2004-09-28,5.1,5.1,5.0,5.1,"2,225,000"
2004-09-29,5.0,5.0,5.0,5.0,"97,000"
2004-09-30,5.0,5.2,5.0,5.0,"1,050,000"
2004-10-01,5.0,5.0,5.0,5.0,"440,000"
2004-10-04,5.1,5.5,5.1,5.4,"4,241,000"
2004-10-05,5.4,5.5,5.3,5.3,"5,647,000"
2004-10-06,5.2,5.3,5.2,5.2,"2,212,000"
2004-10-07,5.0,5.1,4.95,5.1,"133,000"
2004-10-08,5.0,5.1,4.95,5.1,"1,336,000"
2004-10-11,5.1,5.1,5.0,5.1,"33,000"
2004-10-12,5.0,5.1,4.95,5.1,"1,202,000"
2004-10-13,5.1,5.1,5.1,5.1,"311,000"
2004-10-14,5.2,5.3,5.2,5.3,"6,494,000"
2004-10-15,5.2,5.2,5.2,5.2,"25,000"
2004-10-18,5.3,5.3,5.3,5.3,"305,000"
2004-10-19,5.3,5.3,5.1,5.2,"2,013,000"
2004-10-20,5.2,5.2,5.1,5.1,"709,000"
2004-10-21,5.2,5.2,5.0,5.0,"2,105,000"
2004-10-22,5.1,5.1,5.1,5.1,"180,000"
2004-10-25,5.0,5.0,5.0,5.0,"3,008,000"
2004-10-26,5.0,5.1,4.95,5.0,"895,000"
