Date,Open,High,Low,Close,Volume
2004-01-05,18.25,18.75,18.25,18.75,"472,800"
2004-01-06,18.75,20.5,18.75,20.25,"524,900"
2004-01-07,21.0,23.75,21.0,21.5,"1,055,400"
2004-01-08,21.75,21.75,20.25,20.25,"270,900"
2004-01-09,20.5,20.75,20.0,20.25,"806,000"
2004-01-12,20.25,20.25,19.5,19.5,"44,800"
2004-01-13,19.5,19.5,19.25,19.5,"250,500"
2004-01-14,19.5,21.5,19.5,21.25,"361,100"
2004-01-15,21.0,21.0,20.75,20.75,"102,800"
2004-01-16,20.75,21.25,20.25,20.5,"821,900"
2004-01-19,20.5,21.0,20.25,20.25,"205,800"
2004-01-20,20.5,20.5,20.0,20.0,"138,300"
2004-01-21,20.0,20.0,19.5,19.5,"370,900"
2004-01-22,19.5,20.0,19.5,20.0,"156,300"
2004-01-23,20.0,20.5,20.0,20.5,"308,700"
2004-01-26,21.0,21.0,20.75,21.0,"259,800"
2004-01-27,21.0,21.0,20.75,20.75,"295,400"
2004-01-28,21.0,21.0,20.25,20.5,"214,900"
2004-01-29,20.25,20.25,20.0,20.0,"262,400"
2004-01-30,20.0,20.0,19.75,20.0,"206,200"
2004-02-02,19.5,19.5,19.25,19.25,"83,900"
2004-02-03,19.0,19.0,18.5,18.75,"180,600"
2004-02-04,19.0,19.0,18.75,19.0,"263,400"
2004-02-05,18.75,18.75,18.75,18.75,"282,700"
2004-02-06,18.75,18.75,18.75,18.75,"35,800"
2004-02-09,18.75,19.0,18.75,18.75,"324,500"
2004-02-10,19.0,19.0,18.75,19.0,"3,253,700"
2004-02-11,18.75,18.75,18.75,18.75,"992,400"
2004-02-12,19.0,20.0,19.0,19.5,"265,900"
2004-02-13,19.75,19.75,19.75,19.75,"112,200"
2004-02-16,20.0,20.0,19.75,19.75,"118,100"
2004-02-17,19.5,19.5,19.0,19.5,"6,000"
2004-02-18,19.5,20.0,19.5,19.75,"261,400"
2004-02-19,19.75,19.75,19.75,19.75,"235,200"
2004-02-20,19.5,19.5,18.5,19.25,"1,212,000"
2004-02-23,19.25,19.5,19.25,19.25,"861,400"
2004-02-24,19.5,19.5,19.25,19.25,"12,000"
2004-02-26,19.25,19.25,19.25,19.25,"100,400"
2004-02-27,19.25,19.5,18.75,19.0,"293,900"
2004-03-01,18.75,19.25,18.75,18.75,"190,700"
2004-03-02,19.0,19.0,18.75,19.0,"56,900"
2004-03-03,19.25,19.25,18.75,18.75,"103,700"
2004-03-04,19.0,19.0,18.75,18.75,"98,500"
2004-03-05,18.75,18.75,18.25,18.5,"261,200"
2004-03-08,18.75,18.75,18.5,18.5,200
2004-03-09,18.5,18.5,18.25,18.25,"206,800"
2004-03-10,18.25,18.25,17.75,17.75,"386,800"
2004-03-11,17.5,17.75,17.5,17.75,"190,600"
2004-03-12,17.75,17.75,17.5,17.5,"121,500"
2004-03-15,17.75,17.75,17.0,17.0,"1,335,300"
2004-03-16,17.0,17.0,16.75,16.75,"748,800"
2004-03-17,17.0,17.25,17.0,17.25,"771,700"
2004-03-18,17.25,17.25,17.0,17.25,"611,900"
2004-03-19,17.25,17.25,17.0,17.0,"1,437,400"
2004-03-22,16.75,17.0,16.5,16.5,"507,400"
2004-03-23,16.25,16.5,16.25,16.5,"433,700"
2004-03-24,16.25,16.25,16.25,16.25,"755,000"
2004-03-25,16.5,16.5,16.5,16.5,"2,584,700"
2004-03-26,16.5,16.5,16.5,16.5,"3,222,600"
2004-03-29,16.5,16.75,16.5,16.5,"1,364,000"
2004-03-31,16.5,17.0,16.5,16.75,"218,900"
2004-04-01,17.0,17.0,17.0,17.0,"682,000"
2004-04-02,17.0,17.5,17.0,17.5,"1,972,800"
2004-04-05,17.5,18.5,17.5,18.5,"266,100"
2004-04-06,18.75,19.0,18.75,19.0,"738,800"
2004-04-12,19.25,19.25,19.0,19.0,"104,000"
2004-04-13,19.0,19.0,18.25,18.75,"200,900"
2004-04-14,19.0,19.0,19.0,19.0,"329,600"
2004-04-15,19.0,19.0,19.0,19.0,"288,200"
2004-04-16,19.25,19.25,19.25,19.25,"196,000"
2004-04-19,19.25,19.5,19.25,19.25,"119,700"
2004-04-20,19.75,20.25,19.75,20.0,"651,600"
2004-04-21,20.0,20.5,19.75,20.5,"309,500"
2004-04-22,20.5,20.5,20.25,20.25,"40,200"
2004-04-23,20.5,20.5,20.0,20.25,"480,400"
2004-04-26,20.25,20.5,20.25,20.25,"247,000"
2004-04-27,20.25,20.25,20.0,20.0,"236,500"
2004-04-28,20.5,20.5,20.25,20.25,"261,900"
2004-04-29,20.0,20.0,20.0,20.0,"412,000"
2004-04-30,20.0,20.75,20.0,20.5,"512,600"
2004-05-03,20.25,21.0,20.25,21.0,"388,800"
2004-05-04,21.0,21.25,20.75,20.75,"1,057,100"
2004-05-05,20.75,20.75,20.75,20.75,"45,600"
2004-05-06,20.75,20.75,20.75,20.75,"44,500"
2004-05-07,21.0,21.5,21.0,21.25,"333,400"
2004-05-11,20.25,20.25,20.0,20.0,"237,400"
2004-05-12,20.0,20.5,20.0,20.5,"120,600"
2004-05-13,20.25,20.25,20.0,20.25,"567,400"
2004-05-14,20.25,20.25,20.0,20.25,"88,600"
2004-05-17,20.0,20.0,19.5,19.5,"104,800"
2004-05-18,19.25,20.0,19.25,19.75,"620,600"
2004-05-19,19.75,19.75,19.25,19.25,"1,109,100"
2004-05-20,19.5,19.5,19.5,19.5,"610,200"
2004-05-21,19.75,19.75,19.75,19.75,"224,000"
2004-05-24,20.0,20.0,19.5,19.75,"690,000"
2004-05-25,19.75,19.75,19.5,19.5,"44,200"
2004-05-26,19.75,19.75,19.5,19.75,"367,300"
2004-05-27,19.75,19.75,19.5,19.5,"240,000"
2004-05-28,19.75,20.5,19.5,20.5,"187,200"
2004-05-31,20.25,20.5,20.25,20.25,"19,700"
2004-06-01,20.25,20.5,20.25,20.5,"133,700"
2004-06-02,20.5,20.75,20.5,20.75,"106,700"
2004-06-03,20.75,21.0,20.25,20.5,"243,600"
2004-06-04,20.5,20.5,20.5,20.5,"67,100"
2004-06-07,20.75,20.75,20.75,20.75,"80,000"
2004-06-08,20.75,21.75,20.75,21.75,"262,500"
2004-06-09,21.5,23.5,21.5,23.5,"2,010,800"
2004-06-10,23.5,23.5,22.5,23.0,"395,400"
2004-06-11,22.75,22.75,22.5,22.5,"14,500"
2004-06-14,22.5,23.0,22.5,23.0,"235,700"
2004-06-15,22.75,23.0,22.75,23.0,"363,200"
2004-06-16,22.75,22.75,22.5,22.5,"110,900"
2004-06-17,22.5,22.5,22.0,22.25,"361,000"
2004-06-18,21.75,21.75,21.75,21.75,"262,100"
2004-06-21,22.0,22.0,21.75,21.75,"457,700"
2004-06-22,21.75,21.75,21.5,21.5,"1,143,400"
