Date,Open,High,Low,Close,Volume
2004-01-06,1.98,1.98,1.98,1.98,"152,250"
2004-01-07,1.92,1.94,1.92,1.92,"980,700"
2004-01-09,1.89,1.89,1.89,1.89,"225,750"
2004-01-12,1.87,1.87,1.85,1.85,"666,750"
2004-01-13,1.87,1.87,1.87,1.87,"1,220,100"
2004-01-19,1.85,1.85,1.85,1.85,"147,000"
2004-01-21,1.85,1.85,1.83,1.85,"257,250"
2004-01-22,1.85,1.85,1.85,1.85,"39,900"
2004-01-23,1.85,1.85,1.83,1.83,"588,000"
2004-01-26,1.85,1.85,1.85,1.85,"18,900"
2004-01-27,1.85,1.85,1.85,1.85,"609,000"
2004-01-28,1.83,1.83,1.83,1.83,"3,150"
2004-01-29,1.83,1.83,1.83,1.83,"266,700"
2004-02-02,1.83,1.83,1.83,1.83,"210,000"
2004-02-03,1.81,1.81,1.79,1.79,"254,100"
2004-02-04,1.79,1.79,1.77,1.77,"24,150"
2004-02-05,1.77,1.77,1.77,1.77,"31,500"
2004-02-06,1.77,1.77,1.77,1.77,"25,200"
2004-02-09,1.77,1.77,1.77,1.77,"210,000"
2004-02-11,1.77,1.79,1.77,1.77,"276,150"
2004-02-12,1.79,1.79,1.79,1.79,"5,250"
2004-02-18,1.77,1.77,1.77,1.77,"15,750"
2004-02-19,1.75,1.75,1.75,1.75,"6,300"
2004-02-20,1.75,1.75,1.75,1.75,"52,500"
2004-02-26,1.75,1.81,1.75,1.81,"31,500"
2004-02-27,1.81,1.85,1.79,1.85,"199,500"
2004-03-02,1.77,1.77,1.77,1.77,"114,450"
2004-03-03,1.77,1.77,1.77,1.77,"1,050"
2004-03-04,1.77,1.77,1.77,1.77,"21,000"
2004-03-05,1.79,1.79,1.79,1.79,"5,250"
2004-03-09,1.77,1.77,1.75,1.75,"640,500"
2004-03-10,1.75,1.75,1.75,1.75,"31,500"
2004-03-11,1.75,1.77,1.75,1.75,"120,750"
2004-03-12,1.75,1.75,1.75,1.75,"105,000"
2004-03-15,1.75,1.75,1.75,1.75,"157,500"
2004-03-16,1.73,1.75,1.73,1.73,"218,400"
2004-03-18,1.73,1.73,1.73,1.73,"248,850"
2004-03-23,1.71,1.73,1.71,1.73,"71,400"
2004-03-24,1.71,1.71,1.71,1.71,"238,350"
2004-03-25,1.7,1.71,1.7,1.7,"1,987,650"
2004-03-30,1.7,1.7,1.7,1.7,"434,700"
2004-03-31,1.7,1.7,1.7,1.7,"5,250"
2004-04-01,1.68,1.71,1.68,1.71,"17,850"
2004-04-02,1.7,1.7,1.7,1.7,"5,250"
2004-04-06,1.7,1.7,1.7,1.7,"134,400"
2004-04-13,1.7,1.7,1.7,1.7,"115,500"
2004-04-14,1.68,1.7,1.68,1.7,"530,250"
2004-04-16,1.71,1.71,1.71,1.71,"525,000"
2004-04-19,1.68,1.68,1.68,1.68,"10,500"
2004-04-20,1.7,1.7,1.7,1.7,"18,900"
2004-04-21,1.7,1.7,1.7,1.7,"619,500"
2004-04-23,1.7,1.7,1.7,1.7,"15,750"
