Date,Open,High,Low,Close,Volume
2004-01-05,17.21,17.52,17.21,17.52,"819,618"
2004-01-06,17.52,17.83,17.52,17.83,"2,960,255"
2004-01-07,17.83,17.83,16.9,17.21,"797,655"
2004-01-08,17.21,17.21,16.9,16.9,"916,091"
2004-01-09,17.21,17.52,16.6,17.21,"2,611,616"
2004-01-12,17.21,17.52,16.9,17.21,"1,075,199"
2004-01-13,16.9,17.52,16.9,17.21,"199,454"
2004-01-14,17.52,17.83,17.52,17.52,"1,730,991"
2004-01-15,17.21,17.52,17.21,17.21,"377,434"
2004-01-16,17.21,17.83,17.21,17.52,"3,697,878"
2004-01-19,17.52,17.52,17.21,17.21,"424,125"
2004-01-20,17.21,17.52,17.21,17.21,"224,996"
2004-01-21,17.21,17.52,17.21,17.52,"3,235,684"
2004-01-22,17.52,17.83,17.52,17.52,"961,806"
2004-01-23,17.52,17.52,17.21,17.52,"718,426"
2004-01-26,17.52,17.52,17.21,17.52,"16,549,510"
2004-01-27,17.52,17.52,17.21,17.21,"1,024,441"
2004-01-28,17.21,17.21,17.21,17.21,"225,322"
2004-01-29,16.9,17.21,16.6,16.6,"313,335"
2004-01-30,16.9,17.21,15.98,16.6,"500,263"
2004-02-02,16.29,16.6,15.67,15.98,"1,210,392"
2004-02-03,15.98,15.98,15.67,15.98,"922,761"
2004-02-04,15.98,15.98,15.67,15.98,"360,352"
2004-02-05,15.98,15.98,15.67,15.98,"203,847"
2004-02-06,15.98,15.98,15.67,15.67,"320,819"
2004-02-09,15.98,16.6,15.98,16.29,"396,143"
2004-02-10,16.29,16.9,16.29,16.6,"206,613"
2004-02-11,16.6,16.6,15.98,16.29,"151,787"
2004-02-12,15.98,16.29,15.67,15.67,"229,389"
2004-02-13,15.67,16.29,15.67,16.29,"2,249,963"
2004-02-16,15.98,16.6,15.98,16.29,"610,077"
2004-02-17,15.98,16.6,15.98,16.29,"357,912"
2004-02-18,15.98,16.29,15.67,16.29,"838,815"
2004-02-19,16.29,16.29,15.98,15.98,"169,357"
2004-02-20,15.98,16.29,15.98,15.98,"230,365"
2004-02-23,15.98,15.98,15.67,15.67,"336,762"
2004-02-24,15.98,15.98,15.21,15.37,"1,075,037"
2004-02-26,15.37,15.67,15.21,15.37,"414,039"
2004-02-27,15.37,15.98,15.37,15.37,"699,717"
2004-03-01,15.37,15.67,15.37,15.67,"433,236"
2004-03-02,15.37,15.67,15.37,15.67,"296,904"
2004-03-03,15.67,15.67,15.37,15.67,"205,962"
2004-03-04,15.67,15.67,15.37,15.67,"165,941"
2004-03-05,15.67,15.67,15.37,15.37,"594,296"
2004-03-08,15.67,15.67,15.37,15.37,"330,743"
2004-03-09,15.37,15.67,15.21,15.37,"232,643"
2004-03-10,15.37,15.37,15.21,15.37,"35,954"
2004-03-11,15.37,15.37,15.21,15.21,"216,862"
2004-03-12,15.37,15.37,15.06,15.21,"297,717"
2004-03-15,15.21,15.21,15.06,15.06,"260,462"
2004-03-16,15.06,15.21,15.06,15.21,"290,397"
2004-03-17,15.06,15.21,15.06,15.06,"676,616"
2004-03-18,15.06,15.06,15.06,15.06,"151,462"
