Date,Open,High,Low,Close,Volume
2004-01-05,21.82,22.27,21.82,22.27,"2,713,590"
2004-01-06,22.72,24.05,22.72,23.61,"3,501,630"
2004-01-07,24.05,24.94,23.61,24.05,"7,762,480"
2004-01-08,24.05,25.83,24.05,25.39,"6,073,320"
2004-01-09,26.28,28.51,25.83,28.06,"6,402,550"
2004-01-12,28.06,29.84,28.06,29.4,"6,150,980"
2004-01-13,29.4,33.41,29.4,32.51,"4,667,190"
2004-01-14,32.96,32.96,30.73,30.73,"4,136,330"
2004-01-15,26.72,27.61,25.39,27.17,"7,233,710"
2004-01-16,27.17,27.61,26.28,26.28,"1,569,370"
2004-01-19,26.28,27.61,26.28,27.61,"868,560"
2004-01-20,27.61,29.84,27.61,29.84,"1,362,900"
2004-01-21,29.84,32.07,29.84,31.62,"2,304,390"
2004-01-22,31.62,32.51,30.73,30.73,"1,448,810"
2004-01-23,30.73,31.18,29.84,31.18,"882,860"
2004-01-26,30.73,31.62,30.29,30.29,"1,193,940"
2004-01-27,29.84,30.29,28.95,30.29,"2,056,010"
2004-01-28,30.29,30.73,29.84,29.84,"839,520"
2004-01-29,29.4,29.84,28.95,29.4,"776,710"
2004-01-30,29.4,30.73,28.95,30.29,"2,208,470"
2004-02-02,30.29,30.29,28.06,28.06,"2,150,060"
2004-02-03,27.61,28.06,27.17,28.06,"716,430"
2004-02-04,26.72,27.17,24.5,25.39,"4,643,100"
2004-02-05,25.39,26.28,24.94,25.39,"1,720,290"
2004-02-06,25.39,27.17,24.5,26.72,"2,652,210"
2004-02-09,26.28,28.51,26.28,28.06,"1,154,890"
2004-02-10,28.51,28.95,28.06,28.51,"780,560"
2004-02-11,28.51,28.51,27.61,27.61,"381,040"
2004-02-12,28.06,28.51,27.61,27.61,"493,350"
2004-02-13,28.06,28.51,28.06,28.51,"373,780"
2004-02-16,28.95,28.95,27.61,27.61,"673,090"
2004-02-17,27.61,28.06,27.17,28.06,"204,710"
2004-02-18,28.06,28.51,27.61,28.06,"917,840"
2004-02-19,27.61,28.06,27.17,27.61,"697,510"
2004-02-20,28.06,28.95,28.06,28.95,"898,920"
2004-02-23,28.95,28.95,28.06,28.06,"121,990"
2004-02-24,28.06,28.06,28.06,28.06,"90,750"
2004-02-26,28.06,28.95,28.06,28.51,"372,350"
2004-02-27,28.51,28.51,28.06,28.51,"619,630"
2004-03-01,28.06,30.29,28.06,30.29,"1,753,950"
2004-03-02,30.73,31.18,29.4,29.4,"1,214,620"
2004-03-03,28.95,28.95,28.51,28.51,"223,520"
2004-03-04,28.95,29.84,28.51,28.51,"594,770"
2004-03-05,28.95,29.4,28.95,28.95,"262,020"
2004-03-08,28.95,28.95,28.95,28.95,"20,240"
2004-03-09,28.06,28.51,28.06,28.06,"157,520"
2004-03-10,28.51,28.51,28.51,28.51,"89,980"
2004-03-11,28.06,28.06,28.06,28.06,"237,600"
2004-03-12,27.61,27.61,27.17,27.17,"452,210"
2004-03-15,27.17,27.17,24.94,25.39,"1,079,210"
2004-03-16,24.94,25.83,24.94,24.94,"976,690"
2004-03-17,25.39,26.72,25.39,25.83,"957,770"
2004-03-18,26.28,26.72,26.28,26.28,"517,770"
2004-03-19,26.28,27.17,26.28,27.17,"904,420"
2004-03-22,26.72,26.72,24.94,24.94,"1,021,680"
2004-03-23,24.5,24.94,24.05,24.5,"1,042,910"
2004-03-24,24.05,24.05,23.16,23.61,"1,312,190"
2004-03-25,23.61,24.5,22.72,23.16,"1,608,750"
2004-03-26,23.61,23.61,22.27,22.27,"1,377,420"
2004-03-29,22.27,22.27,22.05,22.27,"124,850"
2004-03-30,22.27,22.72,21.38,21.38,"1,782,660"
2004-03-31,22.27,23.16,21.6,21.6,"2,285,580"
2004-04-01,21.82,22.05,21.6,21.82,"2,458,500"
2004-04-02,21.82,22.72,21.82,22.27,"1,569,370"
2004-04-05,22.05,24.05,22.05,24.05,"1,728,100"
2004-04-06,24.5,25.39,24.5,24.94,"1,261,370"
2004-04-12,25.39,25.39,23.61,23.61,"701,470"
2004-04-13,23.61,23.61,22.72,22.72,"1,279,850"
2004-04-14,23.16,24.5,23.16,24.05,"702,790"
2004-04-15,24.05,24.05,23.61,24.05,"100,100"
2004-04-16,23.61,24.94,23.61,24.94,"634,370"
2004-04-19,24.94,24.94,24.05,24.05,"206,580"
2004-04-20,24.5,26.28,24.5,26.28,"1,897,170"
2004-04-21,25.83,26.28,25.39,26.28,"806,740"
2004-04-22,25.83,27.61,25.83,26.72,"1,624,040"
2004-04-23,27.61,27.61,26.72,26.72,"2,319,680"
2004-04-26,26.72,27.61,26.72,27.61,"1,068,870"
2004-04-27,27.61,28.51,27.61,28.51,"1,785,300"
2004-04-28,28.95,28.95,28.06,28.06,"1,741,850"
2004-04-29,27.61,27.61,26.72,27.17,"565,290"
2004-04-30,27.17,27.61,26.72,27.17,"626,340"
2004-05-03,27.61,27.61,26.72,26.72,"1,600,170"
2004-05-04,26.72,27.17,26.72,27.17,"1,950,630"
2004-05-05,27.61,28.06,27.61,28.06,"784,190"
2004-05-06,28.06,28.06,27.61,27.61,"1,384,350"
2004-05-07,28.06,29.4,28.06,29.4,"1,333,530"
2004-05-11,28.51,28.51,27.61,28.06,"606,980"
2004-05-12,28.51,29.4,28.06,28.51,"2,905,540"
2004-05-13,28.51,28.51,27.17,27.17,"1,301,410"
2004-05-14,27.61,28.06,26.72,27.17,"1,565,190"
2004-05-17,26.72,27.17,25.39,25.83,"1,648,900"
2004-05-18,25.39,26.72,25.39,26.28,"1,246,080"
2004-05-19,26.28,26.28,25.83,25.83,"1,639,330"
2004-05-20,25.83,26.72,25.83,26.72,"699,050"
2004-05-21,26.28,27.17,26.28,27.17,"909,920"
2004-05-24,26.72,26.72,26.72,26.72,"309,760"
2004-05-25,26.72,27.61,26.72,27.17,"394,680"
2004-05-26,27.61,28.06,27.17,27.61,"1,047,420"
2004-05-27,27.61,27.61,27.17,27.17,"433,290"
2004-05-28,28.06,28.51,27.61,28.51,"1,212,750"
2004-05-31,28.51,28.51,28.06,28.06,"956,780"
2004-06-01,28.06,28.95,28.06,28.51,"635,800"
2004-06-02,28.51,28.95,28.51,28.95,"413,600"
2004-06-03,28.95,29.4,28.95,28.95,"1,721,720"
2004-06-04,28.95,28.95,28.51,28.95,"583,880"
2004-06-07,28.51,28.51,28.51,28.51,"359,920"
2004-06-08,28.51,30.29,28.51,30.29,"2,606,230"
2004-06-09,29.4,29.84,29.4,29.84,"2,634,280"
2004-06-10,29.84,29.84,29.4,29.4,"515,790"
2004-06-11,28.51,28.51,28.06,28.06,"708,290"
2004-06-14,28.06,28.51,28.06,28.06,"1,065,350"
2004-06-15,28.06,28.06,27.61,27.61,"432,850"
2004-06-16,26.28,26.72,25.83,26.72,"2,245,210"
2004-06-17,26.72,26.72,26.28,26.28,"528,990"
2004-06-18,26.28,26.28,26.28,26.28,"192,720"
2004-06-21,26.72,27.17,26.72,27.17,"848,870"
2004-06-22,26.72,26.72,26.72,26.72,"171,380"
2004-06-23,26.72,26.72,26.28,26.28,"2,285,030"
2004-06-24,27.17,27.17,26.28,26.28,"628,210"
2004-06-25,26.72,26.72,26.72,26.72,"248,050"
2004-06-28,26.72,26.72,26.72,26.72,"52,800"
2004-06-29,27.17,27.61,27.17,27.17,"1,060,840"
2004-06-30,26.72,27.17,26.72,26.72,"271,810"
2004-07-01,26.72,26.72,26.72,26.72,"484,990"
2004-07-02,26.72,26.72,26.28,26.28,"261,030"
2004-07-05,26.72,26.72,26.28,26.28,"321,420"
2004-07-06,26.72,26.72,25.83,26.28,"417,010"
2004-07-07,26.28,26.28,25.83,25.83,"675,950"
2004-07-08,25.83,25.83,24.94,24.94,"1,209,890"
2004-07-09,25.39,25.39,25.39,25.39,"165,000"
2004-07-12,25.39,25.83,25.39,25.39,"275,770"
2004-07-13,25.39,25.83,25.39,25.39,"166,430"
2004-07-14,24.94,25.39,24.5,24.5,"979,990"
2004-07-15,24.5,24.94,24.05,24.05,"1,057,980"
2004-07-16,24.5,24.94,24.5,24.94,"52,910"
2004-07-19,24.94,24.94,24.5,24.94,"70,730"
2004-07-20,24.94,25.83,24.94,25.39,"268,950"
2004-07-21,25.39,25.83,25.39,25.83,"916,300"
2004-07-22,25.83,26.72,25.39,25.83,"639,650"
2004-07-23,25.39,25.83,25.39,25.39,"627,330"
2004-07-26,25.39,25.39,24.94,24.94,"1,394,910"
2004-07-27,25.39,25.39,24.05,24.5,"2,521,750"
2004-07-28,24.5,24.94,24.5,24.94,"1,461,900"
2004-07-29,24.94,25.39,24.94,24.94,"5,587,010"
2004-07-30,22.27,22.27,20.04,20.93,"9,035,510"
2004-08-02,20.93,20.93,17.82,18.04,"7,824,740"
2004-08-03,18.71,19.6,18.48,19.15,"4,950,330"
2004-08-04,19.82,20.49,19.6,19.82,"4,814,370"
2004-08-05,20.04,20.27,19.37,19.37,"2,364,340"
2004-08-06,19.37,19.6,18.93,18.93,"1,527,680"
2004-08-09,19.37,19.6,19.15,19.37,"440,330"
2004-08-10,19.6,20.27,19.37,19.6,"2,902,240"
2004-08-11,20.04,21.16,20.04,20.49,"2,776,950"
2004-08-12,20.49,20.93,20.49,20.49,"652,850"
2004-08-13,20.71,20.71,20.27,20.71,"250,580"
2004-08-16,20.71,21.38,20.71,21.16,"1,159,620"
2004-08-17,21.38,21.38,20.71,20.71,"695,860"
2004-08-18,20.71,21.16,20.71,20.71,"292,600"
2004-08-19,20.93,21.16,20.93,21.16,"579,480"
2004-08-20,21.38,21.6,21.16,21.38,"1,216,050"
2004-08-23,21.6,21.6,20.93,21.16,"375,100"
2004-08-24,21.16,21.16,20.04,20.04,"1,666,170"
2004-08-25,20.49,20.93,20.27,20.49,"1,553,970"
2004-08-26,20.49,20.71,20.27,20.27,"530,420"
2004-08-27,20.04,20.04,19.6,19.82,"1,239,810"
2004-08-30,20.27,20.27,18.93,19.15,"1,142,570"
2004-08-31,19.37,19.6,18.71,18.93,"1,597,750"
2004-09-01,18.93,19.6,18.71,19.37,"1,050,610"
2004-09-02,19.6,19.82,19.37,19.82,"2,075,810"
