Date,Open,High,Low,Close,Volume
2021-06-01,13.48,13.56,13.46,13.48,"238,439,906"
2021-06-02,13.48,13.5,13.46,13.48,"68,682,492"
2021-06-03,13.5,13.5,12.68,13.1,"148,213,203"
2021-06-04,13.1,13.42,13.1,13.4,"22,601,301"
2021-06-07,13.4,13.48,13.38,13.46,"8,020,600"
2021-06-08,13.46,13.48,13.38,13.46,"9,874,000"
2021-06-09,13.46,13.76,13.42,13.7,"29,222,801"
2021-06-10,13.78,14.16,13.74,13.92,"23,897,500"
2021-06-11,13.92,14.1,13.8,14.04,"6,237,200"
2021-06-14,14.1,14.7,14.06,14.68,"11,431,800"
2021-06-15,14.66,14.76,14.42,14.66,"13,586,500"
2021-06-16,14.7,14.76,14.5,14.74,"9,832,500"
2021-06-17,14.76,14.78,14.42,14.6,"8,647,800"
2021-06-18,14.6,14.66,14.3,14.3,"3,183,800"
2021-06-21,14.3,14.54,14.3,14.5,"3,689,000"
2021-06-22,14.48,14.58,14.32,14.58,"10,730,600"
2021-06-23,14.58,14.76,14.52,14.74,"10,198,600"
2021-06-24,14.76,15.6,14.76,15.34,"30,903,699"
2021-06-25,15.6,15.98,15.24,15.34,"21,668,301"
2021-06-28,15.5,15.8,15.5,15.6,"4,113,100"
2021-06-29,15.62,16.08,15.62,16.04,"23,143,600"
2021-06-30,16.12,16.8,16.12,16.52,"29,927,900"
2021-07-01,16.68,17.0,16.52,17.0,"38,308,898"
2021-07-02,16.86,17.16,16.84,17.0,"11,106,800"
2021-07-05,17.0,17.12,16.74,16.88,"13,795,300"
2021-07-06,16.9,17.0,16.3,16.44,"13,180,400"
2021-07-07,16.5,16.58,16.18,16.2,"8,270,200"
2021-07-08,16.2,16.7,16.2,16.7,"10,136,300"
2021-07-09,16.7,17.06,16.4,17.0,"16,747,000"
2021-07-12,16.9,17.02,16.8,16.92,"5,044,300"
2021-07-13,16.92,16.94,16.42,16.64,"10,100,900"
2021-07-14,16.64,16.64,16.24,16.34,"7,214,400"
2021-07-15,16.36,16.6,16.22,16.4,"6,353,200"
2021-07-16,16.48,16.56,15.56,15.68,"18,880,199"
2021-07-19,15.68,15.68,14.42,15.18,"36,547,301"
2021-07-21,15.1,15.1,14.66,15.02,"14,341,800"
2021-07-22,15.02,15.52,15.02,15.26,"7,100,900"
