Date,Open,High,Low,Close,Volume
2010-11-22,1.877,1.916,1.63,1.63,"720,762,269"
2010-11-23,1.58,1.693,1.57,1.63,"253,635,296"
2010-11-24,1.626,1.687,1.618,1.661,"240,718,824"
2010-11-25,1.685,1.691,1.604,1.606,"232,401,136"
2010-11-26,1.61,1.62,1.568,1.582,"99,748,461"
2010-11-30,1.58,1.58,1.555,1.574,"37,890,787"
2010-12-01,1.57,1.645,1.57,1.58,"89,927,211"
2010-12-02,1.604,1.61,1.576,1.578,"62,270,774"
2010-12-03,1.588,1.59,1.578,1.578,"22,861,237"
2010-12-06,1.578,1.594,1.576,1.58,"34,259,962"
2010-12-07,1.58,1.584,1.56,1.57,"27,277,762"
2010-12-08,1.572,1.58,1.56,1.562,"12,655,237"
2010-12-09,1.568,1.574,1.527,1.527,"47,170,349"
2010-12-10,1.529,1.529,1.499,1.511,"30,967,312"
2010-12-13,1.517,1.517,1.491,1.511,"13,584,712"
2010-12-14,1.513,1.553,1.513,1.553,"15,917,512"
2010-12-15,1.543,1.543,1.511,1.521,"9,876,937"
2010-12-16,1.521,1.521,1.491,1.505,"24,197,737"
2010-12-17,1.511,1.511,1.499,1.511,"14,494,950"
2010-12-20,1.523,1.612,1.523,1.582,"52,462,687"
2010-12-21,1.582,1.602,1.566,1.576,"14,184,112"
2010-12-22,1.578,1.602,1.578,1.582,"59,687,887"
2010-12-23,1.586,1.59,1.574,1.59,"21,295,912"
2010-12-28,1.59,1.6,1.582,1.588,"14,603,287"
2010-12-29,1.596,1.649,1.588,1.64,"50,043,824"
2010-12-30,1.647,1.659,1.61,1.61,"24,323,287"
2011-01-03,1.628,1.711,1.614,1.709,"95,584,049"
2011-01-04,1.738,1.748,1.699,1.711,"98,158,836"
2011-01-05,1.709,1.742,1.669,1.736,"47,132,887"
2011-01-06,1.748,1.823,1.748,1.823,"179,112,260"
2011-01-07,1.837,1.865,1.819,1.865,"145,138,835"
2011-01-10,1.867,1.873,1.807,1.847,"48,671,887"
2011-01-11,1.855,1.857,1.8,1.827,"29,057,737"
2011-01-12,1.837,1.906,1.835,1.886,"74,297,249"
2011-01-13,1.896,1.952,1.896,1.918,"62,864,099"
2011-01-14,1.922,1.926,1.827,1.906,"34,348,049"
2011-01-17,1.916,1.938,1.906,1.916,"35,837,437"
2011-01-18,1.924,1.934,1.906,1.916,"38,812,162"
2011-01-19,1.92,2.0,1.92,1.98,"79,856,886"
2011-01-20,1.975,2.069,1.934,2.054,"47,406,262"
2011-01-21,2.025,2.035,1.956,1.973,"25,222,387"
2011-01-24,1.971,1.971,1.867,1.914,"30,683,812"
2011-01-25,1.92,2.005,1.92,1.958,"32,491,124"
2011-01-26,1.946,1.973,1.946,1.973,"19,000,575"
2011-01-27,1.985,2.094,1.965,2.064,"58,188,374"
2011-01-28,2.079,2.094,1.995,2.025,"20,938,500"
2011-01-31,1.985,1.985,1.877,1.93,"58,314,937"
2011-02-01,1.928,1.985,1.926,1.946,"116,681,511"
2011-02-02,1.975,1.995,1.946,1.965,"23,755,275"
2011-02-03,1.975,2.054,1.971,2.054,"45,966,487"
2011-02-04,2.054,2.123,2.035,2.114,"97,812,561"
2011-02-07,2.114,2.202,2.064,2.188,"72,182,136"
2011-02-08,2.198,2.272,2.188,2.257,"60,259,949"
2011-02-09,2.242,2.242,2.183,2.222,"33,801,299"
2011-02-10,2.207,2.207,2.123,2.173,"34,980,862"
2011-02-11,2.153,2.202,2.133,2.193,"27,693,900"
2011-02-14,2.193,2.222,2.138,2.143,"21,077,212"
2011-02-15,2.173,2.193,2.143,2.193,"8,719,650"
2011-02-16,2.202,2.217,2.188,2.207,"6,195,487"
2011-02-17,2.207,2.217,2.168,2.202,"15,948,900"
2011-02-18,2.202,2.202,2.153,2.163,"15,865,875"
2011-02-21,2.163,2.168,2.084,2.099,"19,853,100"
2011-02-22,2.099,2.099,2.005,2.035,"35,580,262"
2011-02-23,2.005,2.005,1.958,2.0,"33,787,124"
2011-02-24,1.975,1.995,1.965,1.995,"13,312,350"
2011-02-25,1.995,2.064,1.995,2.064,"15,129,787"
2011-02-28,2.074,2.074,1.975,2.059,"6,767,550"
2011-03-01,2.054,2.054,1.985,2.01,"15,558,075"
2011-03-02,2.01,2.025,1.975,2.025,"2,766,150"
2011-03-03,2.025,2.059,2.025,2.035,"10,865,137"
2011-03-04,2.035,2.074,2.035,2.044,"8,865,450"
2011-03-07,2.069,2.079,2.049,2.074,"8,234,662"
2011-03-08,2.054,2.064,2.044,2.064,"9,489,150"
2011-03-09,2.074,2.079,2.049,2.054,"15,707,925"
2011-03-10,2.054,2.054,1.99,1.995,"24,583,500"
2011-03-11,1.975,1.995,1.956,1.975,"20,304,675"
2011-03-14,1.971,2.04,1.971,2.025,"27,099,562"
2011-03-15,2.03,2.044,1.926,1.936,"43,274,249"
2011-03-16,1.936,1.995,1.898,1.948,"63,682,199"
2011-03-17,1.946,1.946,1.906,1.908,"16,607,025"
2011-03-18,1.912,1.975,1.912,1.975,"12,466,912"
2011-03-21,1.975,1.975,1.942,1.944,"8,592,075"
2011-03-22,1.946,1.965,1.934,1.942,"5,436,112"
2011-03-23,1.936,1.938,1.916,1.924,"7,213,050"
2011-03-24,1.924,1.936,1.922,1.924,"28,693,237"
2011-03-25,1.926,1.99,1.926,1.975,"15,178,387"
2011-03-28,1.985,2.025,1.985,2.015,"11,602,237"
2011-03-29,2.02,2.02,1.975,1.995,"12,631,950"
2011-03-30,1.99,2.01,1.98,2.0,"7,765,875"
2011-03-31,2.005,2.01,2.0,2.005,"4,654,462"
2011-04-01,2.0,2.015,1.995,2.005,"21,150,112"
2011-04-04,2.005,2.035,2.005,2.025,"50,674,612"
2011-04-05,2.025,2.025,1.99,1.99,"15,560,100"
2011-04-06,1.958,2.03,1.958,2.0,"39,768,974"
2011-04-07,2.0,2.005,1.985,1.985,"7,659,562"
2011-04-08,1.99,2.01,1.985,2.0,"13,109,850"
2011-04-11,2.0,2.104,1.995,2.104,"43,375,499"
2011-04-12,2.104,2.109,2.044,2.059,"11,431,125"
2011-04-13,2.059,2.064,2.015,2.025,"4,062,150"
2011-04-14,2.025,2.074,2.02,2.03,"35,459,774"
2011-04-15,2.074,2.099,2.044,2.084,"41,287,724"
2011-04-18,2.084,2.188,2.084,2.168,"31,663,912"
2011-04-19,2.109,2.193,2.109,2.173,"31,958,550"
2011-04-20,2.168,2.178,2.114,2.173,"30,448,912"
2011-04-25,2.183,2.222,2.178,2.212,"15,548,962"
2011-04-26,2.202,2.222,2.183,2.222,"23,163,975"
2011-04-27,2.217,2.222,2.188,2.222,"13,778,100"
2011-04-28,2.212,2.232,2.173,2.212,"20,660,062"
2011-04-29,2.212,2.257,2.202,2.257,"40,504,049"
2011-05-02,2.257,2.341,2.242,2.326,"40,443,299"
2011-05-03,2.331,2.331,2.267,2.291,"9,188,437"
2011-05-04,2.291,2.291,2.212,2.212,"8,473,612"
2011-05-05,2.212,2.212,2.143,2.178,"7,526,925"
2011-05-06,2.109,2.202,2.094,2.173,"6,147,900"
2011-05-09,2.123,2.173,2.123,2.173,"4,593,712"
2011-05-10,2.173,2.212,2.163,2.193,"5,538,375"
2011-05-11,2.193,2.222,2.178,2.193,"7,943,062"
2011-05-12,2.222,2.291,2.222,2.222,"31,221,450"
2011-05-13,2.222,2.222,2.193,2.212,"6,514,425"
2011-05-16,2.202,2.202,2.183,2.202,"3,429,337"
2011-05-17,2.193,2.202,2.173,2.202,"9,090,225"
2011-05-18,2.202,2.202,2.178,2.183,"17,514,225"
2011-05-19,2.183,2.202,2.153,2.163,"13,081,500"
2011-05-20,2.193,2.193,2.104,2.183,"14,073,750"
2011-05-23,2.183,2.183,2.133,2.133,"1,628,100"
2011-05-24,2.133,2.133,2.044,2.089,"7,434,787"
2011-05-25,2.084,2.084,2.049,2.049,"5,552,550"
2011-05-26,2.054,2.099,2.054,2.064,"10,838,812"
2011-05-27,2.044,2.064,2.025,2.054,"11,295,450"
2011-05-30,2.059,2.079,2.054,2.074,"5,854,275"
2011-05-31,2.079,2.099,2.044,2.099,"53,514,674"
2011-06-01,2.089,2.099,2.069,2.074,"6,614,662"
2011-06-02,2.03,2.044,2.005,2.044,"36,006,524"
2011-06-03,2.044,2.054,2.02,2.02,"3,040,537"
2011-06-06,2.015,2.059,1.995,2.059,"5,099,962"
2011-06-07,2.015,2.054,2.015,2.054,"5,446,237"
2011-06-08,2.015,2.04,2.015,2.04,"3,421,237"
2011-06-09,2.025,2.035,2.0,2.03,"11,594,137"
2011-06-10,2.03,2.03,2.015,2.015,"1,602,787"
2011-06-13,1.995,2.01,1.926,2.0,"14,351,175"
2011-06-14,1.973,1.98,1.877,1.877,"32,535,674"
2011-06-15,1.877,1.877,1.853,1.857,"42,410,587"
2011-06-16,1.855,1.896,1.837,1.873,"15,795,000"
2011-06-17,1.877,1.896,1.867,1.873,"14,944,500"
2011-06-21,1.873,1.886,1.867,1.869,"6,169,162"
2011-06-22,1.875,1.896,1.863,1.896,"38,514,487"
2011-06-23,1.894,1.926,1.877,1.888,"15,630,975"
2011-06-24,1.886,1.892,1.875,1.877,"36,653,512"
2011-06-27,1.877,1.879,1.875,1.877,"7,305,187"
2011-06-28,1.879,1.89,1.879,1.884,"31,936,275"
2011-06-29,1.916,1.916,1.884,1.896,"7,916,737"
2011-06-30,1.9,1.9,1.892,1.896,"12,747,375"
2011-07-01,1.896,1.956,1.896,1.956,"23,002,987"
2011-07-04,1.958,1.985,1.956,1.96,"7,809,412"
