Date,Open,High,Low,Close,Volume
2011-10-06,11.2,11.2,10.68,10.68,"28,051,301"
2011-10-07,10.74,10.98,10.74,10.96,"6,454,800"
2011-10-10,11.02,11.6,11.02,11.6,"17,731,900"
2011-10-11,11.8,11.82,11.34,11.36,"12,181,500"
2011-10-12,11.36,11.68,11.3,11.6,"1,351,800"
2011-10-13,11.52,12.36,11.52,12.36,"4,896,100"
2011-10-14,12.3,12.4,12.0,12.1,"7,294,000"
2011-10-17,12.2,12.46,12.1,12.38,"6,994,900"
2011-10-18,12.38,12.38,12.12,12.26,"7,236,600"
2011-10-19,12.24,12.26,12.2,12.2,"8,274,100"
2011-10-20,12.22,12.3,12.2,12.2,"4,007,000"
2011-10-21,12.24,12.34,12.2,12.3,"4,269,500"
2011-10-24,12.34,12.34,12.2,12.2,"14,370,500"
2011-10-25,12.16,12.32,12.16,12.32,"3,730,900"
2011-10-26,12.18,12.24,12.16,12.16,"1,404,600"
2011-10-27,12.14,12.24,12.14,12.22,"416,100"
2011-10-28,12.26,12.5,12.26,12.38,"11,311,200"
2011-11-02,12.26,12.58,12.26,12.58,"6,529,900"
2011-11-03,12.6,12.76,12.5,12.74,"13,131,000"
2011-11-04,12.76,14.48,12.76,14.48,"17,613,301"
2011-11-08,14.46,15.94,14.1,15.5,"10,609,200"
2011-11-09,15.7,15.7,14.3,14.8,"5,581,800"
2011-11-10,14.3,15.0,14.1,14.94,"6,590,600"
2011-11-11,14.94,15.0,14.34,14.56,"1,544,600"
2011-11-14,14.5,15.2,14.5,14.68,"727,200"
2011-11-15,14.68,15.16,14.4,14.8,"8,558,400"
2011-11-16,14.92,16.2,14.8,15.52,"17,248,000"
2011-11-17,15.52,17.06,15.52,16.32,"6,602,900"
2011-11-18,16.32,17.1,16.3,16.6,"9,489,500"
2011-11-21,17.1,17.1,16.6,16.82,"5,792,100"
2011-11-22,16.5,16.82,16.02,16.16,"4,833,800"
2011-11-23,16.16,16.5,14.98,14.98,"10,519,400"
2011-11-24,14.94,15.0,14.68,14.72,"7,055,600"
2011-11-25,14.72,15.52,14.72,15.36,"3,087,500"
2011-11-28,15.4,15.68,15.36,15.4,"1,545,200"
2011-11-29,15.62,15.62,15.02,15.3,"354,700"
2011-12-01,15.5,15.62,15.3,15.3,"590,500"
2011-12-02,15.3,15.3,15.18,15.18,"4,481,200"
2011-12-05,15.1,15.18,15.04,15.12,"2,892,400"
2011-12-06,15.12,15.2,14.98,15.0,"2,512,100"
2011-12-07,15.0,15.42,15.0,15.24,"15,347,900"
2011-12-08,15.3,15.88,15.3,15.7,"5,359,000"
2011-12-09,15.76,16.72,15.76,16.72,"5,426,700"
2011-12-12,16.9,17.68,16.86,17.1,"7,857,700"
2011-12-13,17.1,17.36,16.9,17.06,"2,350,800"
2011-12-14,17.06,17.3,17.0,17.1,"9,969,500"
2011-12-15,17.2,17.2,17.0,17.02,"2,835,600"
2011-12-16,17.04,17.84,17.04,17.66,"14,247,400"
2011-12-19,17.74,18.9,17.66,18.2,"5,637,900"
2011-12-20,18.3,18.3,18.0,18.02,"10,349,400"
2011-12-21,18.4,18.6,18.02,18.2,"4,274,200"
2011-12-22,18.2,18.2,18.04,18.06,"2,966,900"
2011-12-23,18.06,18.1,18.0,18.1,"5,542,700"
2011-12-26,18.06,18.52,18.0,18.4,"1,694,500"
2011-12-27,18.48,18.74,18.12,18.34,"1,474,600"
2011-12-28,18.3,18.64,18.3,18.34,"999,300"
2011-12-29,18.34,18.34,17.76,17.88,"2,565,100"
2012-01-02,18.08,18.2,17.78,18.02,"1,311,300"
2012-01-03,18.16,18.3,18.1,18.22,"1,445,000"
2012-01-04,18.28,18.44,18.12,18.2,"1,484,400"
2012-01-05,18.2,18.2,18.0,18.08,"3,212,000"
2012-01-06,18.2,18.2,18.0,18.0,"1,998,500"
2012-01-09,18.02,18.04,17.9,17.9,"422,400"
2012-01-10,18.0,18.02,17.9,18.0,"6,012,500"
2012-01-11,18.0,19.0,18.0,18.8,"7,778,200"
2012-01-12,19.0,19.48,18.6,19.1,"3,722,000"
2012-01-13,19.2,19.2,18.04,18.36,"6,677,500"
2012-01-16,18.34,18.34,17.98,18.0,"3,135,100"
2012-01-17,18.04,18.18,17.96,18.0,"5,241,300"
2012-01-18,18.0,18.34,17.98,18.0,"781,000"
2012-01-19,18.02,18.48,18.0,18.4,"1,435,100"
2012-01-20,18.32,19.36,18.32,18.68,"5,932,500"
