Date,Open,High,Low,Close,Volume
2005-03-22,126.85,126.85,119.69,123.27,"11,934,483"
2005-03-28,124.8,124.8,116.62,120.2,"7,456,373"
2005-03-29,119.18,119.18,116.62,117.64,"7,626,307"
2005-03-30,116.62,116.62,110.48,110.99,"5,015,067"
2005-03-31,110.99,116.62,110.99,116.62,"10,227,459"
2005-04-01,117.64,118.67,115.6,117.64,"1,787,103"
2005-04-04,118.15,122.76,118.15,121.74,"3,648,440"
2005-04-05,122.25,122.76,120.2,121.22,"1,462,133"
2005-04-06,120.2,127.36,120.2,126.34,"4,640,086"
2005-04-07,126.34,126.34,122.76,126.34,"6,143,686"
2005-04-08,125.83,125.83,123.27,125.32,"1,843,546"
2005-04-11,126.34,126.34,122.25,124.8,"3,415,514"
2005-04-12,124.8,127.87,123.78,127.36,"3,021,901"
2005-04-13,127.36,127.87,126.85,127.87,"2,247,149"
2005-04-14,126.85,127.87,125.83,127.87,"2,473,956"
2005-04-15,126.34,127.36,125.83,126.85,"2,117,763"
2005-04-18,126.85,126.85,124.29,124.8,"3,743,984"
2005-04-19,124.8,125.83,123.78,125.83,"5,665,575"
2005-04-20,125.83,126.85,125.32,126.85,"1,689,213"
2005-04-21,125.83,126.34,124.8,126.34,"1,783,994"
2005-04-22,125.83,126.34,124.29,126.34,"2,415,049"
2005-04-25,125.32,126.34,125.32,126.34,391
2005-04-26,125.83,126.34,125.83,126.34,"701,027"
2005-04-27,125.32,126.34,125.32,125.83,"563,742"
2005-04-28,125.83,127.87,125.83,127.87,"2,460,407"
2005-04-29,127.87,127.87,127.36,127.87,"2,385,860"
2005-05-03,127.36,127.36,126.34,126.85,"1,682,879"
2005-05-04,126.85,127.87,126.85,127.87,"1,292,707"
2005-05-05,127.87,127.87,127.36,127.87,"932,995"
2005-05-06,127.87,127.87,127.36,127.87,"332,693"
2005-05-09,127.87,127.87,127.36,127.87,"1,272,159"
2005-05-10,127.87,127.87,127.36,127.87,"536,606"
2005-05-11,127.36,127.87,126.85,127.87,"2,159,621"
2005-05-12,127.36,127.36,126.85,126.85,"556,587"
2005-05-13,126.34,126.85,126.34,126.85,"2,485,745"
2005-05-16,126.85,126.85,126.34,126.85,"1,342,991"
2005-05-17,126.34,126.85,125.83,126.85,"1,682,742"
2005-05-18,126.34,126.85,125.83,126.85,"1,372,825"
2005-05-19,126.85,126.85,126.34,126.85,"1,100,954"
2005-05-20,126.34,126.85,125.83,126.85,"2,426,350"
2005-05-23,126.34,126.85,126.34,126.85,"159,435"
2005-05-24,126.34,126.85,125.83,126.85,"857,627"
2005-05-25,126.34,126.85,126.34,126.34,"1,088,852"
2005-05-26,126.34,126.85,126.34,126.85,"330,601"
2005-05-27,126.34,127.36,126.34,127.36,"4,526,791"
2005-05-30,126.85,127.87,126.85,127.87,"1,169,049"
2005-05-31,127.36,127.87,127.36,127.87,"612,775"
2005-06-01,127.87,127.87,127.36,127.87,"236,954"
2005-06-02,127.87,129.15,127.87,129.15,"3,164,288"
2005-06-03,129.15,130.43,129.15,130.43,"1,981,182"
2005-06-06,129.15,130.43,129.15,130.43,"590,253"
2005-06-07,130.43,130.43,129.15,130.43,"439,967"
2005-06-08,129.15,130.43,129.15,130.43,"710,294"
2005-06-09,127.36,130.43,126.85,130.43,"2,609,754"
2005-06-10,130.43,130.43,129.15,130.43,"1,231,220"
2005-06-14,129.15,130.43,129.15,130.43,"146,200"
2005-06-15,129.15,130.43,129.15,130.43,"213,649"
2005-06-16,130.43,130.43,129.15,130.43,"529,900"
2005-06-17,129.15,130.43,129.15,130.43,"1,104,982"
2005-06-20,129.15,130.43,129.15,130.43,"445,070"
2005-06-21,129.15,130.43,129.15,130.43,"383,564"
2005-06-22,129.15,130.43,129.15,130.43,"116,776"
