Date,Open,High,Low,Close,Volume
2004-01-06,4.7,4.7,4.7,4.7,"23,000"
2004-01-07,5.04,5.22,5.04,5.22,"164,450"
2004-01-09,4.96,4.96,4.96,4.96,"11,500"
2004-01-12,4.96,5.22,4.96,5.22,"251,850"
2004-01-14,5.13,5.22,5.13,5.22,"50,600"
2004-01-21,5.13,5.22,5.13,5.22,"134,550"
2004-01-26,5.13,5.22,5.13,5.13,"450,800"
2004-01-28,5.04,5.04,5.04,5.04,"23,000"
2004-02-03,5.04,5.04,5.04,5.04,"1,150"
2004-02-06,5.04,5.04,5.04,5.04,"78,200"
2004-02-16,4.96,4.96,4.96,4.96,"138,000"
2004-02-26,4.87,4.87,4.87,4.87,"11,500"
2004-03-01,4.78,4.78,4.78,4.78,"23,000"
2004-03-03,4.7,4.7,4.61,4.61,"64,400"
2004-03-04,4.61,4.61,4.61,4.61,"69,000"
2004-03-05,4.61,4.78,4.61,4.78,"437,000"
2004-03-08,4.78,4.87,4.78,4.87,"276,000"
2004-03-09,4.87,4.96,4.87,4.96,"108,100"
2004-03-10,5.04,5.04,5.04,5.04,"190,900"
2004-03-11,5.04,5.13,5.04,5.13,"483,000"
2004-03-12,4.96,5.13,4.96,5.13,"516,350"
2004-03-16,5.13,5.3,5.13,5.3,"215,050"
2004-03-17,5.3,5.48,5.3,5.48,"389,850"
2004-03-18,5.48,5.57,5.48,5.57,"379,500"
2004-03-19,5.65,5.74,5.65,5.65,"78,200"
2004-03-22,5.65,5.65,5.65,5.65,"23,000"
2004-03-24,5.22,5.65,5.22,5.65,"1,976,850"
2004-03-25,5.65,5.65,5.65,5.65,"1,150"
2004-03-26,5.65,5.65,5.65,5.65,"2,873,850"
2004-03-29,5.65,5.65,5.65,5.65,"1,722,700"
2004-03-30,5.65,5.65,5.65,5.65,"400,200"
2004-03-31,5.65,5.65,5.65,5.65,"54,050"
2004-04-01,5.65,5.65,5.65,5.65,"75,900"
2004-04-02,5.65,5.65,5.65,5.65,"46,000"
2004-04-05,5.65,5.65,5.65,5.65,"249,550"
2004-04-06,5.57,5.65,5.57,5.65,"28,750"
2004-04-12,5.65,5.65,5.65,5.65,"25,300"
2004-04-13,5.65,5.65,5.65,5.65,"6,590,650"
2004-04-15,5.65,5.65,5.65,5.65,"3,659,300"
2004-04-16,5.65,5.65,5.65,5.65,"25,300"
2004-04-19,5.65,5.65,5.65,5.65,"253,000"
2004-04-21,5.65,5.65,5.65,5.65,"9,200"
2004-04-22,5.65,5.65,5.65,5.65,"12,650"
2004-04-23,5.65,5.65,5.65,5.65,"23,000"
2004-04-27,5.65,5.83,5.65,5.83,"664,700"
2004-04-28,5.83,5.91,5.83,5.91,"2,185,000"
2004-04-29,5.83,5.91,5.83,5.91,"575,000"
2004-04-30,5.83,6.09,5.83,6.09,"1,661,750"
2004-05-03,6.09,6.09,6.0,6.09,"2,240,200"
2004-05-05,6.09,6.09,6.09,6.09,"1,150"
2004-05-07,6.09,6.09,6.09,6.09,"5,750"
2004-05-11,5.91,5.91,5.91,5.91,"17,250"
2004-05-12,5.91,5.91,5.91,5.91,"5,750"
2004-05-17,5.83,5.83,5.83,5.83,"23,000"
2004-05-24,5.57,5.57,5.57,5.57,"17,250"
2004-05-25,5.48,5.48,5.48,5.48,"278,300"
2004-06-03,5.39,5.39,5.39,5.39,"1,150"
2004-06-08,5.48,5.48,5.39,5.39,"2,300"
2004-06-09,5.39,5.39,5.39,5.39,"23,000"
2004-06-11,5.65,5.65,5.65,5.65,"1,150,000"
2004-06-14,5.65,5.65,5.65,5.65,"596,850"
2004-06-15,5.74,5.74,5.65,5.65,"327,750"
2004-06-21,5.57,5.57,5.57,5.57,"49,450"
2004-06-23,5.57,5.57,5.57,5.57,"322,000"
2004-06-24,5.57,5.57,5.57,5.57,"320,850"
2004-06-25,5.57,5.57,5.57,5.57,"330,050"
2004-06-30,5.57,5.57,5.57,5.57,"1,150,000"
2004-07-05,5.57,5.57,5.48,5.57,"119,600"
2004-07-06,5.57,5.57,5.57,5.57,"788,900"
2004-07-07,5.39,5.57,5.39,5.57,"128,800"
2004-07-08,5.57,5.57,5.57,5.57,"471,500"
2004-07-09,5.57,5.57,5.57,5.57,"594,550"
2004-07-12,5.57,5.57,5.57,5.57,"1,150,000"
2004-07-14,5.57,5.57,5.57,5.57,"5,058,850"
2004-07-15,5.57,5.57,5.57,5.57,"8,050"
2004-07-16,5.48,5.48,5.48,5.48,"1,150"
2004-07-19,5.57,5.57,5.57,5.57,"92,000"
2004-07-30,5.65,5.65,5.65,5.65,"1,567,450"
2004-08-03,5.74,5.74,5.74,5.74,"1,150"
2004-08-05,5.83,5.83,5.83,5.83,"294,400"
2004-08-06,5.83,5.91,5.83,5.91,"282,900"
2004-08-09,5.91,5.91,5.91,5.91,"115,000"
2004-08-10,5.91,5.91,5.91,5.91,"115,000"
2004-08-12,5.91,5.91,5.91,5.91,"253,000"
2004-08-13,5.91,5.91,5.91,5.91,"86,250"
2004-08-17,5.91,5.91,5.91,5.91,"34,500"
2004-08-18,6.09,6.09,6.09,6.09,"537,050"
2004-08-20,6.09,6.09,6.09,6.09,"23,000"
2004-08-24,6.17,6.26,6.17,6.26,"93,150"
2004-08-26,6.26,6.61,6.26,6.61,"228,850"
2004-08-27,6.61,7.04,6.61,7.04,"805,000"
2004-08-30,7.22,7.22,7.04,7.04,"118,450"
2004-08-31,7.04,7.48,7.04,7.39,"1,321,350"
2004-09-01,7.39,7.39,7.13,7.13,"25,300"
2004-09-02,7.3,7.48,7.3,7.39,"272,550"
2004-09-03,7.48,7.65,7.48,7.65,"201,250"
2004-09-09,7.39,7.39,7.39,7.39,"42,550"
