Date,Open,High,Low,Close,Volume
2017-03-31,5.3,5.37,5.17,5.33,"201,325,500"
2017-04-03,5.33,5.46,5.32,5.35,"56,547,301"
2017-04-04,5.36,5.37,5.21,5.32,"19,364,900"
2017-04-05,5.3,5.32,5.1,5.17,"32,803,602"
2017-04-06,5.15,5.24,5.08,5.2,"19,912,699"
2017-04-07,5.21,5.27,5.12,5.16,"18,040,100"
2017-04-10,5.16,5.24,5.16,5.23,"7,003,400"
2017-04-11,5.24,5.24,5.2,5.23,"8,758,200"
2017-04-12,5.24,5.33,5.24,5.28,"7,495,000"
2017-04-17,5.28,5.28,5.2,5.21,"3,385,800"
2017-04-18,5.22,5.22,5.16,5.19,"4,933,600"
2017-04-19,5.19,5.32,5.17,5.25,"13,382,300"
2017-04-20,5.25,5.3,5.2,5.23,"4,020,300"
2017-04-21,5.24,5.26,5.22,5.23,"7,809,700"
2017-04-24,5.23,5.24,5.19,5.21,"6,062,600"
2017-04-25,5.22,5.25,5.22,5.25,"11,569,700"
2017-04-26,5.26,5.46,5.23,5.42,"38,296,699"
2017-04-27,5.45,5.56,5.39,5.42,"29,237,199"
2017-05-02,5.44,5.45,5.34,5.36,"6,243,400"
2017-05-03,5.37,5.37,5.25,5.28,"8,126,700"
2017-05-04,5.29,5.38,5.27,5.36,"14,266,600"
2017-05-05,5.36,5.36,5.32,5.34,"13,416,800"
2017-05-08,5.34,5.43,5.32,5.37,"13,840,000"
2017-05-09,5.39,5.39,5.33,5.38,"4,496,000"
2017-05-10,5.38,5.45,5.35,5.39,"10,790,400"
2017-05-11,5.38,5.42,5.34,5.4,"9,395,800"
2017-05-12,5.41,5.41,5.35,5.39,"5,203,500"
2017-05-15,5.39,5.49,5.39,5.43,"16,713,199"
2017-05-16,5.45,5.49,5.39,5.4,"13,286,000"
2017-05-17,5.4,5.43,5.38,5.43,"5,797,700"
2017-05-18,5.42,5.42,5.32,5.35,"15,945,500"
2017-05-19,5.35,5.46,5.35,5.39,"16,220,300"
2017-05-22,5.41,5.43,5.39,5.39,"4,600,500"
