strat_id,strat_name,dt,type,price,size,order_value,portfolio_value,commission,pnl
0,period20_devfactor2,2004-02-03,buy,12.39,8014,99293.46,99404.23924,595.7607600000001,0.0
0,period20_devfactor2,2004-02-04,buy,12.39,8,99.12,99403.64452,0.59472,0.0
0,period20_devfactor2,2004-03-17,sell,13.11,-8022,99392.58,104548.474,631.0105199999999,5775.839999999991
0,period20_devfactor2,2004-09-01,buy,12.03,8630,103818.9,103925.5606,622.9134,0.0
0,period20_devfactor2,2004-09-02,buy,12.03,8,96.24,105479.82316000001,0.57744,0.0
0,period20_devfactor2,2004-09-10,sell,12.93,-8638,103915.14,111029.04712,670.13604,7774.2000000000035
0,period20_devfactor2,2005-03-21,buy,20.47,5386,110251.42,108428.5786,661.50852,0.0
0,period20_devfactor2,2005-03-22,buy,20.11,5,100.55,104600.3653,0.6033,0.0
0,period20_devfactor2,2005-05-10,sell,20.83,-5391,110351.97,111635.72812000001,673.76718,1942.5599999999965
0,period20_devfactor2,2005-07-05,buy,20.83,5322,110857.26,114802.42456000003,665.14356,0.0
0,period20_devfactor2,2005-07-21,buy,20.83,5,104.14999999999999,112887.67966000002,0.6248999999999999,0.0
0,period20_devfactor2,2005-08-15,sell,24.06,-5327,110961.40999999999,127407.16394000001,769.00572,17206.210000000003
0,period20_devfactor2,2005-09-07,buy,21.91,5774,126508.34,128726.75390000001,759.05004,0.0
0,period20_devfactor2,2005-09-13,buy,20.47,6,122.82,124575.21698000001,0.73692,0.0
0,period20_devfactor2,2005-10-21,sell,22.63,-5780,126631.16,130032.80858000001,784.8084,4170.239999999987
0,period20_devfactor2,2005-10-26,buy,21.55,5992,129127.6,131415.16298,774.7656,0.0
0,period20_devfactor2,2005-11-03,sell,22.99,-5992,129127.6,137059.98649999997,826.5364799999999,8628.479999999987
0,period20_devfactor2,2005-12-20,buy,22.630000000000003,6014,136096.82,142738.52557999996,816.58092,0.0
0,period20_devfactor2,2006-01-06,sell,25.5,-6014,136096.82,152583.44357999996,920.142,17260.180000000008
0,period20_devfactor2,2006-02-13,buy,25.14,6027,151518.78,153844.05089999997,909.11268,0.0
0,period20_devfactor2,2006-02-16,buy,24.78,6,148.68,149503.71881999998,0.8920800000000001,0.0
0,period20_devfactor2,2006-04-07,sell,26.219999999999995,-6033,151667.46,157242.12725999995,949.1115599999999,6517.799999999996
0,period20_devfactor2,2006-06-07,buy,25.5,6123,156136.5,156305.30825999996,936.819,0.0
0,period20_devfactor2,2006-06-09,buy,24.42,6,146.52,145339.9991399999,0.8791200000000001,0.0
0,period20_devfactor2,2006-08-01,sell,24.06,-6129,156283.02,146600.36669999993,884.78244,-8819.279999999992
0,period20_devfactor2,2007-05-04,buy,42.02,3464,145557.28,144479.98301999993,873.3436800000001,0.0
0,period20_devfactor2,2007-05-07,buy,41.66,4,166.64,146975.94317999991,0.99984,0.0
0,period20_devfactor2,2007-05-16,sell,44.54,-3468,145723.92,153540.03485999993,926.78832,8740.79999999999
0,period20_devfactor2,2007-07-26,buy,48.85,3121,152460.85,150378.14975999994,914.7651,0.0
0,period20_devfactor2,2007-07-27,buy,48.13,3,144.39000000000001,148128.0034199999,0.8663400000000001,0.0
0,period20_devfactor2,2007-09-21,sell,43.1,-3124,152605.24000000002,133855.69701999993,807.8664,-17960.840000000007
0,period20_devfactor2,2007-11-13,buy,40.23,3304,132919.91999999998,133058.17749999993,797.51952,0.0
0,period20_devfactor2,2007-11-14,buy,40.23,3,120.69,134247.97335999995,0.72414,0.0
0,period20_devfactor2,2007-12-10,sell,44.54,-3307,133040.61,146426.86067999993,883.7626799999999,14253.170000000007
0,period20_devfactor2,2008-01-17,buy,40.23,3614,145391.22,139049.3133599999,872.34732,0.0
0,period20_devfactor2,2008-01-18,buy,38.43,4,153.72,129967.21103999994,0.92232,0.0
0,period20_devfactor2,2008-04-03,sell,39.15,-3618,145544.94,140803.48283999992,849.8682,-3900.239999999999
0,period20_devfactor2,2008-04-28,buy,34.48,4055,139816.4,139964.58443999992,838.8984,0.0
0,period20_devfactor2,2008-05-07,buy,31.97,4,127.88,135590.13715999993,0.76728,0.0
0,period20_devfactor2,2008-06-02,sell,36.28,-4059,139944.28,146396.49403999993,883.56312,7316.240000000018
0,period20_devfactor2,2008-06-12,buy,31.609999999999996,4599,145374.38999999998,147179.88769999993,872.24634,0.0
0,period20_devfactor2,2008-07-02,buy,30.17,4,120.68,132272.64361999996,0.7240800000000001,0.0
0,period20_devfactor2,2008-07-07,buy,28.02,1,28.02,130615.74549999995,0.16812,0.0
0,period20_devfactor2,2008-07-31,sell,29.449999999999996,-4604,145523.08999999997,134774.53869999995,813.5268000000001,-9935.289999999974
0,period20_devfactor2,2008-09-16,buy,28.02,4776,133823.52,113387.03757999995,802.9411200000001,0.0
0,period20_devfactor2,2008-09-17,buy,23.709999999999997,6,142.26,108221.62401999994,0.8535600000000001,0.0
0,period20_devfactor2,2008-12-12,sell,17.78,-4782,133965.78,84518.78025999994,510.14376000000004,-48941.82
0,period20_devfactor2,2009-02-04,buy,15.26,5500,83930.0,86985.20025999994,503.58,0.0
0,period20_devfactor2,2009-02-24,buy,14.55,5,72.75,82091.56375999995,0.4365,0.0
0,period20_devfactor2,2009-03-23,sell,15.44,-5505,84002.75,84499.23055999994,509.9832,994.4499999999974
0,period20_devfactor2,2010-01-26,buy,26.94,3114,83891.16,80632.76359999993,503.34696,0.0
0,period20_devfactor2,2010-01-27,buy,25.86,4,103.44,77264.70295999994,0.62064,0.0
0,period20_devfactor2,2010-03-25,sell,28.02,-3118,83994.6,86842.82479999993,524.19816,3371.759999999996
0,period20_devfactor2,2010-05-06,buy,29.09,2964,86222.76,86325.48823999993,517.33656,0.0
0,period20_devfactor2,2010-06-03,sell,33.4,-2964,86222.76,98506.34263999993,593.9856,12774.839999999997
0,period20_devfactor2,2010-11-15,buy,40.51,2414,97791.14,100357.73579999994,586.74684,0.0
0,period20_devfactor2,2011-01-11,buy,39.9,3,119.69999999999999,96204.63759999991,0.7182000000000001,0.0
0,period20_devfactor2,2011-03-30,sell,36.64,-2417,97910.84,88035.56431999992,531.35328,-9351.960000000001
0,period20_devfactor2,2011-06-15,buy,39.51,2212,87396.12,87511.18759999992,524.37672,0.0
0,period20_devfactor2,2011-06-16,buy,39.51,2,79.02,87422.15347999992,0.47412,0.0
