strat_id,strat_name,dt,type,price,size,order_value,portfolio_value,commission,pnl
0,period20_devfactor2,2006-07-04,buy,1.4,70931,99303.4,99404.1796,595.8204,0.0
0,period20_devfactor2,2006-08-02,buy,1.4,71,99.39999999999999,127804.38320000001,0.5963999999999999,0.0
0,period20_devfactor2,2007-02-07,sell,2.5,-71002,99402.79999999999,176440.7532,1065.03,78102.20000000001
0,period20_devfactor2,2010-03-17,buy,5.1,34355,175210.5,261276.9902,1051.263,0.0
0,period20_devfactor2,2010-04-29,sell,12.0,-34355,175210.5,409965.4302,2473.56,237049.5
0,period20_devfactor2,2010-08-23,buy,5.0,81422,407110.0,611077.7702,2442.66,0.0
0,period20_devfactor2,2011-09-09,sell,7.3,-81422,407110.0,591227.0866,3566.2835999999998,187270.59999999998
0,period20_devfactor2,2012-02-06,buy,42.5,13814,587095.0,684402.5166000001,3522.57,0.0
0,period20_devfactor2,2012-02-15,buy,38.5,15,577.5,414898.55160000006,3.465,0.0
0,period20_devfactor2,2012-02-21,buy,27.0,1,27.0,380326.38960000005,0.162,0.0
0,period20_devfactor2,2012-03-19,sell,42.55,-13830,587699.5,584937.0906,3530.799,766.9999999999585
0,period20_devfactor2,2012-04-16,buy,21.0,27660,580860.0,539961.9306,3485.1600000000003,0.0
0,period20_devfactor2,2012-04-17,buy,19.5,30,585.0,442489.6206000001,3.51,0.0
0,period20_devfactor2,2012-06-28,sell,9.29,-27690,581445.0,255700.08000000002,1543.4406,-324204.89999999997
0,period20_devfactor2,2012-09-03,buy,9.62,26395,253919.89999999997,255760.26060000007,1523.5194,0.0
0,period20_devfactor2,2012-09-05,buy,9.5,26,247.0,251007.67860000004,1.482,0.0
0,period20_devfactor2,2012-09-14,sell,10.14,-26421,254166.9,266309.66496,1607.4536400000002,13742.040000000028
0,period20_devfactor2,2012-12-12,buy,13.06,20249,264451.94,267557.81332,1586.71164,0.0
0,period20_devfactor2,2012-12-18,buy,12.86,20,257.2,255807.05012000003,1.5432,0.0
0,period20_devfactor2,2013-02-04,sell,13.76,-20269,264709.14,277240.30148,1673.40864,14192.299999999987
0,period20_devfactor2,2013-04-22,buy,12.979999999999999,21210,275305.8,268801.26668,1651.8348,0.0
0,period20_devfactor2,2013-04-23,buy,12.659999999999998,22,278.52,257758.95556000003,1.6711200000000002,0.0
0,period20_devfactor2,2013-07-19,sell,11.36,-21232,275584.32,239750.82244000002,1447.17312,-34388.80000000002
0,period20_devfactor2,2013-10-31,buy,10.06,23666,238079.96000000002,242108.90268000003,1428.4797600000002,0.0
0,period20_devfactor2,2013-11-06,buy,9.7,24,232.79999999999998,236197.48588000002,1.3968,0.0
0,period20_devfactor2,2014-03-03,sell,9.08,-23690,238312.76000000004,213822.75468,1290.6312,-23207.560000000027
0,period20_devfactor2,2014-05-27,buy,11.46,18528,212330.88,215142.6894,1273.98528,0.0
0,period20_devfactor2,2014-05-30,buy,11.0,19,209.0,207363.0954,1.254,0.0
