strat_id,strat_name,dt,type,price,size,order_value,portfolio_value,commission,pnl
0,period20_devfactor2,2004-05-20,buy,52.21,1902,99303.42,100260.07948,595.8205200000001,0.0
0,period20_devfactor2,2004-06-18,buy,51.31,1,51.31,97692.07162,0.30786,0.0
0,period20_devfactor2,2004-07-07,sell,52.66,-1903,99354.73,99659.84973999999,601.27188,857.2499999999943
0,period20_devfactor2,2005-02-07,buy,51.76,1912,98965.12,99066.05901999999,593.79072,0.0
0,period20_devfactor2,2005-02-23,buy,51.31,1,51.31,98205.35115999999,0.30786,0.0
0,period20_devfactor2,2005-04-13,sell,52.36,-1913,99016.43,99613.01308,600.98808,1148.2500000000095
0,period20_devfactor2,2005-08-24,buy,61.39000000000001,1611,98899.29000000001,99019.61734,593.39574,0.0
0,period20_devfactor2,2005-08-25,buy,61.39,1,61.39,98293.849,0.36834,0.0
0,period20_devfactor2,2005-11-24,buy,57.78,1,57.78,93199.58231999999,0.34668,0.0
0,period20_devfactor2,2006-04-28,sell,57.78,-1613,99018.46,92640.38748000002,559.1948400000001,-5819.32
0,period20_devfactor2,2006-08-08,buy,58.68,1567,91951.56,92088.67812000003,551.7093600000001,0.0
0,period20_devfactor2,2006-08-09,buy,58.68,2,117.36,92087.97396000002,0.70416,0.0
0,period20_devfactor2,2006-10-06,sell,59.13,-1569,92068.92,92237.37414000001,556.64982,706.0500000000045
0,period20_devfactor2,2006-11-09,buy,58.68,1560,91540.8,92390.12934000001,549.2447999999999,0.0
0,period20_devfactor2,2006-11-13,buy,58.68,2,117.36,91687.42518000002,0.70416,0.0
0,period20_devfactor2,2006-12-04,sell,59.59,-1562,91658.16,92550.36770000003,558.47748,1421.4200000000058
0,period20_devfactor2,2007-01-05,buy,58.68,1566,91892.88,91294.31042000002,551.3572800000001,0.0
0,period20_devfactor2,2007-01-08,buy,58.23,1,58.23,90588.81104000002,0.34937999999999997,0.0
0,period20_devfactor2,2007-02-08,sell,58.22999999999999,-1567,91951.11,90746.48258000001,547.47846,-704.7000000000095
0,period20_devfactor2,2007-05-04,buy,57.78,1559,90079.02,90907.55846,540.4741200000001,0.0
0,period20_devfactor2,2007-05-11,sell,60.04,-1559,90079.02,93167.73430000001,561.6141600000001,3523.339999999997
0,period20_devfactor2,2007-07-31,buy,65.0,1423,92495.0,91972.4143,554.97,0.0
0,period20_devfactor2,2007-08-01,buy,64.55,1,64.55,89408.827,0.3873,0.0
0,period20_devfactor2,2007-10-26,buy,52.36,1,52.36,75909.90284000001,0.31416,0.0
0,period20_devfactor2,2007-12-14,sell,52.81,-1425,92611.91,74802.87734,451.5255000000001,-17357.660000000003
0,period20_devfactor2,2008-01-18,buy,48.3,1537,74237.09999999999,76447.77474000001,445.42259999999993,0.0
0,period20_devfactor2,2008-02-13,buy,46.04,2,92.08,72283.77226000001,0.55248,0.0
0,period20_devfactor2,2008-05-05,sell,41.53,-1539,74329.18,63558.90424000002,383.48802,-10414.509999999995
0,period20_devfactor2,2008-06-02,buy,35.66,1769,63082.53999999999,65586.24900000003,378.49523999999997,0.0
0,period20_devfactor2,2008-06-30,buy,34.76,2,69.52,63978.74188000002,0.41712,0.0
0,period20_devfactor2,2008-07-24,sell,38.37,-1771,63152.05999999999,67573.48226,407.71961999999996,4801.2100000000055
0,period20_devfactor2,2008-11-25,buy,36.11,1858,67092.38,70533.90798,402.55428,0.0
0,period20_devfactor2,2009-02-11,sell,37.47,-1858,67092.38,69280.09242000002,417.71556,2526.8799999999987
0,period20_devfactor2,2009-11-04,buy,58.68000000000001,1172,68772.96,68340.05466000001,412.63776,0.0
0,period20_devfactor2,2009-11-05,buy,58.23,1,58.23,70462.83528000001,0.34937999999999997,0.0
0,period20_devfactor2,2009-11-24,sell,60.49,-1173,68831.19,70564.95666000003,425.72862000000003,2123.5800000000013
0,period20_devfactor2,2010-01-06,buy,60.94,1149,70020.06,69627.78630000004,420.12036,0.0
0,period20_devfactor2,2010-01-07,buy,60.49,2,120.98,74818.07042000003,0.7258800000000001,0.0
0,period20_devfactor2,2010-01-08,sell,65.0,-1151,70141.04,74369.18042000003,448.89000000000004,4673.960000000005
0,period20_devfactor2,2010-02-10,buy,63.2,1168,73817.6,73926.27482000004,442.9056,0.0
0,period20_devfactor2,2010-02-11,buy,63.2,1,63.2,74451.94562000001,0.37920000000000004,0.0
0,period20_devfactor2,2010-03-11,sell,66.36,-1169,73880.8,77154.48658000001,465.44904,3694.039999999996
0,period20_devfactor2,2010-05-11,buy,65.45,1170,76576.5,77759.72758,459.45900000000006,0.0
0,period20_devfactor2,2010-05-20,buy,65.0,1,65.0,76695.08758,0.39,0.0
0,period20_devfactor2,2010-07-29,sell,67.53,-1171,76641.5,78656.30180000002,474.46578,2436.1300000000037
0,period20_devfactor2,2011-03-10,buy,148.06,527,78027.62,76048.51608000002,468.16572,0.0
0,period20_devfactor2,2011-03-11,buy,144.0,1,144.0,78048.77208000001,0.864,0.0
0,period20_devfactor2,2011-04-05,sell,156.55,-528,78171.62,82178.10168000002,495.95040000000006,4486.780000000016
0,period20_devfactor2,2011-05-06,buy,98.86,825,81559.5,81688.74468000002,489.357,0.0
0,period20_devfactor2,2011-05-09,buy,98.86,1,98.86,86982.81152000002,0.59316,0.0
0,period20_devfactor2,2011-07-05,sell,107.44,-826,81658.36,88242.75888000002,532.4726400000001,7087.079999999999
0,period20_devfactor2,2011-08-08,buy,111.05,789,87618.45,84939.76818000003,525.7107,0.0
