type,price,size,order_value,portfolio_value,commission,pnl
buy,0.45300000000000007,219214,99303.94200000001,100500.24634799999,595.823652,0.0
buy,0.453,219,99.20700000000001,97428.684106,0.595242,0.0
sell,0.458,-219433,99403.149,99897.74422200001,603.001884,1097.1650000000009
buy,0.511,194134,99202.474,95613.983378,595.2148440000001,0.0
buy,0.492,201,98.892,93670.040026,0.593352,0.0
buy,0.482,1,0.482,93670.037134,0.002892,0.0
sell,0.511,-194336,99301.848,98709.946958,595.8341760000001,3.847999999998521
buy,0.511,191826,98023.086,98121.808442,588.1385160000001,0.0
sell,0.53,-191826,98023.086,101156.49576199999,610.0066800000001,3644.694000000003
buy,0.521,192807,100452.447,102289.04407999999,602.714682,0.0
buy,0.521,193,100.553,104220.17776199999,0.603318,0.0
sell,0.54,-193000,100553.0,103594.85776199999,625.32,3667.000000000003
buy,0.55,187043,102873.65000000001,102977.61586199999,617.2419000000001,0.0
buy,0.53,194,102.82000000000001,99236.13894199998,0.61692,0.0
buy,0.521,1,0.521,97551.00281599998,0.0031260000000000003,0.0
sell,0.55,-187238,102976.99100000001,102363.01941599998,617.8854000000001,3.909000000002791
buy,0.54,188242,101650.68000000001,101753.11533599999,609.90408,0.0
buy,0.53,191,101.23,98174.19095599998,0.6073800000000001,0.0
buy,0.521,1,0.521,99870.09382999998,0.0031260000000000003,0.0
sell,0.54,-188434,101752.431,101143.90766999999,610.5261600000001,1.9290000000060432
buy,0.521,192783,100439.943,102276.31501199999,602.639658,0.0
buy,0.521,193,100.553,100540.66469399999,0.603318,0.0
sell,0.54,-192976,100540.496,103581.966454,625.24224,3666.544000000003
buy,0.53,194077,102860.81000000001,101218.10859399998,617.16486,0.0
buy,0.521,198,103.158,101217.48964599999,0.6189479999999999,0.0
sell,0.511,-194275,102963.96800000001,98679.09249599998,595.64715,-3689.4430000000048
buy,0.501,195593,97992.093,98091.13993799998,587.952558,0.0
sell,0.53,-195593,97992.093,103141.35119799997,621.9857400000001,5672.197000000005
buy,0.54,189673,102423.42000000001,100630.08067799997,614.54052,0.0
buy,0.53,193,102.29,102528.12693799997,0.61374,0.0
sell,0.569,-189866,102525.71,107386.03841399995,648.2025239999999,5508.043999999983
buy,0.82,130047,106638.54,102974.84417399997,639.83124,0.0
buy,0.762,140,106.68,106753.68709399995,0.64008,0.0
sell,0.82,-130187,106745.21999999999,106113.16705399995,640.52004,8.120000000013667
buy,0.762,138287,105374.694,105480.91888999994,632.248164,0.0
