type,price,size,order_value,portfolio_value,commission,pnl
buy,142.48,696,99166.07999999999,99405.00352,594.99648,0.0
buy,142.48,1,142.48,99404.14864000001,0.85488,0.0
sell,151.82,-697,99308.56,105279.21740000001,634.91124,6509.980000000002
buy,149.49,699,104493.51000000001,103016.59634,626.96106,0.0
buy,147.15,1,147.15,98108.71343999998,0.8829,0.0
sell,173.78,-700,104640.66,120926.83743999999,729.8760000000001,17005.339999999993
buy,176.58,680,120074.40000000001,116398.39103999997,720.4464,0.0
sell,182.19,-680,120074.40000000001,123277.85583999997,743.3352,3814.79999999999
buy,179.38,682,122337.16,122543.83287999997,734.0229600000001,0.0
buy,176.58,1,176.58,116808.37339999997,1.0594800000000002,0.0
sell,182.19,-683,122513.73999999999,123718.18877999997,746.61462,1922.0300000000013
buy,179.38,684,122695.92,126819.25325999997,736.17552,0.0
buy,179.38,1,179.38,122980.93697999997,1.07628,0.0
sell,184.99,-685,122875.3,126063.47807999997,760.3089000000001,3842.8500000000095
buy,182.19,687,125164.53,127236.09089999998,750.98718,0.0
sell,193.40000000000003,-687,125164.53,132216.5661,797.1948,7701.270000000006
buy,193.4,678,131125.2,129531.41489999999,786.7512000000002,0.0
buy,190.6,1,190.6,129530.27129999998,1.1436,0.0
sell,199.0,-679,131315.80000000002,134423.1453,810.726,3805.1999999999816
buy,218.62000000000003,610,133358.2,140467.19609999997,800.1492000000001,0.0
sell,229.84,-610,133358.2,139625.9817,841.2144000000001,6844.199999999999
buy,215.82,642,138556.44,136997.04306,831.3386399999999,0.0
buy,215.82,1,215.82,142400.57814,1.29492,0.0
sell,241.04999999999998,-643,138772.26,154086.26724000002,929.9709,16222.889999999994
buy,232.63999999999996,657,152844.47999999998,156854.97036000004,917.06688,0.0
buy,235.44,1,235.44,142097.42772000004,1.4126400000000001,0.0
sell,224.23,-658,153079.91999999998,146745.94768000004,885.26004,-5536.58
buy,227.03000000000003,641,145526.23,144077.99030000003,873.15738,0.0
buy,224.23,1,224.23,149475.86492000002,1.34538,0.0
sell,232.64000000000001,-642,145750.46000000002,148579.73564000003,896.1292799999999,3604.4199999999714
buy,232.63999999999996,634,147493.75999999998,149469.97308000003,884.96256,0.0
sell,221.43,-634,147493.75999999998,139745.31336000003,842.3197200000001,-7107.139999999987
buy,213.02000000000004,651,138676.02000000002,138913.25724000004,832.0561200000001,0.0
buy,210.22,1,210.22,138914.79592,1.26132,0.0
sell,196.2,-652,138886.24000000002,127180.62152,767.5343999999999,-10963.84000000003
buy,193.4,653,126290.2,126422.88032,757.7412,0.0
sell,210.22,-653,126290.2,136582.69836,823.64196,10983.459999999995
buy,207.41000000000003,653,135438.73,138519.19598000002,812.63238,0.0
buy,207.41,1,207.41,132106.42152,1.24446,0.0
sell,165.37,-654,135646.14,107625.74964,648.91188,-27494.160000000014
buy,165.37,646,106829.02,114226.43552,640.97412,0.0
sell,176.58,-646,106829.02,113542.01144,684.42408,7241.660000000005
buy,176.58,638,112658.04000000001,112866.0632,675.94824,0.0
buy,182.19,1,182.19,111964.76006,1.09314,0.0
sell,173.78,-639,112840.23000000001,110403.88754,666.27252,-1794.810000000015
buy,173.78,630,109481.4,109746.99914,656.8884,0.0
buy,177.98,1,177.98,112391.93126,1.06788,0.0
sell,194.8,-631,109659.37999999999,122267.83846000001,737.5128000000001,13259.420000000011
buy,193.4,627,121261.8,122418.06766000002,727.5708000000001,0.0
buy,190.6,1,190.6,120662.72406000001,1.1436,0.0
sell,225.62999999999997,-628,121452.40000000001,140932.19022,850.17384,20243.239999999987
buy,255.06,548,139772.88,140093.55294,838.63728,0.0
buy,250.86,1,250.86,130093.46777999999,1.50516,0.0
sell,207.41,-549,140023.74,113253.18923999998,683.20854,-26155.649999999987
buy,215.82,521,112442.22,117689.54591999998,674.65332,0.0
sell,225.63,-521,112442.22,116984.22653999997,705.3193799999999,5111.010000000001
buy,220.03,527,115955.81,113332.02167999998,695.73486,0.0
buy,214.42,1,214.42,114069.93515999996,1.2865199999999999,0.0
sell,224.23,-528,116170.23,117800.05451999996,710.36064,2223.2099999999964
buy,231.24,505,116776.20000000001,120639.44731999995,700.6572000000001,0.0
sell,238.25,-505,116776.20000000001,119917.54981999994,721.8975,3540.0499999999956
buy,231.24,514,118857.36,121363.20565999995,713.14416,0.0
buy,235.44,1,235.44,119919.79301999994,1.4126400000000001,0.0
sell,264.87,-515,119092.8,135699.79471999995,818.4483,17315.249999999996
buy,270.48,498,134699.04,134891.60047999994,808.19424,0.0
sell,288.7,-498,134699.04,143102.52487999992,862.6356,9073.559999999985
buy,319.53,444,141871.31999999998,144737.69695999994,851.2279199999999,0.0
buy,316.73,1,316.73,139755.74657999995,1.9003800000000002,0.0
sell,319.53,-445,142188.05,141399.05147999997,853.1451,2.800000000009959
buy,327.94,428,140358.32,142953.70155999996,842.1499200000001,0.0
sell,347.56,-428,140358.32,148061.72747999997,892.53408,8397.360000000002
buy,341.95,429,146696.55,149588.23818,880.1792999999999,0.0
sell,367.18,-429,146696.55,157060.09686,945.12132,10823.670000000007
buy,364.37000000000006,428,155950.36000000002,154925.99469999998,935.70216,0.0
sell,311.12000000000006,-428,155950.36000000002,132534.43854,798.9561600000001,-22791.0
buy,308.32,426,131344.32,132939.17262,788.06592,0.0
buy,316.73,1,316.73,132931.66223999998,1.9003800000000002,0.0
sell,336.35,-427,131661.05000000002,142843.14354,861.7287,11960.399999999989
buy,333.54,425,141754.5,140802.61654,850.5270000000002,0.0
sell,350.36,-425,141754.5,148247.69853999998,893.4180000000001,7148.499999999997
buy,344.75,427,147208.25,143777.64904,883.2494999999999,0.0
sell,390.16,-427,147208.25,165754.92912,999.58992,19390.07000000001
buy,383.43,429,164491.47,161885.1003,986.94882,0.0
sell,393.52,-429,164491.47,168083.66981999998,1012.9204799999999,4328.60999999999
buy,380.07000000000005,439,166850.73,168557.60543999996,1001.10438,0.0
sell,312.8,-439,166850.73,136727.12024,823.9152,-29531.52999999999
buy,306.07,443,135589.01,136662.25617999997,813.53406,0.0
sell,312.8,-443,135589.01,138063.55378,831.4224,2981.390000000008
buy,316.17,433,136901.61000000002,136510.37411999996,821.40966,0.0
buy,311.12,1,311.12,137245.32739999998,1.8667200000000002,0.0
sell,359.88999999999993,-434,137212.73,155282.65383999998,937.15356,18979.529999999984
buy,386.8,398,153946.4,155696.25544,923.6784,0.0
buy,376.71,1,376.71,157048.08517999997,2.2602599999999997,0.0
sell,393.5199999999999,-399,154323.11,156105.99829999998,942.08688,2691.370000000009
buy,386.8,400,154720.0,151141.67829999997,928.3199999999999,0.0
buy,376.71,1,376.71,152486.77803999998,2.2602599999999997,0.0
sell,393.52,-401,155096.71,156933.41891999997,946.80912,2704.8099999999986
buy,423.8,367,155534.6,156000.21131999997,933.2076,0.0
buy,396.89,1,396.89,146121.85997999995,2.38134,0.0
sell,396.89,-368,155931.49000000002,145245.52685999995,876.33312,-9875.970000000028
buy,390.16,369,143969.04,144381.71261999995,863.81424,0.0
buy,383.43,1,383.43,140652.84203999993,2.30058,0.0
sell,396.89,-370,144352.47,145995.1462399999,881.0958,2496.8300000000004
buy,386.8,374,144663.2,147640.44703999988,867.9792000000001,0.0
buy,380.07,1,380.07,142607.8666199999,2.28042,0.0
sell,376.71,-375,145043.27000000002,140500.26911999987,847.5975,-3777.020000000036
buy,366.62,380,139315.6,130715.37551999987,835.8936000000001,0.0
buy,343.07,1,343.07,129433.15709999984,2.05842,0.0
sell,346.43999999999994,-381,139658.67,131205.32525999984,791.96184,-7665.030000000021
buy,327.94,397,130192.18,125751.48217999985,781.15308,0.0
sell,282.53,-397,130192.18,111723.41571999982,672.98646,-18027.77000000001
buy,279.17,397,110830.49,109720.54277999981,664.9829400000001,0.0
sell,278.49,-397,110830.49,110125.1095999998,663.36318,-269.9600000000027
buy,276.48,395,109209.6,107076.15199999981,655.2576,0.0
buy,250.24,1,250.24,103099.1905599998,1.50144,0.0
sell,260.33,-396,109459.84,102480.64647999979,618.5440799999999,-6369.160000000007
buy,246.21000000000004,413,101684.73000000001,96869.10809999978,610.1083800000001,0.0
sell,242.17,-413,101684.73000000001,99601.92083999979,600.09726,-1668.5200000000084
buy,240.15000000000003,411,98701.65000000001,96523.16093999977,592.2099000000001,0.0
buy,234.1,1,234.1,91532.43633999978,1.4046,0.0
sell,215.93,-412,98935.75000000001,88501.93737999978,533.77896,-9972.590000000011
buy,211.9,414,87726.6,91316.55777999978,526.3596,0.0
sell,219.97,-414,87726.6,90770.15229999978,546.40548,3340.9799999999973
buy,228.04000000000002,395,90075.8,91027.59749999977,540.4548,0.0
sell,238.12999999999997,-395,90075.8,93650.87939999977,564.3681,3985.5500000000015
buy,248.22,374,92834.28,92342.13371999978,557.0056800000001,0.0
buy,246.21,1,246.21,93094.40645999978,1.47726,0.0
sell,230.06,-375,93080.49,85766.77145999979,517.635,-6807.99
buy,234.1,363,84978.3,85986.53165999979,509.8698,0.0
buy,232.08,1,232.08,79378.92917999979,1.3924800000000002,0.0
sell,211.9,-364,85210.38,76713.93957999979,462.78960000000006,-8078.780000000001
buy,207.86,366,76076.76000000001,72564.53901999978,456.46056000000004,0.0
