type,price,size,order_value,portfolio_value,commission,pnl
buy,2.8,35465,99302.0,97630.938,595.8119999999999,0.0
buy,2.75,36,99.0,101180.444,0.594,0.0
sell,3.05,-35501,99401.0,107630.97569999998,649.6682999999999,8877.049999999987
buy,2.9,36855,106879.5,108832.44869999998,641.2769999999999,0.0
buy,3.1,35,108.5,112515.54769999998,0.651,0.0
sell,3.45,-36890,106988.0,126507.92469999997,763.623,20282.5
buy,3.35,37500,125625.0,127629.17469999997,753.75,0.0
buy,3.35,38,127.3,129507.21089999998,0.7638,0.0
sell,3.8999999999999995,-37538,125752.3,145520.92169999998,878.3892,20645.899999999994
buy,3.8,38028,144506.4,144653.8833,867.0384,0.0
buy,3.8000000000000003,38,144.4,144653.01689999996,0.8664,0.0
sell,4.25,-38066,144650.8,160812.03389999998,970.6830000000001,17129.700000000008
buy,4.15,38480,159692.0,171397.88189999998,958.152,0.0
sell,4.45,-38480,159692.0,170370.46589999998,1027.416,11543.999999999993
buy,4.65,36383,169180.95,162078.78019999998,1015.0857000000001,0.0
buy,4.45,38,169.1,158435.66559999995,1.0146000000000002,0.0
sell,4.8,-36421,169350.05000000002,173776.19079999995,1048.9248,5470.749999999969
buy,4.7,36716,172565.2,172740.79959999994,1035.3912,0.0
sell,4.9,-36716,172565.2,179004.54919999995,1079.4504,7343.200000000006
buy,4.9,36277,177757.30000000002,181565.70539999992,1066.5438000000001,0.0
buy,5.1,35,178.5,181561.13439999992,1.071,0.0
sell,4.75,-36312,177935.80000000002,171448.24239999993,1034.892,-5453.800000000008
buy,4.7,36224,170252.80000000002,170426.72559999992,1021.5168,0.0
buy,4.7,36,169.20000000000002,170425.71039999992,1.0152,0.0
sell,5.2,-36260,170422.00000000003,187424.39839999992,1131.3120000000001,18129.999999999967
buy,5.1,36494,186119.4,182658.28199999992,1116.7164,0.0
buy,5.0,37,185.0,177177.5219999999,1.11,0.0
sell,5.1,-36531,186304.4,185192.42339999994,1117.8486,3.6999999999978366
buy,4.9,37531,183901.90000000002,184089.01199999993,1103.4114000000002,0.0
buy,4.9,37,181.3,182209.5241999999,1.0878,0.0
buy,4.6,1,4.6,174695.94659999994,0.0276,0.0
sell,5.2,-37569,184087.80000000002,194186.74379999994,1172.1528,11270.999999999998
buy,5.2,37083,192831.6,189321.45419999992,1156.9895999999999,0.0
buy,5.1,38,193.79999999999998,189320.2913999999,1.1628,0.0
sell,5.2,-37121,193025.40000000002,191874.21619999994,1158.1752000000001,3.7999999999978478
buy,5.1,37360,190536.0,190731.00019999995,1143.216,0.0
buy,5.0,38,190.0,186993.86019999994,1.1400000000000001,0.0
sell,5.3,-37398,190726.0,197024.0037999999,1189.2564,7483.399999999979
buy,5.6,34938,195652.8,192356.2869999999,1173.9168,0.0
buy,5.5,35,192.5,192355.1319999999,1.155,0.0
sell,5.9,-34973,195845.3,205106.2877999999,1238.0442,10495.40000000002
buy,5.9,34521,203673.90000000002,207336.34439999989,1222.0434,0.0
sell,6.2,-34521,203673.90000000002,212956.3631999999,1284.1812,10356.299999999994
buy,6.5,32534,211471.0,211687.5371999999,1268.826,0.0
buy,6.4,33,211.20000000000002,205176.16999999993,1.2672,0.0
sell,5.8,-32567,211682.2,187759.33839999992,1133.3316,-22793.600000000013
buy,5.5,33900,186450.0,190030.6383999999,1118.7,0.0
buy,5.4,35,189.0,176462.50439999992,1.1340000000000001,0.0
sell,5.2,-33935,186639.0,175403.73239999992,1058.7720000000002,-10177.0
buy,5.0,34836,174180.0,181325.85239999995,1045.08,0.0
sell,5.2,-34836,174180.0,180238.96919999993,1086.8832,6967.200000000006
buy,5.1,35095,178984.5,182674.56219999993,1073.907,0.0
sell,5.6,-35095,178984.5,195533.37019999992,1179.1919999999998,17547.5
buy,5.7,34065,194170.5,204587.84719999993,1165.0230000000001,0.0
sell,6.0,-34065,194170.5,203361.50719999993,1226.3400000000001,10219.499999999995
buy,6.0,33657,201942.0,198784.15519999995,1211.652,0.0
buy,5.9,34,200.60000000000002,192044.75159999996,1.2036000000000002,0.0
buy,5.7,1,5.7,192044.71739999994,0.0342,0.0
sell,6.2,-33692,202148.30000000002,207637.37499999997,1253.3424000000002,6742.099999999995
buy,6.1,33802,206192.19999999998,206400.22179999997,1237.1532,0.0
buy,6.0,34,204.0,203018.7978,1.2240000000000002,0.0
sell,6.5,-33836,206396.19999999998,218617.1938,1319.604,13537.80000000003
buy,7.7,28194,217093.80000000002,217314.631,1302.5628000000002,0.0
sell,8.3,-28194,217093.80000000002,232826.96980000002,1404.0612000000003,16916.400000000016
buy,9.0,25689,231201.0,234008.6638,1387.2060000000001,0.0
sell,9.6,-25689,231201.0,245373.4774,1479.6864,15413.39999999999
buy,8.9,27378,243664.2,238435.89219999997,1461.9852,0.0
buy,8.7,28,243.59999999999997,230212.6306,1.4616,0.0
sell,8.7,-27406,243907.80000000002,237003.83739999996,1430.5932,-5475.600000000045
buy,8.5,27688,235348.0,227285.34939999995,1412.0880000000002,0.0
buy,8.2,29,237.79999999999998,235599.02259999997,1.4268,0.0
sell,8.5,-27717,235585.80000000002,234185.45559999996,1413.567,8.699999999987654
buy,8.3,28018,232549.40000000002,221582.95919999995,1395.2964000000002,0.0
buy,7.9,30,237.0,221581.53719999993,1.422,0.0
sell,9.0,-28048,232786.40000000002,250919.74519999992,1514.592,19645.59999999998
buy,8.8,28315,249172.00000000003,249424.7131999999,1495.0320000000002,0.0
buy,8.9,28,249.20000000000002,252254.7179999999,1.4952,0.0
sell,9.4,-28343,249421.20000000007,264827.6727999999,1598.5452,17002.999999999945
buy,9.2,28585,262982.0,263249.7807999999,1577.8919999999998,0.0
buy,9.0,29,261.0,260392.61479999986,1.566,0.0
sell,9.1,-28614,263243.0,258830.29039999985,1562.3244,-2855.599999999995
buy,8.9,28879,257023.1,257288.15179999985,1542.1386,0.0
buy,8.7,30,261.0,254401.68579999986,1.5659999999999998,0.0
sell,6.2,-28909,257284.10000000003,178162.87099999987,1075.4148,-78048.30000000002
buy,6.5,27218,176917.0,177101.36899999986,1061.502,0.0
buy,6.5,28,182.0,177100.27699999986,1.092,0.0
sell,6.599999999999999,-27246,177099.0,178745.93539999984,1078.9415999999999,2724.5999999999904
buy,6.8,26103,177500.4,180291.23299999986,1065.0023999999999,0.0
buy,7.1,25,177.5,182897.96799999985,1.065,0.0
sell,6.5,-26128,177677.9,168814.97599999985,1018.992,-7845.899999999992
buy,6.5,25790,167635.0,170388.16599999985,1005.8100000000001,0.0
sell,7.2,-25790,167635.0,184748.03799999985,1114.1280000000002,18053.000000000004
buy,7.0,26208,183456.0,188888.90199999986,1100.7359999999999,0.0
buy,7.1,26,184.6,181020.19439999986,1.1076,0.0
sell,6.799999999999999,-26234,183640.6,177326.44719999985,1070.3472,-5249.40000000002
buy,6.9,25520,176088.0,178821.91919999986,1056.528,0.0
buy,6.4,28,179.20000000000002,171173.24399999986,1.0752000000000002,0.0
sell,6.4,-25548,176267.2,162527.80079999985,981.0432000000001,-12760.000000000004
buy,6.700000000000001,24089,161396.30000000002,166377.22299999985,968.3778,0.0
sell,6.9,-24089,161396.30000000002,165379.93839999987,997.2846,4817.800000000005
buy,6.8,24151,164226.8,164394.57759999987,985.3608,0.0
buy,6.6,25,165.0,161980.9875999999,0.9899999999999999,0.0
sell,7.1000000000000005,-24176,164391.8,170621.4899999999,1029.8976,7257.800000000008
buy,7.0,24204,169428.0,169604.9219999999,1016.568,0.0
buy,7.099999999999999,24,170.39999999999998,176869.8995999999,1.0224,0.0
sell,7.3,-24228,169598.4,175808.71319999988,1061.1864,7265.999999999995
buy,7.1,24589,174581.9,174761.22179999988,1047.4913999999999,0.0
