type,price,size,order_value,portfolio_value,commission,pnl
buy,6.05,16413,99298.65,99404.2081,595.7919,0.0
buy,5.76,18,103.67999999999999,94643.81602,0.62208,0.0
sell,6.05,-16431,99402.32999999999,98812.36071999998,596.4453,5.220000000005852
buy,6.62,14822,98121.64,100446.93087999997,588.72984,0.0
sell,6.77,-14822,98121.64,99844.86123999997,602.0696399999999,2223.299999999992
buy,5.76,17213,99146.87999999999,101659.79995999999,594.8812800000001,0.0
buy,5.9,17,100.30000000000001,106655.89816,0.6018000000000001,0.0
sell,6.19,-17230,99247.18,106015.97596,639.9222,7406.520000000013
buy,5.9,17843,105273.70000000001,92537.37375999997,631.6422000000001,0.0
buy,5.18,21,108.78,105398.80107999999,0.6526799999999999,0.0
sell,5.9,-17864,105382.48000000003,104766.41548000001,632.3856000000001,15.119999999988437
buy,4.32,24082,104034.24,101252.37004000001,624.20544,0.0
buy,4.2,25,105.0,101251.74004000002,0.63,0.0
sell,4.72,-24107,104139.24000000002,113104.66980000002,682.71024,9645.799999999981
buy,4.61,24363,112313.43000000001,116572.49922000001,673.88058,0.0
sell,4.78,-24363,112313.43000000001,115873.76838000001,698.7308400000001,4141.709999999998
buy,4.72,24378,115064.15999999999,112501.80342000003,690.38496,0.0
sell,5.18,-24378,115064.15999999999,125639.59518000002,757.66824,11213.88
buy,5.24,23810,124764.40000000001,128938.70878000002,748.5864000000001,0.0
buy,5.41,23,124.43,135849.53220000002,0.7465800000000001,0.0
sell,5.7,-23833,124888.83,135034.44360000003,815.0885999999999,10959.270000000006
buy,5.3,25300,134090.0,126639.90360000003,804.5400000000001,0.0
buy,5.0,27,135.0,117774.64360000004,0.81,0.0
buy,4.0,1,4.0,89914.46960000003,0.024,0.0
sell,5.3,-25328,134229.0,133433.0392,805.4304,9.39999999999452
buy,6.0,22084,132504.0,139263.21519999998,795.0239999999999,0.0
sell,6.299999999999999,-22084,132504.0,138428.43999999997,834.7751999999999,6625.199999999996
buy,6.699999999999999,20517,137463.9,135551.95659999998,824.7834,0.0
buy,6.6,21,138.6,137604.925,0.8316,0.0
sell,6.9,-20538,137602.5,140862.2518,850.2732000000001,4109.7
buy,6.699999999999999,20877,139875.9,137935.2964,839.2554,0.0
sell,6.599999999999999,-20877,139875.9,137108.5672,826.7292,-2087.700000000011
buy,6.5,20946,136149.0,134197.07319999998,816.894,0.0
buy,6.2,22,136.4,130007.05479999998,0.8184,0.0
sell,6.7,-20968,136285.4,139648.14119999998,842.9136000000001,4200.200000000001
buy,6.6000000000000005,21011,138672.6,136715.00559999997,832.0355999999999,0.0
sell,6.3999999999999995,-21011,138672.6,133807.0832,806.8224,-4202.199999999985
buy,6.3,21091,132873.3,135118.9434,797.2398000000001,0.0
buy,6.299999999999999,21,132.29999999999998,133009.0496,0.7938,0.0
sell,6.300000000000001,-21112,133005.59999999998,132211.016,798.0336,1.8751222796709044e-11
buy,5.8,22636,131288.8,129159.68320000001,787.7328,0.0
buy,5.7,23,131.1,131424.7966,0.7866000000000001,0.0
sell,4.25,-22659,131419.9,95725.54210000002,577.8045000000001,-35119.14999999999
buy,5.1,18639,95058.9,97019.08870000002,570.3534,0.0
buy,5.1,18,91.8,93288.93790000003,0.5508,0.0
sell,5.2,-18657,95150.7,96438.23950000004,582.0984000000001,1865.70000000001
buy,5.8,16511,95763.8,99165.85670000003,574.5828,0.0
sell,6.0,-16511,95763.8,98571.46070000004,594.396,3302.200000000003
buy,5.6,17479,97882.4,96236.26630000005,587.2943999999999,0.0
buy,5.5,18,99.0,97985.37230000005,0.594,0.0
sell,5.3,-17497,97981.4,92179.86770000005,556.4046,-5247.300000000001
buy,5.2,17603,91535.6,91630.65410000004,549.2136,0.0
sell,5.5,-17603,91535.6,96330.65510000003,580.899,5280.899999999997
buy,5.4,17714,95655.6,97528.12150000002,573.9336000000001,0.0
sell,5.7,-17714,95655.6,100465.10270000003,605.8188,5314.199999999997
buy,5.6,17815,99764.0,98085.01870000003,598.584,0.0
buy,5.4,18,97.2,96302.93550000005,0.5832,0.0
sell,5.5,-17833,99861.2,97497.74650000004,588.489,-1779.6999999999923
buy,5.2,18619,96818.8,98778.73370000003,580.9128000000001,0.0
buy,5.2,18,93.60000000000001,96916.27210000005,0.5616,0.0
sell,4.55,-18637,96912.40000000001,84293.43200000004,508.7901,-12114.050000000007
