type,price,size,order_value,portfolio_value,commission,pnl
buy,4.12,24102,99300.24,106634.79856,595.80144,0.0
sell,4.42,-24102,99300.24,105995.61352,639.18504,7230.599999999996
buy,4.33,24309,105257.97,107551.87569999999,631.5478200000001,0.0
sell,4.58,-24309,105257.97,110773.30437999999,668.0113200000001,6077.25
buy,4.58,24018,110002.44,110113.28974,660.01464,0.0
sell,4.92,-24018,110002.44,117570.39837999998,709.01136,8166.119999999996
buy,4.83,24172,116750.76,114936.13381999999,700.5045600000001,0.0
buy,4.75,24,114.0,112999.76981999999,0.684,0.0
buy,4.33,1,4.33,108886.59383999999,0.02598,0.0
sell,4.5,-24197,116869.09,108233.27483999998,653.3190000000001,-7982.589999999993
buy,4.42,24316,107476.72,111478.97451999997,644.86032,0.0
sell,4.58,-24316,107476.72,110810.77083999997,668.2036800000001,3890.5600000000036
buy,5.17,21284,110038.28,108234.98115999997,660.22968,0.0
buy,5.08,21,106.68,108234.34107999998,0.64008,0.0
sell,5.17,-21305,110144.95999999999,109490.90997999998,660.8811,1.890000000006875
buy,5.25,20710,108727.5,112359.24497999997,652.365,0.0
sell,5.92,-20710,108727.5,121978.62577999997,735.6192,13875.699999999999
buy,5.75,21066,121129.5,119566.56877999997,726.777,0.0
buy,5.5,22,121.0,117671.66277999998,0.726,0.0
sell,6.0,-21088,121250.5,125769.45477999997,759.168,5277.5000000000055
buy,5.75,21720,124890.0,123282.51477999997,749.3399999999999,0.0
buy,5.67,22,124.74,125021.12633999997,0.74844,0.0
sell,5.92,-21742,125014.74,127944.99049999997,772.27584,3697.899999999999
buy,6.0,21175,127050.0,123582.94049999997,762.3,0.0
buy,5.829999999999999,22,128.26,123582.17093999997,0.76956,0.0
sell,5.83,-21197,127178.26,122840.69987999999,741.47106,-3599.7499999999877
buy,5.83,20923,121981.09,120434.97333999998,731.88654,0.0
buy,5.75,22,126.5,120434.21433999999,0.759,0.0
sell,6.08,-20945,122107.59000000001,126581.99074,764.0736,5238.009999999997
buy,6.42,19579,125697.18,124065.69766,754.18308,0.0
buy,6.08,21,127.68,125834.18158,0.76608,0.0
sell,6.42,-19600,125824.85999999999,125079.18958,754.9920000000001,7.1400000000107156
buy,6.42,19347,124207.74,127429.46313999999,745.24644,0.0
sell,6.58,-19347,124207.74,126665.64358,763.81956,3095.5200000000027
buy,7.0,17969,125783.0,127348.46558,754.6980000000001,0.0
sell,7.579999999999999,-17969,125783.0,135515.73546,817.23012,10422.02
buy,7.579999999999999,17753,134567.74,139146.57902,807.40644,0.0
sell,7.829999999999999,-17753,134567.74,138312.54308,834.03594,4438.25
buy,8.08,16998,137343.84,139018.30004,824.06304,0.0
buy,7.67,18,138.06,131879.75168000002,0.82836,0.0
sell,7.5,-17016,137481.9,126860.03167999999,765.72,-9861.900000000007
buy,7.58,16619,125972.02,124774.67955999998,755.83212,0.0
sell,7.83,-16619,125972.02,129478.18893999998,780.76062,4154.75
buy,7.75,16590,128572.5,128706.75393999998,771.4350000000001,0.0
buy,7.580000000000001,17,128.86,127380.31077999999,0.7731600000000001,0.0
sell,7.17,-16607,128701.35999999999,118362.37763999998,714.43314,-9629.169999999995
buy,6.83,17209,117537.47,114903.71281999997,705.22482,0.0
buy,6.67,17,113.39,109046.19247999998,0.6803400000000001,0.0
sell,6.67,-17226,117650.86,114213.64795999997,689.3845200000001,-2753.439999999998
buy,6.33,17917,113414.61,113533.16029999997,680.48766,0.0
sell,6.5,-17917,113414.61,115880.28729999997,698.7629999999999,3045.8899999999985
buy,6.42,17924,115072.08,116623.77481999996,690.4324799999999,0.0
buy,6.33,18,113.94,110705.29117999999,0.68364,0.0
sell,6.58,-17942,115186.02,117353.16101999997,708.35016,2872.3399999999906
buy,6.33,18410,116535.3,112051.44921999997,699.2118,0.0
buy,6.08,19,115.52,113709.36609999996,0.6931200000000001,0.0
sell,6.42,-18429,116650.82,117606.73101999998,709.88508,1663.3599999999983
buy,6.33,18450,116788.5,118566.50001999998,700.731,0.0
sell,6.67,-18450,116788.5,122440.63101999997,738.369,6272.999999999997
buy,6.75,18013,121587.75,118648.89451999997,729.5265,0.0
buy,6.58,18,118.44,114140.43387999997,0.71064,0.0
sell,6.58,-18031,121706.19,117936.31999999996,711.8638800000001,-3062.2100000000014
buy,6.42,18242,117113.64,117233.63815999996,702.68184,0.0
buy,6.42,18,115.56,123258.74479999996,0.69336,0.0
sell,6.75,-18260,117229.2,122519.21479999996,739.53,6025.800000000001
buy,6.67,18240,121660.8,127808.44999999995,729.9648,0.0
sell,7.0,-18240,121660.8,127042.36999999995,766.0799999999999,6019.200000000002
buy,6.75,18690,126157.5,123108.12499999994,756.945,0.0
buy,6.58,19,125.02,121610.65487999996,0.75012,0.0
sell,6.17,-18709,126282.52,114744.07769999995,692.60718,-10847.990000000005
buy,5.92,19247,113942.24,115600.18425999995,683.6534399999999,0.0
sell,6.33,-19247,113942.24,121220.69319999997,731.00106,7891.270000000003
buy,6.67,18047,120373.49,121942.21225999996,722.24094,0.0
sell,7.0,-18047,120373.49,125695.98825999995,757.9739999999999,5955.510000000001
buy,6.83,18275,124818.25,123485.07875999996,748.9095000000001,0.0
sell,7.0,-18275,124818.25,127286.27875999996,767.5500000000001,3106.7499999999986
buy,6.83,18506,126395.98,128193.44287999996,758.37588,0.0
buy,6.75,19,128.25,123564.65337999996,0.7695000000000001,0.0
sell,6.83,-18525,126524.23,125769.49887999996,759.1545000000001,1.520000000002364
buy,6.67,18724,124889.08,125020.16439999995,749.3344800000001,0.0
sell,6.83,-18724,124889.08,127248.69487999995,767.30952,2995.840000000003
buy,7.08,17847,126356.76,125062.79431999996,758.14056,0.0
buy,7.0,18,126.0,128099.08831999997,0.756,0.0
sell,7.419999999999999,-17865,126482.76,131769.98851999996,795.3498,6075.540000000007
buy,7.92,16521,130846.31999999999,129498.02059999997,785.0779200000001,0.0
sell,8.25,-16521,130846.31999999999,135619.05109999995,817.7895000000001,5451.930000000001
buy,8.0,16834,134672.0,136157.73909999995,808.032,0.0
buy,7.919999999999999,17,134.64,134811.57125999994,0.80784,0.0
sell,8.08,-16851,134806.64,135342.71477999992,816.9364800000001,1349.439999999983
buy,8.08,16633,134394.64,133205.70693999992,806.36784,0.0
sell,8.25,-16633,134394.64,136540.6234399999,823.3335,2827.6099999999988
buy,8.54,15877,135589.58,139061.25595999992,813.53748,0.0
buy,8.54,15,128.1,139063.63735999994,0.7686,0.0
buy,8.54,1,8.54,135726.2661199999,0.051239999999999994,0.0
sell,8.960000000000003,-15893,135726.22,141546.91843999992,854.4076800000001,6675.059999999999
buy,8.96,15687,140555.52000000002,140703.58531999993,843.3331200000001,0.0
buy,8.96,16,143.36,140702.7251599999,0.8601600000000001,0.0
