type,price,size,order_value,portfolio_value,commission,pnl
buy,12.03,8254,99295.62,99404.22628,595.77372,0.0
buy,11.85,9,106.64999999999999,100892.54638000001,0.6399,0.0
sell,12.57,-8263,99402.26999999999,103244.03092,623.19546,4463.640000000008
buy,12.39,8274,102514.86,102628.94176,615.08916,0.0
buy,12.21,9,109.89000000000001,101138.96242000001,0.65934,0.0
sell,12.75,-8283,102624.75,104978.13292,633.6495,2983.500000000001
buy,12.57,8293,104243.01000000001,104352.67486,625.45806,0.0
buy,12.39,8,99.12,104353.52014000001,0.59472,0.0
sell,13.29,-8301,104342.13,109668.31839999999,661.92174,5978.159999999988
buy,12.93,8422,108896.45999999999,110530.89963999999,653.37876,0.0
buy,12.75,9,114.75,107498.29114,0.6885,0.0
sell,13.65,-8431,109011.20999999999,114395.69224,690.4989,6071.940000000012
buy,13.65,8322,113595.3,113714.12044,681.5718,0.0
buy,13.47,8,107.76,110716.11388,0.64656,0.0
sell,13.65,-8330,113703.06,113032.68688000001,682.2270000000001,1.4400000000051527
buy,13.29,8445,112234.04999999999,113879.38258000003,673.4043,0.0
buy,13.11,9,117.99,110838.47464000003,0.70794,0.0
sell,13.65,-8454,112352.04,114711.25204000004,692.3826,3045.060000000005
buy,15.44,7377,113900.87999999999,114027.84676000003,683.40528,0.0
buy,15.26,8,122.08,111443.80428000004,0.73248,0.0
sell,15.8,-7385,114022.95999999999,115987.05628000006,700.0980000000001,2660.040000000016
buy,15.44,7459,115166.95999999999,122009.15452000007,691.00176,0.0
sell,16.34,-7459,115166.95999999999,121277.87416000006,731.28036,6713.100000000003
buy,16.7,7211,120423.7,124449.27196000006,722.5422,0.0
sell,17.24,-7211,120423.7,123703.36612000005,745.9058399999999,3893.9399999999937
buy,17.24,7125,122834.99999999999,125531.35612000008,737.0099999999999,0.0
sell,17.78,-7125,122834.99999999999,126053.76112000007,760.095,3847.500000000019
buy,19.04,6574,125168.95999999999,129970.28736000007,751.01376,0.0
sell,19.75,-6574,125168.95999999999,129191.26836000007,779.019,4667.540000000005
buy,18.68,6867,128275.56,125949.49500000008,769.6533599999999,0.0
buy,18.32,7,128.24,135778.5455600001,0.76944,0.0
sell,19.75,-6874,128403.79999999999,134963.9765600001,814.569,7357.700000000005
buy,22.269999999999996,6018,134020.86,131993.37140000012,804.12516,0.0
buy,21.19,6,127.14000000000001,127659.64856000012,0.7628400000000002,0.0
sell,21.55,-6024,134148.0,129049.38536000012,778.9032,-4330.7999999999865
buy,21.55,5946,128136.3,128280.56756000011,768.8178,0.0
buy,20.47,6,122.82,119715.43064000011,0.73692,0.0
buy,20.11,1,20.11,115488.67998000012,0.12066,0.0
sell,20.83,-5953,128279.23000000001,123257.4640400001,744.00594,-4278.240000000028
buy,20.11,6086,122389.45999999999,122523.12728000009,734.3367599999999,0.0
buy,18.32,7,128.24,113821.8978400001,0.76944,0.0
sell,19.04,-6093,122517.69999999998,115319.31352000008,696.06432,-6506.979999999994
buy,18.68,6130,114508.4,114632.26312000009,687.0504,0.0
buy,18.32,6,109.92,114633.76360000008,0.6595200000000001,0.0
sell,19.75,-6136,114618.31999999999,120472.16760000009,727.1160000000001,6567.68000000001
buy,20.11,5948,119614.28,119754.4819200001,717.68568,0.0
sell,20.47,-5948,119614.28,121165.22856000009,730.53336,2141.2799999999966
buy,20.11,5983,120318.12999999999,120443.31978000009,721.9087800000001,0.0
buy,19.75,6,118.5,122600.8087800001,0.7110000000000001,0.0
sell,20.47,-5989,120436.62999999999,121865.2398000001,735.5689799999999,2158.200000000002
buy,22.99,5263,120996.37,121139.2615800001,725.97822,0.0
sell,23.35,-5263,120996.37,122296.59528000011,737.3463,1894.6800000000158
buy,22.99,5282,121433.18,121567.99620000011,728.59908,0.0
buy,22.27,6,133.62,125378.87448000013,0.8017200000000001,0.0
sell,23.71,-5288,121566.8,124626.60360000013,752.27088,3811.6800000000085
buy,22.99,5383,123755.17,125821.95258000014,742.53102,0.0
buy,22.27,5,111.35,120007.64448000013,0.6680999999999999,0.0
sell,21.55,-5388,123866.52,115431.61608000015,696.6684000000001,-7755.120000000001
buy,21.55,5319,114624.45,114743.86938000015,687.7467,0.0
sell,22.63,-5319,114624.45,119766.17556000013,722.21382,5744.519999999991
buy,21.55,5518,118912.90000000001,115079.73816000011,713.4774000000001,0.0
buy,20.83,6,124.97999999999999,117067.62828000014,0.74988,0.0
sell,22.99,-5524,119037.88,126248.84772000012,761.9805599999999,7958.879999999986
buy,23.35,5369,125366.15000000001,127429.49082000012,752.1969,0.0
buy,22.99,5,114.94999999999999,123563.12112000011,0.6897,0.0
sell,22.99,-5374,125481.1,122821.8315600001,741.2895599999999,-1932.8400000000208
buy,22.63,5389,121953.06999999999,122090.11314000009,731.71842,0.0
buy,21.91,6,131.46,120151.44438000009,0.7887600000000001,0.0
sell,21.55,-5395,122084.52999999998,115569.4708800001,697.5735,-5822.279999999986
buy,22.27,5153,114757.31,113025.84702000009,688.54386,0.0
buy,21.55,5,107.75,113027.0005200001,0.6465,0.0
sell,22.99,-5158,114865.06000000001,117886.14600000011,711.49452,3717.359999999986
buy,24.42,4793,117045.06000000001,117183.87564000011,702.27036,0.0
buy,23.71,5,118.55000000000001,115459.4343400001,0.7113,0.0
sell,24.78,-4798,117163.61000000002,118200.62770000011,713.3666400000001,1730.8299999999863
buy,23.71,4950,117364.5,117496.44070000011,704.187,0.0
sell,24.42,-4950,117364.5,120285.6667000001,725.274,3514.500000000004
buy,23.35,5115,119435.25,119569.0552000001,716.6115000000001,0.0
buy,22.63,5,113.14999999999999,121415.17630000011,0.6789,0.0
sell,23.71,-5120,119548.4,120686.8051000001,728.3712,1846.800000000003
buy,25.86,4634,119835.23999999999,119967.7936600001,719.01144,0.0
buy,25.860000000000003,5,129.3,121637.05786000012,0.7757999999999999,0.0
sell,25.14,-4639,119964.54,115927.19110000011,699.74676,-3340.079999999995
buy,24.78,4645,115103.1,115236.57250000011,690.6186,0.0
buy,24.42,5,122.10000000000001,116911.63990000011,0.7326,0.0
sell,25.14,-4650,115225.2,116210.23390000011,701.4060000000001,1675.799999999999
buy,25.5,4525,115387.5,113888.90890000011,692.325,0.0
buy,24.42,5,122.10000000000001,113891.7763000001,0.7326,0.0
sell,25.14,-4530,115509.6,113208.4711000001,683.3052,-1625.4000000000078
buy,24.78,4536,112402.08,114167.0186200001,674.4124800000001,0.0
sell,26.22,-4536,112402.08,118352.29510000008,713.60352,6531.839999999989
buy,25.86,4544,117507.84,122554.76806000007,705.0470399999999,0.0
sell,26.94,-4544,117507.84,121820.27590000008,734.49216,4907.520000000009
buy,26.22,4613,120952.86,121094.55874000008,725.71716,0.0
sell,26.58,-4613,120952.86,122019.55750000007,735.68124,1660.6799999999973
buy,24.42,4961,121147.62000000001,117770.36178000005,726.8857200000001,0.0
buy,23.709999999999997,6,142.26,115981.38822000007,0.8535600000000001,0.0
sell,24.42,-4967,121289.88,120568.31338000007,727.76484,4.260000000008624
buy,22.63,5290,119712.7,117945.63718000008,718.2762,0.0
buy,22.27,6,133.62,123664.51546000007,0.8017200000000001,0.0
sell,23.35,-5296,119846.31999999998,122922.54586000007,741.9696,3815.2800000000234
buy,22.63,5394,122066.22,120248.30854000007,732.3973199999999,0.0
buy,22.27,5,111.35,120247.64044000006,0.6680999999999999,0.0
sell,22.99,-5399,122177.57,123390.18238000006,744.7380599999999,1945.4399999999848
buy,22.27,5502,122529.54,124635.72514000005,735.17724,0.0
buy,22.27,5,111.35,122654.33704000006,0.6680999999999999,0.0
sell,22.99,-5507,122640.89,125859.74146000005,759.63558,3965.0399999999936
buy,22.99,5436,124973.63999999998,121195.97962000007,749.8418399999999,0.0
buy,22.27,6,133.62,123154.29790000005,0.8017200000000001,0.0
sell,23.35,-5442,125107.25999999998,126310.11370000007,762.4242,1963.4400000000333
buy,24.78,5061,125411.58,127379.60422000008,752.46948,0.0
sell,26.219999999999995,-5061,125411.58,132049.28770000004,796.19652,7287.839999999988
buy,27.299999999999997,4803,131121.9,127804.39630000002,786.7314,0.0
buy,26.579999999999995,5,132.89999999999998,129534.47890000006,0.7973999999999999,0.0
sell,28.02,-4808,131254.8,133918.79794000005,808.32096,3465.3600000000015
buy,28.73,4628,132962.44,134787.10330000005,797.77464,0.0
sell,29.450000000000003,-4628,132962.44,135635.41570000007,817.7676,3332.159999999995
buy,31.969999999999995,4213,134689.61,136343.95804000006,808.1376600000001,0.0
buy,31.61,4,126.44,133309.83940000008,0.75864,0.0
sell,32.33,-4217,134816.05,135528.06574000008,818.01366,1519.5600000000097
buy,31.609999999999996,4257,134563.77,136253.2031200001,807.3826200000001,0.0
sell,32.33,-4257,134563.77,136959.9502600001,825.77286,3065.039999999995
buy,31.61,4302,135986.22,136144.0329400001,815.91732,0.0
sell,34.48,-4302,135986.22,147600.77518000008,889.99776,12346.739999999989
buy,32.33,4533,146551.88999999998,146721.4638400001,879.31134,0.0
buy,31.97,5,159.85,146722.30474000008,0.9591,0.0
sell,33.04,-4538,146711.74,149044.6716200001,899.61312,3223.7799999999943
buy,33.76,4384,148003.84,148156.6485800001,888.02304,0.0
sell,35.2,-4384,148003.84,153543.7077800001,925.9008000000001,6312.960000000021
buy,43.82,3479,152449.78,138886.9591000001,914.69868,0.0
buy,39.87,4,159.48,145120.57222000012,0.95688,0.0
sell,41.66,-3483,152609.26,144249.9615400001,870.6106799999999,-7507.480000000018
buy,39.87,3592,143213.03999999998,133045.72330000013,859.27824,0.0
