type,price,size,order_value,portfolio_value,commission,pnl
buy,1.8,55169,99304.2,97197.4148,595.8252,0.0
buy,1.76,56,98.56,110450.82344000001,0.59136,0.0
sell,2.0,-55225,99402.76,109788.12344000001,662.7,11047.240000000005
buy,2.8,38937,109023.59999999999,116921.38184000002,654.1416,0.0
sell,3.0,-38937,109023.59999999999,116220.51584000002,700.866,7787.400000000007
buy,2.8,41218,115410.4,115528.05344000002,692.4623999999999,0.0
buy,2.8,41,114.8,115527.36464000003,0.6888,0.0
sell,3.0,-41259,115525.2,123036.50264000004,742.662,8251.800000000007
buy,3.75,32581,122178.75,122303.43014000004,733.0725,0.0
buy,2.5,49,122.5,81576.44514000004,0.735,0.0
sell,3.0,-32630,122301.25,97304.10514000004,587.34,-24411.25
buy,2.8,34509,96625.2,145036.95394000006,579.7511999999999,0.0
sell,4.2,-34509,96625.2,144167.32714000007,869.6268,48312.60000000001
buy,4.0,35791,143164.0,182678.44314000005,858.984,0.0
sell,5.1,-35791,143164.0,181583.23854000005,1095.2046,39370.099999999984
buy,4.8,37566,180316.8,266903.13774000003,1081.9008000000001,0.0
sell,7.1,-37566,180316.8,265302.82614,1600.3116,86401.79999999999
buy,9.0,29273,263457.0,199321.48414000002,1580.742,0.0
buy,6.8,38,258.4,290184.03374000004,1.5504,0.0
sell,9.9,-29311,263715.4,288442.96034,1741.0734000000002,26463.499999999964
buy,9.3,30799,286430.7,283644.47614,1718.5842000000002,0.0
sell,9.2,-30799,286430.7,281944.37134,1700.1048,-3079.9000000000437
buy,7.5,37331,279982.5,239200.37634000005,1679.8950000000002,0.0
buy,6.3999999999999995,43,275.2,261623.12514000002,1.6512000000000002,0.0
sell,7.0,-37374,280257.7,260053.41714,1569.708,-18639.70000000001
buy,8.8,29345,258236.00000000003,267307.50113999995,1549.4160000000002,0.0
sell,9.1,-29345,258236.00000000003,265705.2641399999,1602.2369999999999,8803.499999999969
buy,14.25,18516,263853.0,259493.14613999994,1583.118,0.0
sell,14.0,-18516,263853.0,257937.80213999993,1555.344,-4629.0
buy,14.0,18295,256130.0,238106.02213999993,1536.78,0.0
buy,13.0,20,260.0,228946.96213999993,1.56,0.0
sell,13.0,-18315,256390.0,236675.89213999992,1428.57,-18295.0
buy,10.0,23502,235020.0,235265.77213999993,1410.12,0.0
sell,11.5,-23502,235020.0,268897.1341399999,1621.638,35253.0
