type,price,size,order_value,portfolio_value,commission,pnl
buy,22.68,4378,99293.04,96164.52176000002,595.75824,0.0
buy,21.94,5,109.7,96163.86356000001,0.6582,0.0
sell,23.17,-4383,99402.73999999999,100945.62890000001,609.3246600000001,2151.370000000012
buy,22.68,4419,100222.92,102509.60138000002,601.3375199999999,0.0
sell,23.91,-4419,100222.92,105145.71164000001,633.94974,5435.370000000002
buy,24.4,4279,104407.59999999999,102422.55604000001,626.4455999999999,0.0
sell,25.14,-4279,104407.59999999999,107040.28168000001,645.44436,3166.4600000000087
buy,24.26,4381,106283.06000000001,107673.07332000001,637.6983600000001,0.0
buy,23.66,5,118.3,107676.81352000001,0.7098,0.0
sell,24.55,-4386,106401.36000000002,107030.75572000002,646.0578,1274.939999999991
buy,23.66,4492,106280.72,110390.95140000002,637.6843200000001,0.0
sell,24.55,-4492,106280.72,109729.27980000002,661.6716,3997.8800000000024
buy,24.26,4491,108951.66,109075.56984000003,653.70996,0.0
sell,25.44,-4491,108951.66,113689.44360000003,685.50624,5299.379999999998
buy,24.85,4543,112893.55,113012.08230000002,677.3613,0.0
buy,23.96,4,95.84,111650.96726000003,0.57504,0.0
sell,25.14,-4547,112989.39,113647.82778000004,685.8694800000001,1322.1900000000012
buy,24.85,4541,112843.85,112970.76468000004,677.0631000000001,0.0
sell,26.33,-4541,112843.85,118974.05750000002,717.3871800000001,6720.679999999986
buy,26.33,4487,118142.70999999999,118265.20124000002,708.85626,0.0
sell,28.4,-4487,118142.70999999999,126788.70644000002,764.5848,9288.090000000002
buy,28.4,4433,125897.2,126033.32324000003,755.3832,0.0
buy,27.21,4,108.84,120757.40020000003,0.6530400000000001,0.0
sell,28.69,-4437,126006.04,126560.37502000004,763.7851800000001,1291.4900000000175
buy,28.4,4425,125670.0,124478.85502000003,754.02,0.0
sell,29.28,-4425,125670.0,128922.97102000004,777.384,3894.0000000000114
buy,28.99,4416,128019.84,125549.41198000003,768.11904,0.0
buy,28.4,4,113.6,132090.33038000006,0.6816,0.0
sell,29.880000000000003,-4420,128133.44,131297.91278000007,792.4176,3936.159999999995
buy,29.58,4407,130359.06,127915.62842000007,782.15436,0.0
buy,28.99,5,144.95,133120.91872000007,0.8696999999999999,0.0
sell,30.17,-4412,130504.01,132322.25848000008,798.66024,2606.0300000000093
buy,29.280000000000005,4487,131379.36000000002,128886.65232000005,788.27616,0.0
buy,28.690000000000005,5,143.45000000000002,131536.07162000006,0.8607,0.0
sell,30.17,-4492,131522.81000000003,134720.80978000007,813.1418400000001,4000.8299999999836
buy,33.42,4003,133780.26,132757.25822000008,802.6815600000001,0.0
buy,33.13,4,132.52,128028.20310000006,0.79512,0.0
sell,33.13,-4007,133912.78,131959.95164000004,796.5114600000002,-1160.8699999999917
buy,34.31,3819,131029.89000000001,131173.77230000004,786.1793400000001,0.0
buy,34.02,4,136.08,130065.44582000005,0.8164800000000001,0.0
sell,29.88,-3823,131165.97,113552.83838000003,685.38744,-16934.729999999996
buy,29.28,3851,112757.28,114031.59470000002,676.5436800000001,0.0
buy,28.99,4,115.96,109484.35894000003,0.6957599999999999,0.0
sell,29.88,-3855,112873.24,114498.63454000003,691.1243999999999,2314.159999999995
buy,29.58,3843,113675.93999999999,113816.57890000002,682.0556399999999,0.0
buy,28.69,4,114.76,110395.62034000005,0.6885600000000001,0.0
sell,28.99,-3847,113790.69999999998,110880.57316000004,669.1471799999999,-2266.169999999985
buy,28.99,3798,110104.01999999999,111321.36904000006,660.62412,0.0
buy,29.88,3,89.64,113599.63120000005,0.5378400000000001,0.0
sell,30.76,-3801,110193.65999999999,116242.99864000006,701.51256,6725.100000000013
buy,29.88,3863,115426.44,116670.71000000006,692.55864,0.0
sell,31.06,-3863,115426.44,119388.87132000006,719.90868,4558.339999999999
buy,30.76,3854,118549.04000000001,118677.57708000006,711.29424,0.0
sell,31.65,-3854,118549.04000000001,121375.76248000005,731.8745999999999,3430.0599999999886
buy,31.06,3880,120512.79999999999,121777.88568000006,723.0768,0.0
buy,30.47,4,121.88,118362.75440000005,0.73128,0.0
sell,33.42,-3884,120634.68,129041.73472000005,778.8196800000001,9168.600000000013
buy,34.9,3671,128117.9,126107.13732000007,768.7074,0.0
sell,35.5,-3671,128117.9,129693.70432000006,781.923,2202.6000000000054
buy,34.9,3690,128781.0,128921.01832000006,772.686,0.0
buy,34.02,4,136.08,124564.80184000006,0.8164800000000001,0.0
sell,32.83,-3694,128917.08,120549.49772000006,727.64412,-7643.060000000005
buy,32.54,3678,119682.12,122001.42500000008,718.09272,0.0
sell,34.61,-3678,119682.12,126681.09152000006,763.7734800000001,7613.460000000001
buy,33.42,3764,125792.88,124834.77424000006,754.75728,0.0
sell,34.02,-3764,125792.88,127416.42656000007,768.30768,2258.4000000000055
buy,34.02,3719,126520.38,128851.51428000006,759.12228,0.0
buy,34.9,3,104.69999999999999,129929.39608000005,0.6282000000000001,0.0
sell,36.09,-3722,126625.08,133552.61420000007,805.9618800000001,7701.900000000012
buy,36.09,3674,132594.66,131654.84624000007,795.5679600000001,0.0
sell,38.16,-3674,132594.66,139521.02720000004,841.19904,7605.179999999975
buy,40.81999999999999,3394,138543.08,136687.30872000006,831.2584800000001,0.0
sell,41.41,-3394,138543.08,139848.95548000003,843.27324,2002.4599999999875
buy,40.23,3452,138873.96,135943.43172000005,833.24376,0.0
buy,39.34,3,118.02000000000001,135942.72360000006,0.7081200000000002,0.0
sell,37.57,-3455,138991.97999999998,129048.54750000004,778.8261,-9187.629999999976
buy,36.92,3471,128149.32,129494.50158000005,768.89592,0.0
sell,38.33,-3471,128149.32,132375.50100000002,798.26058,4894.109999999988
buy,35.85,3666,131426.1,130303.84440000002,788.5566000000001,0.0
buy,34.08,4,136.32,121170.40647999999,0.81792,0.0
sell,32.66,-3670,131562.42,119166.73327999999,719.1732,-11700.220000000028
buy,32.66,3623,118327.18,117152.49019999999,709.9630799999999,0.0
sell,35.5,-3623,118327.18,127974.3912,771.699,10289.320000000012
buy,35.85,3544,127052.40000000001,128487.91679999999,762.3144,0.0
buy,35.14,4,140.56,124694.99343999999,0.84336,0.0
sell,36.21,-3548,127192.96,127720.51495999999,770.83848,1280.1200000000022
buy,35.14,3609,126820.26000000001,124397.20339999997,760.92156,0.0
buy,34.43,4,137.72,124396.37707999998,0.82632,0.0
sell,36.919999999999995,-3613,126957.98000000001,132592.39531999998,800.35176,6433.979999999995
buy,36.56,3601,131652.56,136915.89995999995,789.9153600000001,0.0
sell,37.98,-3601,131652.56,136095.30407999994,820.59588,5113.419999999981
buy,36.92,3660,135127.2,137846.54087999993,810.7632000000001,0.0
sell,40.46,-3660,135127.2,147352.43927999996,888.5016,12956.399999999996
buy,39.4,3713,146292.19999999998,146474.68607999996,877.7531999999999,0.0
buy,38.33,4,153.32,142500.85615999997,0.91992,0.0
sell,39.4,-3717,146445.52,145599.34735999999,878.6988,4.280000000014802
buy,40.82,3542,144584.44,148486.36072,867.50664,0.0
sell,41.88,-3542,144584.44,147596.32696,890.03376,3754.520000000008
buy,41.17,3560,146565.2,144189.33576,879.3912,0.0
buy,40.46,3,121.38,144188.60748,0.7282800000000001,0.0
sell,41.53,-3563,146686.58000000002,147113.18913999997,887.82834,1284.8099999999763
buy,44.36999999999999,3292,146066.03999999998,147388.99289999998,876.3962399999999,0.0
buy,44.37,3,133.10999999999999,149728.69424,0.79866,0.0
sell,46.5,-3295,146199.14999999997,152335.03924,919.305,7018.350000000032
buy,48.27,3133,151229.91,152555.53978000002,907.3794600000001,0.0
sell,49.69,-3133,151229.91,154942.44716,934.07262,4448.859999999983
buy,49.34000000000001,3118,153842.12000000002,156233.17443999997,923.0527200000001,0.0
buy,49.69,3,149.07,154017.45002,0.8944200000000001,0.0
sell,47.56,-3121,153991.19000000003,147571.46146,890.60856,-5556.430000000026
buy,46.85,3127,146499.95,140031.95176,878.9997000000001,0.0
buy,44.72,4,178.88,140030.87847999998,1.07328,0.0
sell,46.14,-3131,146678.83000000002,143610.11243999997,866.7860400000001,-2214.490000000008
buy,45.43,3139,142604.77,146113.21381999998,855.62862,0.0
buy,45.79,3,137.37,142752.57959999997,0.8242200000000001,0.0
sell,46.85,-3142,142742.13999999998,146331.0034,883.2162000000001,4460.560000000022
buy,46.5,3125,145312.5,143240.3784,871.875,0.0
buy,45.79,3,137.37,141018.67417999997,0.8242200000000001,0.0
sell,48.63,-3128,145449.87,151210.38634,912.68784,6664.770000000007
buy,45.79,3279,150145.41,154965.69387999998,900.8724599999999,0.0
sell,47.21,-3279,150145.41,154036.88434,928.80954,4656.180000000006
buy,48.63,3145,152941.35,150886.28624,917.6481000000001,0.0
buy,47.919999999999995,3,143.76,153120.50368,0.8625600000000001,0.0
sell,51.47,-3148,153085.11000000002,161088.65831999996,972.1653600000001,8942.449999999973
buy,48.27,3314,159966.78,163674.83763999998,959.80068,0.0
buy,48.63,3,145.89000000000001,169547.18229999996,0.8753400000000001,0.0
sell,51.11,-3317,160112.67,168529.99107999995,1017.19122,9419.199999999973
buy,49.34,3391,167311.94,167526.11943999995,1003.8716400000001,0.0
buy,48.27,4,193.08,166307.04095999993,1.1584800000000002,0.0
sell,45.08,-3395,167505.02,152148.26135999992,918.2796,-14458.420000000004
buy,44.370000000000005,3405,151079.85,147598.4322599999,906.4790999999999,0.0
buy,43.29999999999999,3,129.89999999999998,146404.85285999993,0.7794000000000001,0.0
sell,42.24,-3408,151209.75,143121.4493399999,863.72352,-7255.830000000002
buy,41.53,3422,142115.66,143466.4553799999,852.6939600000001,0.0
sell,42.95000000000001,-3422,142115.66,146246.1459799999,881.8494000000001,4859.240000000006
buy,44.01,3299,145188.99,146562.65203999993,871.1339399999999,0.0
sell,47.92,-3299,145188.99,157325.57355999993,948.5284800000001,12899.090000000013
buy,49.69,3144,156225.36,159752.30139999994,937.35216,0.0
sell,50.76,-3144,156225.36,158794.7647599999,957.53664,3364.080000000001
buy,48.27,3266,157649.82,157848.8658399999,945.8989200000001,0.0
buy,45.79,4,183.16,153214.28687999988,1.09896,0.0
sell,48.27000000000001,-3270,157832.98,156910.6294799999,947.0574000000001,9.919999999997842
buy,48.269999999999996,3228,155815.56,150262.1761199999,934.8933600000001,0.0
buy,46.5,3,139.5,155980.20911999993,0.8370000000000001,0.0
sell,48.27000000000001,-3231,155955.06,155044.4468999999,935.7622200000001,5.310000000002589
buy,47.21,3261,153951.81,155262.0860399999,923.7108599999999,0.0
buy,46.14000000000001,3,138.42000000000002,149488.2355199999,0.8305200000000001,0.0
sell,48.27,-3264,154090.23,156637.63583999992,945.3196800000001,3463.049999999993
buy,47.209999999999994,3294,155509.74,145163.77739999993,933.05844,0.0
buy,44.01,4,176.04,151033.1611599999,1.05624,0.0
sell,45.78999999999999,-3298,155685.78,150127.0686399999,906.09252,-4670.360000000006
buy,43.3,3443,149081.9,149232.5772399999,894.4914,0.0
sell,45.43,-3443,149081.9,155627.6742999999,938.4929400000001,7333.590000000009
buy,43.66,3539,154512.74,158451.9378599999,927.07644,0.0
sell,44.72,-3539,154512.74,157502.3533799999,949.5844800000001,3751.340000000008
buy,43.66,3582,156390.12,152731.2726599999,938.3407199999999,0.0
buy,42.59,4,170.36,146383.0304999999,1.0221600000000002,0.0
sell,42.59,-3586,156560.47999999998,151813.88405999992,916.3664400000001,-3832.7399999999648
buy,43.66,3452,150714.31999999998,149666.87813999993,904.2859199999999,0.0
buy,41.53,4,166.12,143555.84141999995,0.99672,0.0
sell,40.46,-3456,150880.43999999997,139018.94285999998,838.97856,-11050.679999999977
buy,40.82,3381,138012.42,142991.88833999998,828.07452,0.0
sell,42.24,-3381,138012.42,142135.00770000002,856.8806400000001,4801.020000000006
buy,41.17,3428,141130.76,141288.22314000002,846.78456,0.0
