type,price,size,order_value,portfolio_value,commission,pnl
buy,0.05,1986085,99304.25,99404.1745,595.8255,0.0
buy,0.05,1984,99.2,99403.57930000001,0.5952000000000001,0.0
buy,0.05,2,0.1,119284.28869999999,0.0006000000000000001,0.0
sell,0.28,-1988071,99403.55,553319.9494200002,3339.95928,457256.3300000001
buy,0.31999999999999995,1717094,549470.08,515681.2489400002,3296.8204800000003,0.0
buy,0.3,1830,549.0,515677.95494000026,3.294,0.0
buy,0.3,2,0.6,481299.4313400003,0.0036,0.0
sell,0.34,-1718926,550019.6799999999,580928.3823000003,3506.6090400000003,34415.16000000015
buy,0.34,1696725,576886.5,628368.8133000003,3461.3190000000004,0.0
sell,0.37,-1696725,576886.5,624602.0838000003,3766.7295,50901.74999999995
buy,0.41,1512820,620256.2,620880.5466000002,3721.5371999999998,0.0
buy,0.41,1512,619.92,620876.8270800003,3.71952,0.0
buy,0.41,1,0.41,605733.4946200004,0.00246,0.0
sell,0.44,-1514333,620876.53,662308.9755000003,3997.8391199999996,45429.989999999954
buy,0.44,1494775,657701.0,613519.5195000003,3946.2059999999997,0.0
buy,0.41,1602,656.8199999999999,643443.1185800002,3.9409199999999998,0.0
buy,0.42,2,0.84,613515.5535400003,0.00504,0.0
sell,0.45,-1496379,658358.6599999999,669330.4902400004,4040.2232999999997,15011.890000000121
buy,0.46,1444943,664673.78,665342.4475600005,3988.04268,0.0
buy,0.45999999999999996,1443,663.78,650874.6048800005,3.9826799999999998,0.0
buy,0.45,1,0.45,665338.4721800004,0.0027,0.0
sell,0.55,-1446387,665338.01,790740.2250800005,4773.0771,130174.8400000001
buy,0.49,1602528,785238.72,737952.9527600005,4711.43232,0.0
buy,0.46,1705,784.3000000000001,737948.2469600006,4.7058,0.0
buy,0.46,2,0.92,753990.5914400005,0.005520000000000001,0.0
sell,0.54,-1604235,786023.9400000001,861089.3200400006,5197.7214,80262.96000000004
buy,0.51,1676663,855098.13,956558.5112600005,5130.588780000001,0.0
sell,0.57,-1676663,855098.13,950824.3238000005,5734.18746,100599.7799999999
buy,0.58,1627946,944208.6799999999,945159.0717200005,5665.252079999999,0.0
buy,0.58,1627,943.66,928857.6797600004,5.66196,0.0
buy,0.57,1,0.57,1059223.5963400006,0.00342,0.0
sell,0.65,-1629574,945152.9099999999,1052868.2577400007,6355.3386,114070.19000000013
buy,0.63,1659592,1045542.96,1129574.5999800009,6273.2577599999995,0.0
sell,0.68,-1659592,1045542.96,1122803.464620001,6771.13536,82979.60000000008
buy,0.73,1527386,1114991.78,1161935.093940001,6689.95068,0.0
sell,0.7600000000000001,-1527386,1114991.78,1154970.213780001,6964.880160000001,45821.58000000004
buy,0.8,1433668,1146934.4000000001,1119415.247380001,6881.606400000001,0.0
buy,0.7799999999999999,1469,1145.82,1062002.8924600007,6.87492,0.0
buy,0.74,2,1.48,1004597.3235800008,0.00888,0.0
sell,0.7799999999999999,-1435139,1148081.7000000002,1112691.9930600012,6716.450520000001,-28673.280000000133
buy,0.76,1453882,1104950.32,1106062.2911400013,6629.7019199999995,0.0
buy,0.76,1452,1103.52,1106055.6700200012,6.6211199999999995,0.0
buy,0.76,2,1.52,1106055.6609000012,0.00912,0.0
sell,0.86,-1455336,1106055.36,1244079.727140001,7509.533759999999,145533.5999999998
buy,0.87,1420027,1235423.49,1236667.186200001,7412.54094,0.0
buy,0.87,1419,1234.53,1236659.779020001,7.407179999999999,0.0
buy,0.87,2,1.74,1321946.6485800012,0.01044,0.0
sell,0.93,-1421448,1236659.76,1314014.968740001,7931.679840000001,85286.88000000008
buy,0.9100000000000001,1433926,1304872.6600000001,1277507.212780001,7829.235960000001,0.0
buy,0.8899999999999999,1465,1303.85,1263145.479680001,7.823100000000001,0.0
buy,0.88,1,0.88,1263145.4744000009,0.00528,0.0
sell,1.04,-1435392,1306177.3900000001,1483851.348320001,8956.846080000001,186630.28999999995
buy,1.12,1315649,1473526.8800000001,1527636.1470400007,8841.16128,0.0
sell,1.16,-1315649,1473526.8800000001,1518479.2300000007,9156.91704,52625.95999999975
buy,1.08,1396217,1507914.36,1425658.7238400006,9047.48616,0.0
buy,1.02,1477,1506.54,1341788.0446000006,9.03924,0.0
buy,0.96,1,0.96,1257926.3388400006,0.0057599999999999995,0.0
sell,1.0,-1397695,1509421.8600000003,1389309.6688400006,8386.17,-111726.86000000023
buy,0.9599999999999999,1437129,1379643.8399999999,1409774.3858000007,8277.863039999998,0.0
buy,0.93,1482,1378.26,1208434.676240001,8.26956,0.0
buy,0.84,1,0.84,1309137.511200001,0.00504,0.0
sell,0.9100000000000001,-1438612,1381022.94,1301282.689680001,7854.82152,-71886.01999999986
buy,0.82,1575889,1292228.98,1262011.5358000011,7753.37388,0.0
buy,0.8,1614,1291.2,1262003.7886000013,7.747200000000001,0.0
buy,0.8,1,0.8,1356654.023800001,0.0048000000000000004,0.0
sell,0.86,-1577504,1293520.98,1348514.103160001,8139.920639999999,63132.46000000006
buy,0.84,1594204,1339131.3599999999,1308595.2350000013,8034.78816,0.0
buy,0.82,1632,1338.24,1356462.2855600012,8.02944,0.0
buy,0.83,2,1.66,1276670.4156000013,0.00996,0.0
sell,0.89,-1595838,1340471.2599999998,1411774.0606800013,8521.77492,79824.56000000023
buy,0.88,1593127,1401951.76,1467087.4301200013,8411.710560000001,0.0
sell,0.92,-1593127,1401951.76,1458293.3690800013,8794.06104,63725.08000000006
buy,0.9,1609052,1448146.8,1417423.4482800013,8688.8808,0.0
buy,0.88,1644,1446.72,1336879.9679600012,8.68032,0.0
buy,0.83,2,1.66,1336879.958000001,0.00996,0.0
buy,0.59,1,0.59,950312.4344600011,0.0035399999999999997,0.0
sell,0.64,-1610699,1449595.77,1024662.3003000013,6185.084159999999,-418748.41
buy,0.61,1668087,1017533.07,985195.3618800013,6105.198420000001,0.0
buy,0.59,1723,1016.5699999999999,818208.2624600014,6.09942,0.0
buy,0.49,2,0.98,834906.3765800013,0.00588,0.0
sell,0.59,-1669812,1018550.62,979278.3221000013,5911.13448,-33361.54000000008
buy,0.55,1768118,972464.9,920399.9927000012,5834.789400000001,0.0
buy,0.52,1868,971.36,955793.8845400013,5.8281600000000005,0.0
buy,0.51,2,1.02,884994.4184200013,0.0061200000000000004,0.0
sell,0.54,-1769988,973437.28,950059.1773000013,5734.76112,-17643.76000000001
buy,0.53,1780093,943449.29,962199.4115600013,5660.695740000001,0.0
buy,0.54,1745,942.3000000000001,1015648.8977600011,5.6538,0.0
buy,0.56,2,1.12,962193.7110400014,0.006720000000000001,0.0
sell,0.62,-1781840,944392.7100000002,1098112.4662400014,6628.4448,160348.08999999976
buy,0.6099999999999999,1787660,1090472.5999999999,1091569.6306400013,6542.8356,0.0
buy,0.61,1785,1088.85,1073668.6475400014,6.5331,0.0
buy,0.6,2,1.2,1091563.1103400015,0.0072,0.0
sell,0.69,-1789447,1091562.65,1227310.5597600015,7408.31058,143155.77999999997
buy,0.7100000000000001,1716580,1218771.8,1202832.1289600015,7312.630799999999,0.0
buy,0.7,1739,1217.3,1151275.2551600013,7.3038,0.0
buy,0.67,2,1.34,1116908.8271200017,0.00804,0.0
sell,0.72,-1718321,1219990.4400000002,1229768.1504000013,7423.14672,17200.67999999969
buy,0.75,1628283,1221212.25,1206158.0469000014,7327.2735,0.0
buy,0.74,1648,1219.52,1140953.4897800013,7.31712,0.0
buy,0.7,2,1.4,1010558.8413800014,0.0084,0.0
sell,0.63,-1629933,1222433.17,1020697.0246400014,6161.14674,-195575.37999999986
buy,0.61,1661632,1013595.52,1014615.4515200014,6081.573119999999,0.0
buy,0.61,1660,1012.6,1031242.2959200013,6.0756000000000006,0.0
buy,0.64,1,0.64,1081141.0620800012,0.00384,0.0
buy,0.6,1,0.6,997976.4084800013,0.0036,0.0
sell,0.76,-1663294,1014609.36,1256518.827840001,7584.620640000001,249494.08000000007
buy,0.76,1641811,1247776.36,1265450.2796800009,7486.65816,0.0
sell,0.8200000000000001,-1641811,1247776.36,1339463.119560001,8077.71012,98508.6599999999
buy,0.82,1622126,1330143.3199999998,1380146.039640001,7980.859919999999,0.0
sell,0.96,-1622126,1330143.3199999998,1549236.453880001,9343.445759999999,227097.64
buy,0.9499999999999998,1619429,1538457.5499999998,1718142.8985800012,9230.7453,0.0
sell,1.06,-1619429,1538457.5499999998,1707843.3301400011,10299.568440000001,178137.19000000015
buy,1.0,1695961,1695961.0,1663748.344140001,10175.766,0.0
buy,0.9800000000000001,1729,1694.42,1663738.1776200011,10.16652,0.0
buy,0.96,2,1.92,1561876.6861000012,0.011519999999999999,0.0
sell,0.7900000000000001,-1697692,1697657.3399999999,1333129.666020001,8047.06008,-356480.65999999986
buy,0.78,1697249,1323854.22,1325186.540700001,7943.125320000001,0.0
buy,0.78,1696,1322.88,1308189.1534200013,7.93728,0.0
buy,0.77,1,0.77,1359157.5288000011,0.00462,0.0
buy,0.72,1,0.72,1223241.844480001,0.00432,0.0
sell,0.75,-1698947,1325178.5899999999,1266564.992980001,7645.2615000000005,-50968.339999999844
buy,0.78,1612504,1257753.12,1226768.394260001,7546.51872,0.0
buy,0.76,1653,1256.28,1259043.996580001,7.537680000000001,0.0
buy,0.75,2,1.5,1226760.867580001,0.009000000000000001,0.0
sell,0.88,-1614159,1259010.9000000001,1411937.1880600008,8522.75952,161449.0199999999
buy,0.85,1649545,1402113.25,1436515.4085600006,8412.6795,0.0
buy,0.85,1648,1400.8,1353980.3137600007,8.4048,0.0
buy,0.82,2,1.64,1387004.203920001,0.00984,0.0
sell,0.88,-1651195,1403515.69,1444333.694320001,8718.3096,49535.91000000011
buy,0.88,1629869,1434284.72,1403130.606000001,8605.70832,0.0
buy,0.86,1666,1432.76,1386806.659440001,8.59656,0.0
buy,0.85,2,1.7,1370491.2792400008,0.0102,0.0
sell,0.8,-1631537,1435719.18,1297398.421640001,7831.3776,-130489.57999999983
buy,0.83,1552255,1288371.65,1320713.2917400012,7730.2299,0.0
buy,0.84,1532,1286.8799999999999,1367334.5004600012,7.72128,0.0
sell,0.88,-1553787,1289658.5299999998,1359130.505100001,8203.995359999999,77674.03000000023
buy,0.88,1533721,1349674.48,1335695.248220001,8098.046880000001,0.0
buy,0.87,1550,1348.5,1320334.4472200011,8.091000000000001,0.0
