type,price,size,order_value,portfolio_value,commission,pnl
buy,841.27,118,99269.86,99404.38084,595.61916,0.0
sell,939.66,-118,99269.86,110349.12156,665.27928,11610.019999999999
buy,900.3,121,108936.29999999999,108506.07376000003,653.6178,0.0
sell,831.43,-121,108936.29999999999,100758.61558,603.6181799999999,-8333.27
buy,816.67,122,99633.73999999999,100761.05314000002,597.8024399999999,0.0
sell,806.83,-122,99633.73999999999,98369.73358,590.59956,-1200.47999999999
buy,806.83,121,97626.43000000001,98379.295,585.75858,0.0
sell,831.43,-121,97626.43000000001,100156.95681999999,603.6181799999999,2976.599999999989
buy,806.83,123,99240.09000000001,101376.99627999999,595.44054,0.0
sell,796.99,-123,99240.09000000001,97763.01765999998,588.17862,-1210.3200000000038
buy,860.95,112,96426.40000000001,96082.37925999999,578.5584000000001,0.0
sell,929.82,-112,96426.40000000001,104273.06021999998,624.8390400000001,7713.4400000000005
buy,1028.22,100,102822.0,101196.12821999998,616.932,0.0
sell,1033.14,-100,102822.0,103528.24421999998,619.884,492.0000000000073
buy,1042.98,98,102212.04000000001,104842.63197999998,613.27224,0.0
sell,1102.01,-98,102212.04000000001,108051.93009999997,647.9818799999999,5784.939999999997
buy,1126.61,95,107027.95,106942.36239999997,642.1677,0.0
sell,1013.4599999999999,-95,107027.95,96082.84019999998,577.6722000000001,-10749.249999999987
buy,1008.54,94,94802.76,95051.54363999997,568.81656,0.0
sell,1023.3,-94,94802.76,96324.32243999997,577.1412,1387.4399999999991
buy,983.94,97,95442.18000000001,95751.66935999997,572.65308,0.0
sell,939.6600000000001,-97,95442.18000000001,90909.62723999997,546.88212,-4295.160000000008
buy,910.14,99,90103.86,90369.00407999997,540.62316,0.0
sell,915.0599999999998,-99,90103.86,90312.53843999997,543.5456399999999,487.07999999999595
buy,895.38,100,89538.0,92727.31043999997,537.228,0.0
sell,924.9,-100,89538.0,92172.37043999997,554.9399999999999,2951.999999999998
buy,905.22,101,91427.22,92617.64711999997,548.56332,0.0
sell,880.63,-101,91427.22,88606.55533999998,533.66178,-2483.5900000000033
buy,865.87,101,87452.87,87584.91811999999,524.71722,0.0
sell,836.35,-101,87452.87,84593.49001999997,506.8281,-2981.519999999998
buy,821.59,102,83802.18000000001,82585.15693999996,502.81308,0.0
sell,841.27,-102,83802.18000000001,85583.17969999996,514.8572399999999,2007.359999999995
buy,816.67,104,84933.68,84050.21761999998,509.60208,0.0
sell,816.67,-104,84933.68,84563.97553999997,509.60208,0.0
buy,851.11,98,83408.78,80688.40285999996,500.45268,0.0
sell,816.6699999999998,-98,83408.78,80208.20089999995,480.20195999999993,-3375.1200000000053
buy,796.9899999999999,99,78902.01,79247.70883999996,473.41206,0.0
sell,806.8299999999999,-99,78902.01,80229.69181999995,479.25702,974.1600000000032
buy,782.2299999999999,101,79005.23,80749.50043999996,474.03138,0.0
sell,806.83,-101,79005.23,81751.32145999995,488.93898,2484.600000000002
buy,836.35,97,81125.95,78401.12575999997,486.7557,0.0
sell,733.0300000000001,-97,81125.95,70815.90229999994,426.62345999999997,-10022.040000000005
buy,708.4400000000002,99,70135.56000000001,70395.08893999994,420.81336,0.0
sell,708.4400000000002,-99,70135.56000000001,69974.27557999994,420.81336,0.0
buy,733.03,94,68904.81999999999,70485.80665999994,413.42892,0.0
sell,718.28,-94,68904.81999999999,67769.23673999993,405.10992000000005,-1386.5
buy,708.44,94,66593.36,65519.75657999994,399.56016000000005,0.0
buy,688.76,1,688.76,66917.82401999993,4.13256,0.0
sell,816.67,-95,67282.12,77201.57211999992,465.50190000000003,10301.53
buy,831.43,92,76491.56,77647.90275999992,458.94936,0.0
sell,836.35,-92,76491.56,76733.59755999994,461.6652,452.6400000000067
buy,856.03,89,76186.67,76276.47753999993,457.12002,0.0
sell,880.6299999999999,-89,76186.67,77995.62111999994,470.25642000000005,2189.400000000002
buy,856.03,90,77042.7,77976.16491999994,462.25620000000004,0.0
sell,885.55,-90,77042.7,79711.96791999994,478.197,2656.7999999999984
buy,1013.46,78,79049.88,74632.54863999992,474.29928000000007,0.0
sell,915.06,-78,79049.88,71134.22055999991,428.24808,-7675.200000000007
buy,890.47,79,70347.13,69157.41777999992,422.08278,0.0
sell,915.0599999999998,-79,70347.13,72221.00933999992,433.73844,1942.6099999999935
buy,895.3799999999999,80,71630.4,71398.42693999993,429.7824,0.0
sell,939.6600000000001,-80,71630.4,74882.59013999991,451.03679999999997,3542.399999999998
buy,929.8199999999999,79,73455.78,75607.89545999993,440.73468,0.0
buy,924.9,1,924.9,73260.4260599999,5.5494,0.0
sell,954.4199999999998,-80,74380.68,75951.1044599999,458.12159999999994,1972.9200000000037
buy,934.74,80,74779.2,75108.82925999991,448.67519999999996,0.0
sell,915.0599999999998,-80,74779.2,73488.8004599999,439.2288,-1574.400000000005
buy,964.26,75,72319.5,75268.8834599999,433.91700000000003,0.0
sell,993.78,-75,72319.5,74821.6824599999,447.201,2213.9999999999986
buy,998.7,74,73903.8,74014.17965999989,443.42280000000005,0.0
sell,1136.45,-74,73903.8,84067.1758599999,504.58380000000005,10193.5
buy,1077.41,77,82960.57,82432.8924399999,497.76342000000005,0.0
sell,1116.77,-77,82960.57,86084.18469999988,515.9477400000001,3030.719999999992
buy,1220.08,70,85405.59999999999,87638.15109999989,512.4336,0.0
sell,1249.6,-70,85405.59999999999,87113.31909999988,524.832,2066.3999999999987
buy,1175.81,73,85834.12999999999,85520.83431999988,515.00478,0.0
