type,price,size,order_value,portfolio_value,commission,pnl
buy,17.0,5841,99297.0,102324.718,595.782,0.0
sell,18.5,-5841,99297.0,107517.367,648.351,8761.5
buy,18.75,5694,106762.5,108300.292,640.575,0.0
sell,20.0,-5694,106762.5,113311.012,683.28,7117.5
buy,20.25,5556,112509.0,112635.958,675.054,0.0
buy,20.0,6,120.0,112636.738,0.7200000000000001,0.0
sell,20.5,-5562,112629.0,113343.112,684.126,1392.0000000000016
buy,20.25,5558,112549.5,114057.31499999999,675.297,0.0
buy,20.5,5,102.5,114056.7,0.615,0.0
sell,21.75,-5563,112652.0,120284.4785,725.9715,8343.249999999998
buy,23.0,5193,119439.0,116971.34449999999,716.634,0.0
buy,22.5,5,112.5,119569.6695,0.6749999999999999,0.0
sell,23.0,-5198,119551.5,118852.34550000001,717.3240000000001,2.50000000000378
buy,24.25,4867,118024.75,119360.94700000001,708.1485,0.0
buy,24.0,4,96.0,116926.87100000001,0.5760000000000001,0.0
sell,25.5,-4871,118120.75,123488.10800000001,745.2629999999999,6089.75
buy,25.5,4808,122604.0,125156.48400000001,735.624,0.0
buy,26.0,5,130.0,125155.70400000001,0.78,0.0
sell,26.0,-4813,122734.0,124404.87600000002,750.828,2403.999999999993
buy,25.0,4941,123525.0,121193.22600000002,741.15,0.0
buy,24.5,5,122.5,121192.49100000002,0.735,0.0
sell,26.0,-4946,123647.49999999999,127839.91500000002,771.576,4948.500000000008
buy,25.5,4978,126939.0,129567.28100000002,761.634,0.0
buy,26.0,5,130.0,129566.50100000002,0.78,0.0
sell,28.5,-4983,127069.00000000001,141171.90800000002,852.093,14946.49999999999
buy,30.5,4596,140178.0,138032.84000000003,841.068,0.0
buy,30.0,5,150.0,138031.94000000003,0.8999999999999999,0.0
sell,29.5,-4601,140328.0,134917.06300000002,814.3770000000001,-4598.499999999995
buy,28.5,4700,133950.0,131763.363,803.6999999999999,0.0
buy,28.0,5,140.0,134115.02300000002,0.84,0.0
sell,29.0,-4705,134090.0,135648.853,818.67,2354.9999999999986
buy,28.0,4810,134680.0,137245.77300000002,808.0799999999999,0.0
buy,27.5,5,137.5,134842.448,0.825,0.0
sell,28.5,-4815,134817.5,136426.583,823.365,2410.0
buy,27.5,4926,135465.0,135613.793,812.7900000000001,0.0
buy,27.0,5,135.0,133149.983,0.8099999999999999,0.0
sell,28.0,-4931,135600.0,137252.575,828.408,2468.000000000004
buy,28.0,4867,136276.0,136434.91900000002,817.6560000000001,0.0
sell,29.0,-4867,136276.0,140455.06100000002,846.8580000000001,4867.0
buy,29.5,4728,139476.0,139618.20500000002,836.8560000000001,0.0
buy,29.0,4,116.0,134887.50900000002,0.6960000000000001,0.0
sell,28.5,-4732,139592.0,134078.33700000003,809.172,-4730.000000000007
buy,28.5,4671,133123.5,133279.59600000002,798.741,0.0
buy,28.5,5,142.5,133278.74100000004,0.855,0.0
sell,29.5,-4676,133266.0,137127.08900000004,827.652,4676.0
buy,28.0,4863,136164.0,143604.60500000004,816.984,0.0
sell,29.5,-4863,136164.0,142743.85400000005,860.751,7294.5
buy,28.5,4973,141730.5,139406.97100000005,850.383,0.0
buy,28.0,5,140.0,139406.13100000005,0.84,0.0
sell,29.5,-4978,141870.5,145992.02500000005,881.1060000000001,4980.499999999993
buy,29.0,4999,144971.0,147621.69900000005,869.826,0.0
buy,29.0,5,145.0,150125.32900000006,0.87,0.0
sell,30.0,-5004,145116.0,149224.60900000005,900.72,5004.0
buy,29.5,5023,148178.5,155870.03800000006,889.071,0.0
sell,31.0,-5023,148178.5,154935.76000000007,934.278,7534.5
buy,30.0,5128,153840.0,154012.72000000006,923.04,0.0
buy,28.0,6,168.0,156590.71200000006,1.008,0.0
sell,30.5,-5134,154008.0,155651.19000000006,939.522,2578.9999999999955
buy,30.5,5067,154543.5,157257.42900000006,927.2610000000001,0.0
sell,31.0,-5067,154543.5,156314.96700000006,942.462,2533.5
buy,31.0,5007,155217.0,150376.66500000007,931.302,0.0
buy,30.0,5,150.0,145363.76500000007,0.8999999999999999,0.0
sell,28.5,-5012,155367.0,142000.71300000008,857.052,-12524.999999999993
buy,28.5,4947,140989.5,153522.27600000007,845.937,0.0
sell,31.0,-4947,140989.5,152602.13400000008,920.142,12367.5
buy,30.0,5051,151530.0,156743.95400000009,909.1800000000001,0.0
sell,31.0,-5051,151530.0,155804.46800000008,939.486,5051.0
buy,30.5,5072,154696.0,165020.29200000007,928.176,0.0
sell,32.5,-5072,154696.0,164031.25200000007,989.0400000000001,10144.0
buy,31.0,5254,162874.0,157800.00800000006,977.244,0.0
buy,30.0,5,150.0,157799.10800000007,0.8999999999999999,0.0
sell,31.0,-5259,163024.0,162079.93400000007,978.1740000000001,4.999999999996369
buy,30.5,5277,160948.5,166391.24300000007,965.6909999999999,0.0
sell,31.5,-5277,160948.5,165393.89000000007,997.353,5277.0
buy,32.0,5132,164224.0,159276.54600000006,985.344,0.0
buy,31.0,5,155.0,159275.61600000007,0.9299999999999999,0.0
sell,32.0,-5137,164379.0,163426.31200000006,986.304,5.0000000000052225
buy,34.5,4704,162288.0,160100.58400000006,973.728,0.0
buy,34.0,4,136.0,162453.76800000007,0.8160000000000001,0.0
sell,35.5,-4708,162424.0,166158.96400000007,1002.8040000000001,4709.999999999995
buy,34.5,4782,164979.0,165169.09000000005,989.874,0.0
sell,36.0,-4782,164979.0,171309.17800000004,1032.912,7173.0
buy,35.0,4860,170100.0,177578.57800000004,1020.6,0.0
sell,36.5,-4860,170100.0,176514.23800000004,1064.34,7290.0
buy,36.0,4869,175284.0,173028.03400000004,1051.7040000000002,0.0
buy,35.5,4,142.0,180336.68200000003,0.852,0.0
sell,37.0,-4873,175426.0,179254.87600000002,1081.806,4874.999999999995
buy,36.5,4876,177974.0,173311.032,1067.844,0.0
buy,35.5,5,177.5,175750.467,1.065,0.0
buy,34.0,1,34.0,168429.263,0.20400000000000001,0.0
sell,35.5,-4882,178185.5,172271.397,1039.866,-4874.500000000011
buy,35.0,4887,171045.0,168801.627,1026.27,0.0
buy,34.5,5,172.5,161462.592,1.035,0.0
sell,35.5,-4892,171217.5,172650.596,1041.996,2448.500000000003
buy,39.0,4396,171444.0,171621.932,1028.664,0.0
buy,39.5,4,158.0,176018.984,0.9480000000000001,0.0
sell,41.5,-4400,171602.0,181523.384,1095.6000000000001,10998.000000000002
buy,42.0,4291,180222.0,178296.552,1081.332,0.0
buy,41.5,5,207.5,178295.307,1.2449999999999999,0.0
sell,40.5,-4296,180429.5,172955.37900000002,1043.9279999999999,-6441.500000000011
buy,40.0,4293,171720.0,174071.559,1030.32,0.0
buy,39.0,5,195.0,165481.88900000002,1.17,0.0
sell,38.0,-4298,171915.0,162352.94500000004,979.944,-8591.000000000005
buy,37.0,4357,161209.0,163564.19100000005,967.254,0.0
buy,36.0,4,144.0,159208.32700000005,0.864,0.0
sell,35.0,-4361,161353.0,151751.01700000005,915.8100000000001,-8718.000000000015
buy,34.0,4432,150688.0,155278.88900000005,904.128,0.0
sell,35.0,-4432,150688.0,154348.16900000005,930.72,4432.0
buy,34.5,4442,153249.0,157870.67500000005,919.494,0.0
sell,36.5,-4442,153249.0,161339.87700000004,972.798,8884.0
buy,38.0,4216,160208.0,156162.62900000004,961.2479999999999,0.0
buy,37.0,4,148.0,160381.74100000004,0.888,0.0
sell,38.0,-4220,160356.0,159419.58100000003,962.16,3.9999999999986358
buy,36.5,4337,158300.5,162806.77800000002,949.8030000000001,0.0
buy,36.0,4,144.0,156300.41400000005,0.864,0.0
sell,36.5,-4341,158444.5,157520.23500000004,950.679,1.9999999999928093
buy,36.0,4345,156420.0,160926.71500000005,938.52,0.0
buy,36.5,4,146.0,154404.33900000004,0.876,0.0
sell,37.0,-4349,156566.0,159962.36100000003,965.4780000000001,4346.999999999988
buy,36.0,4412,158832.0,156803.36900000004,952.9920000000001,0.0
buy,35.5,4,142.0,156802.51700000002,0.852,0.0
sell,36.5,-4416,158974.0,160251.41300000003,967.104,2210.0000000000077
buy,37.5,4243,159112.5,148689.23800000004,954.6750000000001,0.0
buy,35.0,5,175.0,157184.18800000002,1.05,0.0
sell,37.0,-4248,159287.5,156241.132,943.056,-2111.4999999999986
buy,35.5,4370,155135.0,155310.32200000001,930.81,0.0
buy,34.5,5,172.5,159689.287,1.035,0.0
sell,36.5,-4375,155307.5,158731.162,958.125,4380.000000000011
buy,34.5,4568,157596.0,160069.586,945.576,0.0
buy,35.0,5,175.0,157782.03600000002,1.05,0.0
sell,34.5,-4573,157771.0,156835.42500000002,946.611,-2.499999999992049
buy,34.0,4580,155720.0,144451.105,934.32,0.0
buy,31.5,5,157.5,146742.66,0.945,0.0
sell,33.0,-4585,155877.5,150419.83000000002,907.83,-4572.499999999987
