type,price,size,order_value,portfolio_value,commission,pnl
buy,1.62,61298,99302.76000000001,99404.18344,595.8165600000001,0.0
buy,1.62,62,100.44000000000001,99403.5808,0.6026400000000001,0.0
sell,2.11,-61360,99403.20000000001,128693.1632,776.8176,30066.399999999987
buy,2.19,58355,127797.45,114504.7285,766.7846999999999,0.0
buy,1.96,65,127.39999999999999,121514.3641,0.7644,0.0
sell,2.3,-58420,127924.85,133560.5681,806.1959999999999,6441.1499999999905
buy,2.67,49674,132629.58,134751.75062000004,795.77748,0.0
buy,2.71,49,132.79,139723.25388000003,0.7967399999999999,0.0
sell,2.95,-49723,132762.37,145804.37678000002,880.0971000000001,13920.480000000018
buy,2.95,49081,144788.95,156715.08308,868.7337,0.0
sell,3.1899999999999995,-49081,144788.95,155775.67274,939.4103399999999,11779.439999999988
buy,3.57,43331,154691.66999999998,140548.29272000003,928.1500199999999,0.0
buy,3.24,47,152.28,136209.57904000004,0.9136800000000002,0.0
buy,2.57,1,2.57,115822.00362000002,0.01542,0.0
sell,2.95,-43379,154846.52,127200.31532000002,767.8083,-26878.469999999987
buy,2.95,42818,126313.1,126442.43672000003,757.8786000000001,0.0
buy,2.95,43,126.85000000000001,128584.72562000001,0.7611000000000001,0.0
sell,3.1,-42861,126439.95000000001,132073.61102,797.2146,6429.149999999996
buy,3.0,43718,131154.0,133472.58702,786.924,0.0
buy,3.0500000000000003,43,131.15,135659.85012000002,0.7868999999999999,0.0
sell,3.33,-43761,131285.15,144850.53534,874.3447800000001,14438.980000000009
buy,3.24,44395,143839.80000000002,143987.49654,863.0388,0.0
buy,3.24,45,145.8,139542.62174,0.8748000000000001,0.0
sell,3.4800000000000004,-44440,143985.6,153724.31454,927.9072,10665.59999999999
buy,3.8599999999999994,39547,152651.41999999998,148853.70602,915.9085200000001,0.0
buy,3.76,41,154.16,150832.18106,0.9249599999999999,0.0
sell,3.29,-39588,152805.58,129464.95394,781.46712,-22561.059999999983
buy,3.29,39077,128563.33,132210.50396,771.37998,0.0
buy,3.38,38,128.44,122822.13332000001,0.77064,0.0
sell,3.29,-39115,128691.76999999999,127917.25322,772.1301,-3.4199999999948894
buy,3.81,33340,127025.40000000001,131822.70082,762.1524,0.0
buy,3.8999999999999995,33,128.7,119141.83862,0.7722,0.0
sell,3.14,-33373,127154.1,104162.7013,628.7473200000001,-22362.879999999997
buy,3.0,34479,103437.0,103542.0793,620.622,0.0
buy,3.0,34,102.0,105267.1173,0.6120000000000001,0.0
sell,3.62,-34513,103539.0,124189.90494000001,749.6223600000001,21398.060000000005
buy,3.52,35035,123323.2,120296.81574000002,739.9392,0.0
buy,3.43,36,123.48,120296.07486000001,0.74088,0.0
sell,3.86,-35071,123446.68,134564.3605,812.24436,11927.38
buy,3.9500000000000006,33829,133624.55000000002,133762.61320000002,801.7473000000001,0.0
sell,4.24,-33829,133624.55000000002,142712.41344000003,860.6097600000002,9810.410000000002
buy,4.24,33424,141717.76,148212.66688000003,850.3065600000001,0.0
buy,4.24,33,139.92000000000002,137177.28736000002,0.83952,0.0
sell,4.95,-33457,141857.68000000005,164622.06446000005,993.6729,23754.46999999997
buy,4.76,34343,163472.68,158833.20838000005,980.8360799999999,0.0
buy,4.62,36,166.32,158832.21046000006,0.99792,0.0
sell,4.95,-34379,163639.0,169156.22416000007,1021.0563000000001,6537.050000000006
buy,4.95,33935,167978.25,168148.35466000007,1007.8695000000001,0.0
buy,4.95,34,168.3,168147.3448600001,1.0098,0.0
sell,5.24,-33969,168146.55,176930.36950000012,1067.98536,9851.010000000031
buy,5.71,30770,175696.7,170029.8893000001,1054.1802,0.0
buy,5.52,32,176.64,170028.8294600001,1.05984,0.0
sell,5.81,-30802,175873.34000000003,177887.65174000012,1073.75772,3086.279999999974
buy,5.71,30936,176644.56,170949.94438000012,1059.86736,0.0
buy,5.52,32,176.64,170948.88454000012,1.05984,0.0
buy,5.43,1,5.43,176833.0519600001,0.03258,0.0
sell,5.71,-30969,176826.63,175772.05402000013,1060.99794,6.360000000003632
buy,5.62,31058,174545.96,186526.81826000015,1047.27576,0.0
sell,6.0,-31058,174545.96,185408.73026000016,1118.0880000000002,11802.039999999997
buy,6.0,30686,184116.0,184304.03426000016,1104.6960000000001,0.0
buy,5.81,32,185.92,184308.99874000016,1.1155199999999998,0.0
sell,6.0,-30718,184301.92,183203.15074000016,1105.848,6.079999999993234
buy,7.24,25128,181926.72,184373.11042000016,1091.56032,0.0
buy,7.24,25,181.0,167773.29442000017,1.086,0.0
sell,5.71,-25153,182107.72,142764.67264000015,861.7417800000001,-38484.090000000004
buy,5.71,24828,141767.88,144396.86536000014,850.60728,0.0
buy,5.71,25,142.75,149120.57886000015,0.8564999999999999,0.0
sell,6.0,-24853,141910.63,148225.87086000014,894.708,7207.370000000001
buy,5.9,24948,147193.2,145097.39166000014,883.1592000000002,0.0
buy,5.81,25,145.25,142599.2201600001,0.8714999999999999,0.0
sell,6.1,-24973,147338.45,151424.6783600001,914.0117999999999,4996.849999999981
buy,6.0,25061,150366.0,148016.38236000013,902.1960000000001,0.0
buy,5.9,26,153.4,143248.9319600001,0.9204000000000001,0.0
sell,5.9,-25087,150519.4,147127.38216000012,888.0798,-2506.099999999988
buy,6.0,24350,146100.0,148685.78216000012,876.5999999999999,0.0
buy,5.9,25,147.5,141621.14716000014,0.885,0.0
sell,6.48,-24375,146247.5,157004.69716000013,947.7,11702.500000000004
buy,6.86,22727,155907.22,151751.12384000013,935.44332,0.0
buy,6.669999999999999,24,160.07999999999998,158120.44336000015,0.9604800000000001,0.0
sell,6.95,-22751,156067.3,157171.72666000013,948.7167000000001,2052.1500000000083
buy,7.43,21006,156074.58,162116.95918000015,936.4474799999999,0.0
sell,7.710000000000001,-21006,156074.58,161145.2216200001,971.73756,5881.680000000005
buy,7.52,21279,160018.08,160185.11314000012,960.10848,0.0
buy,7.62,21,160.02,162312.05302000014,0.96012,0.0
sell,7.71,-21300,160178.09999999998,163243.71502000015,985.338,4044.900000000019
buy,8.86,18296,162102.56,162271.09966000015,972.6153599999999,0.0
buy,8.76,19,166.44,160440.50102000014,0.99864,0.0
sell,9.05,-18315,162269.0,164757.34652000014,994.5045000000001,3481.75000000001
buy,9.24,17706,163603.44,168733.40588000012,981.6206400000001,0.0
sell,9.52,-17706,163603.44,167722.03916000013,1011.36672,4957.6799999999885
buy,9.76,17065,166554.4,179009.51276000016,999.3264,0.0
sell,10.48,-17065,166554.4,177936.46556000016,1073.0472,12286.80000000001
buy,10.0,17669,176690.0,181116.88556000014,1060.1399999999999,0.0
sell,10.24,-17669,176690.0,180031.30220000015,1085.58336,4240.560000000004
buy,10.0,17877,178770.0,183249.16220000017,1072.62,0.0
sell,10.95,-17877,178770.0,194767.31330000015,1174.5189,16983.149999999987
buy,10.71,18059,193411.89,202275.16196000014,1160.47134,0.0
sell,11.19,-18059,193411.89,201062.68070000014,1212.48126,8668.319999999976
buy,10.95,18234,199662.3,204240.86690000014,1197.9738,0.0
sell,11.67,-18234,199662.3,211716.44222000014,1276.74468,13128.480000000012
buy,11.67,18015,210235.05,210455.03192000015,1261.4103,0.0
buy,11.43,19,217.17,201801.96890000015,1.30302,0.0
sell,11.43,-18034,210452.22,204893.35718000017,1236.77172,-4323.599999999993
buy,11.67,17435,203466.45,211867.00848000016,1220.7987,0.0
buy,11.67,17,198.39,199482.88814000014,1.1903400000000002,0.0
sell,11.9,-17452,203664.84000000003,206439.25534000015,1246.0728000000001,4013.9599999999764
buy,11.9,17227,205001.30000000002,205209.24754000016,1230.0078,0.0
buy,12.14,17,206.38,209342.48926000015,1.23828,0.0
sell,11.67,-17244,205207.68000000002,200030.38438000015,1207.42488,-3970.200000000023
buy,11.43,17378,198630.54,203009.32114000016,1191.78324,0.0
buy,11.43,18,205.74,194662.32670000012,1.23444,0.0
sell,11.9,-17396,198836.28,205771.41230000014,1242.0744000000002,8176.120000000011
buy,11.67,17509,204330.03,208572.50212000014,1225.98018,0.0
buy,11.19,19,212.60999999999999,200346.55646000014,1.27566,0.0
sell,11.43,-17528,204542.63999999998,199144.48622000014,1202.07024,-4197.599999999979
buy,11.19,17672,197749.68,206440.54814000014,1186.4980799999998,0.0
sell,11.67,-17672,197749.68,205203.15470000013,1237.39344,8482.560000000007
buy,11.67,17461,203769.87,207996.56548000014,1222.61922,0.0
sell,11.9,-17461,203769.87,206749.85008000015,1246.7154,4016.0300000000075
