type,price,size,order_value,portfolio_value,commission,pnl
buy,14.439999999999998,6877,99303.87999999999,99404.17672,595.82328,0.0
buy,14.75,6,88.5,102636.79572000001,0.531,0.0
sell,15.37,-6883,99392.37999999999,105168.22546,634.75026,6399.330000000002
buy,15.37,6794,104423.78,103454.64278000001,626.54268,0.0
buy,14.75,7,103.25,101416.94328,0.6195,0.0
sell,16.29,-6801,104527.03,110137.59354,664.7297399999999,6261.259999999991
buy,15.980000000000002,6844,109367.12000000001,111603.03081999999,656.20272,0.0
sell,17.21,-6844,109367.12000000001,117192.79938000001,706.71144,8418.120000000003
buy,16.9,6886,116373.4,116494.55898000002,698.2404,0.0
buy,16.6,7,116.20000000000002,114428.06178000002,0.6972000000000002,0.0
sell,15.98,-6893,116489.6,109493.50094000003,660.9008400000001,-6339.459999999999
buy,16.9,6433,108717.7,106911.29474000003,652.3061999999999,0.0
buy,16.6,7,116.20000000000002,108842.59754000002,0.6972000000000002,0.0
sell,17.52,-6440,108833.90000000001,112158.42474000003,676.9728,3994.8999999999924
buy,17.21,6471,111365.91,111490.22928000003,668.19546,0.0
buy,17.21,7,120.47,111489.50646000003,0.7228200000000001,0.0
sell,17.21,-6478,111486.38,110820.58818000004,668.9182800000001,0.0
buy,16.9,6511,110035.9,110160.37278000003,660.2153999999999,0.0
buy,16.9,7,118.29999999999998,110159.66298000004,0.7098,0.0
sell,17.52,-6518,110154.2,113515.65082000004,685.1721600000001,4041.1600000000067
buy,17.21,6550,112725.5,114869.79782000004,676.3530000000001,0.0
buy,16.9,6,101.39999999999999,112840.54942000005,0.6084,0.0
sell,17.83,-6556,112826.90000000001,116203.90854000005,701.36088,4066.5799999999863
buy,17.83,6471,115377.93,115511.64096000005,692.26758,0.0
buy,17.52,7,122.64,111496.71512000007,0.73584,0.0
sell,16.6,-6478,115500.56999999999,106899.92632000007,645.2088000000001,-7965.769999999983
buy,19.36,5483,106150.87999999999,106263.02104000007,636.9052800000001,0.0
sell,19.98,-5483,106150.87999999999,109005.17900000008,657.30204,3399.4600000000055
buy,22.74,4760,108242.4,109831.32460000008,649.4544,0.0
buy,22.13,5,110.64999999999999,105451.46070000008,0.6638999999999999,0.0
sell,22.74,-4765,108353.04999999997,107707.97410000008,650.1365999999999,3.0500000000116323
buy,22.13,4833,106954.29,107066.24836000009,641.72574,0.0
buy,21.82,5,109.1,101116.40376000009,0.6546,0.0
sell,19.67,-4838,107063.39,94594.68300000009,570.9807600000001,-11899.929999999993
buy,19.05,4931,93935.55,97088.2897000001,563.6133000000001,0.0
sell,19.67,-4931,93935.55,96506.3330800001,581.95662,3057.220000000005
buy,19.36,4950,95832.0,94396.8410800001,574.992,0.0
buy,19.05,5,95.25,95932.3195800001,0.5715,0.0
sell,20.59,-4955,95927.25,101414.82888000009,612.1407,6096.199999999998
buy,20.28,4965,100690.20000000001,100810.68768000009,604.1412,0.0
buy,19.67,6,118.02000000000001,97781.32956000009,0.7081200000000002,0.0
sell,19.36,-4971,100808.22000000002,95662.88820000007,577.43136,-4569.660000000019
buy,18.44,5151,94984.44,98235.09156000007,569.90664,0.0
buy,18.75,5,93.75,98236.02906000007,0.5625,0.0
sell,16.6,-5156,95078.18999999999,85090.29146000008,513.5376,-9488.589999999987
buy,16.6,5090,84494.0,86110.32746000007,506.96400000000006,0.0
buy,16.6,5,83.0,87690.77946000008,0.498,0.0
sell,17.21,-5095,84577.0,87164.66976000008,526.1097,3107.949999999997
buy,16.9,5121,86544.9,88232.91036000008,519.2693999999999,0.0
buy,16.9,5,84.5,86644.89336000007,0.5069999999999999,0.0
sell,16.6,-5126,86629.4,84596.54376000009,510.54960000000005,-1537.7999999999854
buy,16.6,5060,83996.0,85610.56776000009,503.97600000000006,0.0
buy,16.29,5,81.44999999999999,84093.6290600001,0.48869999999999997,0.0
sell,16.6,-5065,84077.45,83589.1550600001,504.47400000000005,1.5500000000144176
buy,18.13,4578,82999.14,84510.34022000011,497.99483999999995,0.0
buy,19.05,4,76.2,87302.46302000011,0.45720000000000005,0.0
sell,19.67,-4582,83075.33999999998,89602.5353800001,540.76764,7052.6000000000195
buy,19.67,4523,88967.41,89068.7309200001,533.8044600000001,0.0
sell,20.9,-4523,88967.41,94064.83672000008,567.1842,5563.289999999985
buy,20.59,4536,93396.24,93504.45928000008,560.37744,0.0
buy,19.67,5,98.35000000000001,86515.32918000007,0.5901000000000001,0.0
sell,19.05,-4541,93494.59000000001,85996.29288000007,519.0363000000001,-6988.540000000012
buy,19.36,4411,85396.95999999999,85483.91112000006,512.38176,0.0
sell,19.98,-4411,85396.95999999999,87689.94044000006,528.7906800000001,2734.8200000000043
buy,20.59,4229,87075.11,88478.47978000005,522.45066,0.0
sell,21.51,-4229,87075.11,90512.37504000007,545.79474,3890.680000000007
buy,21.21,4237,89866.77,88659.70442000005,539.2006200000001,0.0
sell,22.13,-4237,89866.77,93308.62556000006,562.58886,3898.0399999999922
buy,22.74,4074,92642.76,97763.78900000006,555.85656,0.0
sell,23.97,-4074,92642.76,97177.86632000006,585.9226799999999,5011.020000000001
buy,22.74,4243,96485.81999999999,95326.05140000007,578.91492,0.0
sell,23.05,-4243,96485.81999999999,97327.47450000008,586.8069,1315.3300000000097
buy,23.67,4083,96644.61,99238.23684000009,579.8676600000001,0.0
sell,24.28,-4083,96644.61,98643.42540000008,594.8114400000001,2490.629999999998
buy,23.97,4086,97941.42,96829.97688000009,587.64852,0.0
sell,24.89,-4086,97941.42,101204.69364000008,610.20324,3759.120000000007
buy,27.05,3715,100490.75,101716.24914000009,602.9445,0.0
buy,24.89,4,99.56,91461.0517800001,0.59736,0.0
sell,22.13,-3719,100590.31,81818.50296000009,493.80881999999997,-18288.840000000004
buy,21.51,3777,81243.27,80197.94334000009,487.45962000000003,0.0
buy,20.59,4,82.36,75549.29918000009,0.49416,0.0
sell,19.98,-3781,81325.63,75096.0329000001,453.26628,-5781.249999999999
buy,18.75,3977,74568.75,75841.7204000001,447.4125,0.0
sell,19.67,-3977,74568.75,77838.0948600001,469.36554000000007,3658.840000000007
buy,21.51,3593,77285.43000000001,78488.21228000008,463.71258,0.0
buy,22.44,3,67.32000000000001,82909.0283600001,0.40392000000000006,0.0
sell,23.05,-3596,77352.75000000001,82411.7015600001,497.32680000000005,5535.049999999994
buy,23.36,3503,81830.08,83006.65108000011,490.98048,0.0
buy,22.74,3,68.22,81922.1717600001,0.40932,0.0
sell,23.36,-3506,81898.3,81430.7708000001,491.40096,1.8599999999986991
buy,23.359999999999996,3461,80848.95999999999,84129.7970400001,485.09376000000003,0.0
sell,24.28,-3461,80848.95999999999,83625.5985600001,504.1984800000001,3184.120000000006
buy,24.589999999999996,3377,83040.43,83127.3559800001,498.24258000000003,0.0
sell,25.82,-3377,83040.43,86757.9011400001,523.16484,4153.710000000002
buy,25.199999999999996,3418,86133.59999999999,95708.9595400001,516.8016,0.0
sell,27.97,-3418,86133.59999999999,95135.3507800001,573.60876,9467.859999999999
buy,31.35,3013,94457.55,91796.6454800001,566.7453,0.0
buy,30.429999999999996,3,91.28999999999999,90861.1377400001,0.54774,0.0
sell,30.730000000000004,-3016,94548.84,92144.80766000011,556.0900800000001,-1867.1599999999937
buy,30.73,2977,91483.21,93441.6484000001,548.89926,0.0
buy,30.73,3,92.19,95260.7552600001,0.5531400000000001,0.0
sell,31.96,-2980,91575.40000000001,94689.31046000011,571.4448,3665.3999999999905
buy,31.96,2942,94026.32,94125.15254000011,564.1579200000001,0.0
sell,33.81,-2942,94026.32,98971.03842000013,596.8141200000001,5442.700000000004
buy,35.04,2804,98252.16,99222.72546000013,589.51296,0.0
sell,38.42,-2804,98252.16,107212.66738000014,646.3780800000001,9477.520000000008
buy,37.5,2839,106462.5,105693.80238000014,638.775,0.0
sell,41.8,-2839,106462.5,118069.57118000014,712.0211999999999,12207.699999999992
buy,37.8,3101,117217.79999999999,120219.18438000015,703.3068,0.0
buy,37.5,3,112.5,106874.96938000017,0.675,0.0
buy,34.42,1,34.42,106874.76286000016,0.20652,0.0
sell,36.27,-3105,117364.72,111943.30276000017,675.7101,-4746.369999999995
buy,35.65,3118,111156.7,115111.50256000018,666.9402,0.0
sell,36.88,-3118,111156.7,114421.55152000018,689.9510400000001,3835.1400000000126
buy,35.65,3187,113616.54999999999,113739.85222000019,681.6993,0.0
sell,38.11,-3187,113616.54999999999,120851.1328000002,728.73942,7840.020000000003
buy,38.11,3149,120008.39,120131.0824600002,720.05034,0.0
buy,36.57,3,109.71000000000001,116258.0842000002,0.6582600000000001,0.0
sell,41.18,-3152,120118.1,129032.8880400002,778.79616,9681.259999999997
buy,43.95,2915,128114.25000000001,123775.10254000017,768.6855000000002,0.0
buy,42.41,3,127.22999999999999,121089.77916000018,0.7633800000000001,0.0
sell,43.95,-2918,128241.48000000001,127498.58256000018,769.4766,4.61999999999712
buy,43.64,2901,126599.64,129407.9047200002,759.5978399999999,0.0
buy,43.330000000000005,3,129.99,124967.6947800002,0.7799400000000001,0.0
sell,42.72,-2904,126729.63,123323.1015000002,744.3532799999999,-2670.750000000002
buy,42.11,2908,122455.88,119883.9262200002,734.73528,0.0
buy,41.18,3,123.53999999999999,119883.18498000018,0.7412400000000001,0.0
sell,35.96,-2911,122579.42,104059.68762000019,628.07736,-17899.859999999993
buy,35.34,2924,103334.16,104346.12266000017,620.0049600000001,0.0
buy,34.11,3,102.33,95364.23868000017,0.6139800000000001,0.0
sell,32.58,-2927,103436.49,94792.06872000017,572.1699600000001,-8074.830000000016
buy,32.89,2862,94131.18000000001,96860.32164000017,564.7870800000001,0.0
sell,33.81,-2862,94131.18000000001,96279.73632000019,580.58532,2633.040000000005
buy,33.81,2827,95580.87000000001,94829.88110000017,573.48522,0.0
buy,32.89,3,98.67,94831.11908000018,0.5920200000000001,0.0
sell,33.81,-2830,95679.54000000001,95134.32528000018,574.0938000000001,2.7599999999922176
buy,39.65,2382,94446.3,95282.24748000018,566.6777999999999,0.0
buy,36.88,3,110.64000000000001,87229.49364000018,0.6638400000000001,0.0
