type,price,size,order_value,portfolio_value,commission,pnl
buy,52.66,1885,99264.09999999999,99404.4154,595.5846,0.0
sell,53.11000000000001,-1885,99264.09999999999,99651.9913,600.6741000000001,848.2500000000053
buy,67.71,1461,98924.31,101045.40543999999,593.54586,0.0
sell,69.07,-1461,98924.31,100439.93781999999,605.4676199999999,1986.9599999999991
buy,64.55,1545,99729.75,96349.85931999999,598.3784999999999,0.0
buy,62.29,1,62.29,93566.68558,0.37374,0.0
sell,62.29,-1546,99792.03999999998,95771.68354,577.80204,-3491.699999999984
buy,60.94,1560,95066.4,93797.28513999999,570.3983999999999,0.0
sell,64.55,-1560,95066.4,100228.69714,604.188,5631.599999999999
buy,65.0,1531,99515.0,103780.61714,597.09,0.0
sell,67.71,-1531,99515.0,103158.63308,621.9840599999999,4149.00999999999
buy,62.75,1632,102408.0,100324.66507999999,614.448,0.0
buy,61.39,2,122.78,98853.3284,0.73668,0.0
sell,55.52,-1634,102530.78,90188.03032,544.31808,-11811.099999999993
buy,52.809999999999995,1695,89512.95,90430.65262000002,537.0777,0.0
buy,52.36,2,104.72,90431.84430000001,0.62832,0.0
sell,42.43000000000001,-1697,89617.67,71604.34204,432.02226,-17613.96
buy,50.56,1406,71087.36,69912.41788,426.52416,0.0
buy,49.66,1,49.66,67998.59992,0.29796,0.0
sell,54.17,-1407,71137.02,75800.38678,457.30314000000004,5080.169999999997
buy,51.01,1475,75239.75,71351.69828,451.4385,0.0
buy,48.3,2,96.6,73359.83867999999,0.5796,0.0
sell,50.56000000000001,-1477,75336.35,74241.07596,448.06272,-659.2299999999994
buy,49.2,1498,73701.6,73124.76636,442.2096,0.0
buy,46.5,2,93.0,69063.70835999999,0.558,0.0
sell,37.92,-1500,73794.6,56542.42836,341.28000000000003,-16914.600000000002
buy,41.08,1366,56115.28,56820.43668,336.69167999999996,0.0
buy,39.72,2,79.44,53731.90004000001,0.47664,0.0
sell,41.53,-1368,56194.72,56482.7018,340.87824,618.3200000000013
buy,40.63,1380,56069.4,54269.485400000005,336.4164,0.0
buy,39.27,1,39.27,54890.69978,0.23562000000000002,0.0
buy,35.66,1,35.66,51163.145820000005,0.21395999999999998,0.0
sell,38.37,-1382,56144.33,52710.68177999999,318.16404,-3116.9900000000052
buy,45.14,1159,52317.26,53439.87821999999,313.90355999999997,0.0
sell,46.04,-1159,52317.26,53119.71605999999,320.16216,1043.0999999999983
buy,43.79,1204,52723.159999999996,51165.937099999996,316.33896,0.0
buy,42.43,1,42.43,52804.48251999999,0.25458000000000003,0.0
sell,43.79,-1205,52765.59,52487.88081999999,316.6017,1.3600000000010226
buy,42.43,1228,52104.04,54397.936579999994,312.62424,0.0
sell,44.24,-1228,52104.04,54071.976259999996,325.96032,2222.680000000003
buy,52.81,1016,53654.96,54217.4065,321.92976000000004,0.0
sell,53.27,-1016,53654.96,53892.67258,324.73392,467.36000000000087
buy,49.66,1077,53483.82,50653.09966,320.90291999999994,0.0
buy,46.95,1,46.95,48216.53796,0.2817,0.0
sell,45.14,-1078,53530.77,48409.67244000001,291.96552,-4869.849999999993
buy,41.53,1157,48050.21,47080.07118000001,288.30126,0.0
buy,40.63,1,40.63,44983.847400000006,0.24378000000000002,0.0
sell,41.98,-1158,48090.84,48351.45036,291.67704,521.9999999999977
buy,43.34,1107,47977.380000000005,47554.36608,287.86428000000006,0.0
buy,41.53,2,83.06,44562.26772,0.49836,0.0
sell,37.92,-1109,48060.44,41803.60804,252.31968,-6007.1600000000035
buy,39.72,1045,41507.4,40614.06364,249.04440000000002,0.0
buy,38.82,1,38.82,39201.73071999999,0.23292000000000002,0.0
sell,43.79,-1046,41546.22,45537.62467999999,274.82604,4258.119999999996
buy,42.43,1065,45187.95,45266.496979999996,271.1277,0.0
buy,40.63,1,40.63,41899.4932,0.24378000000000002,0.0
sell,39.27,-1066,45228.579999999994,41648.32228,251.17092000000002,-3366.759999999994
buy,46.95,880,41316.0,41796.42628,247.89600000000002,0.0
buy,45.59,1,45.59,39806.902740000005,0.27354,0.0
sell,47.4,-881,41361.59,41547.406339999994,250.55640000000002,397.8100000000003
buy,45.59,904,41213.36,41300.12617999999,247.28016000000002,0.0
sell,47.85,-904,41213.36,43083.627779999995,259.5384,2043.0399999999981
buy,46.95,911,42771.450000000004,43236.94907999999,256.62870000000004,0.0
sell,49.66,-911,42771.450000000004,45024.36751999999,271.44156,2468.8099999999945
buy,56.88,786,44707.68,43687.161439999996,268.24608,0.0
sell,52.36,-786,44707.68,40956.471679999995,246.92976000000002,-3552.7200000000025
buy,51.46,790,40653.4,42497.95127999999,243.92040000000003,0.0
sell,53.71999999999999,-790,40653.4,42243.318479999994,254.6328,1785.3999999999985
buy,59.129999999999995,709,41923.17,40715.57946,251.53902000000005,0.0
buy,57.33,1,57.33,41673.735479999996,0.34398,0.0
sell,58.68000000000001,-710,41980.5,41423.75867999999,249.9768,-317.70000000000175
buy,58.68,701,41134.68,41492.40059999999,246.80808000000002,0.0
sell,62.29,-701,41134.68,43445.56885999999,261.99174000000005,2530.6099999999997
buy,65.91,654,43105.14,43363.518019999996,258.63084,0.0
buy,61.39,1,61.39,39876.789679999994,0.36834,0.0
sell,66.81,-655,43166.53,43518.02637999999,262.5633,594.0199999999992
buy,65.45,660,43197.0,43021.24437999999,259.182,0.0
sell,70.87,-660,43197.0,46555.39917999999,280.6452,3577.200000000001
buy,75.39,613,46214.07,45419.914759999985,277.28442,0.0
sell,75.84,-613,46214.07,46275.02523999999,278.93952,275.8500000000017
buy,106.35,432,45943.2,47208.96603999999,275.6592,0.0
sell,109.15,-432,45943.2,46926.04923999999,282.9168,1209.600000000005
buy,105.53999999999999,441,46543.14,47841.90039999999,279.25884,0.0
sell,108.25,-441,46543.14,47555.47089999999,286.42949999999996,1195.1099999999972
buy,152.58,309,47147.22,47522.877579999986,282.88332,0.0
sell,144.9,-309,47147.22,44630.82297999999,268.6446,-2373.120000000002
buy,152.4,290,44196.0,42846.04697999999,265.176,0.0
buy,147.16,1,147.16,44291.43401999999,0.88296,0.0
sell,152.13,-291,44343.16,44025.815039999994,265.61897999999997,-73.33000000000527
buy,144.0,303,43632.0,44912.39303999999,261.79200000000003,0.0
sell,147.79,-303,43632.0,44643.710819999986,268.68222,1148.3699999999976
buy,143.1,309,44217.9,44767.74341999999,265.30740000000003,0.0
sell,148.42,-309,44217.9,45747.11273999998,275.17068,1643.8799999999978
buy,144.45,314,45357.299999999996,43490.48893999999,272.1438,0.0
buy,98.86,1,98.86,31159.11577999999,0.59316,0.0
sell,105.26999999999998,-315,45456.159999999996,32979.30547999999,198.96030000000002,-12296.109999999995
buy,104.73,312,32675.760000000002,32358.930919999988,196.05456,0.0
buy,103.37,1,103.37,31341.060699999987,0.62022,0.0
sell,99.31,-313,32779.130000000005,30901.026519999985,186.50418000000002,-1695.100000000005
buy,116.46,263,30628.98,30740.922639999982,183.77388,0.0
sell,106.53,-263,30628.98,27937.558299999986,168.10434,-2611.589999999998
buy,112.49,246,27672.539999999997,27395.143059999988,166.03524,0.0
sell,105.63,-246,27672.539999999997,25928.053179999984,155.90988,-1687.56
buy,102.92,250,25730.0,26361.173179999983,154.38,0.0
sell,106.53,-250,25730.0,26516.378179999985,159.79500000000002,902.4999999999999
buy,104.46,252,26323.92,26653.274659999985,157.94351999999998,0.0
sell,108.34,-252,26323.92,27172.384579999987,163.81008,977.7600000000025
buy,110.87,243,26941.41,27076.346119999987,161.64846,0.0
sell,107.35,-243,26941.41,25998.859819999983,156.5163,-855.3600000000025
buy,99.94,258,25784.52,26053.132699999984,154.70712,0.0
sell,105.63,-258,25784.52,27148.657459999984,163.51524,1468.0199999999995
buy,103.73,259,26866.07,26311.471039999986,161.19642000000002,0.0
buy,101.12,1,101.12,26381.064319999987,0.60672,0.0
sell,95.16,-260,26967.19,24612.814719999984,148.4496,-2225.5899999999992
buy,95.7,255,24403.5,25134.493719999984,146.42100000000002,0.0
sell,98.32,-255,24403.5,24984.064119999985,150.4296,668.0999999999975
buy,108.88,227,24715.76,24631.469559999987,148.29456000000002,0.0
sell,111.05,-227,24715.76,25177.109459999985,151.2501,492.5900000000004
buy,109.6,228,24988.8,25006.65665999999,149.93280000000001,0.0
sell,108.25,-228,24988.8,24571.290659999988,148.086,-307.7999999999987
buy,104.28,233,24297.24,24551.327219999985,145.78344,0.0
sell,109.24,-233,24297.24,25428.469699999987,152.71752,1155.6799999999985
buy,105.0,240,25200.0,24994.069699999985,151.2,0.0
sell,87.57,-240,25200.0,20967.968899999985,126.10079999999999,-4183.200000000002
buy,75.84,274,20780.16,22079.02793999998,124.68096000000001,0.0
