type,price,size,order_value,portfolio_value,commission,pnl
buy,3.71,26766,99301.86,97798.22884,595.81116,0.0
buy,3.65,27,98.55,97797.63754,0.5913,0.0
sell,4.1,-26793,99400.41,109195.37973999999,659.1078,10450.889999999981
buy,4.03,26907,108435.21,106930.34847999999,650.61126,0.0
buy,3.9700000000000006,27,107.19000000000001,106929.70534,0.64314,0.0
sell,4.1,-26934,108542.40000000001,109768.54893999998,662.5764,1886.9999999999839
buy,4.03,27048,109003.44,107491.64829999999,654.0206400000001,0.0
buy,3.9700000000000006,27,107.19000000000001,109115.50515999997,0.64314,0.0
sell,4.22,-27075,109110.63,113574.21615999995,685.539,5145.8699999999835
buy,4.42,25516,112780.72,111111.41183999994,676.68432,0.0
sell,4.54,-25516,112780.72,115264.39599999995,695.05584,3061.920000000003
buy,4.42,25896,114460.31999999999,117685.15407999995,686.76192,0.0
sell,4.54,-25896,114460.31999999999,116979.74703999994,705.40704,3107.5200000000027
buy,4.8,24201,116164.8,116282.75823999994,696.9888,0.0
sell,4.93,-24201,116164.8,118713.02265999993,715.8655799999999,3146.1299999999974
buy,4.61,25572,117886.92000000001,118005.70113999993,707.3215200000001,0.0
buy,4.42,26,114.92,114682.21161999993,0.68952,0.0
sell,4.67,-25598,118001.84000000003,118828.57565999993,717.25596,1540.8199999999795
buy,4.8,24583,117998.4,118120.58525999993,707.9903999999999,0.0
sell,5.06,-24583,117998.4,123765.82537999992,746.3398799999999,6391.5799999999945
buy,5.44,22592,122900.48000000001,124383.94249999992,737.40288,0.0
buy,5.38,23,123.74,118732.21005999991,0.7424400000000001,0.0
sell,5.44,-22615,123024.22000000002,122290.90645999991,738.1536000000001,1.3799999999883727
buy,5.18,23444,121439.92,123203.34693999992,728.6395200000001,0.0
sell,5.63,-23444,121439.92,131320.12861999992,791.9383200000001,10549.800000000005
buy,5.7,22878,130404.6,131910.3810199999,782.4276,0.0
buy,5.630000000000001,23,129.49,128935.46407999992,0.7769400000000001,0.0
sell,4.93,-22901,130534.09000000001,112227.3524999999,677.41158,-17632.160000000014
buy,4.86,22931,111444.66,107201.7945399999,668.6679600000001,0.0
buy,4.67,24,112.08,107201.12205999989,0.6724800000000001,0.0
sell,4.8,-22955,111556.74,109524.1680599999,661.1039999999999,-1372.7400000000084
buy,4.74,22945,108759.3,108871.61225999989,652.5558000000001,0.0
buy,4.61,24,110.64000000000001,105888.09841999991,0.6638400000000001,0.0
sell,4.8,-22969,108869.94000000002,109590.7012199999,661.5071999999999,1381.259999999985
buy,5.06,21507,108825.42,110228.1686999999,652.9525199999999,0.0
buy,4.93,22,108.46,104634.1579399999,0.65076,0.0
sell,5.06,-21529,108933.88000000002,108286.3374999999,653.62044,2.8599999999794754
buy,4.99,21549,107529.51000000001,110442.5304399999,645.1770600000001,0.0
sell,5.12,-21549,107529.51000000001,109780.5451599999,661.9852800000001,2801.3699999999976
buy,4.93,22112,109012.15999999999,109126.4721999999,654.07296,0.0
buy,4.86,23,111.78,110455.51151999993,0.67068,0.0
sell,4.99,-22135,109123.94,109792.78961999992,662.7219,1329.7100000000091
buy,4.8,22714,109027.2,107775.78641999993,654.1632,0.0
buy,4.61,24,110.64000000000001,106186.58257999991,0.6638400000000001,0.0
sell,4.67,-22738,109137.84,105549.46381999992,637.11876,-2951.3800000000006
buy,4.67,22444,104813.48,106491.66293999992,628.88088,0.0
buy,4.54,23,104.42,104922.94641999992,0.6265200000000001,0.0
sell,4.54,-22467,104917.89999999998,101390.23533999991,612.00108,-2917.719999999985
buy,4.54,22177,100683.58,100786.13385999991,604.10148,0.0
sell,4.74,-22177,100683.58,104590.81997999993,630.7138800000001,4435.400000000004
buy,4.8,21638,103862.4,102669.36557999993,623.1744,0.0
buy,4.61,22,101.42,99855.81705999994,0.6085200000000001,0.0
sell,4.8,-21660,103963.81999999999,103347.40905999993,623.808,4.180000000006121
buy,5.57,18425,102627.25,101441.89555999993,615.7635,0.0
buy,5.25,19,99.75,93330.68705999994,0.5985,0.0
sell,5.31,-18444,102727.0,97354.06121999993,587.6258399999999,-4789.3600000000115
buy,5.12,18882,96675.84,95641.08617999993,580.0550400000001,0.0
buy,5.12,19,97.28,96773.42249999993,0.5836800000000001,0.0
sell,5.25,-18901,96773.12,98635.17099999993,595.3815000000001,2457.129999999998
buy,5.18,18909,97948.62,98047.47927999993,587.69172,0.0
buy,4.99,19,94.81,95779.16041999993,0.56886,0.0
sell,5.12,-18928,98043.43,96333.37225999993,581.46816,-1132.069999999998
buy,5.06,18905,95659.29999999999,96893.71645999995,573.9558,0.0
buy,4.99,19,94.81,93300.05759999994,0.56886,0.0
sell,5.06,-18924,95754.11,95185.64495999995,574.5326399999999,1.3299999999985879
buy,5.06,18680,94520.79999999999,95739.32015999996,567.1247999999999,0.0
buy,4.86,19,92.34,92190.89611999995,0.5540400000000001,0.0
sell,5.12,-18699,94613.13999999998,95169.27283999996,574.4332800000001,1125.7400000000148
buy,4.99,18939,94505.61,95927.96917999996,567.03366,0.0
buy,4.99,19,94.81,93464.19031999995,0.56886,0.0
sell,5.12,-18958,94600.42,96483.82055999995,582.38976,2464.539999999998
buy,4.99,19200,95808.0,95908.97255999995,574.8480000000001,0.0
sell,5.76,-19200,95808.0,110029.42055999996,663.552,14783.999999999993
buy,5.5,19866,109263.0,110764.46255999997,655.578,0.0
buy,5.25,20,105.0,105599.87255999995,0.63,0.0
sell,5.38,-19886,109368.0,106349.97247999995,641.92008,-2381.3200000000006
buy,4.93,21421,105605.53,102931.60929999995,633.63318,0.0
buy,4.8,22,105.6,107005.14569999996,0.6336,0.0
sell,4.99,-21443,105711.13,106363.14227999997,642.0034200000001,1289.440000000002
buy,5.18,20390,105620.2,105729.42107999997,633.7212,0.0
buy,4.93,22,108.46,96752.99031999998,0.65076,0.0
sell,4.67,-20412,105728.66,94752.20607999997,571.94424,-10404.62000000001
buy,4.93,19085,94089.04999999999,96668.72177999998,564.5343,0.0
buy,4.86,20,97.2,95334.78857999998,0.5832,0.0
sell,4.93,-19105,94186.24999999999,93623.36267999998,565.1259,1.4000000000071733
buy,4.86,19130,92971.8,96891.53187999997,557.8308000000001,0.0
sell,5.06,-19130,92971.8,96310.74507999996,580.7868,3825.9999999999864
buy,5.06,18901,95639.06,98005.03071999997,573.83436,0.0
sell,5.18,-18901,95639.06,97417.58763999997,587.44308,2268.120000000002
buy,5.06,19118,96737.07999999999,97984.24515999999,580.42248,0.0
buy,4.99,19,94.81,97986.14629999998,0.56886,0.0
sell,5.06,-19137,96831.88999999998,96256.92697999996,580.99932,1.3300000000051373
buy,5.06,18890,95583.4,94361.12657999997,573.5004,0.0
sell,5.12,-18890,95583.4,96236.52577999997,580.3008,1133.4000000000094
buy,5.38,17763,95564.94,95663.13613999997,573.38964,0.0
buy,5.38,18,96.84,95662.55509999997,0.58104,0.0
sell,5.76,-17781,95661.78,101804.82373999996,614.51136,6756.779999999998
buy,6.4,15796,101094.40000000001,101198.25733999997,606.5664,0.0
buy,6.21,16,99.36,97089.58117999995,0.59616,0.0
sell,6.559999999999999,-15812,101193.76000000001,103108.26085999995,622.36032,2532.959999999991
buy,6.4,15998,102387.20000000001,102493.93765999995,614.3232,0.0
sell,7.2,-15998,102387.20000000001,114601.22405999995,691.1136,12798.399999999998
buy,6.88,16541,113802.08,116564.97157999995,682.8124799999999,0.0
sell,7.52,-16541,113802.08,123758.32165999994,746.3299199999999,10586.239999999994
buy,7.2,17069,122896.8,123020.94085999994,737.3808,0.0
sell,7.52,-17069,122896.8,127712.86757999993,770.15328,5462.07999999999
buy,7.36,17231,126820.16,132465.86661999993,760.92096,0.0
sell,7.679999999999999,-17231,126820.16,131671.86213999992,794.00448,5513.919999999989
buy,7.2,18160,130752.0,133792.95013999994,784.5120000000001,0.0
sell,7.68,-18160,130752.0,138767.3373399999,836.8128,8716.799999999992
buy,7.519999999999999,18324,137796.47999999998,135008.71845999995,826.77888,0.0
buy,7.36,19,139.84,137942.75941999993,0.8390400000000001,0.0
sell,7.52,-18343,137936.31999999998,137115.12325999993,827.63616,3.040000000015339
buy,7.84,17367,136157.28,139076.89957999994,816.94368,0.0
sell,8.0,-17367,136157.28,138243.28357999993,833.616,2778.7200000000025
buy,7.68,17875,137280.0,137419.60357999994,823.68,0.0
buy,7.52,18,135.35999999999999,137421.6714199999,0.81216,0.0
sell,8.0,-17893,137415.36,142288.56741999992,858.864,5728.640000000018
buy,7.840000000000001,18022,141292.48,141440.81253999993,847.7548800000001,0.0
sell,8.16,-18022,141292.48,146325.49541999993,882.35712,5767.040000000005
buy,7.04,20640,145305.6,155360.8618199999,871.8336,0.0
sell,7.52,-20640,145305.6,154429.5850199999,931.2768,9907.19999999999
buy,7.360000000000001,20836,153352.96000000002,146841.9472599999,920.1177600000001,0.0
buy,7.04,22,154.88,146841.0179799999,0.92928,0.0
sell,7.36,-20858,153507.84000000003,152594.4886999999,921.08928,7.039999999979447
buy,7.2,21046,151531.2,158420.0214999999,909.1872,0.0
sell,7.52,-21046,151531.2,157470.4259799999,949.59552,6734.7199999999875
buy,7.2,21718,156369.6,153057.3283799999,938.2176,0.0
buy,7.04,22,154.88,153056.39909999992,0.92928,0.0
sell,7.359999999999999,-21740,156524.48,159053.16069999995,960.0384,3481.920000000001
buy,7.04,22435,157942.4,154515.90629999994,947.6544000000001,0.0
buy,6.880000000000001,23,158.24,154514.95685999998,0.9494400000000001,0.0
sell,7.36,-22458,158100.63999999998,164303.05157999997,991.74528,7190.240000000031
buy,7.52,21696,163153.91999999998,163324.12805999996,978.92352,0.0
buy,7.52,22,165.44,163323.13541999998,0.99264,0.0
sell,8.32,-21718,163319.36,179613.37286,1084.16256,17374.400000000016
buy,8.48,21033,178359.84,178543.21382,1070.15904,0.0
buy,8.16,22,179.52,181917.97670000003,1.07712,0.0
sell,8.64,-21055,178539.36,180826.48550000004,1091.4912000000002,3375.840000000036
buy,9.12,19689,179563.68,179749.10342000003,1077.3820799999999,0.0
sell,9.4,-19689,179563.68,184151.56382000004,1110.4596000000001,5512.920000000023
buy,9.8,18660,182868.0,197982.35582000003,1097.208,0.0
sell,10.6,-18660,182868.0,196795.57981999998,1186.776,14927.99999999998
buy,10.0,19542,195420.0,203439.85982,1172.52,0.0
sell,10.4,-19542,195420.0,202220.43902000002,1219.4208,7816.800000000007
buy,10.0,20081,200810.0,205031.77902000002,1204.8600000000001,0.0
sell,10.2,-20081,200810.0,203802.82182,1228.9572,4016.1999999999857
buy,10.4,19460,202384.0,206480.51782,1214.304,0.0
sell,10.6,-19460,202384.0,205242.86182000002,1237.656,3891.9999999999864
buy,10.2,19981,203806.19999999998,200023.82462000003,1222.8372,0.0
buy,10.0,21,210.0,200022.56462000005,1.26,0.0
sell,9.4,-20002,204016.19999999998,186893.25182000006,1128.1128,-15997.399999999961
buy,8.4,22094,185589.6,190198.51422000004,1113.5375999999999,0.0
buy,8.2,23,188.6,181359.78262,1.1316,0.0
sell,8.6,-22117,185778.2,189065.34542000003,1141.2372,4427.999999999976
buy,8.2,22896,187747.19999999998,201676.46222000007,1126.4832,0.0
sell,8.8,-22896,187747.19999999998,200467.55342000007,1208.9088000000002,13737.600000000033
buy,9.2,21638,199069.59999999998,199273.13582000008,1194.4176,0.0
buy,9.0,22,198.0,190612.3478200001,1.1880000000000002,0.0
sell,8.8,-21660,199267.6,189468.69982000013,1143.6480000000001,-8659.599999999979
buy,9.2,20451,188149.19999999998,196520.20462000015,1128.8952,0.0
sell,9.6,-20451,188149.19999999998,195342.2270200001,1177.9776,8180.400000000007
buy,9.6,20206,193977.6,190137.1614200001,1163.8656,0.0
buy,9.4,21,197.4,194181.37702000007,1.1844000000000001,0.0
sell,10.2,-20227,194174.99999999997,205079.68462000004,1237.8924,12140.400000000001
buy,9.6,21213,203644.8,199615.21582000007,1221.8688,0.0
sell,9.6,-21213,203644.8,202635.94702000005,1221.8688,0.0
buy,9.4,21407,201225.80000000002,192865.79222000003,1207.3548,0.0
buy,9.0,22,198.0,201436.20422000004,1.1880000000000002,0.0
sell,9.4,-21429,201423.80000000002,200227.60862000004,1208.5956,8.799999999979441
buy,9.4,21152,198828.80000000002,199034.63582000005,1192.9728,0.0
buy,9.2,22,202.39999999999998,190568.22142000002,1.2144,0.0
sell,8.8,-21174,199031.2,185215.43422000002,1117.9872,-12699.999999999996
buy,9.0,20436,183924.0,184111.89022000003,1103.544,0.0
sell,9.2,-20436,183924.0,187071.02302000002,1128.0672,4087.1999999999853
buy,9.0,20641,185769.0,185956.40902000002,1114.614,0.0
buy,9.0,20,180.0,181823.12902000005,1.08,0.0
sell,8.6,-20661,185949.0,176624.82142000005,1066.1076,-8264.400000000007
buy,8.0,21924,175392.0,179957.26942000003,1052.352,0.0
buy,8.0,22,176.0,179960.61342000004,1.056,0.0
sell,8.2,-21946,175568.0,178880.87022000004,1079.7432000000001,4389.199999999984
buy,8.2,21662,177628.4,177815.09982000003,1065.7703999999999,0.0
buy,8.0,23,184.0,173481.59582000005,1.104,0.0
sell,8.2,-21685,177812.4,176751.69382000004,1066.902,4.599999999999191
buy,7.92,22161,175515.12,173925.72310000003,1053.0907200000001,0.0
buy,7.28,25,182.0,161514.47110000005,1.092,0.0
sell,7.360000000000001,-22186,175697.12,162309.61734000003,979.7337600000002,-12408.159999999998
buy,7.36,21899,161176.64,159590.6375,967.0598400000001,0.0
buy,7.28,22,160.16,159589.67654000001,0.96096,0.0
sell,7.36,-21921,161336.80000000002,160375.32518,968.0313600000001,1.7599999999843465
buy,7.12,22367,159253.04,161209.16694,955.51824,0.0
sell,7.359999999999999,-22367,159253.04,163800.16022000002,987.72672,5368.0800000000045
buy,7.28,22343,162657.04,161036.77798,975.94224,0.0
buy,7.2,23,165.6,153878.66438,0.9936000000000001,0.0
sell,6.8,-22366,162822.64,151176.85158000002,912.5328,-10733.840000000018
buy,6.639999999999999,22609,150123.75999999998,153893.54902,900.7425599999999,0.0
buy,6.64,22,146.07999999999998,148464.75254000002,0.87648,0.0
sell,5.92,-22631,150269.83999999997,133177.05942,803.85312,-16294.319999999974
buy,6.48,20409,132250.32,134016.27749999997,793.5019200000002,0.0
buy,6.4,20,128.0,127481.4295,0.768,0.0
sell,6.4,-20429,132378.32,129965.5959,784.4736,-1632.7200000000041
buy,6.32,20421,129060.72,125923.87158,774.36432,0.0
buy,6.160000000000001,21,129.36,125923.09542,0.7761600000000001,0.0
sell,5.84,-20442,129190.08,118665.36774,716.28768,-9808.80000000001
buy,5.68,20746,117837.28,119618.02406,707.02368,0.0
buy,5.6,21,117.6,116297.95846,0.7056,0.0
sell,5.6,-20767,117954.88,115600.18725999998,697.7712,-1659.6800000000178
buy,5.44,21102,114794.88,116599.57797999997,688.7692800000001,0.0
sell,5.68,-21102,114794.88,119256.74181999997,719.15616,5064.479999999986
buy,5.52,21454,118426.07999999999,118546.18533999997,710.5564799999999,0.0
sell,5.84,-21454,118426.07999999999,124659.71717999996,751.7481599999999,6865.280000000006
