type,price,size,order_value,portfolio_value,commission,pnl
buy,1080.0,91,98280.0,98955.32,589.6800000000001,0.0
sell,1110.0,-91,98280.0,101534.26000000001,606.0600000000001,2730.0
buy,1070.0,94,100580.0,100930.78000000001,603.48,0.0
sell,1060.0,-94,100580.0,99392.94000000002,597.84,-940.0
buy,1000.0,98,98000.0,95864.94000000002,588.0,0.0
sell,1045.0,-98,98000.0,102600.48000000001,614.4599999999999,4410.0
buy,1070.0,95,101650.0,103890.58000000002,609.9000000000001,0.0
sell,1150.0,-95,101650.0,108935.08000000002,655.5000000000001,7600.0
buy,1205.0,89,107245.0,108291.61000000002,643.47,0.0
sell,1275.0,-89,107245.0,113840.76000000001,680.85,6230.0
buy,1250.0,90,112500.0,111815.76000000001,675.0,0.0
sell,1285.0,-90,112500.0,115621.86000000002,693.9000000000001,3150.0
buy,1275.0,90,114750.0,112233.36000000002,688.5,0.0
sell,1320.0,-90,114750.0,118270.56000000001,712.8000000000001,4050.0
buy,1385.0,84,116340.0,116312.52000000002,698.04,0.0
sell,1370.0,-84,116340.0,115622.04000000002,690.48,-1260.0
buy,1450.0,79,114550.0,114934.74000000002,687.3000000000001,0.0
sell,1410.0,-79,114550.0,111106.40000000002,668.34,-3160.0
buy,1355.0,81,109755.0,108017.87000000002,658.53,0.0
sell,1330.0,-81,109755.0,107776.49000000002,646.38,-2025.0
buy,1355.0,78,105690.0,108312.35000000002,634.14,0.0
buy,1285.0,1,1285.0,101279.64000000001,7.71,0.0
sell,1335.0,-79,106975.0,104991.85000000002,632.7900000000001,-1510.0000000000016
buy,1305.0,79,103095.0,102398.28000000001,618.57,0.0
sell,1310.0,-79,103095.0,104147.34000000001,620.94,395.0
buy,1355.0,76,102980.0,102769.46,617.88,0.0
sell,1405.0,-76,102980.0,106688.78000000001,640.6800000000001,3800.0
buy,1355.0,78,105690.0,106444.64000000001,634.14,0.0
sell,1465.0,-78,105690.0,113949.02000000002,685.62,8580.0
buy,1430.0,79,112970.0,113271.20000000001,677.82,0.0
sell,1545.0,-79,112970.0,121623.87000000001,732.33,9085.0
buy,1590.0,75,119250.0,116783.37000000001,715.5,0.0
buy,1535.0,1,1535.0,117154.16,9.21,0.0
sell,1605.0,-76,120785.0,121362.28,731.88,1194.9999999999945
buy,1590.0,75,119250.0,116896.78,715.5,0.0
sell,1685.0,-75,119250.0,127013.53,758.25,7125.0
buy,1640.0,76,124640.0,124745.69,747.84,0.0
buy,1560.0,1,1560.0,118636.33,9.36,0.0
sell,1610.0,-77,126200.0,123282.51,743.82,-2229.9999999999927
buy,1745.0,70,122150.0,122549.61,732.9,0.0
sell,1800.0,-70,122150.0,125643.61,756.0,3850.0
buy,1780.0,70,124600.0,128746.01,747.6,0.0
sell,1835.0,-70,124600.0,127975.31,770.6999999999999,3850.0
buy,1805.0,70,126350.0,126867.20999999999,758.1,0.0
sell,1795.0,-70,126350.0,125763.31,753.9,-700.0
buy,1855.0,67,124285.0,124347.59999999999,745.71,0.0
sell,1750.0,-67,124285.0,117279.09999999999,703.5,-7035.0
buy,1745.0,66,115170.0,117248.07999999999,691.02,0.0
sell,2125.0,-66,115170.0,140826.58,841.5,25080.0
buy,2150.0,65,139750.0,138688.08,838.5,0.0
sell,2010.0,-65,139750.0,130104.18,783.9,-9100.0
buy,1975.0,65,128375.0,130958.93,770.25,0.0
sell,1830.0,-65,128375.0,119195.23,713.7,-9425.0
buy,1860.0,63,117180.0,115027.15,703.08,0.0
sell,1900.0,-63,117180.0,120293.95,718.2,2520.0
buy,2005.0,59,118295.0,123124.18,709.77,0.0
sell,2065.0,-59,118295.0,122393.17,731.01,3540.0
buy,2010.0,60,120600.0,119269.56999999999,723.6,0.0
sell,2025.0,-60,120600.0,121840.56999999999,729.0,900.0
buy,1890.0,64,120960.0,123674.81,725.76,0.0
sell,2040.0,-64,120960.0,129931.45,783.36,9600.0
buy,2000.0,64,128000.0,130443.45,768.0,0.0
sell,2110.0,-64,128000.0,135393.21000000002,810.24,7040.0
buy,2200.0,61,134200.0,139773.01,805.1999999999999,0.0
sell,2285.0,-61,134200.0,138936.7,836.31,5185.0
buy,2225.0,62,137950.0,137799.0,827.7,0.0
sell,2225.0,-62,137950.0,137281.3,827.7,0.0
buy,2180.0,62,135160.0,137710.34,810.96,0.0
sell,2265.0,-62,135160.0,140897.76,842.58,5270.0
buy,2420.0,57,137940.0,147195.12,827.6400000000001,0.0
sell,2545.0,-57,137940.0,146324.72999999998,870.3900000000001,7125.0
buy,2520.0,57,143640.0,141472.88999999998,861.84,0.0
sell,2555.0,-57,143640.0,146584.08,873.8100000000001,1995.0
buy,2445.0,59,144255.0,143063.55,865.53,0.0
sell,2450.0,-59,144255.0,145146.25,867.3,295.0
buy,2450.0,58,142100.0,144293.65,852.6,0.0
sell,2490.0,-58,142100.0,145747.13,866.5200000000001,2320.0
buy,2630.0,55,144650.0,145154.23,867.9000000000001,0.0
sell,2550.0,-55,144650.0,139637.73,841.5,-4400.0
buy,2550.0,54,137700.0,126391.53000000001,826.2,0.0
sell,2420.0,-54,137700.0,131007.45,784.08,-7020.0
buy,2350.0,55,129250.0,129956.95,775.5,0.0
sell,2390.0,-55,129250.0,131643.25,788.7,2200.0
buy,2500.0,52,130000.0,130863.25,780.0,0.0
sell,2515.0,-52,130000.0,130858.57,784.68,780.0
buy,2530.0,51,129030.0,132124.39,774.18,0.0
sell,2555.0,-51,129030.0,130577.56000000001,781.83,1275.0
buy,2650.0,48,127200.0,129334.36000000002,763.2,0.0
buy,2520.0,1,2520.0,123559.24,15.120000000000001,0.0
sell,2625.0,-49,129720.0,127932.49,771.75,-1095.0000000000073
buy,2555.0,49,125195.0,127916.32,751.17,0.0
sell,2520.0,-49,125195.0,124725.44,740.88,-1715.0
buy,3170.0,39,123630.0,122618.66,741.7800000000001,0.0
sell,3110.0,-39,123630.0,120915.92,727.74,-2340.0
buy,3015.0,39,117585.0,120990.41,705.51,0.0
sell,3100.0,-39,117585.0,122800.01000000001,725.4000000000001,3315.0
buy,3035.0,40,121400.0,122671.61000000002,728.4,0.0
sell,3110.0,-40,121400.0,124325.21000000002,746.4,3000.0
buy,3060.0,40,122400.0,123390.81000000003,734.4,0.0
sell,2800.0,-40,122400.0,112518.81000000003,672.0,-10400.0
buy,2865.0,39,111735.0,114383.40000000002,670.4100000000001,0.0
sell,2870.0,-39,111735.0,111371.82000000002,671.58,195.0
buy,2845.0,38,108110.0,106353.16000000002,648.66,0.0
sell,2795.0,-38,108110.0,108185.90000000002,637.26,-1900.0
buy,2730.0,39,106470.0,103257.08000000002,638.82,0.0
sell,2800.0,-39,106470.0,109621.88000000002,655.2,2730.0
buy,2620.0,41,107420.0,108567.36000000002,644.52,0.0
sell,2455.0,-41,107420.0,101608.43000000002,603.93,-6765.0
buy,2375.0,42,99750.0,102689.93000000002,598.5,0.0
sell,2425.0,-42,99750.0,102498.83000000002,611.1,2100.0
buy,2425.0,41,99425.0,99852.28000000001,596.55,0.0
buy,2375.0,1,2375.0,100678.03000000001,14.25,0.0
sell,2710.0,-42,101800.0,113225.11000000002,682.92,12019.999999999998
buy,2690.0,41,110290.0,108668.37000000001,661.74,0.0
sell,2550.0,-41,110290.0,106196.07,627.3,-5740.0
buy,2610.0,40,104400.0,101369.67000000001,626.4,0.0
sell,2430.0,-40,104400.0,97786.47000000002,583.1999999999999,-7200.0
buy,2390.0,40,95600.0,92612.87000000001,573.6,0.0
sell,2345.0,-40,95600.0,94850.07,562.8,-1800.0
buy,2295.0,41,94095.0,89775.5,564.5699999999999,0.0
sell,1930.0,-41,94095.0,78845.72,474.78,-14965.0
buy,1940.0,40,77600.0,79780.12,465.59999999999997,0.0
sell,2070.0,-40,77600.0,83083.31999999999,496.79999999999995,5200.0
buy,2235.0,36,80460.0,79180.56,482.76,0.0
sell,2260.0,-36,80460.0,83012.4,488.15999999999997,900.0
buy,2180.0,37,80660.0,78088.43999999999,483.96,0.0
sell,2135.0,-37,80660.0,80389.46999999999,473.97,-1665.0
buy,2230.0,35,78050.0,82546.16999999998,468.29999999999995,0.0
sell,2305.0,-35,78050.0,82062.11999999998,484.04999999999995,2625.0
