type,price,size,order_value,portfolio_value,commission,pnl
buy,5.65,17575,99298.75,99404.2075,595.7925,0.0
buy,5.65,18,101.7,97996.1573,0.6102000000000001,0.0
sell,8.61,-17593,99400.45,150570.02292,908.85438,52075.28
buy,8.61,17366,149521.25999999998,151235.83536,897.1275599999999,0.0
buy,8.7,17,147.89999999999998,158709.63796000002,0.8874,0.0
sell,10.43,-17383,149669.15999999997,180219.70982000002,1087.82814,31635.530000000024
buy,10.65,16804,178962.6,175449.05422000002,1073.7756,0.0
buy,10.43,17,177.31,175447.99036000003,1.06386,0.0
sell,14.57,-16821,179139.91,243616.43854000003,1470.49182,65942.06
buy,14.78,16368,241919.03999999998,238727.64430000007,1451.51424,0.0
buy,14.57,16,233.12,238726.24558000005,1.39872,0.0
sell,14.57,-16384,242152.15999999997,237293.95630000005,1432.28928,-3437.2799999999697
buy,14.57,16173,235640.61000000002,235880.11264000004,1413.84366,0.0
buy,15.0,15,225.0,235872.31264000005,1.3499999999999999,0.0
sell,15.22,-16188,235865.61000000002,244916.22448000006,1478.28816,10515.749999999993
buy,15.22,15979,243200.38,246812.61220000006,1459.20228,0.0
buy,15.22,16,243.52,243455.56108000007,1.4611200000000002,0.0
sell,15.87,-15995,243443.9,252329.26718000005,1523.0439,10396.750000000005
buy,15.87,15789,250571.43,250825.83860000005,1503.42858,0.0
buy,15.65,16,250.4,247350.75620000006,1.5024,0.0
sell,16.96,-15805,250821.83,266446.98940000014,1608.3168,17230.97000000003
buy,16.74,15806,264592.44,254585.53476000018,1587.5546399999998,0.0
buy,16.09,16,257.44,268349.1301200001,1.54464,0.0
sell,16.96,-15822,264849.88,266739.0834000002,1610.04672,3491.240000000036
buy,17.39,15231,264867.09,265149.88086000015,1589.20254,0.0
sell,18.5,-15231,264867.09,280365.6498600001,1690.6409999999998,16906.409999999993
buy,18.75,14848,278400.0,278695.2498600001,1670.4,0.0
buy,18.25,16,292.0,282417.4978600001,1.752,0.0
sell,19.0,-14864,278692.0,280723.00186000013,1694.4959999999999,3724.000000000012
buy,20.25,13766,278761.5,272167.4328600001,1672.569,0.0
buy,19.75,14,276.5,268720.77386000013,1.659,0.0
sell,19.0,-13780,279038.0,260259.85386000012,1570.92,-17218.00000000001
buy,18.5,13970,258445.0,251724.1838600001,1550.67,0.0
buy,18.0,14,252.0,244730.67186000012,1.512,0.0
sell,18.75,-13984,258697.0,260637.4718600001,1573.1999999999998,3503.0000000000064
buy,18.75,13803,258806.25,259084.6343600001,1552.8374999999999,0.0
buy,18.5,14,259.0,259086.5803600001,1.554,0.0
sell,20.5,-13817,259065.24999999997,281566.8393600001,1699.491,24183.250000000025
buy,20.5,13639,279599.5,290118.4923600001,1677.597,0.0
sell,21.25,-13639,279599.5,288379.5198600001,1738.9725,10229.25
buy,22.75,12587,286354.25,283514.6443600001,1718.1255,0.0
buy,21.5,14,301.0,261475.0883600001,1.806,0.0
sell,19.75,-12601,286655.25,247380.86986000012,1493.2185,-37785.49999999999
buy,19.75,12438,245650.5,249016.46686000013,1473.903,0.0
buy,19.75,12,237.0,239680.5448600001,1.4220000000000002,0.0
buy,17.25,1,17.25,224118.6913600001,0.10350000000000001,0.0
sell,19.5,-12451,245904.74999999997,241338.42436000012,1456.767,-3110.249999999984
buy,19.25,12449,239643.25,249237.31486000013,1437.8595,0.0
sell,20.0,-12449,239643.25,247743.43486000012,1493.88,9336.75
buy,19.5,12616,246012.0,243113.36286000014,1476.072,0.0
buy,18.75,13,243.75,239961.15036000012,1.4625,0.0
sell,20.5,-12629,246255.75,257351.28336000012,1553.367,12638.750000000004
buy,20.0,12778,255560.0,249428.92336000013,1533.3600000000001,0.0
buy,19.5,13,253.5,246229.65236000012,1.521,0.0
sell,19.75,-12791,255813.5,251109.41886000012,1515.7334999999998,-3191.249999999998
buy,19.25,12953,249345.25,249613.34736000013,1496.0715,0.0
sell,20.0,-12953,249345.25,257773.73736000014,1554.3600000000001,9714.75
buy,19.75,12961,255979.75,259478.10886000015,1535.8785,0.0
sell,21.5,-12961,255979.75,277247.63986000017,1671.969,22681.75
buy,21.5,12805,275307.5,275595.7948600002,1651.845,0.0
buy,20.75,13,269.75,262785.92636000016,1.6185,0.0
sell,19.0,-12818,275577.25,242097.67436000018,1461.252,-32035.249999999978
buy,19.5,12328,240396.0,240655.2983600002,1442.376,0.0
buy,19.75,13,256.75,240650.5078600002,1.5405,0.0
sell,19.75,-12341,240652.75,242273.3493600002,1462.4085000000002,3081.999999999986
buy,20.0,12029,240580.0,240829.8693600002,1443.48,0.0
buy,19.25,12,231.0,225786.2333600002,1.3860000000000001,0.0
buy,17.25,1,17.25,216756.1298600002,0.10350000000000001,0.0
sell,16.25,-12042,240828.24999999997,194508.5348600002,1174.095,-45145.74999999998
buy,16.75,11531,193144.25,199115.16936000017,1158.8655,0.0
sell,17.75,-11531,193144.25,203652.61786000017,1228.0515,11531.0
buy,18.5,10931,202223.5,202439.2768600002,1213.341,0.0
sell,19.0,-10931,202223.5,206658.6428600002,1246.134,5465.5
buy,18.25,11244,205203.0,205427.4248600002,1231.218,0.0
buy,17.5,12,210.0,196993.1648600002,1.2600000000000002,0.0
sell,17.25,-11256,205412.99999999997,193014.16886000018,1164.996,-11246.99999999998
buy,16.5,11616,191664.0,191864.18486000018,1149.984,0.0
buy,15.75,12,189.0,177337.0508600002,1.1340000000000001,0.0
sell,16.25,-11628,191853.0,187831.32086000018,1133.73,-2897.9999999999973
buy,16.0,11657,186512.0,189626.49886000017,1119.0720000000001,0.0
buy,16.0,12,192.0,192545.5968600002,1.1520000000000001,0.0
sell,14.75,-11669,186704.0,171092.1403600002,1032.7065,-14586.25
buy,14.75,11518,169890.5,170072.7973600002,1019.3430000000001,0.0
buy,14.5,12,174.0,164309.7533600002,1.044,0.0
sell,14.0,-11530,170064.5,160458.73336000022,968.5200000000001,-8644.500000000007
buy,14.0,11381,159334.0,153812.22936000023,956.004,0.0
buy,13.5,12,162.0,145266.50736000022,0.9720000000000001,0.0
sell,14.0,-11393,159496.0,158550.74536000023,957.0120000000001,5.999999999992632
buy,13.75,11450,157437.5,166193.62036000023,944.625,0.0
sell,14.5,-11450,157437.5,165197.47036000024,996.1500000000001,8587.5
buy,14.0,11717,164038.0,164213.24236000024,984.2280000000001,0.0
buy,13.75,12,165.0,158350.75236000025,0.9900000000000001,0.0
sell,14.75,-11729,164203.0,171973.98586000025,1038.0165,8799.74999999999
buy,14.5,11777,170766.5,162116.63686000026,1024.5990000000002,0.0
buy,13.75,13,178.75,159168.06436000025,1.0725,0.0
sell,14.25,-11790,170945.25,167002.51936000024,1008.045,-2937.7500000000105
buy,14.0,11845,165830.0,163046.28936000023,994.9800000000001,0.0
buy,13.75,12,165.0,168973.79936000024,0.9900000000000001,0.0
sell,14.25,-11857,165995.0,167960.02586000023,1013.7734999999999,2967.25000000001
buy,14.0,11913,166782.0,166959.33386000022,1000.6919999999999,0.0
buy,13.75,12,165.0,163980.09386000023,0.9900000000000001,0.0
sell,14.25,-11925,166947.0,168923.00636000023,1019.5875,2984.25000000001
buy,14.0,11981,167734.0,167916.60236000022,1006.404,0.0
buy,14.0,12,168.0,167915.59436000022,1.008,0.0
buy,13.25,1,13.25,161919.26486000023,0.0795,0.0
sell,11.0,-11994,167915.25,131142.66086000024,791.604,-35981.25000000001
buy,11.0,11839,130229.0,127401.53686000024,781.374,0.0
buy,10.75,12,129.0,124438.01286000024,0.7740000000000001,0.0
sell,5.5,-11851,130358.0,64791.929860000244,391.08299999999997,-65177.49999999999
buy,5.5,11698,64339.0,66745.49586000024,386.034,0.0
buy,5.7,11,62.7,62061.51966000024,0.37620000000000003,0.0
sell,7.6,-11709,64401.700000000004,88458.28926000024,533.9304,24586.699999999993
buy,7.9,11119,87840.1,87931.24866000024,527.0406,0.0
buy,7.9,11,86.9,89043.72726000023,0.5214000000000001,0.0
sell,9.2,-11130,87927.0,101785.35126000021,614.376,14468.999999999987
buy,9.1,11107,101073.7,98957.50906000021,606.4422,0.0
buy,8.9,11,97.9,100068.72166000021,0.5874,0.0
sell,10.75,-11118,101171.59999999998,118808.11066000021,717.111,18346.900000000016
buy,11.0,10725,117975.0,118100.2606600002,707.8499999999999,0.0
buy,11.0,11,121.0,120783.53466000021,0.726,0.0
sell,11.5,-10736,118096.0,122726.75066000021,740.784,5368.0
buy,11.25,10833,121871.25,121995.52316000022,731.2275000000001,0.0
buy,11.25,10,112.5,119284.09816000021,0.6749999999999999,0.0
buy,11.0,1,11.0,121995.0321600002,0.066,0.0
sell,12.5,-10844,121994.75000000001,134736.73216000022,813.3000000000001,13555.24999999999
buy,12.25,10922,133794.5,136664.46516000023,802.7669999999999,0.0
buy,12.25,11,134.75,131199.9066600002,0.8085,0.0
sell,13.5,-10933,133929.25,146713.8336600002,885.573,13666.25
buy,14.5,10047,145681.5,150863.2446600002,874.089,0.0
sell,15.0,-10047,145681.5,149959.0146600002,904.23,5023.5
buy,14.75,10095,148901.25,151589.3571600002,893.4075,0.0
buy,14.75,11,162.25,149064.6336600002,0.9735,0.0
sell,15.25,-10106,149063.5,153192.9346600002,924.6990000000001,5053.0
buy,15.5,9814,152117.0,157187.2326600002,912.702,0.0
buy,15.75,10,157.5,159644.7876600002,0.945,0.0
sell,16.25,-9824,152274.5,158686.9476600002,957.84,7365.499999999998
buy,15.75,10005,157578.75,160242.7251600002,945.4725,0.0
buy,15.75,10,157.5,155236.7801600002,0.945,0.0
sell,17.0,-10015,157736.25,169237.7501600002,1021.5300000000001,12518.75
buy,17.25,9742,168049.5,175535.9531600002,1008.297,0.0
sell,18.0,-9742,168049.5,174483.8171600002,1052.136,7306.5
buy,17.75,9761,173257.75,178324.7706600002,1039.5465000000002,0.0
buy,18.0,10,180.0,173440.6906600002,1.08,0.0
sell,20.0,-9771,173437.75,194252.9206600002,1172.52,21982.25000000001
buy,20.5,9409,192884.5,193095.6136600002,1157.307,0.0
sell,21.0,-9409,192884.5,196614.5796600002,1185.534,4704.5
buy,21.25,9188,195245.0,195443.1096600002,1171.47,0.0
sell,22.25,-9188,195245.0,203404.5116600002,1226.598,9188.0
buy,22.25,9078,201985.5,202192.5986600002,1211.913,0.0
buy,21.75,9,195.75,199924.1741600002,1.1744999999999999,0.0
sell,23.25,-9087,202181.25,210015.2876600002,1267.6365,9091.500000000007
buy,23.0,9067,208541.0,208764.0416600002,1251.246,0.0
sell,23.5,-9067,208541.0,212019.09466000018,1278.4470000000001,4533.5
buy,24.5,8593,210528.5,212904.17366000018,1263.171,0.0
sell,26.0,-8593,210528.5,222304.91566000017,1340.508,12889.5
buy,26.0,8490,220740.0,212490.47566000017,1324.44,0.0
buy,25.0,9,225.0,210364.37566000017,1.35,0.0
sell,25.5,-8499,220965.0,215438.27866000016,1300.347,-4240.500000000007
buy,25.0,8557,213925.0,218433.22866000017,1283.55,0.0
buy,25.0,9,225.0,214153.37866000016,1.35,0.0
sell,26.5,-8566,214150.0,225640.38466000016,1361.994,12849.0
buy,25.5,8787,224068.5,228689.47366000016,1344.411,0.0
buy,25.5,8,204.0,224294.74966000015,1.224,0.0
sell,25.0,-8795,224272.5,218577.99966000015,1319.25,-4397.5
buy,25.0,8682,217050.0,221616.69966000016,1302.3,0.0
buy,25.0,8,200.0,215101.99966000015,1.2,0.0
buy,23.75,1,23.75,202066.35716000016,0.14250000000000002,0.0
sell,24.75,-8691,217273.74999999997,213812.24366000015,1290.6135,-2171.4999999999854
buy,26.5,8012,212318.0,212538.33566000016,1273.9080000000001,0.0
buy,25.5,8,204.0,212545.11166000014,1.224,0.0
sell,26.5,-8020,212522.0,211269.93166000015,1275.18,7.999999999988461
buy,29.0,7234,209786.0,217245.21566000016,1258.7160000000001,0.0
sell,30.0,-7234,209786.0,215943.09566000017,1302.1200000000001,7234.0
buy,29.0,7394,214426.0,214656.53966000015,1286.556,0.0
buy,28.5,8,228.0,218360.17166000017,1.368,0.0
sell,30.0,-7402,214654.0,220728.81166000018,1332.36,7406.000000000008
buy,34.1,6427,219160.7,219092.49746000016,1314.9642,0.0
buy,32.75,7,229.25,210736.02196000016,1.3755000000000002,0.0
sell,33.5,-6434,219389.94999999998,214268.28796000016,1293.234,-3850.949999999989
buy,34.75,6123,212774.25,210542.44246000017,1276.6455,0.0
buy,34.35,6,206.10000000000002,211767.00586000015,1.2366000000000001,0.0
sell,35.85,-6129,212980.34999999998,218416.35796000017,1318.3479,6744.300000000019
buy,41.5,5226,216879.0,217637.68396000017,1301.2740000000001,0.0
sell,46.65,-5226,216879.0,242566.22656000016,1462.7574,26913.899999999994
buy,45.45,5299,240839.55000000002,241651.08926000012,1445.0373000000002,0.0
buy,44.20000000000001,6,265.20000000000005,234495.84806000016,1.5912000000000004,0.0
sell,45.0,-5305,241104.75000000003,237307.49806000013,1432.3500000000001,-2379.7500000000423
buy,44.0,5355,235620.0,225183.77806000013,1413.72,0.0
buy,42.0,6,252.0,211243.66606000013,1.5120000000000002,0.0
sell,39.65,-5361,235872.0,211308.53416000013,1275.3819,-23308.35
buy,39.35,5332,209814.2,200718.64896000014,1258.8852000000002,0.0
buy,37.6,6,225.60000000000002,189774.3953600001,1.3536000000000001,0.0
sell,35.8,-5338,210039.80000000002,189962.2929600001,1146.6023999999998,-18939.40000000003
buy,34.95,5397,188625.15000000002,189100.39206000007,1131.7509,0.0
buy,36.3,5,181.5,193414.40306000007,1.089,0.0
sell,34.55,-5402,188806.65000000002,185542.06846000007,1119.8346,-2167.5500000000475
buy,34.15,5395,184239.25,181469.38296000008,1105.4354999999998,0.0
buy,33.6,5,168.0,186328.37496000007,1.008,0.0
sell,34.65,-5400,184407.25,186015.71496000007,1122.6599999999999,2702.750000000006
buy,34.0,5432,184688.0,183821.18696000005,1108.128,0.0
buy,33.5,6,201.0,184909.38096000007,1.2060000000000002,0.0
sell,35.5,-5438,184889.0,191908.08696000007,1158.294,8159.999999999994
buy,37.15,5129,190542.35,188713.23286000008,1143.2540999999999,0.0
buy,35.85,6,215.10000000000002,184866.09226000006,1.2906000000000002,0.0
sell,41.8,-5135,190757.45,213361.23426000006,1287.858,23885.549999999974
buy,40.2,5270,211854.00000000003,211036.11026000002,1271.124,0.0
buy,39.9,5,199.5,218947.91326000003,1.1969999999999998,0.0
sell,41.5,-5275,212053.50000000006,217634.43826000002,1313.4750000000001,6858.9999999999545
buy,41.0,5271,216111.0,226879.77226000003,1296.666,0.0
sell,43.0,-5271,216111.0,225519.85426000002,1359.9180000000001,10542.0
buy,42.0,5332,223944.0,218310.99026000002,1343.664,0.0
buy,40.9,5,204.5,221511.96326000002,1.2269999999999999,0.0
sell,42.0,-5337,224148.5,222835.53926000002,1344.924,5.4999999999886455
buy,40.95,5403,221252.85,220697.57216,1327.5171,0.0
