type,price,size,order_value,portfolio_value,commission,pnl
buy,0.45299999999999996,220530,99900.09,101102.65000000001,0.0,0.0
buy,0.45299999999999996,220,99.66,98013.25,0.0,0.0
sell,0.458,-220750,99999.75,101103.75,0.0,1103.750000000001
buy,0.511,197657,101002.727,97348.26699999999,0.0,0.0
buy,0.492,205,100.86,95369.647,0.0,0.0
sell,0.511,-197862,101103.587,101107.645,0.0,3.8949999999993583
buy,0.511,197664,101006.304,101107.645,0.0,0.0
sell,0.53,-197664,101006.304,104863.26100000001,0.0,3755.616000000003
buy,0.521,201071,104757.99100000001,106672.90000000001,0.0,0.0
buy,0.521,201,104.721,108687.429,0.0,0.0
sell,0.54,-201272,104862.712,108687.429,0.0,3824.1680000000033
buy,0.55,197416,108578.8,108687.429,0.0,0.0
buy,0.53,204,108.12,104739.10900000001,0.0,0.0
sell,0.55,-197620,108686.91999999998,108691.509,0.0,4.080000000019122
buy,0.54,201079,108582.66,108691.509,0.0,0.0
buy,0.53,205,108.65,104869.16300000002,0.0,0.0
sell,0.54,-201284,108691.31,108693.55900000001,0.0,2.050000000008987
buy,0.521,208416,108584.736,110569.30300000001,0.0,0.0
buy,0.521,208,108.36800000000001,108693.55900000001,0.0,0.0
sell,0.54,-208624,108693.104,112657.41500000001,0.0,3963.8560000000034
buy,0.53,212348,112544.44,110746.28300000001,0.0,0.0
buy,0.521,216,112.536,110746.28300000001,0.0,0.0
sell,0.511,-212564,112656.976,108620.64300000001,0.0,-4036.771999999999
buy,0.501,216591,108512.091,108620.64300000001,0.0,0.0
sell,0.53,-216591,108512.091,114901.78200000002,0.0,6281.139000000006
buy,0.54,212568,114786.72,112776.10200000003,0.0,0.0
buy,0.53,216,114.48,114903.94200000002,0.0,0.0
sell,0.569,-212784,114901.2,121074.67800000001,0.0,6172.895999999994
buy,0.82,147504,120953.28,116797.06200000003,0.0,0.0
buy,0.762,159,121.158,121083.90000000001,0.0,0.0
sell,0.82,-147663,121074.438,121083.90000000001,0.0,9.222000000000873
buy,0.762,158744,120962.928,121083.90000000001,0.0,0.0
buy,0.743,162,120.366,119497.91800000002,0.0,0.0
sell,0.771,-158906,121083.29399999998,122517.13200000001,0.0,1433.232000000017
buy,0.771,158748,122394.708,125692.09200000002,0.0,0.0
buy,0.771,158,121.818,122517.13200000001,0.0,0.0
sell,0.714,-158906,122516.526,113459.49,0.0,-9057.642000000009
buy,0.704,161003,113346.112,116518.547,0.0,0.0
buy,0.704,160,112.63999999999999,113459.49,0.0,0.0
sell,0.752,-161163,113458.752,121195.31400000001,0.0,7735.824000000007
buy,0.714,169571,121073.69399999999,124417.16300000002,0.0,0.0
sell,0.733,-169571,121073.69399999999,124417.16300000002,0.0,3221.849000000003
buy,0.627,198234,124292.718,124417.16300000002,0.0,0.0
sell,0.675,-198234,124292.718,133932.39500000002,0.0,9515.232000000009
buy,0.656,203961,133798.416,133932.39500000002,0.0,0.0
buy,0.636,210,133.56,125973.926,0.0,0.0
sell,0.53,-204171,133931.976,108211.04900000001,0.0,-25721.346
buy,0.559,193386,108102.774,104536.71500000001,0.0,0.0
buy,0.54,200,108.0,102600.85500000001,0.0,0.0
sell,0.569,-193586,108210.77400000002,110150.709,0.0,1939.659999999977
buy,0.55,200073,110040.15000000001,108149.979,0.0,0.0
buy,0.54,204,110.16000000000001,113958.01199999997,0.0,0.0
sell,0.569,-200277,110150.31,113958.01199999997,0.0,3807.302999999989
buy,0.559,203656,113843.70400000001,118031.13199999995,0.0,0.0
sell,0.579,-203656,113843.70400000001,118031.13199999995,0.0,4073.119999999981
buy,0.569,207228,117912.73199999999,120103.41199999995,0.0,0.0
buy,0.559,211,117.94900000000001,109943.12099999997,0.0,0.0
sell,0.55,-207439,118030.68099999998,114091.90099999998,0.0,-3939.23099999997
buy,0.521,218767,113977.607,118248.47399999999,0.0,0.0
sell,0.54,-218767,113977.607,118248.47399999999,0.0,4156.573000000004
buy,0.53,222887,118130.11,116242.491,0.0,0.0
buy,0.521,226,117.74600000000001,118250.50799999999,0.0,0.0
buy,0.521,1,0.521,116242.49099999998,0.0,0.0
sell,0.598,-223114,118248.37700000001,133422.26899999997,0.0,15173.79499999999
buy,0.55,242343,133288.65000000002,135603.35599999997,0.0,0.0
buy,0.54,247,133.38,138033.94899999994,0.0,0.0
sell,0.569,-242590,133422.03000000003,138033.94899999994,0.0,4611.679999999955
buy,0.569,242348,137896.012,138033.94899999994,0.0,0.0
buy,0.569,242,137.69799999999998,140459.84899999993,0.0,0.0
sell,0.617,-242590,138033.71,149678.26899999994,0.0,11644.32000000001
buy,0.588,254300,149528.4,149678.26899999994,0.0,0.0
buy,0.579,258,149.38199999999998,149680.59099999993,0.0,0.0
sell,0.617,-254558,149677.782,157062.77299999993,0.0,7384.503999999995
buy,0.627,250248,156905.496,157062.77299999993,0.0,0.0
buy,0.608,258,156.864,155564.6389999999,0.0,0.0
sell,0.602,-250506,157062.36000000002,150805.0249999999,0.0,-6257.7480000000305
buy,0.608,247786,150653.888,149318.3089999999,0.0,0.0
buy,0.595,253,150.535,147583.80699999988,0.0,0.0
buy,0.595,1,0.595,147583.80699999988,0.0,0.0
sell,0.614,-248040,150805.018,152296.5669999999,0.0,1491.541999999997
buy,0.595,255704,152143.88,154086.49499999988,0.0,0.0
buy,0.589,258,151.962,150762.34299999988,0.0,0.0
buy,0.583,1,0.583,149226.57099999988,0.0,0.0
sell,0.608,-255963,152296.42500000002,155625.64599999986,0.0,3329.078999999983
buy,0.602,258256,155470.112,153817.85399999988,0.0,0.0
buy,0.564,275,155.1,149172.82099999985,0.0,0.0
sell,0.614,-258531,155625.212,158738.46799999985,0.0,3112.8219999999856
buy,0.614,258273,158579.622,165195.29299999986,0.0,0.0
sell,0.639,-258273,158579.622,165195.29299999986,0.0,6456.825000000006
buy,0.627,263206,165030.162,161773.61499999985,0.0,0.0
buy,0.614,268,164.552,160192.7709999999,0.0,0.0
sell,0.639,-263474,165194.714,168360.46499999985,0.0,3165.171999999996
buy,0.664,253301,168191.864,168360.46499999985,0.0,0.0
buy,0.664,253,167.99200000000002,158978.96699999986,0.0,0.0
buy,0.564,1,0.564,150865.26999999984,0.0,0.0
sell,0.595,-253555,168360.42,150865.26999999981,0.0,-17495.195000000032
buy,0.57,264411,150714.27,152716.14699999982,0.0,0.0
buy,0.577,261,150.59699999999998,154304.1789999998,0.0,0.0
sell,0.589,-264672,150864.867,155892.2109999998,0.0,5026.940999999979
buy,0.57,273221,155735.97,155892.2109999998,0.0,0.0
sell,0.589,-273221,155735.97,161083.4099999998,0.0,5191.199000000004
buy,0.57,282320,160922.4,164753.5699999998,0.0,0.0
buy,0.583,275,160.325,164753.56999999977,0.0,0.0
buy,0.577,1,0.577,166449.1519999998,0.0,0.0
sell,0.614,-282596,161083.302,173514.0519999998,0.0,12430.642000000002
buy,0.664,261055,173340.52000000002,170381.3919999998,0.0,0.0
buy,0.621,279,173.259,163856.6909999998,0.0,0.0
sell,0.627,-261334,173513.779,163856.6909999998,0.0,-9657.361000000014
buy,0.621,263595,163692.495,163856.6909999998,0.0,0.0
sell,0.639,-263595,163692.495,168601.40099999978,0.0,4744.710000000005
buy,0.627,268633,168432.891,168601.40099999978,0.0,0.0
sell,0.664,-268633,168432.891,178540.82199999978,0.0,9939.42100000001
buy,0.627,284469,178362.063,181954.44999999978,0.0,0.0
buy,0.627,284,178.068,181957.8579999998,0.0,0.0
buy,0.627,1,0.627,178540.82199999978,0.0,0.0
sell,0.652,-284754,178540.758,185659.6719999998,0.0,7118.850000000007
buy,0.639,290256,185473.584,185659.6719999998,0.0,0.0
buy,0.627,296,185.592,182176.59999999977,0.0,0.0
sell,0.677,-290552,185659.176,196704.1999999998,0.0,11044.528000000018
buy,0.689,285207,196507.623,193281.71599999984,0.0,0.0
sell,0.702,-285207,196507.623,200411.8909999998,0.0,3707.6910000000034
buy,0.689,290582,200210.998,204189.4569999998,0.0,0.0
buy,0.677,296,200.39200000000002,193143.4929999998,0.0,0.0
sell,0.677,-290878,200411.38999999998,196924.90699999983,0.0,-3486.9839999999735
buy,0.664,296277,196727.928,193369.58299999984,0.0,0.0
buy,0.652,301,196.252,193369.5829999998,0.0,0.0
sell,0.715,-296578,196924.18000000002,212053.9969999998,0.0,15129.08999999996
buy,0.689,307463,211842.00699999998,216051.0159999998,0.0,0.0
sell,0.74,-307463,211842.00699999998,227734.6099999998,0.0,15680.613000000014
buy,0.74,307442,227507.08,223737.86399999983,0.0,0.0
buy,0.727,312,226.82399999999998,227738.66599999982,0.0,0.0
buy,0.702,1,0.702,216044.0139999998,0.0,0.0
sell,0.74,-307755,227734.60599999997,227738.7039999998,0.0,4.094000000019322
buy,0.765,297400,227511.0,223872.50399999978,0.0,0.0
buy,0.752,302,227.104,227742.6299999998,0.0,0.0
sell,0.777,-297702,227738.104,231315.0539999998,0.0,3576.3500000000186
buy,0.765,302070,231083.55000000002,234939.8939999998,0.0,0.0
sell,0.815,-302070,231083.55000000002,246418.55399999977,0.0,15103.49999999998
buy,0.802,306948,246172.296,269746.6019999997,0.0,0.0
sell,0.8779999999999999,-306948,246172.296,269746.6019999997,0.0,23328.047999999988
buy,0.928,290384,269476.352,273231.2099999997,0.0,0.0
buy,0.8519999999999999,316,269.23199999999997,247677.41799999968,0.0,0.0
buy,0.802,1,0.802,229654.00599999973,0.0,0.0
sell,0.852,-290701,269746.38600000006,247677.4679999997,0.0,-22069.13400000005
buy,0.815,303595,247429.925,258910.48299999972,0.0,0.0
sell,0.852,-303595,247429.925,258910.48299999972,0.0,11233.01500000001
buy,0.84,307918,258651.12,258910.48299999972,0.0,0.0
buy,0.827,313,258.851,254907.5489999997,0.0,0.0
sell,0.8519999999999999,-308231,258909.971,262613.3239999997,0.0,3702.8409999999953
buy,0.903,290532,262350.396,262613.3239999997,0.0,0.0
buy,0.878,299,262.522,258839.99599999966,0.0,0.0
sell,0.89,-290831,262612.918,258839.99599999966,0.0,-3773.327999999997
buy,0.915,282602,258580.83000000002,265905.0459999996,0.0,0.0
sell,0.9400000000000001,-282602,258580.83000000002,265905.0459999996,0.0,7065.049999999975
buy,0.915,290316,265639.14,262421.2539999996,0.0,0.0
buy,0.8900000000000001,298,265.22,269690.47799999965,0.0,0.0
sell,0.928,-290614,265904.36,269690.47799999965,0.0,3785.4320000000316
buy,0.915,294449,269420.835,269690.47799999965,0.0,0.0
sell,0.953,-294449,269420.835,280879.53999999963,0.0,11189.061999999978
buy,0.9399999999999998,298509,280598.45999999996,292222.88199999963,0.0,0.0
sell,0.9779999999999999,-298509,280598.45999999996,292222.88199999963,0.0,11343.34200000001
buy,0.9649999999999999,302519,291930.83499999996,292222.88199999963,0.0,0.0
sell,1.091,-302519,291930.83499999996,330340.2759999996,0.0,38117.394
