type,price,size,order_value,portfolio_value,commission,pnl
buy,142.48,701,99878.48,100000.0,0.0,0.0
sell,151.82,-701,99878.48,106547.34,0.0,6547.340000000002
buy,149.49,712,106436.88,104881.26,0.0,0.0
sell,173.78,-712,106436.88,123841.81999999999,0.0,17294.479999999996
buy,176.58,700,123606.00000000001,119921.81999999998,0.0,0.0
buy,170.98,1,170.98,119921.81999999998,0.0,0.0
sell,182.19,-701,123776.98000000001,127780.02999999997,0.0,3938.2099999999828
buy,179.38,711,127539.18,127780.02999999997,0.0,0.0
buy,176.58,1,176.58,121802.02999999997,0.0,0.0
sell,182.19,-712,127715.75999999998,129783.54999999997,0.0,2003.5200000000116
buy,179.38,722,129512.36,133833.96999999997,0.0,0.0
buy,179.38,1,179.38,129783.54999999996,0.0,0.0
sell,184.99000000000004,-723,129691.73999999999,133839.57999999996,0.0,4056.0300000000097
buy,182.19,733,133545.27,135891.97999999998,0.0,0.0
buy,179.38,1,179.38,131779.84999999995,0.0,0.0
sell,193.4,-734,133724.65,142070.52999999997,0.0,8230.95000000001
buy,193.4,733,141762.2,140018.12999999995,0.0,0.0
buy,190.6,1,190.6,140018.12999999995,0.0,0.0
sell,199.0,-734,141952.80000000002,146183.72999999995,0.0,4113.199999999987
buy,218.62,667,145819.54,153667.46999999994,0.0,0.0
sell,229.84,-667,145819.54,153667.46999999994,0.0,7483.739999999999
buy,215.82,711,153448.02,151676.66999999995,0.0,0.0
buy,215.82,1,215.82,157661.78999999995,0.0,0.0
sell,241.05,-712,153663.84,171631.22999999995,0.0,17963.760000000013
buy,232.64,737,171455.68,175765.79999999996,0.0,0.0
sell,224.22999999999996,-737,171455.68,165433.05999999997,0.0,-6198.169999999997
buy,227.03,727,165050.81,163397.45999999996,0.0,0.0
buy,224.23,1,224.23,169519.93999999994,0.0,0.0
sell,232.64,-728,165275.04,169519.93999999994,0.0,4086.87999999999
buy,232.64,727,169129.28,171555.53999999995,0.0,0.0
buy,232.64,1,232.64,169519.93999999992,0.0,0.0
sell,221.43,-728,169361.92,161359.05999999994,0.0,-8160.880000000006
