type,price,size,order_value,portfolio_value,commission,pnl
buy,6.05,16512,99897.59999999999,100000.0,0.0,0.0
buy,5.76,17,97.92,95211.52,0.0,0.0
sell,6.05,-16529,99995.51999999999,100004.93000000001,0.0,4.930000000002866
buy,6.62,15091,99902.42,102268.58,0.0,0.0
sell,6.77,-15091,99902.42,102268.58,0.0,2263.649999999992
buy,5.76,17737,102165.12,104751.76000000001,0.0,0.0
buy,5.9,17,100.30000000000001,109900.42000000001,0.0,0.0
sell,6.19,-17754,102265.42,109900.42000000001,0.0,7631.840000000006
buy,5.9,18608,109787.20000000001,96502.65999999999,0.0,0.0
buy,5.18,21,108.78,109915.54000000001,0.0,0.0
sell,5.9,-18629,109895.98000000001,109915.54000000001,0.0,15.119999999990664
buy,4.32,25417,109801.44,106865.50000000001,0.0,0.0
buy,4.2,27,113.4,106865.50000000001,0.0,0.0
sell,4.72,-25444,109914.84000000001,120096.38,0.0,10180.83999999999
buy,4.61,26025,119975.25000000001,124520.62999999999,0.0,0.0
sell,4.78,-26025,119975.25000000001,124520.63,0.0,4424.249999999998
buy,4.72,26355,124395.59999999999,121621.58000000002,0.0,0.0
sell,5.18,-26355,124395.59999999999,136643.93,0.0,12123.3
buy,5.240000000000001,26051,136507.24000000002,141072.59999999995,0.0,0.0
buy,5.41,25,135.25,148634.63999999998,0.0,0.0
sell,5.7,-26076,136642.49000000002,148634.63999999998,0.0,11990.709999999988
buy,5.3,28016,148484.8,140229.84,0.0,0.0
buy,5.0,29,145.0,130414.09000000001,0.0,0.0
buy,4.65,1,4.65,112184.19,0.0,0.0
sell,5.3,-28046,148634.44999999998,148643.99,0.0,9.350000000007944
buy,6.0,24749,148494.0,156068.68999999997,0.0,0.0
sell,6.299999999999999,-24749,148494.0,156068.68999999997,0.0,7424.699999999995
buy,6.7,23270,155909.0,153741.68999999997,0.0,0.0
buy,6.599999999999999,24,158.39999999999998,156071.09,0.0,0.0
sell,6.9,-23294,156067.4,160729.88999999998,0.0,4661.200000000015
buy,6.7,23965,160565.5,158333.38999999998,0.0,0.0
sell,6.6,-23965,160565.5,158333.38999999998,0.0,-2396.5000000000127
buy,6.5,24334,158171.0,155899.99,0.0,0.0
buy,6.200000000000001,26,161.20000000000002,151033.18999999997,0.0,0.0
sell,6.7,-24360,158332.2,163213.18999999997,0.0,4879.799999999982
buy,6.6,24704,163046.4,160742.78999999998,0.0,0.0
sell,6.4,-24704,163046.4,158272.38999999998,0.0,-4940.799999999983
buy,6.3,25097,158111.1,160782.09,0.0,0.0
buy,6.3,25,157.5,158272.38999999998,0.0,0.0
sell,6.3,-25122,158268.6,158272.38999999998,0.0,0.0
buy,5.8,27261,158113.8,155546.29,0.0,0.0
buy,5.7,27,153.9,158275.09,0.0,0.0
buy,4.6,1,4.6,124165.04000000001,0.0,0.0
sell,4.25,-27289,158272.3,115978.34,0.0,-42294.04999999998
buy,5.1,22718,115861.79999999999,118250.14000000001,0.0,0.0
buy,5.1,22,112.19999999999999,113704.34000000001,0.0,0.0
sell,5.2,-22740,115973.99999999999,118252.34000000001,0.0,2274.0000000000123
buy,5.8,20367,118128.59999999999,122325.74000000002,0.0,0.0
sell,6.0,-20367,118128.59999999999,122325.74000000002,0.0,4073.4000000000037
buy,5.6,21822,122203.2,120143.54000000002,0.0,0.0
buy,5.5,22,121.0,122327.94000000002,0.0,0.0
sell,5.3,-21844,122324.2,115774.74000000002,0.0,-6551.000000000005
buy,5.2,22242,115658.40000000001,115774.74000000002,0.0,0.0
sell,5.5,-22242,115658.40000000001,122447.34000000001,0.0,6672.599999999996
buy,5.4,22652,122320.8,124712.54000000001,0.0,0.0
sell,5.7,-22652,122320.8,129242.94,0.0,6795.599999999996
buy,5.6,23056,129113.59999999999,126937.34000000001,0.0,0.0
buy,5.4,23,124.2,124631.74000000002,0.0,0.0
buy,5.1,1,5.1,117708.04,0.0,0.0
sell,5.5,-23080,129242.9,126940.04000000001,0.0,-2302.89999999999
buy,5.2,24387,126812.40000000001,129378.73999999999,0.0,0.0
buy,5.2,24,124.80000000000001,126940.04,0.0,0.0
sell,4.55,-24411,126937.2,111072.88999999998,0.0,-15867.150000000009
buy,4.4,25218,110959.20000000001,112333.78999999998,0.0,0.0
buy,4.4,25,110.00000000000001,109810.73999999996,0.0,0.0
sell,4.4,-25243,111069.20000000001,111072.88999999998,0.0,0.0
buy,4.2,26419,110959.8,115035.73999999998,0.0,0.0
sell,4.35,-26419,110959.8,115035.73999999998,0.0,3962.849999999986
buy,4.25,27040,114920.0,115035.73999999998,0.0,0.0
buy,4.1,28,114.79999999999998,105566.13999999996,0.0,0.0
sell,4.0,-27068,115034.8,108272.93999999997,0.0,-6762.7999999999965
buy,4.2,25753,108162.6,106985.28999999998,0.0,0.0
buy,4.1,26,106.6,104408.68999999996,0.0,0.0
buy,3.6,1,3.6,92808.13999999997,0.0,0.0
sell,3.4,-25780,108272.80000000002,87652.13999999997,0.0,-20620.80000000002
buy,3.3999999999999995,25754,87563.59999999999,88939.83999999998,0.0,0.0
buy,3.3500000000000005,26,87.10000000000001,85075.43999999997,0.0,0.0
sell,3.35,-25780,87650.7,86364.43999999997,0.0,-1287.699999999992
buy,3.3,26144,86275.2,82442.83999999997,0.0,0.0
buy,3.15,28,88.2,83751.43999999999,0.0,0.0
sell,2.65,-26172,86363.4,69356.83999999997,0.0,-17007.6
buy,2.6000000000000005,26649,69287.40000000001,70689.28999999995,0.0,0.0
buy,2.6499999999999995,26,68.89999999999999,76024.28999999996,0.0,0.0
sell,2.85,-26675,69356.3,76024.28999999996,0.0,6667.4500000000035
buy,2.8999999999999995,26189,75948.09999999999,82571.53999999996,0.0,0.0
sell,3.1499999999999995,-26189,75948.09999999999,82571.53999999996,0.0,6547.25
buy,3.75,21997,82488.75,82571.53999999996,0.0,0.0
buy,3.65,22,80.3,72665.18999999996,0.0,0.0
sell,3.75,-22019,82569.05,82573.73999999996,0.0,2.2000000000018014
buy,4.35,18963,82489.04999999999,80677.43999999997,0.0,0.0
buy,3.95,21,82.95,74988.53999999998,0.0,0.0
sell,4.1,-18984,82571.99999999999,77836.13999999997,0.0,-4737.5999999999985
buy,3.7999999999999994,20462,77755.59999999999,76813.03999999998,0.0,0.0
buy,3.75,21,78.75,70668.13999999998,0.0,0.0
sell,3.9,-20483,77834.34999999999,79885.48999999998,0.0,2049.350000000005
buy,3.5,22801,79803.5,74185.23999999998,0.0,0.0
buy,3.25,25,81.25,70761.33999999998,0.0,0.0
sell,1.78,-22826,79884.75,40631.01999999998,0.0,-39254.469999999994
buy,2.16,18791,40588.560000000005,40631.01999999998,0.0,0.0
buy,1.98,21,41.58,36119.91999999998,0.0,0.0
sell,1.8999999999999997,-18812,40630.14000000001,35743.67999999997,0.0,-4887.340000000011
buy,1.8599999999999999,19197,35706.42,36895.49999999997,0.0,0.0
buy,1.86,20,37.2,34590.659999999974,0.0,0.0
