type,price,size,order_value,portfolio_value,commission,pnl
buy,4.12,24247,99897.64,107274.1,0.0,0.0
sell,4.42,-24247,99897.64,107274.09999999999,0.0,7274.099999999996
buy,4.33,24749,107163.17,109501.51,0.0,0.0
sell,4.58,-24749,107163.17,113461.34999999999,0.0,6187.25
buy,4.58,24748,113345.84,113461.34999999999,0.0,0.0
sell,4.92,-24748,113345.84,121875.66999999998,0.0,8414.319999999996
buy,4.83,25207,121749.81,119859.10999999999,0.0,0.0
buy,4.75,26,123.5,117840.46999999999,0.0,0.0
sell,4.5,-25233,121873.31000000001,113550.85999999999,0.0,-8324.810000000007
buy,4.42,25664,113434.88,117657.09999999998,0.0,0.0
sell,4.58,-25664,113434.88,117657.09999999999,0.0,4106.240000000003
buy,5.17,22734,117534.78,115611.04,0.0,0.0
buy,5.08,24,121.92,115611.04,0.0,0.0
sell,5.17,-22758,117656.70000000001,117659.26,0.0,2.159999999992648
buy,5.25,22388,117537.0,121465.21999999999,0.0,0.0
sell,5.92,-22388,117537.0,132659.21999999997,0.0,14999.96
buy,5.75,23048,132526.0,130815.37999999998,0.0,0.0
buy,5.5,24,132.0,128742.97999999997,0.0,0.0
sell,6.0,-23072,132658.0,138433.21999999997,0.0,5773.999999999992
buy,5.75,24051,138293.25,136509.13999999996,0.0,0.0
buy,5.669999999999999,24,136.07999999999998,138435.13999999998,0.0,0.0
sell,5.92,-24075,138429.33,142527.88999999998,0.0,4094.670000000003
buy,6.0,23730,142380.0,138493.78999999998,0.0,0.0
buy,5.83,25,145.75,138493.78999999998,0.0,0.0
sell,5.83,-23755,142525.75,138493.78999999998,0.0,-4034.0999999999995
buy,5.83,23731,138351.73,136595.30999999997,0.0,0.0
buy,5.75,24,138.0,136595.30999999997,0.0,0.0
sell,6.08,-23755,138489.73,144434.45999999996,0.0,5940.669999999984
buy,6.42,22475,144289.5,142411.70999999996,0.0,0.0
buy,6.08,23,139.84,144442.27999999997,0.0,0.0
sell,6.42,-22498,144429.34,144442.27999999997,0.0,7.820000000002253
buy,6.420000000000001,22476,144295.92,148038.43999999994,0.0,0.0
sell,6.579999999999999,-22476,144295.92,148038.43999999997,0.0,3596.160000000003
buy,7.0,21127,147889.0,149728.59999999998,0.0,0.0
sell,7.58,-21127,147889.0,160292.09999999998,0.0,12253.660000000002
buy,7.58,21125,160127.5,165573.34999999998,0.0,0.0
sell,7.83,-21125,160127.5,165573.34999999998,0.0,5281.25
buy,8.08,20471,165405.68,167415.74,0.0,0.0
buy,7.67,21,161.07,158819.59999999998,0.0,0.0
sell,7.5,-20492,165566.75,153696.59999999998,0.0,-11876.749999999995
buy,7.580000000000001,20256,153540.48,152076.11999999997,0.0,0.0
sell,7.830000000000001,-20256,153540.48,158760.59999999998,0.0,5064.0
buy,7.75,20464,158596.0,158760.59999999998,0.0,0.0
buy,7.58,21,159.18,157125.37,0.0,0.0
sell,7.170000000000001,-20485,158755.18,146882.87,0.0,-11877.72999999999
buy,6.83,21484,146735.72,143445.43,0.0,0.0
buy,6.670000000000001,22,146.74,136133.39,0.0,0.0
sell,6.67,-21506,146882.46,143445.43,0.0,-3437.439999999991
buy,6.33,22638,143298.54,143445.43,0.0,0.0
sell,6.5,-22638,143298.54,147293.88999999998,0.0,3848.459999999998
buy,6.42,22920,147146.4,149127.49,0.0,0.0
buy,6.33,23,145.59,141560.21,0.0,0.0
sell,6.58,-22943,147291.99,150966.84,0.0,3672.950000000008
buy,6.33,23825,150812.25,145010.59,0.0,0.0
buy,6.08,25,152.0,147157.09,0.0,0.0
sell,6.42,-23850,150964.25,153119.59,0.0,2152.7499999999964
buy,6.33,24165,152964.45,155294.43999999997,0.0,0.0
sell,6.67,-24165,152964.45,161335.69,0.0,8216.099999999997
buy,6.75,23877,161169.75,157276.6,0.0,0.0
buy,6.58,25,164.5,151301.1,0.0,0.0
sell,6.58,-23902,161334.25,157276.6,0.0,-4059.0899999999965
buy,6.42,24473,157116.66,157276.6,0.0,0.0
buy,6.419999999999999,24,154.07999999999998,165360.61000000002,0.0,0.0
sell,6.75,-24497,157270.74,165360.61000000002,0.0,8084.010000000002
buy,6.67,24766,165189.22,173533.39,0.0,0.0
sell,7.0,-24766,165189.22,173533.39,0.0,8172.780000000002
buy,6.75,25682,173353.5,169167.45,0.0,0.0
buy,6.58,27,177.66,167110.73,0.0,0.0
sell,6.17,-25709,173531.16,158626.76,0.0,-14906.630000000001
buy,5.92,26768,158466.56,160768.2,0.0,0.0
sell,6.33,-26768,158466.56,169601.64,0.0,10974.880000000005
buy,6.67,25402,169431.34,171633.80000000002,0.0,0.0
sell,7.0,-25402,169431.34,177984.30000000002,0.0,8382.660000000002
buy,6.830000000000001,26033,177805.39,175901.66,0.0,0.0
sell,7.0,-26033,177805.39,182409.91,0.0,4425.609999999998
buy,6.83,26680,182224.4,184811.11000000002,0.0,0.0
buy,6.75,27,182.25,178138.95,0.0,0.0
sell,6.83,-26707,182406.65,182412.07,0.0,2.160000000017347
buy,6.67,27320,182224.4,182412.07,0.0,0.0
sell,6.83,-27320,182224.4,186783.27000000002,0.0,4371.2000000000035
buy,7.08,26355,186593.4,184674.87000000002,0.0,0.0
buy,7.0,27,189.0,189159.81000000003,0.0,0.0
sell,7.42,-26382,186782.4,195755.31000000003,0.0,8972.040000000015
buy,7.92,24691,195552.72,193533.12000000002,0.0,0.0
sell,8.25,-24691,195552.72,203903.34000000003,0.0,8148.030000000002
buy,8.0,25462,203696.0,205940.30000000002,0.0,0.0
buy,7.92,26,205.92,203905.42,0.0,0.0
sell,8.08,-25488,203901.92,205944.46000000002,0.0,2041.1199999999812
buy,8.08,25462,205732.96,203907.50000000003,0.0,0.0
sell,8.25,-25462,205732.96,210273.00000000003,0.0,4328.539999999998
buy,8.54,24597,210058.37999999998,215438.37000000005,0.0,0.0
buy,8.54,25,213.49999999999997,215443.62000000005,0.0,0.0
sell,8.96,-24622,210271.87999999998,220614.24000000008,0.0,10341.240000000042
buy,8.96,24597,220389.12000000002,220614.24000000008,0.0,0.0
buy,8.96,25,224.00000000000003,220614.24000000008,0.0,0.0
sell,8.96,-24622,220613.12000000002,220614.24000000008,0.0,0.0
buy,8.75,25187,220386.25,231192.7800000001,0.0,0.0
sell,9.17,-25187,220386.25,231192.7800000001,0.0,10578.539999999999
buy,8.96,25776,230952.96000000002,236605.74000000005,0.0,0.0
sell,9.17,-25776,230952.96000000002,236605.74000000005,0.0,5412.959999999976
buy,9.17,25776,236365.91999999998,236605.74000000005,0.0,0.0
buy,8.96,26,232.96000000000004,220355.94000000006,0.0,0.0
sell,9.17,-25802,236598.87999999998,236611.20000000007,0.0,5.4600000000272395
buy,8.96,26381,236373.76,242151.21000000005,0.0,0.0
sell,9.17,-26381,236373.76,242151.21000000005,0.0,5540.009999999976
buy,8.96,26998,241902.08000000002,242151.21000000005,0.0,0.0
sell,9.37,-26998,241902.08000000002,253220.39,0.0,11069.179999999957
buy,9.37,26997,252961.88999999998,247820.99000000002,0.0,0.0
buy,9.17,28,256.76,253225.99,0.0,0.0
sell,10.21,-27025,253218.65,275926.99000000005,0.0,22706.600000000028
buy,9.79,28156,275647.24,293665.2700000001,0.0,0.0
sell,10.42,-28156,275647.24,293665.2700000001,0.0,17738.28000000002
buy,11.87,24715,293367.05,304045.57000000007,0.0,0.0
sell,12.29,-24715,293367.05,304045.57000000007,0.0,10380.299999999997
buy,11.46,26504,303735.84,314912.21,0.0,0.0
sell,11.87,-26504,303735.84,314912.21,0.0,10866.639999999958
buy,11.67,26957,314588.19,303590.27,0.0,0.0
buy,11.25,28,315.0,303590.27,0.0,0.0
sell,10.619999999999997,-26985,314903.19,286589.72000000003,0.0,-28322.490000000016
buy,10.42,27476,286299.92,292084.92000000004,0.0,0.0
sell,11.04,-27476,286299.92,303624.84,0.0,17035.119999999977
buy,10.21,29708,303318.68000000005,297386.16,0.0,0.0
buy,9.79,31,303.48999999999995,291147.48,0.0,0.0
sell,9.58,-29739,303622.17000000004,284902.29,0.0,-18722.550000000054
buy,11.039999999999997,25780,284611.19999999995,295729.8900000001,0.0,0.0
sell,11.460000000000003,-25780,284611.19999999995,295729.89,0.0,10827.600000000044
buy,10.83,27279,295431.57,307187.07,0.0,0.0
sell,11.25,-27279,295431.57,307187.07,0.0,11457.179999999998
buy,11.25,27278,306877.5,307187.07,0.0,0.0
buy,11.040000000000001,28,309.12,307192.95,0.0,0.0
sell,11.87,-27306,307186.62,324122.67,0.0,16935.600000000006
buy,11.46,28254,323790.84,318189.32999999996,0.0,0.0
sell,11.67,-28254,323790.84,330056.00999999995,0.0,5933.339999999974
buy,11.46,28771,329715.66000000003,330056.00999999995,0.0,0.0
sell,12.29,-28771,329715.66000000003,353935.9399999999,0.0,23879.92999999995
buy,11.67,30298,353577.66,353935.9399999999,0.0,0.0
buy,11.46,31,355.26000000000005,360008.2499999999,0.0,0.0
sell,11.87,-30329,353932.92,360008.2499999999,0.0,6072.30999999997
buy,11.46,31382,359637.72000000003,353418.02999999985,0.0,0.0
buy,11.25,32,360.0,360014.96999999986,0.0,0.0
sell,12.5,-31414,359997.72000000003,392685.52999999985,0.0,32677.27999999997
buy,12.5,31383,392287.5,399275.9599999999,0.0,0.0
buy,12.5,31,387.5,392685.52999999985,0.0,0.0
sell,12.5,-31414,392675.0,392685.52999999985,0.0,0.0
buy,12.71,30864,392281.44,392685.52999999985,0.0,0.0
sell,13.12,-30864,392281.44,405339.7699999998,0.0,12654.239999999949
buy,13.54,29906,404927.24,392779.24999999977,0.0,0.0
buy,13.12,31,406.71999999999997,399066.01999999984,0.0,0.0
sell,13.75,-29937,405333.95999999996,411639.5599999998,0.0,6299.790000000013
buy,13.33,30849,411217.17,418117.8499999998,0.0,0.0
sell,14.58,-30849,411217.17,450200.8099999998,0.0,38561.25
buy,14.17,31739,449741.63,456548.6099999998,0.0,0.0
buy,13.96,32,446.72,430191.7999999998,0.0,0.0
sell,14.37,-31771,450188.35,456561.7299999998,0.0,6360.919999999994
buy,13.96,32672,456101.12000000005,456561.7299999998,0.0,0.0
sell,14.37,-32672,456101.12000000005,469957.24999999977,0.0,13395.519999999946
buy,13.75,34144,469480.0,434447.4899999998,0.0,0.0
buy,12.71,37,470.27000000000004,462817.71999999974,0.0,0.0
sell,13.54,-34181,469950.27,462817.71999999974,0.0,-7139.530000000036
buy,13.12,35240,462348.8,440968.91999999975,0.0,0.0
buy,12.5,37,462.5,448377.0899999998,0.0,0.0
sell,13.33,-35277,462811.3,470248.8299999997,0.0,7431.11
buy,13.12,35806,469774.72,477768.08999999973,0.0,0.0
sell,13.75,-35806,469774.72,492806.60999999975,0.0,22557.780000000028
buy,13.12,37523,492301.75999999995,492806.60999999975,0.0,0.0
buy,12.71,39,495.69000000000005,492822.59999999974,0.0,0.0
sell,13.12,-37562,492797.44999999995,492822.59999999974,0.0,15.989999999991952
buy,14.17,34744,492322.48,492822.59999999974,0.0,0.0
sell,14.79,-34744,492322.48,514363.8799999997,0.0,21541.279999999973
buy,14.58,35243,513842.94,514363.8799999997,0.0,0.0
sell,15.0,-35243,513842.94,529165.9399999997,0.0,14802.059999999998
buy,15.0,35242,528630.0,546786.9399999997,0.0,0.0
sell,15.5,-35242,528630.0,546786.9399999997,0.0,17621.0
buy,16.75,32611,546234.25,546786.9399999997,0.0,0.0
buy,16.5,33,544.5,571278.1899999997,0.0,0.0
sell,17.5,-32644,546778.75,571278.1899999997,0.0,24491.25000000002
buy,18.5,30849,570706.5,563565.9399999997,0.0,0.0
buy,17.75,32,568.0,555861.6899999997,0.0,0.0
sell,17.75,-30881,571274.5,548141.4399999997,0.0,-23136.749999999978
buy,17.75,30850,547587.5,555853.9399999997,0.0,0.0
buy,17.5,31,542.5,532708.6899999997,0.0,0.0
sell,17.0,-30881,548130.0,524988.4399999997,0.0,-23152.99999999999
buy,16.5,31785,524452.5,501149.6899999997,0.0,0.0
buy,15.75,33,519.75,477286.18999999977,0.0,0.0
buy,15.0,1,15.0,453421.9399999997,0.0,0.0
sell,15.25,-31819,524987.25,485240.9399999997,0.0,-39747.50000000003
buy,15.0,32317,484755.0,477161.6899999997,0.0,0.0
buy,14.75,32,472.0,477161.6899999997,0.0,0.0
buy,13.75,1,13.75,428637.6899999997,0.0,0.0
sell,14.0,-32350,485240.75,452900.1899999997,0.0,-32340.749999999978
buy,13.5,33514,452439.0,469657.1899999997,0.0,0.0
sell,14.0,-33514,452439.0,469657.1899999997,0.0,16757.0
buy,13.75,34122,469177.5,452596.1899999997,0.0,0.0
buy,13.25,36,477.0,486754.1899999997,0.0,0.0
sell,14.25,-34158,469654.5,486754.1899999997,0.0,17096.99999999999
buy,14.0,34733,486262.0,486754.1899999997,0.0,0.0
buy,13.75,35,481.25,486762.9399999997,0.0,0.0
sell,14.75,-34768,486743.25,512838.9399999997,0.0,26084.74999999998
buy,17.0,30136,512312.0,520372.9399999997,0.0,0.0
buy,16.75,31,519.25,505304.9399999997,0.0,0.0
sell,15.5,-30167,512831.24999999994,467596.1899999997,0.0,-45242.749999999956
buy,16.0,29195,467120.0,467596.1899999997,0.0,0.0
buy,15.25,31,472.75,460312.9399999997,0.0,0.0
sell,15.75,-29226,467592.75,460312.9399999997,0.0,-7283.249999999988
buy,14.75,31176,459846.0,444724.9399999997,0.0,0.0
buy,14.25,32,456.0,444724.9399999997,0.0,0.0
sell,14.75,-31208,460302.0,460328.9399999997,0.0,16.000000000008455
buy,14.25,32271,459861.75,460328.9399999997,0.0,0.0
sell,14.75,-32271,459861.75,476464.4399999997,0.0,16135.5
buy,14.25,33402,475978.5,451412.9399999997,0.0,0.0
buy,13.5,35,472.5,451412.9399999997,0.0,0.0
sell,14.0,-33437,476451.0,468131.4399999997,0.0,-8332.999999999996
buy,13.25,35295,467658.75,476955.1899999997,0.0,0.0
sell,14.0,-35295,467658.75,494602.6899999997,0.0,26471.25
buy,13.25,37291,494105.75,503925.4399999997,0.0,0.0
sell,14.0,-37291,494105.75,522570.9399999997,0.0,27968.25
buy,13.25,39399,522036.75,522570.9399999997,0.0,0.0
buy,12.5,42,525.0,493021.6899999997,0.0,0.0
sell,12.0,-39441,522561.75,473301.1899999997,0.0,-49269.75000000001
buy,11.75,40240,472820.0,483361.1899999997,0.0,0.0
sell,12.0,-40240,472820.0,483361.1899999997,0.0,10060.0
buy,11.5,41989,482873.5,483361.1899999997,0.0,0.0
buy,11.0,44,484.0,430841.9399999997,0.0,0.0
sell,10.25,-42033,483357.5,430841.9399999997,0.0,-52519.24999999998
buy,11.0,39128,430408.0,421059.9399999997,0.0,0.0
buy,10.75,40,430.0,421059.9399999997,0.0,0.0
sell,10.5,-39168,430838.0,411267.9399999997,0.0,-19573.999999999985
buy,10.25,40083,410850.75,397238.8899999997,0.0,0.0
buy,9.9,42,415.8,393226.3899999997,0.0,0.0
sell,10.0,-40125,411266.55,401251.3899999997,0.0,-10016.549999999992
buy,10.0,40085,400850.0,401251.3899999997,0.0,0.0
sell,10.25,-40085,400850.0,411272.6399999997,0.0,10021.25
buy,10.5,39129,410854.5,411272.6399999997,0.0,0.0
sell,10.75,-39129,410854.5,421054.8899999997,0.0,9782.25
buy,10.75,39128,420626.0,421054.8899999997,0.0,0.0
buy,10.25,41,420.25,411283.1399999997,0.0,0.0
sell,10.5,-39169,421046.25,411283.1399999997,0.0,-9771.750000000015
buy,10.25,40085,410871.25,411283.1399999997,0.0,0.0
buy,10.0,41,410.0,401261.8899999997,0.0,0.0
sell,9.9,-40126,411281.25000000006,397249.28999999975,0.0,-14033.850000000015
buy,9.6,41338,396844.8,397249.28999999975,0.0,0.0
buy,9.3,43,399.90000000000003,360019.2899999997,0.0,0.0
sell,9.5,-41381,397244.7,393124.08999999973,0.0,-4125.199999999991
buy,9.0,43636,392724.0,384396.8899999998,0.0,0.0
buy,8.8,45,396.00000000000006,371292.58999999973,0.0,0.0
sell,9.0,-43681,393120.0,393133.08999999973,0.0,8.999999999999513
buy,9.1,43158,392737.8,406080.48999999976,0.0,0.0
sell,9.4,-43158,392737.8,406080.48999999976,0.0,12947.40000000003
buy,10.75,37737,405672.75,396646.23999999976,0.0,0.0
buy,10.5,38,399.0,396646.23999999976,0.0,0.0
sell,11.0,-37775,406071.75,415533.73999999976,0.0,9453.250000000022
buy,11.0,37738,415118.0,415533.73999999976,0.0,0.0
buy,10.75,38,408.5,406099.23999999976,0.0,0.0
sell,9.4,-37776,415526.49999999994,355101.6399999997,0.0,-60432.099999999955
buy,9.1,38983,354745.3,343406.73999999976,0.0,0.0
buy,8.8,40,352.0,319992.9399999997,0.0,0.0
sell,7.9,-39023,355097.29999999993,308286.03999999975,0.0,-46815.59999999994
buy,7.6,40523,307974.8,288024.53999999975,0.0,0.0
buy,7.1000000000000005,43,305.3,271798.1399999998,0.0,0.0
buy,5.9,1,5.9,235288.63999999972,0.0,0.0
sell,5.9,-40567,308286.0,239345.33999999973,0.0,-68940.7
buy,6.2,38565,239103.0,243201.83999999973,0.0,0.0
buy,6.2,39,241.8,235484.93999999974,0.0,0.0
sell,5.9,-38604,239344.79999999996,227764.13999999975,0.0,-11581.199999999959
buy,5.7,39918,227532.6,235747.73999999976,0.0,0.0
sell,5.9,-39918,227532.6,235747.73999999976,0.0,7983.600000000007
buy,5.8,40605,235509.0,231687.23999999976,0.0,0.0
buy,5.7,41,233.70000000000002,231687.23999999976,0.0,0.0
sell,6.0,-40646,235742.7,243881.03999999975,0.0,8133.299999999987
buy,6.3,38672,243633.6,251615.43999999974,0.0,0.0
sell,6.5,-38672,243633.6,251615.43999999974,0.0,7734.400000000007
buy,6.4,39275,251360.0,255542.93999999974,0.0,0.0
sell,7.0,-39275,251360.0,275180.4399999997,0.0,23564.999999999985
buy,7.099999999999999,38719,274904.89999999997,275180.4399999997,0.0,0.0
buy,6.8,40,272.0,267440.6399999998,0.0,0.0
sell,7.099999999999999,-38759,275176.89999999997,275192.4399999997,0.0,12.00000000002752
buy,7.0,39273,274911.0,275192.4399999997,0.0,0.0
buy,6.5,43,279.5,247692.7399999997,0.0,0.0
sell,6.5,-39316,275190.5,255555.93999999968,0.0,-19636.50000000002
buy,6.4,39890,255296.0,251566.93999999968,0.0,0.0
buy,6.300000000000001,41,258.3,255560.03999999972,0.0,0.0
sell,5.9,-39931,255554.3,235594.53999999972,0.0,-19961.399999999972
buy,5.8,40579,235358.19999999998,231536.63999999975,0.0,0.0
buy,5.7,41,233.70000000000002,227474.63999999972,0.0,0.0
sell,5.4,-40620,235591.9,219350.63999999975,0.0,-16243.899999999976
buy,6.0,36521,219126.0,208394.33999999976,0.0,0.0
buy,5.7,39,222.3,208394.33999999976,0.0,0.0
sell,5.9,-36560,219348.3,215706.33999999976,0.0,-3644.2999999999897
buy,5.9,36523,215485.7,208401.73999999976,0.0,0.0
buy,5.7,38,216.6,204745.63999999972,0.0,0.0
sell,5.8,-36561,215702.3,212057.83999999973,0.0,-3648.500000000009
buy,6.1,34728,211840.8,208585.03999999975,0.0,0.0
buy,6.0,36,216.0,215537.83999999976,0.0,0.0
sell,6.2,-34764,212056.8,215537.83999999976,0.0,3480.0000000000296
buy,6.2,34729,215319.80000000002,212064.93999999974,0.0,0.0
sell,6.4,-34729,215319.80000000002,222483.63999999978,0.0,6945.800000000007
buy,6.2,35848,222257.6,247577.2399999998,0.0,0.0
sell,6.9,-35848,222257.6,247577.2399999998,0.0,25093.600000000006
buy,7.2,34351,247327.2,254447.4399999998,0.0,0.0
sell,7.4,-34351,247327.2,254447.4399999998,0.0,6870.200000000006
buy,8.2,30999,254191.8,257547.33999999982,0.0,0.0
sell,8.7,-30999,254191.8,269946.9399999998,0.0,15499.5
buy,9.2,29312,269670.39999999997,267015.7399999999,0.0,0.0
buy,8.9,31,275.90000000000003,252350.43999999986,0.0,0.0
sell,8.4,-29343,269946.3,246481.83999999988,0.0,-23465.099999999977
buy,8.1,30399,246231.9,249521.73999999987,0.0,0.0
sell,8.4,-30399,246231.9,255601.5399999999,0.0,9119.70000000002
buy,9.4,27164,255341.6,258317.9399999999,0.0,0.0
buy,9.4,27,253.8,255601.53999999992,0.0,0.0
sell,9.699999999999998,-27191,255595.40000000002,263758.8399999999,0.0,8157.299999999971
buy,10.5,25094,263487.0,270032.3399999999,0.0,0.0
sell,10.75,-25094,263487.0,270032.3399999999,0.0,6273.5
buy,11.0,24523,269753.0,263901.5899999999,0.0,0.0
buy,10.75,25,268.75,270038.5899999999,0.0,0.0
sell,11.0,-24548,270021.75,270038.5899999999,0.0,6.250000000019078
buy,10.75,25094,269760.5,270038.5899999999,0.0,0.0
sell,11.25,-25094,269760.5,282585.5899999999,0.0,12547.0
buy,11.5,24548,282302.0,294859.5899999999,0.0,0.0
sell,12.0,-24548,282302.0,294859.5899999999,0.0,12274.0
buy,12.0,24547,294564.0,288722.8399999999,0.0,0.0
buy,11.75,25,293.75,294865.8399999999,0.0,0.0
sell,10.75,-24572,294857.75,264150.8399999999,0.0,-30708.75000000002
buy,10.5,25132,263886.0,276716.8399999999,0.0,0.0
sell,11.0,-25132,263886.0,276716.8399999999,0.0,12566.0
buy,11.75,23526,276430.5,294361.3399999999,0.0,0.0
sell,12.5,-23526,276430.5,294361.3399999999,0.0,17644.5
buy,12.25,24005,294061.25,288360.0899999999,0.0,0.0
buy,12.0,24,288.0,282352.8399999999,0.0,0.0
buy,11.75,1,11.75,276345.3399999999,0.0,0.0
sell,11.25,-24030,294361.0,270337.8399999999,0.0,-24023.49999999998
buy,11.25,24006,270067.5,270337.8399999999,0.0,0.0
sell,11.5,-24006,270067.5,276339.3399999999,0.0,6001.5
buy,11.25,24538,276052.5,276339.3399999999,0.0,0.0
buy,11.0,26,286.0,270204.8399999999,0.0,0.0
sell,10.5,-24564,276338.5,257922.8399999999,0.0,-18416.5
buy,10.25,25138,257664.5,264207.3399999999,0.0,0.0
sell,10.5,-25138,257664.5,264207.3399999999,0.0,6284.5
buy,10.0,26394,263940.0,270805.8399999999,0.0,0.0
sell,10.25,-26394,263940.0,270805.8399999999,0.0,6598.5
buy,10.25,26393,270528.25,277404.0899999999,0.0,0.0
buy,10.75,25,268.75,297211.3399999999,0.0,0.0
sell,11.25,-26418,270797.0,297211.3399999999,0.0,26405.49999999998
buy,10.75,27619,296904.25,311020.8399999999,0.0,0.0
sell,11.25,-27619,296904.25,311020.8399999999,0.0,13809.5
buy,11.0,28246,310706.0,311020.8399999999,0.0,0.0
buy,10.75,29,311.75,318096.8399999999,0.0,0.0
sell,11.25,-28275,311017.75,318096.8399999999,0.0,7076.000000000005
buy,11.0,28889,317779.0,325319.0899999999,0.0,0.0
buy,11.0,28,308.0,325326.0899999999,0.0,0.0
sell,11.5,-28917,318087.0,332555.3399999999,0.0,14458.5
buy,11.25,29530,332212.5,332555.3399999999,0.0,0.0
sell,11.5,-29530,332212.5,339937.8399999999,0.0,7382.5
buy,13.0,26122,339586.0,339937.8399999999,0.0,0.0
sell,13.25,-26122,339586.0,346468.3399999999,0.0,6530.5
buy,13.5,25638,346113.0,352877.8399999999,0.0,0.0
buy,13.25,26,344.5,333642.8399999999,0.0,0.0
sell,13.75,-25664,346457.5,352890.8399999999,0.0,6422.499999999989
buy,13.5,26113,352525.5,352890.8399999999,0.0,0.0
buy,13.0,28,364.0,352904.8399999999,0.0,0.0
sell,13.5,-26141,352889.5,352904.8399999999,0.0,14.000000000010992
buy,13.75,25640,352550.0,352904.8399999999,0.0,0.0
buy,13.5,26,351.0,340078.3399999999,0.0,0.0
sell,13.5,-25666,352901.0,346494.8399999999,0.0,-6410.0
buy,13.5,25640,346140.0,346494.8399999999,0.0,0.0
buy,13.25,26,344.5,346501.3399999999,0.0,0.0
sell,14.0,-25666,346484.5,359334.3399999999,0.0,12839.5
buy,13.75,26107,358971.25,359334.3399999999,0.0,0.0
buy,13.5,26,351.0,359340.8399999999,0.0,0.0
sell,14.0,-26133,359322.25,365874.0899999999,0.0,6539.749999999983
buy,13.75,26582,365502.5,372519.5899999999,0.0,0.0
sell,14.75,-26582,365502.5,392456.0899999999,0.0,26582.0
buy,14.75,26580,392055.0,393253.4899999999,0.0,0.0
buy,14.54,27,392.58,386874.28999999986,0.0,0.0
sell,15.08,-26607,392447.58,401242.0699999999,0.0,8785.979999999967
buy,14.88,26938,400837.44,409323.46999999986,0.0,0.0
buy,14.0,28,392.0,436322.5099999999,0.0,0.0
sell,16.18,-26966,401229.44,436322.5099999999,0.0,35080.44
buy,16.34,26676,435885.83999999997,480604.6699999999,0.0,0.0
sell,18.0,-26676,435885.83999999997,480604.6699999999,0.0,44282.16
buy,17.32,27720,480110.4,518858.2699999999,0.0,0.0
sell,18.7,-27720,480110.4,518858.2699999999,0.0,38253.59999999997
buy,18.14,28574,518332.36000000004,510286.06999999983,0.0,0.0
buy,17.14,30,514.2,493144.6699999998,0.0,0.0
sell,17.6,-28604,518846.5600000001,503442.1099999999,0.0,-15416.160000000058
buy,17.48,28772,502934.56,498263.15,0.0,0.0
buy,16.98,29,492.42,488480.08999999997,0.0,0.0
sell,16.04,-28801,503426.98,461983.1699999999,0.0,-41458.93999999998
buy,16.52,27937,461519.24,450249.62999999995,0.0,0.0
buy,16.1,28,450.80000000000007,447453.12999999995,0.0,0.0
sell,15.1,-27965,461970.04000000004,422284.62999999995,0.0,-39698.54000000004
buy,14.7,28698,421860.6,423432.55,0.0,0.0
buy,14.54,29,421.65999999999997,396434.97000000003,0.0,0.0
sell,14.6,-28727,422282.25999999995,419416.56999999995,0.0,-2868.059999999986
buy,15.0,27933,418995.0,419416.56999999995,0.0,0.0
buy,14.540000000000001,28,407.12,415514.9099999999,0.0,0.0
sell,15.86,-27961,419402.12,443475.91,0.0,24059.340000000004
buy,15.28,28994,443028.32,444055.79,0.0,0.0
