type,price,size,order_value,portfolio_value,commission,pnl
buy,12.03,8304,99897.12,100000.0,0.0,0.0
buy,11.85,8,94.8,101497.6,0.0,0.0
sell,12.57,-8312,99991.92,104489.92000000001,0.0,4489.920000000009
buy,12.39,8424,104373.36,104489.92000000001,0.0,0.0
buy,12.21,9,109.89000000000001,102973.60000000002,0.0,0.0
sell,12.75,-8433,104483.25,107527.42000000001,0.0,3037.4999999999936
buy,12.57,8545,107410.65000000001,107527.42000000001,0.0,0.0
buy,12.39,9,111.51,107529.04000000001,0.0,0.0
sell,13.29,-8554,107522.16,113687.92000000001,0.0,6160.4999999999945
buy,12.93,8783,113564.19,115268.86,0.0,0.0
buy,12.75,9,114.75,112106.98000000001,0.0,0.0
sell,13.65,-8792,113678.94,120019.78000000001,0.0,6331.859999999995
buy,13.65,8783,119887.95,120019.78000000001,0.0,0.0
buy,13.47,9,121.23,116856.28000000001,0.0,0.0
sell,13.65,-8792,120009.18,120021.40000000002,0.0,1.6200000000051347
buy,13.29,9021,119889.09,121645.18000000004,0.0,0.0
buy,13.11,10,131.1,118397.62000000001,0.0,0.0
sell,13.65,-9031,120020.19,123274.36000000002,0.0,3252.959999999995
buy,15.44,7976,123149.44,123274.36000000002,0.0,0.0
buy,15.26,8,122.08,120481.40000000001,0.0,0.0
sell,15.8,-7984,123271.52,126150.04000000002,0.0,2875.6800000000053
buy,15.44,8162,126021.28,133495.84000000003,0.0,0.0
sell,16.34,-8162,126021.28,133495.84000000003,0.0,7345.800000000003
buy,16.7,7985,133349.5,137807.74000000002,0.0,0.0
sell,17.24,-7985,133349.5,137807.74000000002,0.0,4311.899999999993
buy,17.24,7985,137661.4,140682.34000000003,0.0,0.0
sell,17.78,-7985,137661.4,142119.64000000004,0.0,4311.9000000000215
buy,19.04,7456,141962.24,147413.40000000005,0.0,0.0
sell,19.75,-7456,141962.24,147413.40000000005,0.0,5293.760000000007
buy,18.68,7883,147254.44,144575.52000000005,0.0,0.0
buy,18.32,8,146.56,155859.65000000005,0.0,0.0
sell,19.75,-7891,147401.0,155859.65000000005,0.0,8446.249999999989
buy,22.27,6991,155689.57,153342.89000000004,0.0,0.0
buy,21.19,8,169.52,148309.37000000005,0.0,0.0
sell,21.55,-6999,155859.09,150829.01000000007,0.0,-5030.639999999997
buy,21.55,6992,150677.6,150829.01000000007,0.0,0.0
buy,20.47,7,143.29,140758.01000000004,0.0,0.0
sell,20.83,-6999,150820.89,145797.29000000004,0.0,-5031.720000000021
buy,20.11,7242,145636.62,145797.29000000004,0.0,0.0
buy,18.32,8,146.56,135444.11000000004,0.0,0.0
sell,19.04,-7250,145783.18,138054.11000000004,0.0,-7743.18
buy,18.68,7383,137914.44,138054.11000000004,0.0,0.0
buy,18.32,7,128.24,138056.63000000006,0.0,0.0
sell,19.75,-7390,138042.68,145963.93000000005,0.0,7909.8200000000115
buy,20.11,7251,145817.61,145963.93000000005,0.0,0.0
sell,20.47,-7251,145817.61,148574.29000000004,0.0,2610.359999999996
buy,20.11,7380,148411.8,148574.29000000004,0.0,0.0
buy,19.75,8,158.0,151236.85000000003,0.0,0.0
sell,20.47,-7388,148569.8,151236.85000000003,0.0,2662.5599999999977
buy,22.99,6571,151067.28999999998,151236.85000000003,0.0,0.0
sell,23.35,-6571,151067.28999999998,153602.41000000006,0.0,2365.5600000000195
buy,22.99,6674,153435.25999999998,153602.41000000006,0.0,0.0
buy,22.27,7,155.89,158417.77000000008,0.0,0.0
sell,23.71,-6681,153591.15,158417.77000000008,0.0,4815.360000000014
buy,22.99,6883,158240.16999999998,160895.6500000001,0.0,0.0
buy,22.27,7,155.89,153462.01000000007,0.0,0.0
buy,20.83,1,20.83,148501.9300000001,0.0,0.0
sell,21.550000000000004,-6891,158416.88999999998,148501.9300000001,0.0,-9915.83999999998
