type,price,size,order_value,portfolio_value,commission,pnl
buy,1.8,55500,99900.0,97780.0,0.0,0.0
buy,1.76,56,98.56,111113.44,0.0,0.0
sell,2.0,-55556,99998.56,111113.44,0.0,11113.439999999997
buy,2.8,39643,111000.4,119042.04000000001,0.0,0.0
sell,3.0,-39643,111000.4,119042.04000000001,0.0,7928.600000000007
buy,2.8,42472,118921.59999999999,119042.04000000001,0.0,0.0
buy,2.8,42,117.6,119042.04000000001,0.0,0.0
buy,2.8,1,2.8,127545.04000000002,0.0,0.0
sell,3.0,-42515,119041.99999999999,127545.04000000002,0.0,8503.000000000007
buy,3.75,33978,127417.5,127545.04000000002,0.0,0.0
buy,2.5,50,125.0,85072.54000000002,0.0,0.0
sell,3.0,-34028,127542.5,102086.54000000002,0.0,-25458.499999999993
buy,2.8,36423,101984.4,153078.74000000005,0.0,0.0
sell,4.2,-36423,101984.4,153078.74000000005,0.0,50992.20000000001
buy,4.0,38231,152924.0,195132.84000000003,0.0,0.0
sell,5.1,-38231,152924.0,195132.84000000003,0.0,42054.099999999984
buy,4.8,40612,194937.6,288540.44000000006,0.0,0.0
sell,7.1000000000000005,-40612,194937.6,288540.44000000006,0.0,93407.59999999999
buy,9.0,32028,288252.0,218078.84000000005,0.0,0.0
buy,6.799999999999999,42,285.59999999999997,317495.8400000001,0.0,0.0
sell,9.9,-32070,288537.6,317495.8400000001,0.0,28955.40000000005
buy,9.3,34105,317176.5,314085.3400000001,0.0,0.0
sell,9.2,-34105,317176.5,314085.34,0.0,-3410.5000000000487
buy,7.5,41836,313770.0,268065.74000000005,0.0,0.0
buy,6.4,49,313.6,293196.74000000005,0.0,0.0
sell,7.0,-41885,314083.6,293196.74000000005,0.0,-20888.59999999997
buy,8.8,33284,292899.2,303181.94,0.0,0.0
sell,9.1,-33284,292899.2,303181.94,0.0,9985.199999999964
buy,14.25,21254,302869.5,297868.44,0.0,0.0
sell,14.0,-21254,302869.5,297868.44,0.0,-5313.5
buy,14.0,21255,297570.0,276613.44,0.0,0.0
buy,13.0,22,286.0,265974.94,0.0,0.0
buy,10.5,1,10.5,212781.94,0.0,0.0
sell,13.0,-21278,297866.5,276615.94,0.0,-21252.5
buy,10.0,27633,276330.0,276615.94,0.0,0.0
