type,price,size,order_value,portfolio_value,commission,pnl
buy,22.68,4404,99882.72,96741.04000000001,0.0,0.0
buy,21.94,5,109.7,96741.04000000001,0.0,0.0
sell,23.17,-4409,99992.42,102164.11000000002,0.0,2164.110000000013
buy,22.68,4500,102060.0,104369.11000000003,0.0,0.0
sell,23.91,-4500,102060.0,107699.11000000002,0.0,5535.000000000002
buy,24.4,4409,107579.59999999999,105538.70000000003,0.0,0.0
sell,25.14,-4409,107579.59999999999,110961.77000000002,0.0,3262.660000000009
buy,24.26,4569,110843.94,112286.78000000001,0.0,0.0
buy,23.66,4,94.64,112290.34000000003,0.0,0.0
sell,24.55,-4573,110938.58,112290.34000000003,0.0,1328.570000000004
buy,23.66,4741,112172.06,116509.83000000003,0.0,0.0
sell,24.55,-4741,112172.06,116509.83000000003,0.0,4219.4900000000025
buy,24.26,4797,116375.22,116509.83000000003,0.0,0.0
sell,25.44,-4797,116375.22,122170.29000000002,0.0,5660.459999999998
buy,24.85,4911,122038.35,122170.29000000002,0.0,0.0
buy,23.96,5,119.80000000000001,120699.94000000002,0.0,0.0
sell,25.14,-4916,122158.15000000001,123600.38000000002,0.0,1430.0899999999988
buy,24.85,4968,123454.8,123600.38000000002,0.0,0.0
sell,26.33,-4968,123454.8,130953.02,0.0,7352.639999999985
buy,26.33,4968,130807.43999999999,130953.02,0.0,0.0
sell,28.399999999999995,-4968,130807.43999999999,141236.78,0.0,10283.760000000002
buy,28.399999999999995,4968,141091.19999999998,141236.78,0.0,0.0
buy,27.21,5,136.05,135324.86000000004,0.0,0.0
sell,28.689999999999998,-4973,141227.24999999997,142684.90000000002,0.0,1448.1200000000301
buy,28.400000000000002,5019,142539.6,141179.2,0.0,0.0
sell,29.28,-5019,142539.6,147101.62000000002,0.0,4416.720000000013
buy,28.99,5069,146950.31,144110.91000000003,0.0,0.0
buy,28.4,5,142.0,151620.43000000002,0.0,0.0
sell,29.88,-5074,147092.31,151620.43000000002,0.0,4518.809999999991
buy,29.579999999999995,5120,151449.59999999998,148599.63000000003,0.0,0.0
buy,28.99,5,144.95,154647.13000000003,0.0,0.0
sell,30.17,-5125,151594.55,154647.13000000003,0.0,3026.7000000000176
buy,29.28,5276,154481.28,151534.29000000004,0.0,0.0
buy,28.690000000000005,5,143.45000000000002,154650.08000000002,0.0,0.0
sell,30.170000000000005,-5281,154624.73,159350.17000000004,0.0,4703.040000000005
buy,33.42,4763,159179.46000000002,157968.90000000002,0.0,0.0
buy,33.13,5,165.65,152342.66000000003,0.0,0.0
sell,33.13,-4768,159345.11000000002,157968.90000000005,0.0,-1381.2699999999925
buy,34.31,4599,157791.69,157968.90000000005,0.0,0.0
buy,34.02,5,170.10000000000002,156635.19000000006,0.0,0.0
sell,29.88,-4604,157961.78999999998,137574.63000000003,0.0,-20394.269999999997
buy,29.28,4693,137411.04,138982.53000000003,0.0,0.0
buy,28.99,5,144.95,133441.84,0.0,0.0
sell,29.88,-4698,137555.99000000002,140394.88,0.0,2820.2499999999745
buy,29.58,4741,140238.78,140394.88,0.0,0.0
buy,28.690000000000005,5,143.45000000000002,136175.39,0.0,0.0
sell,28.989999999999995,-4746,140382.23,137599.18999999997,0.0,-2795.690000000017
buy,28.99,4741,137441.59,138974.08,0.0,0.0
buy,29.880000000000003,5,149.4,141818.67999999996,0.0,0.0
sell,30.760000000000005,-4746,137590.99,145995.16,0.0,8395.970000000016
buy,29.88,4881,145844.28,147410.65000000002,0.0,0.0
sell,31.06,-4881,145844.28,151754.74,0.0,5759.579999999999
buy,30.759999999999998,4928,151585.28,151754.74,0.0,0.0
sell,31.649999999999995,-4928,151585.28,156140.65999999997,0.0,4385.9199999999855
buy,31.060000000000002,5022,155983.32,157597.03999999998,0.0,0.0
buy,30.47,5,152.35,153177.67999999996,0.0,0.0
sell,33.42,-5027,156135.67,168007.33,0.0,11866.669999999998
buy,34.9,4809,167834.1,165170.02,0.0,0.0
sell,35.5,-4809,167834.1,170892.72999999998,0.0,2885.400000000007
buy,34.9,4891,170695.9,170892.72999999998,0.0,0.0
buy,34.02,5,170.10000000000002,165119.84999999998,0.0,0.0
sell,32.83,-4896,170866.0,160762.40999999997,0.0,-10130.319999999994
buy,32.54,4935,160584.9,163674.06,0.0,0.0
sell,34.61,-4935,160584.9,170977.86,0.0,10215.45
buy,33.42,5110,170776.2,169495.96,0.0,0.0
sell,34.02,-5110,170776.2,174043.86,0.0,3066.0000000000073
buy,34.02,5110,173842.2,177058.75999999998,0.0,0.0
buy,34.9,5,174.5,178540.65999999997,0.0,0.0
sell,36.09,-5115,174016.7,184627.50999999998,0.0,10583.650000000005
buy,36.09,5110,184419.90000000002,183094.50999999995,0.0,0.0
sell,38.16,-5110,184419.90000000002,195205.20999999993,0.0,10577.699999999964
buy,40.82,4777,194997.14,192386.7799999999,0.0,0.0
sell,41.41,-4777,194997.14,198023.63999999993,0.0,2818.4299999999826
buy,40.23,4917,197810.90999999997,193647.50999999998,0.0,0.0
buy,39.34,5,196.70000000000002,193647.50999999995,0.0,0.0
sell,37.57,-4922,198007.61000000002,184935.56999999995,0.0,-13088.07
buy,36.92,5004,184747.68000000002,186686.96999999994,0.0,0.0
sell,38.33,-5004,184747.68000000002,191991.20999999993,0.0,7055.639999999983
