type,price,size,order_value,portfolio_value,commission,pnl
buy,0.05,1998001,99900.05,100000.0,0.0,0.0
buy,0.05,1997,99.85000000000001,100000.0,0.0,0.0
buy,0.05,1,0.05,119999.99,0.0,0.0
sell,0.28,-1999999,99999.95000000001,559999.7700000001,0.0,459999.7700000001
buy,0.32000000000000006,1748251,559440.3200000001,525034.75,0.0,0.0
buy,0.3,1862,558.6,525034.7500000001,0.0,0.0
buy,0.3,2,0.6,490032.4500000001,0.0,0.0
buy,0.24,1,0.24,455030.1700000001,0.0,0.0
sell,0.34,-1750116,559999.76,595039.4500000002,0.0,35039.680000000015
buy,0.34,1748367,594444.78,647490.4600000002,0.0,0.0
sell,0.37,-1748367,594444.78,647490.4600000002,0.0,52451.00999999995
buy,0.41,1577667,646843.47,647490.4600000002,0.0,0.0
buy,0.41,1576,646.16,647490.4600000002,0.0,0.0
buy,0.41,2,0.82,631698.0100000002,0.0,0.0
sell,0.44,-1579245,647490.45,694867.8100000003,0.0,47377.35000000004
buy,0.44,1577667,694173.48,647537.8000000003,0.0,0.0
buy,0.41,1691,693.31,679124.9600000002,0.0,0.0
buy,0.42,2,0.84,647537.7800000003,0.0,0.0
sell,0.45,-1579360,694867.63,710712.1800000003,0.0,15844.370000000039
buy,0.4600000000000001,1543482,710001.7200000001,710712.1800000003,0.0,0.0
buy,0.46,1542,709.32,695261.9400000003,0.0,0.0
buy,0.45,2,0.9,710712.2000000003,0.0,0.0
sell,0.55,-1545026,710711.9400000001,849764.5400000003,0.0,139052.36000000004
buy,0.49,1732480,848915.2,797790.1400000004,0.0,0.0
buy,0.46,1844,848.24,797790.1400000004,0.0,0.0
buy,0.46,2,0.92,815133.4000000003,0.0,0.0
sell,0.54,-1734326,849764.36,936536.2200000003,0.0,86771.68000000008
buy,0.51,1834511,935600.61,1046606.8800000002,0.0,0.0
sell,0.57,-1834511,935600.61,1046606.8800000002,0.0,110070.65999999989
buy,0.58,1802691,1045560.7799999999,1046606.8800000002,0.0,0.0
buy,0.58,1801,1044.58,1028561.9600000003,0.0,0.0
buy,0.57,2,1.14,1172921.4800000004,0.0,0.0
sell,0.65,-1804494,1046606.5,1172921.4800000004,0.0,126314.59999999999
buy,0.63,1859920,1171749.6,1265917.4800000004,0.0,0.0
