type,price,size,order_value,portfolio_value,commission,pnl
buy,841.27,118,99269.86,100000.0,0.0,0.0
sell,939.66,-118,99269.86,111610.02,0.0,11610.019999999999
buy,900.3,123,110736.9,110400.93000000001,0.0,0.0
buy,841.27,1,841.27,103739.25000000001,0.0,0.0
sell,831.43,-124,111578.17,103129.17,0.0,-8480.850000000006
buy,816.67,126,102900.42,103749.09000000001,0.0,0.0
sell,806.83,-126,102900.42,101889.33,0.0,-1239.8399999999897
buy,806.83,126,101660.58,102509.25,0.0,0.0
sell,831.43,-126,101660.58,104988.93,0.0,3099.5999999999885
buy,806.83,129,104081.07,106892.96999999999,0.0,0.0
buy,787.15,1,787.15,103089.81,0.0,0.0
sell,796.99,-130,104868.22,103729.41,0.0,-1259.5199999999932
buy,860.95,120,103314.0,102548.61,0.0,0.0
sell,929.82,-120,103314.0,111993.81,0.0,8264.400000000001
buy,1028.22,108,111047.76000000001,109337.01,0.0,0.0
sell,1033.14,-108,111047.76000000001,112525.17000000001,0.0,531.3600000000079
buy,1042.98,107,111598.86,114629.86000000002,0.0,0.0
sell,1102.01,-107,111598.86,118841.38,0.0,6316.209999999997
buy,1126.61,105,118294.04999999999,118324.78000000003,0.0,0.0
sell,1013.46,-105,118294.04999999999,106960.63000000002,0.0,-11880.749999999985
buy,1008.54,105,105896.7,106444.03000000003,0.0,0.0
sell,1023.3,-105,105896.7,108510.43000000002,0.0,1549.799999999999
buy,983.94,110,108233.40000000001,108510.43000000002,0.0,0.0
sell,939.66,-110,108233.40000000001,103639.63000000002,0.0,-4870.800000000009
buy,910.14,113,102845.81999999999,103639.63000000002,0.0,0.0
sell,915.06,-113,102845.81999999999,104195.59000000001,0.0,555.9599999999954
buy,895.38,116,103864.08,107619.91,0.0,0.0
sell,924.9,-116,103864.08,107619.91,0.0,3424.319999999998
buy,905.22,118,106815.96,108781.02999999998,0.0,0.0
sell,880.63,-118,106815.96,104718.29,0.0,-2901.6200000000035
buy,865.87,120,103904.4,104127.89,0.0,0.0
buy,796.99,1,796.99,97643.33,0.0,0.0
sell,836.35,-121,104701.39,101215.25,0.0,-3503.0399999999927
buy,821.59,123,101055.57,99399.77,0.0,0.0
sell,841.27,-123,101055.57,103635.89,0.0,2420.639999999994
buy,816.67,126,102900.42,102396.05,0.0,0.0
sell,816.67,-126,102900.42,103635.89,0.0,0.0
buy,851.11,121,102984.31,99468.65,0.0,0.0
sell,816.67,-121,102984.31,99468.65,0.0,-4167.240000000007
