type,price,size,order_value,portfolio_value,commission,pnl
buy,3.0,33300,99900.0,98335.0,0.0,0.0
buy,2.95,33,97.35000000000001,98335.0,0.0,0.0
sell,4.05,-33333,99997.35,135001.3,0.0,35001.29999999999
buy,4.0,33716,134864.0,138372.89999999997,0.0,0.0
buy,4.05,33,133.65,136687.09999999998,0.0,0.0
sell,4.7,-33749,134997.65,158623.95,0.0,23622.650000000012
buy,4.8,33013,158462.4,158623.95,0.0,0.0
buy,4.8,33,158.4,168537.75,0.0,0.0
sell,5.1,-33046,158620.8,168537.75,0.0,9913.799999999994
buy,5.1,33013,168366.3,165236.45,0.0,0.0
buy,5.0,34,170.0,165236.45,0.0,0.0
sell,5.4,-33047,168536.3,178455.25000000003,0.0,9917.50000000003
buy,5.3,33637,178276.1,175091.55000000002,0.0,0.0
buy,5.2,34,176.8,171724.45,0.0,0.0
sell,5.9,-33671,178452.9,198661.25000000006,0.0,20206.000000000022
buy,5.8,34217,198458.6,195239.55000000005,0.0,0.0
buy,5.7,35,199.5,191814.35000000003,0.0,0.0
sell,6.5,-34252,198658.1,222641.15000000005,0.0,23979.89999999998
buy,6.3,35304,222415.19999999998,233232.35000000006,0.0,0.0
sell,6.6,-35304,222415.19999999998,233232.35000000003,0.0,10591.199999999993
buy,6.5,35846,232999.0,236816.95,0.0,0.0
sell,6.9,-35846,232999.0,247570.75000000006,0.0,14338.400000000012
buy,7.2,34350,247320.0,244135.75000000006,0.0,0.0
buy,7.1,35,248.5,251012.75000000006,0.0,0.0
sell,7.3,-34385,247568.5,251012.75000000006,0.0,3442.0000000000023
buy,7.1,35318,250757.8,254544.55000000008,0.0,0.0
buy,7.4,34,251.60000000000002,254537.75000000006,0.0,0.0
sell,7.8999999999999995,-35352,251009.4,279284.1500000001,0.0,28271.40000000001
buy,7.8999999999999995,35317,279004.3,275752.45000000007,0.0,0.0
buy,7.8,35,273.0,275752.45000000007,0.0,0.0
sell,8.1,-35352,279277.3,286358.0500000001,0.0,7073.90000000001
buy,8.1,35317,286067.7,282826.3500000001,0.0,0.0
buy,8.0,36,288.0,293432.2500000001,0.0,0.0
sell,8.3,-35353,286355.70000000007,293432.2500000002,0.0,7074.199999999983
buy,8.4,34897,293134.8,303901.35000000015,0.0,0.0
sell,8.7,-34897,293134.8,303901.35000000015,0.0,10469.099999999962
buy,8.4,36142,303592.8,311129.7500000002,0.0,0.0
buy,8.4,36,302.40000000000003,296665.7500000001,0.0,0.0
