type,price,size,order_value,portfolio_value,commission,pnl
buy,17.0,5876,99892.0,102938.0,0.0,0.0
sell,18.5,-5876,99892.0,108814.0,0.0,8814.0
buy,18.75,5797,108693.75,110263.25,0.0,0.0
sell,20.0,-5797,108693.75,116060.25,0.0,7246.25
buy,20.25,5725,115931.25,116060.25,0.0,0.0
buy,20.0,6,120.0,116061.75,0.0,0.0
sell,20.5,-5731,116051.25000000001,117494.5,0.0,1434.2499999999927
buy,20.25,5796,117369.0,118943.5,0.0,0.0
buy,20.5,6,123.0,118943.5,0.0,0.0
sell,21.75,-5802,117492.0,126196.0,0.0,8701.500000000004
buy,23.0,5481,126063.0,123455.5,0.0,0.0
buy,22.5,5,112.5,126198.5,0.0,0.0
sell,23.0,-5486,126175.49999999999,126198.5,0.0,2.500000000008143
buy,24.25,5198,126051.5,127498.0,0.0,0.0
buy,24.0,6,144.0,124899.0,0.0,0.0
sell,25.5,-5204,126195.50000000001,132705.0,0.0,6506.499999999993
buy,25.5,5198,132549.0,135304.0,0.0,0.0
buy,26.0,5,130.0,135304.0,0.0,0.0
buy,25.5,1,25.5,128799.5,0.0,0.0
sell,26.0,-5204,132704.5,135304.5,0.0,2599.499999999994
buy,25.0,5406,135150.0,132601.5,0.0,0.0
buy,24.5,6,147.0,132601.5,0.0,0.0
sell,26.0,-5412,135297.0,140719.5,0.0,5414.999999999997
buy,25.5,5512,140556.0,143475.5,0.0,0.0
buy,26.0,6,156.0,143475.5,0.0,0.0
sell,28.5,-5518,140712.0,157270.5,0.0,16551.000000000004
buy,30.5,5151,157105.5,154695.0,0.0,0.0
buy,30.0,5,150.0,154695.0,0.0,0.0
sell,29.5,-5156,157255.5,152117.0,0.0,-5153.4999999999945
buy,28.5,5332,151962.0,149451.0,0.0,0.0
buy,28.0,5,140.0,152119.5,0.0,0.0
sell,29.0,-5337,152102.0,154788.0,0.0,2671.000000000002
buy,28.0,5522,154616.0,157549.0,0.0,0.0
buy,27.5,6,165.0,154791.0,0.0,0.0
sell,28.5,-5528,154781.0,157555.0,0.0,2767.0000000000036
buy,27.5,5723,157382.5,157555.0,0.0,0.0
buy,27.0,6,162.0,154693.5,0.0,0.0
sell,28.0,-5729,157544.5,160422.5,0.0,2867.5000000000055
buy,28.0,5723,160244.0,160422.5,0.0,0.0
sell,29.0,-5723,160244.0,166145.5,0.0,5723.0
buy,29.5,5626,165967.0,166145.5,0.0,0.0
buy,29.0,6,174.0,160516.5,0.0,0.0
sell,28.5,-5632,166141.0,160516.5,0.0,-5628.999999999993
buy,28.5,5626,160341.0,160516.5,0.0,0.0
buy,28.5,6,171.0,160516.5,0.0,0.0
sell,29.5,-5632,160512.0,166148.5,0.0,5632.0
buy,28.0,5927,165956.0,175039.0,0.0,0.0
sell,29.5,-5927,165956.0,175039.0,0.0,8890.5
buy,28.5,6135,174847.5,171971.5,0.0,0.0
buy,28.0,6,168.0,171971.5,0.0,0.0
sell,29.5,-6141,175015.5,181183.0,0.0,6144.0
buy,29.0,6241,180989.0,184303.5,0.0,0.0
