type,price,size,order_value,portfolio_value,commission,pnl
buy,1.62,61666,99898.92000000001,100000.0,0.0,0.0
buy,1.62,62,100.44000000000001,99999.99999999999,0.0,0.0
sell,2.11,-61728,99999.36000000002,130246.71999999997,0.0,30246.719999999972
buy,2.19,59413,130114.47,116581.72999999997,0.0,0.0
buy,1.96,67,131.32,123719.32999999997,0.0,0.0
sell,2.3,-59480,130245.79000000001,136804.92999999996,0.0,6558.209999999979
buy,2.67,51186,136666.62,138852.36999999997,0.0,0.0
buy,2.71,50,135.5,143975.96999999997,0.0,0.0
sell,2.95,-51236,136802.12,151149.00999999998,0.0,14344.080000000013
buy,2.95,51185,150995.75,163433.40999999997,0.0,0.0
sell,3.19,-51185,150995.75,163433.40999999997,0.0,12284.399999999989
buy,3.57,45733,163266.81,148341.52,0.0,0.0
buy,3.24,51,165.24,143763.12,0.0,0.0
sell,2.95,-45784,163432.05,135064.16,0.0,-28369.24999999997
buy,2.95,45738,134927.1,135064.16,0.0,0.0
buy,2.95,46,135.70000000000002,137353.36,0.0,0.0
sell,3.1,-45784,135062.80000000002,141931.76,0.0,6867.599999999996
buy,3.0,47263,141789.0,144294.91,0.0,0.0
buy,3.05,46,140.29999999999998,146660.36000000002,0.0,0.0
sell,3.33,-47309,141929.3,157541.43000000002,0.0,15609.67000000002
buy,3.24,48575,157383.0,157541.43000000002,0.0,0.0
buy,3.24,48,155.52,152679.13000000003,0.0,0.0
sell,3.48,-48623,157538.52,169210.95000000004,0.0,11669.52000000001
buy,3.8599999999999994,43793,169040.97999999998,164831.65000000005,0.0,0.0
buy,3.76,45,169.2,167023.55000000005,0.0,0.0
sell,3.2899999999999996,-43838,169210.18,144227.79000000004,0.0,-24983.159999999993
buy,3.29,43794,144082.26,148169.25000000003,0.0,0.0
buy,3.38,43,145.34,137648.37000000002,0.0,0.0
sell,3.29,-43837,144227.6,144223.92000000004,0.0,-3.869999999997106
buy,3.8099999999999996,37816,144078.96,149518.16000000006,0.0,0.0
buy,3.8999999999999995,37,144.29999999999998,135135.87000000005,0.0,0.0
sell,3.14,-37853,144223.25999999998,118859.08000000005,0.0,-25364.839999999982
buy,3.0,39580,118740.0,118859.08000000005,0.0,0.0
buy,3.0,39,117.0,120840.03000000004,0.0,0.0
sell,3.62,-39619,118857.0,143422.86000000004,0.0,24563.780000000002
buy,3.5199999999999996,40704,143278.08,139759.50000000006,0.0,0.0
buy,3.43,42,144.06,139759.50000000006,0.0,0.0
sell,3.86,-40746,143422.13999999998,157280.28000000006,0.0,13857.420000000018
buy,3.95,39778,157123.1,157280.28000000006,0.0,0.0
sell,4.24,-39778,157123.1,168815.90000000005,0.0,11535.62
buy,4.24,39775,168646.0,176373.15000000005,0.0,0.0
buy,4.24,40,169.60000000000002,163241.80000000005,0.0,0.0
sell,4.95,-39815,168815.6,197084.55000000005,0.0,28268.649999999998
buy,4.76,41362,196883.12,191293.87000000005,0.0,0.0
buy,4.62,43,198.66,191293.87000000005,0.0,0.0
sell,4.95,-41405,197081.78,204957.52000000008,0.0,7872.970000000018
buy,4.95,41364,204751.80000000002,204957.52000000008,0.0,0.0
buy,4.95,41,202.95000000000002,204957.52000000005,0.0,0.0
sell,5.24,-41405,204954.75000000006,216964.97000000006,0.0,12007.449999999964
buy,5.71,37959,216745.88999999998,209752.76000000007,0.0,0.0
buy,5.52,39,215.27999999999997,209752.76000000007,0.0,0.0
sell,5.81,-37998,216961.17,220772.18000000008,0.0,3807.2099999999855
buy,5.71,38625,220548.75,213433.43000000005,0.0,0.0
buy,5.52,40,220.79999999999998,213433.43000000008,0.0,0.0
sell,5.71,-38665,220769.55,220779.7800000001,0.0,7.5999999999968
buy,5.62,39245,220556.9,235692.8800000001,0.0,0.0
sell,6.0,-39245,220556.9,235692.8800000001,0.0,14913.099999999997
buy,6.0,39242,235452.0,235692.8800000001,0.0,0.0
buy,5.81,41,238.20999999999998,235700.6700000001,0.0,0.0
sell,6.0,-39283,235690.21,235700.6700000001,0.0,7.790000000021848
buy,7.24,32522,235459.28,238627.6500000001,0.0,0.0
buy,7.24,33,238.92000000000002,217144.3200000001,0.0,0.0
sell,5.71,-32555,235698.2,185891.52000000008,0.0,-49809.15000000001
buy,5.71,32522,185700.62,189143.72000000006,0.0,0.0
buy,5.71,33,188.43,195332.4700000001,0.0,0.0
sell,6.0,-32555,185889.05,195332.4700000001,0.0,9440.95
buy,5.9,33074,195136.6,192355.81000000006,0.0,0.0
buy,5.81,33,191.73,189045.11000000007,0.0,0.0
sell,6.1,-33107,195328.33000000002,201956.84000000008,0.0,6624.369999999986
buy,6.0,33625,201750.0,198594.34000000008,0.0,0.0
buy,5.9,35,206.5,192198.9400000001,0.0,0.0
sell,5.9,-33660,201956.5,198594.3400000001,0.0,-3362.4999999999814
buy,6.0,33065,198390.0,201900.8400000001,0.0,0.0
buy,5.9,34,200.60000000000002,192308.93000000008,0.0,0.0
sell,6.48,-33099,198590.6,214485.2600000001,0.0,15890.919999999996
buy,6.86,31234,214265.24000000002,208550.80000000008,0.0,0.0
buy,6.67,32,213.44,217305.2800000001,0.0,0.0
sell,6.95,-31266,214478.68000000002,217305.28000000006,0.0,2820.01999999997
buy,7.43,29217,217082.31,225486.04000000007,0.0,0.0
sell,7.71,-29217,217082.31,225486.04000000007,0.0,8180.7600000000075
buy,7.52,29954,225254.08,225486.04000000007,0.0,0.0
buy,7.62,30,228.6,228481.4400000001,0.0,0.0
sell,7.709999999999999,-29984,225482.68,231180.0000000001,0.0,5693.960000000011
buy,8.86,26066,230944.75999999998,231180.0000000001,0.0,0.0
buy,8.76,26,227.76,228573.40000000008,0.0,0.0
