type,price,size,order_value,portfolio_value,commission,pnl
buy,3.18,31415,99899.70000000001,91517.95,0.0,0.0
buy,2.91,34,98.94,91517.95,0.0,0.0
sell,2.73,-31449,99998.64000000001,85857.12999999998,0.0,-14142.87000000002
buy,2.68,32004,85770.72,85857.12999999998,0.0,0.0
buy,2.55,33,84.14999999999999,78492.90999999999,0.0,0.0
sell,2.68,-32037,85854.87,85861.42,0.0,4.29000000001584
buy,3.64,23564,85772.96,86803.98,0.0,0.0
buy,3.45,25,86.25,81384.26,0.0,0.0
sell,2.91,-23589,85859.21,68646.2,0.0,-17215.220000000005
buy,2.77,24757,68576.89,67655.92,0.0,0.0
buy,2.73,25,68.25,69886.29999999999,0.0,0.0
sell,2.82,-24782,68645.14,69886.3,0.0,1240.0999999999995
buy,3.18,21954,69813.72,58909.3,0.0,0.0
buy,2.68,27,72.36,53853.67,0.0,0.0
sell,2.55,-21981,69886.08,56051.76999999999,0.0,-13834.53000000001
buy,2.55,21959,55995.45,60004.38999999999,0.0,0.0
sell,2.73,-21959,55995.45,60004.38999999999,0.0,3952.6200000000035
buy,2.64,22706,59943.840000000004,64091.46999999999,0.0,0.0
sell,2.82,-22706,59943.840000000004,64091.46999999999,0.0,4087.0799999999936
buy,2.73,23453,64026.69,64091.46999999999,0.0,0.0
sell,3.36,-23453,64026.69,78866.85999999999,0.0,14775.389999999998
buy,3.7700000000000005,20898,78785.46,78866.85999999999,0.0,0.0
buy,3.68,22,80.96000000000001,76986.03999999998,0.0,0.0
sell,2.91,-20920,78866.42000000001,60877.639999999985,0.0,-17989.22000000001
buy,2.91,20899,60816.090000000004,64639.45999999998,0.0,0.0
sell,3.09,-20899,60816.090000000004,64639.45999999998,0.0,3761.8199999999943
buy,3.0,21524,64572.0,64639.45999999998,0.0,0.0
sell,3.0900000000000003,-21524,64572.0,66576.61999999998,0.0,1937.159999999997
buy,3.0,22170,66510.0,66576.61999999998,0.0,0.0
buy,2.95,22,64.9,65468.11999999998,0.0,0.0
sell,3.27,-22192,66574.9,72569.55999999998,0.0,5992.940000000004
buy,3.0,24165,72495.0,72569.55999999998,0.0,0.0
buy,2.95,25,73.75,72570.80999999998,0.0,0.0
sell,2.91,-24190,72568.75,70393.70999999998,0.0,-2175.8500000000004
buy,2.59,27151,70321.09,71751.25999999998,0.0,0.0
sell,2.82,-27151,70321.09,76638.43999999997,0.0,6244.73
buy,2.73,28044,76560.12,91782.19999999998,0.0,0.0
sell,3.27,-28044,76560.12,91782.19999999997,0.0,15143.76
buy,3.09,29673,91689.56999999999,91782.19999999997,0.0,0.0
buy,2.95,31,91.45,89113.17999999998,0.0,0.0
sell,2.73,-29704,91781.01999999999,81093.09999999998,0.0,-10689.099999999993
