type,price,size,order_value,portfolio_value,commission,pnl
buy,14.44,6918,99895.92,100000.0,0.0,0.0
buy,14.75,7,103.25,103252.58,0.0,0.0
sell,15.37,-6925,99999.17,106438.08,0.0,6438.0799999999945
buy,15.37,6918,106329.65999999999,105331.20000000001,0.0,0.0
buy,14.75,7,103.25,103256.92000000001,0.0,0.0
sell,16.29,-6925,106432.90999999999,112813.42000000001,0.0,6375.340000000007
buy,15.98,7052,112690.96,114999.54,0.0,0.0
sell,17.21,-7052,112690.96,121487.38000000002,0.0,8673.960000000003
buy,16.9,7181,121358.9,121487.38000000002,0.0,0.0
buy,16.6,7,116.20000000000002,119333.08000000005,0.0,0.0
sell,15.98,-7188,121475.1,114876.52000000003,0.0,-6610.86
buy,16.9,6790,114750.99999999999,112839.52000000006,0.0,0.0
buy,16.6,7,116.20000000000002,114878.62000000004,0.0,0.0
sell,17.52,-6797,114867.19999999998,119092.76000000005,0.0,4216.24000000002
buy,17.21,6913,118972.73000000001,119092.76000000005,0.0,0.0
buy,17.21,6,103.26,119092.76000000005,0.0,0.0
buy,16.6,1,16.6,119093.37000000005,0.0,0.0
sell,17.21,-6920,119092.59000000001,119093.37000000005,0.0,0.6099999999952388
buy,16.9,7039,118959.09999999999,119093.37000000005,0.0,0.0
buy,16.9,7,118.29999999999998,119093.37000000005,0.0,0.0
sell,17.52,-7046,119077.4,123461.89000000006,0.0,4368.520000000007
buy,17.21,7166,123326.86,125683.35000000005,0.0,0.0
buy,16.9,7,118.29999999999998,123464.06000000006,0.0,0.0
sell,17.83,-7173,123445.16,127911.32000000005,0.0,4449.4299999999885
buy,17.83,7166,127769.77999999998,127911.32000000005,0.0,0.0
buy,17.52,8,140.16,123465.92000000007,0.0,0.0
sell,16.6,-7174,127909.93999999997,119089.78000000007,0.0,-8821.539999999966
buy,19.36,6145,118967.2,119089.78000000007,0.0,0.0
sell,19.98,-6145,118967.2,122899.68000000008,0.0,3809.900000000006
buy,22.74,5399,122773.26,124573.37000000008,0.0,0.0
buy,22.13,5,110.64999999999999,119606.29000000008,0.0,0.0
sell,22.74,-5404,122883.90999999999,122902.73000000008,0.0,3.0500000000072447
buy,22.13,5548,122777.23999999999,122902.73000000008,0.0,0.0
buy,21.82,5,109.1,116074.09000000008,0.0,0.0
sell,19.67,-5553,122886.33999999998,109243.9000000001,0.0,-13658.82999999998
buy,19.05,5728,109118.40000000001,112795.2600000001,0.0,0.0
sell,19.67,-5728,109118.40000000001,112795.2600000001,0.0,3551.3600000000056
buy,19.36,5820,112675.2,110991.0600000001,0.0,0.0
buy,19.05,6,114.30000000000001,112797.1200000001,0.0,0.0
sell,20.59,-5826,112789.50000000001,119963.10000000011,0.0,7167.83999999999
buy,20.28,5909,119834.52,119963.10000000011,0.0,0.0
buy,19.67,6,118.02000000000001,116358.6100000001,0.0,0.0
sell,19.36,-5915,119952.54000000001,114524.9600000001,0.0,-5438.140000000015
buy,18.44,6204,114401.76000000001,118309.4000000001,0.0,0.0
buy,18.75,6,112.5,118311.20000000008,0.0,0.0
sell,16.6,-6210,114514.26000000002,103096.7000000001,0.0,-11428.26000000001
buy,16.6,6204,102986.40000000001,104957.90000000008,0.0,0.0
buy,16.6,6,99.60000000000001,106884.80000000009,0.0,0.0
sell,17.21,-6210,103086.00000000001,106884.80000000009,0.0,3788.0999999999963
buy,16.9,6318,106774.2,108843.38000000009,0.0,0.0
buy,16.9,6,101.39999999999999,106884.80000000009,0.0,0.0
sell,16.6,-6324,106875.59999999999,104987.60000000011,0.0,-1897.199999999982
buy,16.6,6318,104878.8,106883.0000000001,0.0,0.0
buy,16.29,6,97.74,104989.46000000011,0.0,0.0
sell,16.6,-6324,104976.54000000001,104989.46000000011,0.0,1.8599999999983083
buy,18.13,5785,104882.04999999999,106782.81000000011,0.0,0.0
buy,19.05,5,95.25,110311.66000000012,0.0,0.0
sell,19.67,-5790,104977.3,113901.46000000014,0.0,8912.000000000013
buy,19.67,5784,113771.28000000001,113901.46000000014,0.0,0.0
sell,20.9,-5784,113771.28000000001,121015.78000000012,0.0,7114.3199999999815
buy,20.59,5871,120883.89,121015.78000000012,0.0,0.0
buy,19.67,6,118.02000000000001,111970.72000000012,0.0,0.0
sell,19.05,-5877,121001.91,111970.72000000012,0.0,-9045.059999999998
buy,19.36,5777,111842.72,111970.72000000012,0.0,0.0
sell,19.98,-5777,111842.72,115552.46000000012,0.0,3581.7400000000057
buy,20.59,5606,115427.54,117290.32000000012,0.0,0.0
sell,21.51,-5606,115427.54,120709.98000000013,0.0,5157.5200000000095
