type,price,size,order_value,portfolio_value,commission,pnl
buy,21.38,4672,99887.36,101027.84000000001,0.0,0.0
buy,21.82,5,109.1,104160.32999999999,0.0,0.0
sell,24.05,-4677,99996.46,112485.39,0.0,12485.389999999994
buy,23.61,4759,112359.98999999999,108249.88,0.0,0.0
buy,22.72,5,113.6,114586.0,0.0,0.0
sell,24.05,-4764,112473.59,114586.0,0.0,2100.610000000006
buy,24.05,4759,114453.95,118821.51000000001,0.0,0.0
buy,24.05,5,120.25,125209.72,0.0,0.0
sell,26.28,-4764,114574.2,125209.72,0.0,10623.720000000001
buy,28.06,4457,125063.42,121242.99,0.0,0.0
buy,27.170000000000005,5,135.85000000000002,121242.99,0.0,0.0
sell,29.4,-4462,125199.27,131193.25,0.0,5983.529999999996
buy,28.06,4670,131040.2,133294.75,0.0,0.0
buy,27.170000000000005,5,135.85000000000002,127036.95,0.0,0.0
sell,28.51,-4675,131176.05,133301.45,0.0,2108.2000000000157
buy,28.059999999999995,4745,133144.69999999998,135436.70000000004,0.0,0.0
buy,28.51,5,142.55,143891.70000000004,0.0,0.0
sell,30.29,-4750,133287.24999999997,143891.70000000004,0.0,10590.25000000002
buy,29.84,4817,143739.28,141772.22000000003,0.0,0.0
buy,29.4,5,147.0,135310.74000000005,0.0,0.0
sell,22.05,-4822,143886.28,106330.52000000005,0.0,-37561.17999999999
buy,22.05,4817,106214.85,106330.52000000005,0.0,0.0
buy,22.05,5,110.25,100929.88000000003,0.0,0.0
sell,23.16,-4822,106325.1,111682.94000000005,0.0,5352.419999999997
buy,23.61,4725,111557.25,113761.94000000005,0.0,0.0
buy,23.61,5,118.05,109554.44000000005,0.0,0.0
sell,24.5,-4730,111675.3,115892.64000000004,0.0,4209.700000000003
buy,24.05,4814,115776.7,111608.18000000005,0.0,0.0
buy,23.16,5,115.8,115897.09000000004,0.0,0.0
sell,24.5,-4819,115892.5,118065.64000000004,0.0,2173.0000000000036
buy,23.61,4995,117931.95,115817.89000000004,0.0,0.0
