type,price,size,order_value,portfolio_value,commission,pnl
buy,52.66,1897,99896.01999999999,100000.0,0.0,0.0
sell,53.11,-1897,99896.01999999999,100853.65000000001,0.0,853.6500000000054
buy,67.71,1488,100752.48,102877.33,0.0,0.0
sell,69.07,-1488,100752.48,102877.33,0.0,2023.6799999999992
buy,64.55,1592,102763.59999999999,99279.41,0.0,0.0
buy,62.29,1,62.29,96412.01000000002,0.0,0.0
sell,62.29,-1593,102825.88999999998,99279.41000000002,0.0,-3597.9199999999846
buy,60.93999999999999,1627,99149.37999999999,97815.11000000003,0.0,0.0
sell,64.55,-1627,99149.37999999999,105152.88000000002,0.0,5873.469999999999
buy,65.0,1616,105040.0,109532.24,0.0,0.0
sell,67.71,-1616,105040.0,109532.24,0.0,4379.35999999999
buy,62.75,1743,109373.25,107161.76000000001,0.0,0.0
buy,61.39,2,122.78,105591.26000000001,0.0,0.0
sell,55.52,-1745,109496.03,96918.61000000002,0.0,-12613.62999999999
buy,52.81,1833,96800.73000000001,97761.79000000001,0.0,0.0
buy,52.36,2,104.72,97763.61000000002,0.0,0.0
sell,42.43,-1835,96905.45000000001,77872.21,0.0,-19046.40000000001
buy,50.56,1538,77761.28,76488.01000000001,0.0,0.0
buy,49.66,2,99.32,74393.61,0.0,0.0
sell,54.17,-1540,77860.6,83433.41,0.0,5561.200000000003
buy,51.01,1633,83299.33,79007.98,0.0,0.0
buy,48.3,2,96.6,81231.57999999999,0.0,0.0
sell,50.56,-1635,83395.93000000001,82703.08,0.0,-730.3299999999994
buy,49.2,1679,82606.8,81947.53,0.0,0.0
buy,46.5,2,93.0,77396.52,0.0,0.0
sell,37.92,-1681,82699.8,63746.8,0.0,-18956.279999999995
buy,41.08,1550,63674.0,64444.3,0.0,0.0
buy,39.72,1,39.72,60940.850000000006,0.0,0.0
sell,41.53,-1551,63713.72,64446.11,0.0,699.3099999999994
buy,40.63,1584,64357.920000000006,62291.87,0.0,0.0
buy,39.27,2,78.54,63005.56999999999,0.0,0.0
sell,38.37,-1586,64436.46000000001,60864.46999999999,0.0,-3581.6400000000103
buy,45.14,1347,60803.58,62076.76999999998,0.0,0.0
sell,46.04,-1347,60803.58,62076.76999999998,0.0,1212.2999999999981
buy,43.79,1416,62006.64,60151.00999999998,0.0,0.0
buy,42.43,1,42.43,62078.12999999998,0.0,0.0
sell,43.79,-1417,62049.07,62078.129999999976,0.0,1.3599999999963188
buy,42.43,1461,61990.23,64722.53999999997,0.0,0.0
sell,44.24,-1461,61990.23,64722.53999999998,0.0,2644.4100000000035
buy,52.81,1224,64639.44,65285.57999999998,0.0,0.0
sell,53.27,-1224,64639.44,65285.57999999998,0.0,563.0400000000011
buy,49.66,1313,65203.579999999994,61727.34999999999,0.0,0.0
buy,46.95,1,46.95,58757.709999999985,0.0,0.0
sell,45.14,-1314,65250.52999999999,59349.00999999999,0.0,-5936.56999999999
buy,41.53,1427,59263.310000000005,58064.709999999985,0.0,0.0
buy,40.63,2,81.26,55478.21999999998,0.0,0.0
sell,41.98,-1429,59344.570000000014,59993.85999999998,0.0,644.8499999999842
buy,43.34,1382,59895.880000000005,59358.13999999998,0.0,0.0
buy,41.53,2,83.06,55624.03999999998,0.0,0.0
sell,37.92,-1384,59978.94,52496.199999999975,0.0,-7497.660000000003
buy,39.72,1320,52430.4,51308.199999999975,0.0,0.0
buy,38.82,1,38.82,49524.84999999997,0.0,0.0
sell,43.79,-1321,52469.22000000001,57873.56999999998,0.0,5377.3699999999935
buy,42.43,1362,57789.659999999996,57873.56999999998,0.0,0.0
buy,40.63,2,81.26,53566.929999999986,0.0,0.0
sell,39.27,-1364,57870.920000000006,53566.929999999986,0.0,-4306.6399999999985
buy,46.95,1139,53476.05,54079.47999999998,0.0,0.0
buy,45.59,1,45.59,51504.889999999985,0.0,0.0
sell,47.4,-1140,53521.64,54081.289999999986,0.0,514.360000000002
buy,45.59,1185,54024.15,54081.289999999986,0.0,0.0
sell,47.85,-1185,54024.15,56759.389999999985,0.0,2678.0999999999976
buy,46.95,1207,56668.65,57302.53999999998,0.0,0.0
sell,49.66,-1207,56668.65,60030.35999999998,0.0,3270.9699999999925
buy,56.88,1054,59951.520000000004,58596.91999999998,0.0,0.0
buy,55.52,1,55.52,57172.66999999998,0.0,0.0
sell,52.36,-1055,60007.04,55263.11999999998,0.0,-4767.240000000001
buy,51.46,1072,55165.12,57685.839999999975,0.0,0.0
sell,53.72,-1072,55165.12,57685.83999999998,0.0,2422.719999999998
buy,59.13,974,57592.62,55932.63999999998,0.0,0.0
buy,57.33,1,57.33,57248.88999999998,0.0,0.0
sell,58.68,-975,57649.950000000004,57248.88999999998,0.0,-436.9500000000043
buy,58.68,974,57154.32,57687.18999999998,0.0,0.0
sell,62.29,-974,57154.32,60765.02999999998,0.0,3516.1399999999994
buy,65.91,921,60703.10999999999,61013.69999999999,0.0,0.0
buy,61.39,1,61.39,56104.22999999999,0.0,0.0
sell,66.81,-922,60764.49999999999,61599.349999999984,0.0,834.3200000000063
buy,65.45,940,61523.0,61260.94999999999,0.0,0.0
