type,price,size,order_value,portfolio_value,commission,pnl
buy,3.71,26927,99899.17,98384.38,0.0,0.0
buy,3.65,27,98.55,98384.37999999999,0.0,0.0
sell,4.1,-26954,99997.72,110513.67999999998,0.0,10513.679999999984
buy,4.03,27395,110401.85,108869.97999999998,0.0,0.0
buy,3.97,28,111.16000000000001,108869.97999999998,0.0,0.0
sell,4.1,-27423,110513.01000000001,112434.96999999996,0.0,1921.2899999999797
buy,4.03,27871,112320.13,110762.70999999996,0.0,0.0
buy,3.97,28,111.16000000000001,112436.64999999995,0.0,0.0
sell,4.22,-27899,112431.29000000002,117737.45999999995,0.0,5302.489999999974
buy,4.42,26610,117616.2,115874.75999999994,0.0,0.0
sell,4.54,-26610,117616.2,120930.65999999995,0.0,3193.200000000003
buy,4.42,27332,120807.44,124210.49999999994,0.0,0.0
sell,4.54,-27332,120807.44,124210.49999999994,0.0,3279.840000000003
buy,4.8,25851,124084.79999999999,124210.49999999994,0.0,0.0
sell,4.93,-25851,124084.79999999999,127571.12999999995,0.0,3360.6299999999974
buy,4.61,27645,127443.45000000001,127571.12999999995,0.0,0.0
buy,4.42,28,123.75999999999999,123978.95999999995,0.0,0.0
sell,4.67,-27673,127567.21000000002,129236.82999999994,0.0,1665.699999999982
buy,4.8,26897,129105.59999999999,129236.82999999994,0.0,0.0
sell,5.06,-26897,129105.59999999999,136230.04999999993,0.0,6993.219999999994
buy,5.44,25017,136092.48,137731.06999999992,0.0,0.0
buy,5.38,25,134.5,131473.56999999992,0.0,0.0
sell,5.44,-25042,136226.98,136231.54999999993,0.0,1.500000000009729
buy,5.18,26273,136094.13999999998,138070.65999999995,0.0,0.0
sell,5.63,-26273,136094.13999999998,148054.39999999994,0.0,11822.850000000004
buy,5.7,25948,147903.6,149611.2799999999,0.0,0.0
buy,5.63,26,146.38,146238.03999999992,0.0,0.0
sell,4.93,-25974,148049.98,128056.23999999992,0.0,-19998.16000000002
buy,4.86,26322,127924.92000000001,123055.05999999991,0.0,0.0
buy,4.67,28,130.76,123055.05999999991,0.0,0.0
sell,4.8,-26350,128055.68000000002,126480.55999999991,0.0,-1575.6800000000208
buy,4.74,26657,126354.18000000001,126480.55999999991,0.0,0.0
buy,4.61,27,124.47000000000001,123015.1499999999,0.0,0.0
sell,4.8,-26684,126478.65,128085.1099999999,0.0,1604.5499999999981
buy,5.06,25287,127952.21999999999,129602.32999999991,0.0,0.0
buy,4.930000000000001,26,128.18,123025.88999999993,0.0,0.0
sell,5.06,-25313,128080.39999999997,128088.4899999999,0.0,3.3800000000202086
buy,4.99,25643,127958.57,131422.0799999999,0.0,0.0
sell,5.12,-25643,127958.57,131422.0799999999,0.0,3333.5899999999974
buy,4.93,26630,131285.9,131422.0799999999,0.0,0.0
buy,4.86,27,131.22,133023.3899999999,0.0,0.0
sell,4.989999999999999,-26657,131417.12,133023.38999999993,0.0,1601.3100000000188
buy,4.8,27685,132888.0,131362.28999999992,0.0,0.0
buy,4.61,29,133.69,129426.07999999993,0.0,0.0
sell,4.67,-27714,133021.69,129426.07999999993,0.0,-3597.3099999999927
buy,4.67,27686,129293.62,131364.09999999995,0.0,0.0
buy,4.54,29,131.66,129429.84999999993,0.0,0.0
sell,4.54,-27715,129425.28,125826.89999999992,0.0,-3599.1800000000017
buy,4.54,27687,125698.98,125826.89999999992,0.0,0.0
sell,4.74,-27687,125698.98,131364.29999999993,0.0,5537.400000000005
buy,4.8,27340,131232.0,129723.89999999994,0.0,0.0
buy,4.61,28,129.08,126169.69999999994,0.0,0.0
