dt,type,price,size,order_value,portfolio_value,commission,pnl
2004-05-03,buy,1080.0,92,99360.0,99540.0,0.0,0.0
2004-05-05,sell,1110.0,-92,99360.0,102760.0,0.0,2760.0
2004-05-06,buy,1070.0,95,101650.0,102760.0,0.0,0.0
2004-05-12,buy,1025.0,1,1025.0,101845.0,0.0,0.0
2004-05-13,sell,1060.0,-96,102675.0,101845.0,0.0,-915.0
2004-05-18,buy,1000.0,101,101000.0,98815.0,0.0,0.0
2004-05-27,sell,1045.0,-101,101000.0,106390.0,0.0,4545.0
2004-06-21,buy,1070.0,99,105930.0,108370.0,0.0,0.0
2004-06-30,sell,1150.0,-99,105930.0,114310.0,0.0,7920.0
2004-07-14,buy,1205.0,94,113270.0,114310.0,0.0,0.0
2004-07-29,sell,1275.0,-94,113270.0,120890.0,0.0,6580.0
2004-08-02,buy,1250.0,96,120000.0,119450.0,0.0,0.0
2004-08-05,sell,1285.0,-96,120000.0,124250.0,0.0,3360.0
2004-08-18,buy,1275.0,97,123675.0,121340.0,0.0,0.0
2004-09-03,sell,1320.0,-97,123675.0,128615.0,0.0,4365.0
2004-09-15,buy,1385.0,92,127420.0,127235.0,0.0,0.0
2004-09-24,sell,1370.0,-92,127420.0,127235.0,0.0,-1380.0
2004-10-13,buy,1450.0,87,126150.0,127235.0,0.0,0.0
2004-10-29,sell,1410.0,-87,126150.0,123755.0,0.0,-3480.0
2004-11-11,buy,1355.0,91,123305.0,121025.0,0.0,0.0
2004-11-17,sell,1330.0,-91,123305.0,121480.0,0.0,-2275.0
2004-11-23,buy,1355.0,89,120595.0,122815.0,0.0,0.0
2004-12-17,sell,1335.0,-89,120595.0,119700.0,0.0,-1780.0
2004-12-20,buy,1305.0,91,118755.0,117425.0,0.0,0.0
2004-12-23,sell,1310.0,-91,118755.0,120155.0,0.0,455.0
2005-01-07,buy,1355.0,88,119240.0,119275.0,0.0,0.0
2005-01-18,sell,1405.0,-88,119240.0,124555.0,0.0,4400.0
2005-02-22,buy,1355.0,91,123305.0,125010.0,0.0,0.0
2005-03-07,sell,1465.0,-91,123305.0,134565.0,0.0,10010.0
2005-03-22,buy,1430.0,94,134420.0,134565.0,0.0,0.0
2005-06-02,sell,1545.0,-94,134420.0,145375.0,0.0,10810.0
2005-06-08,buy,1590.0,91,144690.0,140370.0,0.0,0.0
2005-06-16,sell,1605.0,-91,144690.0,146740.0,0.0,1365.0
2005-07-04,buy,1590.0,92,146280.0,142140.0,0.0,0.0
2005-08-11,sell,1685.0,-92,146280.0,155480.0,0.0,8740.0
2005-08-16,buy,1640.0,94,154160.0,153600.0,0.0,0.0
2005-09-21,sell,1610.0,-94,154160.0,152660.0,0.0,-2820.0
2005-11-24,buy,1745.0,87,151815.0,152660.0,0.0,0.0
2005-12-21,sell,1800.0,-87,151815.0,157445.0,0.0,4785.0
2005-12-29,buy,1780.0,88,156640.0,162285.0,0.0,0.0
2006-01-02,sell,1835.0,-88,156640.0,162285.0,0.0,4840.0
2006-01-19,buy,1805.0,89,160645.0,161840.0,0.0,0.0
2006-01-26,sell,1795.0,-89,160645.0,161395.0,0.0,-890.0
2006-02-06,buy,1855.0,86,159530.0,160535.0,0.0,0.0
2006-02-08,buy,1790.0,1,1790.0,146235.0,0.0,0.0
2006-02-10,sell,1750.0,-87,161320.0,152325.0,0.0,-9069.999999999998
2006-02-21,buy,1745.0,87,151815.0,153195.0,0.0,0.0
2006-05-08,sell,2125.0,-87,151815.0,185385.0,0.0,33060.0
2006-05-10,buy,2150.0,86,184900.0,183665.0,0.0,0.0
2006-05-29,sell,2010.0,-86,184900.0,173345.0,0.0,-12040.0
2006-06-01,buy,1975.0,87,171825.0,175520.0,0.0,0.0
2006-07-03,sell,1830.0,-87,171825.0,160730.0,0.0,-12615.0
2006-07-17,buy,1860.0,86,159960.0,156000.0,0.0,0.0
2006-07-21,sell,1900.0,-86,159960.0,164170.0,0.0,3440.0
2006-08-03,buy,2005.0,81,162405.0,169030.0,0.0,0.0
2006-08-04,sell,2065.0,-81,162405.0,169030.0,0.0,4860.0
2006-08-10,buy,2010.0,84,168840.0,165670.0,0.0,0.0
2006-08-14,sell,2025.0,-84,168840.0,170290.0,0.0,1260.0
2006-08-28,buy,1890.0,90,170100.0,173890.0,0.0,0.0
2006-09-12,sell,2040.0,-90,170100.0,183790.0,0.0,13500.0
2006-09-13,buy,2000.0,91,182000.0,185610.0,0.0,0.0
2006-09-18,sell,2110.0,-91,182000.0,193800.0,0.0,10010.0
2006-09-21,buy,2200.0,88,193600.0,201280.0,0.0,0.0
2006-09-22,sell,2285.0,-88,193600.0,201280.0,0.0,7480.0
2006-09-25,buy,2225.0,90,200250.0,200830.0,0.0,0.0
2006-10-06,sell,2225.0,-90,200250.0,201280.0,0.0,0.0
2006-10-09,buy,2180.0,92,200560.0,203120.0,0.0,0.0
2006-10-20,sell,2265.0,-92,200560.0,209100.0,0.0,7820.0
2006-11-09,buy,2420.0,86,208120.0,219850.0,0.0,0.0
2006-11-10,sell,2545.0,-86,208120.0,219850.0,0.0,10750.0
2006-11-14,buy,2520.0,87,219240.0,213760.0,0.0,0.0
2006-11-23,sell,2555.0,-87,219240.0,222895.0,0.0,3045.0
2006-11-29,buy,2445.0,91,222495.0,218800.0,0.0,0.0
2006-12-29,sell,2450.0,-91,222495.0,223350.0,0.0,455.0
2007-01-09,buy,2450.0,91,222950.0,223350.0,0.0,0.0
2007-01-19,sell,2490.0,-91,222950.0,226990.0,0.0,3640.0
2007-01-29,buy,2630.0,86,226180.0,227420.0,0.0,0.0
2007-02-12,sell,2550.0,-86,226180.0,220110.0,0.0,-6880.0
2007-02-28,buy,2550.0,86,219300.0,200330.0,0.0,0.0
2007-03-02,sell,2420.0,-86,219300.0,208930.0,0.0,-11180.0
2007-03-06,buy,2350.0,88,206800.0,208490.0,0.0,0.0
2007-03-22,sell,2390.0,-88,206800.0,212450.0,0.0,3520.0
2007-03-29,buy,2500.0,84,210000.0,212450.0,0.0,0.0
2007-04-13,buy,2425.0,1,2425.0,204025.0,0.0,0.0
2007-04-18,sell,2515.0,-85,212425.0,213800.0,0.0,1350.000000000009
2007-04-25,buy,2530.0,84,212520.0,217160.0,0.0,0.0
2007-06-01,sell,2555.0,-84,212520.0,215900.0,0.0,2100.0
2007-06-19,buy,2650.0,81,214650.0,215090.0,0.0,0.0
2007-08-06,sell,2625.0,-81,214650.0,213875.0,0.0,-2025.0
2007-08-13,buy,2555.0,83,212065.0,215120.0,0.0,0.0
2007-08-22,sell,2520.0,-83,212065.0,210970.0,0.0,-2905.0
2007-10-10,buy,3170.0,66,209220.0,208660.0,0.0,0.0
2007-10-22,sell,3110.0,-66,209220.0,207010.0,0.0,-3960.0
2007-10-23,buy,3015.0,68,205020.0,208370.0,0.0,0.0
2007-12-03,sell,3100.0,-68,205020.0,212790.0,0.0,5780.0
2007-12-11,buy,3035.0,70,212450.0,213840.0,0.0,0.0
2007-12-27,sell,3110.0,-70,212450.0,218040.0,0.0,5250.0
2008-01-04,buy,3060.0,71,217260.0,217685.0,0.0,0.0
2008-01-28,sell,2800.0,-71,217260.0,199580.0,0.0,-18460.0
2008-02-12,buy,2865.0,69,197685.0,204065.0,0.0,0.0
2008-03-05,sell,2870.0,-69,197685.0,199925.0,0.0,345.0
2008-03-10,buy,2845.0,70,199150.0,191875.0,0.0,0.0
2008-03-12,sell,2795.0,-70,199150.0,196425.0,0.0,-3500.0
2008-03-17,buy,2730.0,71,193830.0,188615.0,0.0,0.0
2008-03-31,sell,2800.0,-71,193830.0,201395.0,0.0,4970.0
2008-04-23,buy,2620.0,76,199120.0,200635.0,0.0,0.0
2008-06-18,sell,2455.0,-76,199120.0,188855.0,0.0,-12540.0
2008-06-25,buy,2375.0,79,187625.0,192015.0,0.0,0.0
2008-07-09,sell,2425.0,-79,187625.0,192805.0,0.0,3950.0
2008-07-16,buy,2425.0,79,191575.0,188855.0,0.0,0.0
2008-08-12,sell,2710.0,-79,191575.0,215320.0,0.0,22515.0
2008-09-15,buy,2690.0,79,212510.0,207815.0,0.0,0.0
2008-09-16,buy,2595.0,1,2595.0,200215.0,0.0,0.0
2008-09-22,sell,2550.0,-80,215105.0,204215.0,0.0,-11105.0
2008-10-08,buy,2610.0,78,203580.0,196025.0,0.0,0.0
2008-10-15,sell,2430.0,-78,203580.0,190175.0,0.0,-14040.0
2008-10-16,buy,2390.0,79,188810.0,181090.0,0.0,0.0
2008-10-22,sell,2345.0,-79,188810.0,186620.0,0.0,-3555.0
2008-10-23,buy,2295.0,81,185895.0,177710.0,0.0,0.0
2008-10-30,sell,1930.0,-81,185895.0,157055.0,0.0,-29565.0
2008-11-07,buy,1940.0,80,155200.0,159855.0,0.0,0.0
2008-11-12,sell,2070.0,-80,155200.0,167455.0,0.0,10400.0
2008-11-18,buy,2235.0,74,165390.0,160425.0,0.0,0.0
2008-11-20,sell,2260.0,-74,165390.0,169305.0,0.0,1850.0
2008-11-21,buy,2180.0,77,167860.0,160065.0,0.0,0.0
2008-11-25,sell,2135.0,-77,167860.0,165840.0,0.0,-3465.0
2008-12-03,buy,2230.0,74,165020.0,171390.0,0.0,0.0
2008-12-04,sell,2305.0,-74,165020.0,171390.0,0.0,5550.0
2008-12-11,buy,2280.0,75,171000.0,163515.0,0.0,0.0
2008-12-24,sell,2110.0,-75,171000.0,158640.0,0.0,-12750.0
2009-01-21,buy,2095.0,75,157125.0,153390.0,0.0,0.0
2009-02-06,sell,2220.0,-75,157125.0,168015.0,0.0,9375.0
2009-02-11,buy,2210.0,75,165750.0,164265.0,0.0,0.0
2009-02-12,buy,2160.0,1,2160.0,165785.0,0.0,0.0
2009-03-05,sell,2275.0,-76,167910.0,173005.0,0.0,4989.999999999998
2009-03-11,buy,2225.0,77,171325.0,177240.0,0.0,0.0
2009-03-12,sell,2280.0,-77,171325.0,177240.0,0.0,4235.0
2009-03-16,buy,2145.0,82,175890.0,156740.0,0.0,0.0
2009-03-23,sell,1965.0,-82,175890.0,162480.0,0.0,-14760.0
2009-04-16,buy,2145.0,75,160875.0,163605.0,0.0,0.0
2009-05-13,sell,2225.0,-75,160875.0,168480.0,0.0,6000.0
2009-05-19,buy,2250.0,74,166500.0,169220.0,0.0,0.0
2009-06-11,sell,2355.0,-74,166500.0,176250.0,0.0,7770.0
2009-06-17,buy,2445.0,72,176040.0,170850.0,0.0,0.0
2009-06-26,sell,2375.0,-72,176040.0,171210.0,0.0,-5040.0
2009-08-07,buy,2550.0,67,170850.0,164175.0,0.0,0.0
2009-08-25,sell,2520.0,-67,170850.0,169200.0,0.0,-2010.0
2009-09-02,buy,2470.0,68,167960.0,166820.0,0.0,0.0
2009-10-07,sell,2565.0,-68,167960.0,175660.0,0.0,6460.0
2009-11-10,buy,2490.0,70,174300.0,176360.0,0.0,0.0
2009-11-12,sell,2570.0,-70,174300.0,181260.0,0.0,5600.0
2010-02-02,buy,2585.0,70,180950.0,181260.0,0.0,0.0
2010-05-31,sell,2400.0,-70,180950.0,168310.0,0.0,-12950.0
2010-08-17,buy,2398.0,70,167860.0,168450.0,0.0,0.0
2011-03-04,sell,2248.0,-70,167860.0,157810.0,0.0,-10500.0
2011-03-14,buy,2200.0,71,156200.0,156390.0,0.0,0.0
2011-03-31,sell,2356.0,-71,156200.0,168886.0,0.0,11076.0
2011-05-03,buy,2446.0,68,166328.0,168478.0,0.0,0.0
2011-05-06,buy,2380.0,1,2380.0,162190.0,0.0,0.0
2011-05-11,sell,2480.0,-69,168708.0,171298.0,0.0,2412.000000000004
2011-05-18,buy,2380.0,71,168980.0,174848.0,0.0,0.0
2011-06-02,sell,2404.0,-71,168980.0,173002.0,0.0,1704.0
2011-06-08,buy,2300.0,75,172500.0,173002.0,0.0,0.0
2011-06-22,sell,2322.0,-75,172500.0,174652.0,0.0,1650.0
2011-06-30,buy,2324.0,75,174300.0,173752.0,0.0,0.0
2011-07-04,sell,2380.0,-75,174300.0,178852.0,0.0,4200.0
2011-08-09,buy,2362.0,75,177150.0,170002.0,0.0,0.0
2011-08-17,sell,2300.0,-75,177150.0,174202.0,0.0,-4650.0
2011-08-25,buy,2350.0,74,173900.0,174498.0,0.0,0.0
