strat_id,strat_name,dt,type,price,size,order_value,portfolio_value,commission,pnl
0,rsi_period14_rsi_upper70_rsi_lower30,2004-02-02,buy,865.0,114,98610.0,93708.34,591.6600000000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2004-04-06,sell,1015.0,-114,98610.0,115814.08,694.2600000000001,17100.0
0,rsi_period14_rsi_upper70_rsi_lower30,2004-12-13,buy,1215.0,94,114210.0,117008.82,685.2600000000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2005-06-02,sell,1545.0,-94,114210.0,145277.44,871.3800000000001,31020.0
0,rsi_period14_rsi_upper70_rsi_lower30,2006-06-15,buy,1775.0,81,143775.0,144009.79,862.65,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2006-09-19,sell,2225.0,-81,143775.0,179783.44,1081.35,36450.0
0,rsi_period14_rsi_upper70_rsi_lower30,2007-08-17,buy,2270.0,78,177060.0,180671.08000000002,1062.3600000000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2007-09-21,sell,2830.0,-78,177060.0,221076.64,1324.44,43680.0
0,rsi_period14_rsi_upper70_rsi_lower30,2008-01-22,buy,2770.0,79,218830.0,203568.66,1312.98,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2008-08-12,sell,2710.0,-79,218830.0,213739.12,1284.5400000000002,-4740.0
0,rsi_period14_rsi_upper70_rsi_lower30,2008-10-13,buy,2245.0,94,211030.0,213412.94,1266.18,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2009-05-14,sell,2310.0,-94,211030.0,217280.1,1302.8400000000001,6110.0
0,rsi_period14_rsi_upper70_rsi_lower30,2010-02-08,buy,2535.0,85,215475.0,214287.25,1292.85,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2010-09-17,sell,2520.0,-85,215475.0,213427.05,1285.2,-1275.0
0,rsi_period14_rsi_upper70_rsi_lower30,2010-11-08,buy,2436.0,87,211932.0,209023.45799999998,1271.592,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2011-05-02,sell,2486.0,-87,211932.0,215207.76599999997,1297.692,4350.0
0,rsi_period14_rsi_upper70_rsi_lower30,2011-08-10,buy,2244.0,95,213180.0,216588.686,1279.0800000000002,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2011-11-02,sell,2400.0,-95,213180.0,227380.686,1368.0000000000002,14820.0
0,rsi_period14_rsi_upper70_rsi_lower30,2012-05-15,buy,2450.0,92,225400.0,221060.286,1352.4,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2012-06-26,sell,2624.0,-92,225400.0,240587.838,1448.448,16008.0
0,rsi_period14_rsi_upper70_rsi_lower30,2012-11-16,buy,2502.0,95,237690.0,239541.69799999997,1426.14,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2013-01-21,sell,2800.0,-95,237690.0,265875.698,1596.0000000000002,28310.0
0,rsi_period14_rsi_upper70_rsi_lower30,2013-08-28,buy,2824.0,93,262632.0,261137.906,1575.7920000000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2014-03-12,sell,2820.0,-93,262632.0,262354.34599999996,1573.5600000000002,-372.0
0,rsi_period14_rsi_upper70_rsi_lower30,2014-09-30,buy,3090.0,84,259560.0,261468.98599999998,1557.36,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2015-02-16,sell,3190.0,-84,259560.0,267589.22599999997,1607.76,8400.0
0,rsi_period14_rsi_upper70_rsi_lower30,2015-03-16,buy,2950.0,90,265500.0,261496.22599999997,1593.0,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2016-02-01,sell,2220.0,-90,265500.0,199097.42599999998,1198.8000000000002,-65700.0
0,rsi_period14_rsi_upper70_rsi_lower30,2016-03-01,buy,1830.0,108,197640.0,189811.58599999998,1185.8400000000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2016-06-06,sell,1980.0,-108,197640.0,212828.54599999997,1283.04,16200.0
0,rsi_period14_rsi_upper70_rsi_lower30,2016-09-19,buy,1666.0,126,209916.0,213459.04999999996,1259.496,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2016-11-03,buy,1512.0,1,1512.0,184281.97799999997,9.072000000000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2017-01-11,sell,1590.0,-127,211428.0,200850.398,1211.58,-9498.000000000005
0,rsi_period14_rsi_upper70_rsi_lower30,2017-11-29,buy,1500.0,132,198000.0,197154.398,1188.0,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2017-12-01,buy,1481.0,1,1481.0,194884.512,8.886000000000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2019-01-28,sell,1328.0,-133,199481.0,175736.76799999998,1059.7440000000001,-22857.000000000004
0,rsi_period14_rsi_upper70_rsi_lower30,2019-02-20,buy,1101.0,158,173958.0,169795.02,1043.748,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2019-05-27,sell,1350.0,-158,173958.0,212755.22,1279.8000000000002,39342.0
0,rsi_period14_rsi_upper70_rsi_lower30,2019-07-25,buy,1120.0,188,210560.0,219011.86000000002,1263.3600000000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2020-07-14,sell,1396.0,-188,210560.0,261805.172,1574.688,51888.0
0,rsi_period14_rsi_upper70_rsi_lower30,2022-10-12,buy,1402.0,185,259370.0,263578.952,1556.22,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2022-12-01,sell,1752.0,-185,259370.0,323054.232,1944.7200000000003,64750.0
