strat_id,strat_name,dt,type,price,size,order_value,portfolio_value,commission,pnl
0,fast_period50_slow_period200,2006-03-30,buy,5.0,19860,99300.0,99404.2,595.8,0.0
0,fast_period50_slow_period200,2006-08-30,sell,4.95,-19860,99300.0,97821.358,589.842,-992.9999999999965
0,fast_period50_slow_period200,2006-10-30,buy,6.0,16190,97140.0,95619.518,582.84,0.0
0,fast_period50_slow_period200,2007-08-23,sell,6.2,-16190,97140.0,99874.25,602.268,3238.0000000000027
0,fast_period50_slow_period200,2008-05-30,buy,7.2,13774,99172.8,99279.2132,595.0368000000001,0.0
0,fast_period50_slow_period200,2008-07-03,sell,6.4,-13774,99172.8,87731.0916,528.9216,-11019.199999999997
0,fast_period50_slow_period200,2008-09-03,buy,7.3,11934,87118.2,87208.3824,522.7092,0.0
0,fast_period50_slow_period200,2008-10-24,sell,5.3,-11934,87118.2,62960.8812,379.5012,-23868.0
0,fast_period50_slow_period200,2009-06-30,buy,6.3,9924,62521.2,59608.554000000004,375.1272,0.0
0,fast_period50_slow_period200,2011-10-06,sell,36.0,-9924,62521.2,355184.97000000003,2143.5840000000003,294742.8
0,fast_period50_slow_period200,2011-12-22,buy,40.0,8817,352680.0,361004.19,2116.08,0.0
0,fast_period50_slow_period200,2012-11-22,sell,48.5,-8817,352680.0,425447.64300000004,2565.747,74944.5
0,fast_period50_slow_period200,2012-12-18,buy,51.7,8171,422440.7,424547.1988,2534.6442,0.0
0,fast_period50_slow_period200,2013-07-05,sell,49.1,-8171,422440.7,399261.2222,2407.1766000000002,-21244.600000000013
0,fast_period50_slow_period200,2013-12-27,buy,53.3,7438,396445.39999999997,406180.04980000004,2378.6724,0.0
0,fast_period50_slow_period200,2014-09-29,sell,54.5,-7438,396445.39999999997,403375.92380000005,2432.226,8925.60000000002
0,fast_period50_slow_period200,2015-02-24,buy,57.5,6966,400545.0,404107.35380000004,2403.27,0.0
0,fast_period50_slow_period200,2015-10-23,sell,57.39999999999999,-6966,400545.0,397876.9634,2399.0904,-696.6000000000099
0,fast_period50_slow_period200,2015-11-10,buy,56.8,6956,395100.8,393419.55860000005,2370.6048,0.0
0,fast_period50_slow_period200,2015-11-17,sell,55.2,-6956,395100.8,382072.93140000006,2303.8272,-11129.59999999996
0,fast_period50_slow_period200,2016-03-08,buy,60.15,6307,379366.05,379481.3851000001,2276.1963,0.0
0,fast_period50_slow_period200,2017-01-11,sell,75.0,-6307,379366.05,470617.53510000004,2838.15,93658.95000000001
0,fast_period50_slow_period200,2017-05-16,buy,75.7,6173,467296.10000000003,469357.00850000005,2803.7766000000006,0.0
0,fast_period50_slow_period200,2017-09-14,sell,73.0,-6173,467296.10000000003,448442.88450000004,2703.7740000000003,-16667.100000000017
0,fast_period50_slow_period200,2018-02-26,buy,75.8,5874,445249.2,464568.1893,2671.4952,0.0
0,fast_period50_slow_period200,2018-04-10,sell,67.95,-5874,445249.2,397265.65950000007,2394.8298,-46110.899999999965
0,fast_period50_slow_period200,2019-01-30,buy,64.0,6164,394496.0,394898.68350000004,2366.976,0.0
0,fast_period50_slow_period200,2019-06-19,sell,55.0,-6164,394496.0,337388.56350000005,2034.1200000000001,-55476.0
0,fast_period50_slow_period200,2020-08-04,buy,45.6,7347,335023.2,333541.6743000001,2010.1392,0.0
0,fast_period50_slow_period200,2021-02-01,sell,39.8,-7347,335023.2,291011.3607,1754.4635999999998,-42612.600000000035
0,fast_period50_slow_period200,2021-09-14,buy,45.85,6302,288946.7,284551.1805,1733.6802,0.0
0,fast_period50_slow_period200,2022-06-09,sell,52.0,-6302,288946.7,326068.7565,1966.224,38757.29999999999
0,fast_period50_slow_period200,2022-09-14,buy,59.1,5478,323749.8,308240.05770000006,1942.4988,0.0
0,fast_period50_slow_period200,2023-03-24,sell,52.35,-5478,323749.8,285429.1179,1720.6398000000002,-36976.5
