strat_id,strat_name,dt,type,price,size,order_value,portfolio_value,commission,pnl
0,fast_period50_slow_period200,2009-06-05,buy,4.86,20432,99299.52,101243.08288,595.7971200000001,0.0
0,fast_period50_slow_period200,2011-02-28,sell,18.29,-20432,99299.52,371563.7552,2242.20768,274401.76
0,fast_period50_slow_period200,2011-04-13,buy,23.67,15588,368967.96,368570.54744,2213.80776,0.0
0,fast_period50_slow_period200,2011-10-20,sell,22.86,-15588,368967.96,354585.61736,2138.05008,-12626.280000000035
0,fast_period50_slow_period200,2011-12-19,buy,23.57,14939,352112.23,352472.94398,2112.67338,0.0
0,fast_period50_slow_period200,2013-08-27,sell,35.19,-14939,352112.23,522909.90351999993,3154.22046,173591.17999999996
0,fast_period50_slow_period200,2013-11-25,buy,41.76,12434,519243.83999999997,494304.74048,3115.4630399999996,0.0
0,fast_period50_slow_period200,2014-01-06,sell,37.0,-12434,519243.83999999997,457848.25247999997,2760.348,-59185.839999999975
0,fast_period50_slow_period200,2014-03-11,buy,46.62,9752,454638.24,455608.02304,2727.82944,0.0
0,fast_period50_slow_period200,2016-01-19,sell,59.29,-9752,454638.24,575209.08656,3469.17648,123557.84000000001
0,fast_period50_slow_period200,2016-04-06,buy,74.76,7640,571166.4,568191.28816,3426.9984000000004,0.0
0,fast_period50_slow_period200,2016-10-14,sell,67.71,-7640,571166.4,514816.26175999985,3103.8264,-53862.00000000009
0,fast_period50_slow_period200,2017-04-04,buy,77.14,6627,511206.78,520629.2010799999,3067.24068,0.0
0,fast_period50_slow_period200,2017-09-04,sell,68.38,-6627,511206.78,450977.57551999984,2718.9255599999997,-58052.52000000003
0,fast_period50_slow_period200,2019-01-29,buy,60.67,7381,447805.27,457369.3738999998,2686.8316200000004,0.0
0,fast_period50_slow_period200,2020-03-20,sell,42.33,-7381,447805.27,311048.5775199998,1874.62638,-135367.54000000004
0,fast_period50_slow_period200,2020-10-26,buy,62.86,4913,308831.18,311504.7004399998,1852.98708,0.0
0,fast_period50_slow_period200,2021-04-08,sell,61.75,-4913,308831.18,301921.8939399998,1820.2665000000002,-5453.429999999998
0,fast_period50_slow_period200,2021-10-05,buy,63.5,4721,299783.5,300123.1929399998,1798.701,0.0
0,fast_period50_slow_period200,2021-12-21,sell,54.0,-4721,299783.5,253744.0889399998,1529.604,-44849.5
0,fast_period50_slow_period200,2023-02-01,buy,53.55,4705,251952.75,263759.62243999983,1511.7165,0.0
0,fast_period50_slow_period200,2023-06-22,sell,45.65,-4705,251952.75,213774.17293999981,1288.6995,-37169.49999999999
