strat_id,strat_name,dt,type,price,size,order_value,portfolio_value,commission,pnl
0,fast_period50_slow_period200,2005-11-25,buy,5.7,17421,99299.7,97139.4718,595.7982,0.0
0,fast_period50_slow_period200,2006-07-10,sell,5.06,-17421,99299.7,87725.86023999998,528.9015599999999,-11149.44000000001
0,fast_period50_slow_period200,2006-09-14,buy,5.12,17014,87111.68000000001,87203.19015999998,522.67008,0.0
0,fast_period50_slow_period200,2008-01-17,sell,7.840000000000001,-17014,87111.68000000001,132680.93159999998,800.33856,46278.079999999994
0,fast_period50_slow_period200,2009-04-28,buy,6.8,19376,131756.8,128790.23079999998,790.5408,0.0
0,fast_period50_slow_period200,2010-02-22,sell,7.360000000000001,-19376,131756.8,141885.30664,855.64416,10850.56000000001
0,fast_period50_slow_period200,2010-05-17,buy,9.0,15655,140895.0,141039.93664,845.3700000000001,0.0
0,fast_period50_slow_period200,2011-02-03,sell,8.56,-15655,140895.0,133347.69584000003,804.0408000000001,-6888.1999999999925
0,fast_period50_slow_period200,2011-05-05,buy,9.569999999999999,13836,132410.52,130754.55272000005,794.4631200000001,0.0
0,fast_period50_slow_period200,2013-08-06,sell,16.5,-13836,132410.52,227066.94872000004,1369.7640000000001,95883.48
0,fast_period50_slow_period200,2014-06-04,buy,16.58,13599,225471.41999999998,220546.50020000004,1352.82852,0.0
0,fast_period50_slow_period200,2016-03-17,sell,21.05,-13599,225471.41999999998,284784.0965000001,1717.5537000000002,60787.530000000035
0,fast_period50_slow_period200,2016-03-23,buy,22.55,12541,282799.55,281206.1492000001,1696.7973,0.0
0,fast_period50_slow_period200,2018-04-12,sell,33.3,-12541,282799.55,415397.3574000001,2505.6917999999996,134815.74999999994
0,fast_period50_slow_period200,2018-07-13,buy,36.4,11332,412484.8,419155.04860000015,2474.9088,0.0
0,fast_period50_slow_period200,2018-10-24,sell,34.0,-11332,412484.8,383413.9206000001,2311.728,-27196.799999999985
0,fast_period50_slow_period200,2019-01-24,buy,39.7,9590,380723.0,381129.58260000014,2284.338,0.0
0,fast_period50_slow_period200,2019-08-22,sell,35.7,-9590,380723.0,340715.4046000001,2054.1780000000003,-38360.0
0,fast_period50_slow_period200,2019-11-26,buy,39.2,8631,338335.2,336096.09340000007,2030.0112000000001,0.0
0,fast_period50_slow_period200,2020-03-26,sell,27.0,-8631,338335.2,231988.9714000001,1398.222,-105298.20000000003
0,fast_period50_slow_period200,2020-11-25,buy,38.5,5983,230345.5,223427.2984000001,1382.073,0.0
0,fast_period50_slow_period200,2021-07-30,sell,32.8,-5983,230345.5,195326.34400000007,1177.4544,-34103.10000000002
0,fast_period50_slow_period200,2021-12-06,buy,35.8,5418,193964.4,193620.75760000007,1163.7864,0.0
0,fast_period50_slow_period200,2022-09-29,sell,32.1,-5418,193964.4,173072.45080000008,1043.5068,-20046.599999999977
0,fast_period50_slow_period200,2023-01-30,buy,37.6,4570,171832.0,172498.45880000008,1030.9920000000002,0.0
0,fast_period50_slow_period200,2023-04-14,sell,32.85,-4570,171832.0,149433.21180000008,900.7470000000001,-21707.5
0,fast_period50_slow_period200,2024-01-16,buy,33.75,4396,148365.0,148543.02180000008,890.19,0.0
0,fast_period50_slow_period200,2024-04-25,sell,28.6,-4396,148365.0,125149.26820000008,754.3536,-22639.399999999994
0,fast_period50_slow_period200,2024-10-07,buy,32.45,3829,124251.05000000002,126509.71190000007,745.5063000000001,0.0
0,fast_period50_slow_period200,2024-12-09,sell,26.7,-3829,124251.05000000002,101773.60610000008,613.4058,-22016.750000000015
