strat_id,strat_name,dt,type,price,size,order_value,portfolio_value,commission,pnl
0,fast_period50_slow_period200,2006-11-21,buy,19.25,5158,99291.5,99404.251,595.749,0.0
0,fast_period50_slow_period200,2007-01-22,sell,18.75,-5158,99291.5,96244.97600000001,580.275,-2579.0
0,fast_period50_slow_period200,2009-06-08,buy,7.8999999999999995,12098,95574.2,93251.93080000002,573.4452000000001,0.0
0,fast_period50_slow_period200,2011-03-01,sell,33.4,-12098,95574.2,401746.0916,2424.4392000000003,308499.0
0,fast_period50_slow_period200,2011-06-02,buy,43.85,9098,398947.3,392074.00779999996,2393.6838000000002,0.0
0,fast_period50_slow_period200,2014-01-20,sell,121.79999999999998,-9098,398947.3,1101892.6893999998,6648.8184,709189.0999999999
0,fast_period50_slow_period200,2014-03-04,buy,137.0,7987,1094219.0,1075359.8753999998,6565.314,0.0
0,fast_period50_slow_period200,2015-07-09,sell,186.0,-7987,1094219.0,1477776.8833999997,8913.492,391363.0
0,fast_period50_slow_period200,2016-03-21,buy,204.6,7172,1467391.2,1507701.3361999998,8804.3472,0.0
0,fast_period50_slow_period200,2016-09-05,sell,180.9,-7172,1467391.2,1291211.6474,7784.488800000001,-169976.3999999999
0,fast_period50_slow_period200,2018-02-12,buy,158.0,8115,1282170.0,1266477.1273999999,7693.0199999999995,0.0
0,fast_period50_slow_period200,2018-04-16,sell,145.0,-8115,1282170.0,1170963.5773999998,7060.049999999999,-105495.0
0,fast_period50_slow_period200,2019-02-04,buy,150.0,7752,1162800.0,1171738.7773999998,6976.8,0.0
0,fast_period50_slow_period200,2019-11-18,sell,151.1,-7752,1162800.0,1165486.0141999996,7027.9632,8527.199999999955
0,fast_period50_slow_period200,2020-09-25,buy,135.0,8573,1157355.0,1141395.8841999997,6944.13,0.0
0,fast_period50_slow_period200,2021-03-25,sell,127.0,-8573,1157355.0,1083425.2581999998,6532.626,-68584.0
0,fast_period50_slow_period200,2021-08-05,buy,134.7,7987,1075848.9,1095340.2648,6455.0934,0.0
0,fast_period50_slow_period200,2021-08-10,sell,132.0,-7987,1075848.9,1049079.5608,6325.704000000001,-21564.89999999991
0,fast_period50_slow_period200,2021-10-21,buy,140.3,7425,1041727.5000000001,1048026.6958,6250.365000000001,0.0
0,fast_period50_slow_period200,2021-11-12,sell,131.0,-7425,1041727.5000000001,967940.6457999999,5836.05,-69052.50000000009
0,fast_period50_slow_period200,2022-09-06,buy,125.4,7665,961191.0,948376.4998,5767.146000000001,0.0
0,fast_period50_slow_period200,2023-08-03,sell,122.0,-7665,961191.0,930501.7198,5610.780000000001,-26061.000000000044
